건물유형코드,건물ID,건물관리번호,법정동코드,주소,지번,위도,경도,그리드ID,그리드행,그리드열,주부속구분,일반집합구분,건물용도코드,건물용도명,구조코드,구조명,건폐율,사용승인일,연면적,건축면적,높이,기타,용적률,지번코드,대장구분,건물식별번호,갱신일자,행정구역코드,예비1,예비2,지상층수,지하층수,총층수,생성일자
38601,2016193267544510141600000000,1144012400102600026,1144012400,서울특별시 마포구 연남동,260-26,37.56138043,126.92458908,YN_50000SQM_R05_C05,5,5,1,일반,01000,단독주택,21.0,철근콘크리트구조,91.52,2016-01-25,306.14,153.5,17.55,59.62,199.44,100237574,Y,B002000000003KS4X,2026-04-06,11440,송스26,,6.0,0.0,6,2026-01-08
30931,1988193328934510740500000000,1144012400103900077,1144012400,서울특별시 마포구 연남동,390-77,37.56192053,126.92528331,YN_50000SQM_R05_C05,5,5,1,일반,03000,제1종근린생활시설,11.0,벽돌구조,85.92,1988-10-08,231.72,143.5,7.1,59.87,108.04,28779,N,B00100000000J9CR9,2026-04-06,11440,,,3.0,1.0,4,2026-01-08
9863,1971192940754510241300000000,1144012400105610052,1144012400,서울특별시 마포구 연남동,561-52,37.56146782,126.92089027,YN_50000SQM_R05_C04,5,4,1,일반,01000,단독주택,11.0,벽돌구조,67.83,1971-04-15,134.01,0.0,0.0,0.0,0.0,29321,N,B00100000000PFLAD,2026-04-06,11440,,,3.0,0.0,3,2025-09-19
25014,1970193306344511008100000000,1144012400103900072,1144012400,서울특별시 마포구 연남동,390-72,37.56216142,126.92502747,YN_50000SQM_R05_C05,5,5,1,일반,04000,제2종근린생활시설,11.0,벽돌구조,90.91,1970-09-01,150.62,178.0,5.46,51.07,71.32,28775,N,B0010000000BPDEHM,2026-04-06,11440,,,3.0,1.0,4,2026-01-09
3167,1989192864734507495900000000,1144012400105700022,1144012400,서울특별시 마포구 연남동,570-22,37.55899363,126.92003266,YN_50000SQM_R04_C03,4,3,1,일반,01000,단독주택,11.0,벽돌구조,92.01,1989-12-12,248.57,0.0,0.0,0.0,0.0,29554,N,B00100000000PIDRP,2026-04-06,11440,,,3.0,1.0,4,2025-10-28
56645,2018193319164514098800000000,1144012400102230113,1144012400,서울특별시 마포구 연남동,223-113,37.56494609,126.92516959,YN_50000SQM_R07_C05,7,5,1,일반,01000,단독주택,21.0,철근콘크리트구조,181.31,2018-12-26,638.39,323.06,15.0,56.12,197.61,100260244,N,B002000000008U3VF,2026-04-06,11440,연남연화,,6.0,0.0,6,2025-07-11
3418,1989193172574509471300000000,1144012400103730010,1144012400,서울특별시 마포구 연남동,373-10,37.56077586,126.92351478,YN_50000SQM_R05_C05,5,5,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,76.55,1989-11-25,325.37,132.0,15.45,57.99,196.99,28594,N,B00100000000PK0K7,2026-04-06,11440,,,6.0,1.0,7,2026-01-10
4002,1994193263164510968800000000,1144012400102280047,1144012400,서울특별시 마포구 연남동,228-47,37.56212571,126.92453875,YN_50000SQM_R05_C05,5,5,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,87.72,1994-01-26,417.33,155.4,12.4,56.45,202.16,27984,N,B00100000000PK10N,2026-04-06,11440,,,5.0,1.0,6,2026-01-10
38517,2016193318794509999800000000,1144012400103820014,1144012400,서울특별시 마포구 연남동,382-14,37.56125295,126.92516918,YN_50000SQM_R05_C05,5,5,1,일반,01000,단독주택,21.0,철근콘크리트구조,77.38,2016-03-14,265.08,134.13,15.8,57.69,197.63,100238254,N,B002000000003KIJ3,2026-04-06,11440,,,6.0,0.0,6,2026-02-25
30807,2007192740064509587100000000,1144012400104870123,1144012400,서울특별시 마포구 연남동,487-123,37.56087679,126.91861949,YN_50000SQM_R05_C03,5,3,1,일반,02000,공동주택,21.0,철근콘크리트구조,221.63,2007-10-06,920.85,371.0,14.05,59.74,182.55,29761,Y,B00100000000PE16N,2026-04-06,11440,아뜨리에,,5.0,1.0,6,2025-09-10
25737,2012193220034509618700000000,1144012400102590004,1144012400,서울특별시 마포구 연남동,259-4,37.56090897,126.92405188,YN_50000SQM_R05_C05,5,5,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,183.34,2012-10-17,1050.9,393.3,21.9,46.62,216.3,100209632,N,B00100000000PJW2K,2026-04-06,11440,이트라이브연남빌딩,,8.0,1.0,9,2025-02-26
67743,2021193277104510458700000000,1144012400102600012,1144012400,서울특별시 마포구 연남동,260-12,37.56166614,126.92469693,YN_50000SQM_R05_C05,5,5,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,122.71,2021-10-21,437.04,205.2,16.0,59.8,205.11,100280243,N,B00200000000DYSWF,2026-04-06,11440,스퀘어연남,,6.0,0.0,6,2026-01-13
29520,1993193005384510186000000000,1144012400105610044,1144012400,서울특별시 마포구 연남동,561-44,37.56141847,126.92162186,YN_50000SQM_R05_C04,5,4,1,일반,01000,단독주택,11.0,벽돌구조,94.62,1993-10-29,330.88,160.3,9.2,59.03,162.4,29315,Y,B00100000000PG7LB,2026-04-06,11440,,,4.0,1.0,5,2025-03-08
26569,1984193526534511514300000000,1144012400102260036,1144012400,서울특별시 마포구 연남동,226-36,37.56261912,126.92751914,YN_50000SQM_R06_C06,6,6,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,196.8,1984-11-09,787.2,420.97,0.0,46.75,140.25,27920,N,B00100000000J6F8P,2026-04-06,11440,,,4.0,1.0,5,2025-07-12
38607,2015193167514514723100000000,1144012400102410087,1144012400,서울특별시 마포구 연남동,241-87,37.56550758,126.92345250,YN_50000SQM_R07_C05,7,5,1,일반,03000,제1종근린생활시설,21.0,철근콘크리트구조,82.74,2015-08-12,276.88,138.8,13.0,59.61,199.48,100234634,N,B002000000003KVSP,2026-04-06,11440,,,5.0,0.0,5,2025-07-22
