그리드ID,그리드행,그리드열,건물수,숙박시설수,건물데이터_0여부,기준면적_m2,입체화재하중_분자,입체화재하중밀도,중심위도,중심경도,x_min_EPSG5186,y_min_EPSG5186,x_max_EPSG5186,y_max_EPSG5186
YN_50000SQM_R01_C01,1,1,0,0,Y,50000.0,0.0,0.0,37.55316403,126.91414535,192301.846,550296.329,192525.453,550519.936
YN_50000SQM_R01_C02,1,2,0,0,Y,50000.0,0.0,0.0,37.55316584,126.91667590,192525.453,550296.329,192749.06,550519.936
YN_50000SQM_R01_C03,1,3,0,0,Y,50000.0,0.0,0.0,37.55316760,126.91920646,192749.06,550296.329,192972.666,550519.936
YN_50000SQM_R01_C04,1,4,0,0,Y,50000.0,0.0,0.0,37.55316931,126.92173701,192972.666,550296.329,193196.273,550519.936
YN_50000SQM_R01_C05,1,5,0,0,Y,50000.0,0.0,0.0,37.55317096,126.92426757,193196.273,550296.329,193419.88,550519.936
YN_50000SQM_R01_C06,1,6,0,0,Y,50000.0,0.0,0.0,37.55317255,126.92679812,193419.88,550296.329,193643.487,550519.936
YN_50000SQM_R01_C07,1,7,0,0,Y,50000.0,0.0,0.0,37.55317409,126.92932867,193643.487,550296.329,193867.094,550519.936
YN_50000SQM_R01_C08,1,8,0,0,Y,50000.0,0.0,0.0,37.55317558,126.93185923,193867.094,550296.329,194090.7,550519.936
YN_50000SQM_R02_C01,2,1,0,0,Y,50000.0,0.0,0.0,37.55517872,126.91414304,192301.846,550519.936,192525.453,550743.543
YN_50000SQM_R02_C02,2,2,0,0,Y,50000.0,0.0,0.0,37.55518053,126.91667366,192525.453,550519.936,192749.06,550743.543
YN_50000SQM_R02_C03,2,3,0,4,Y,50000.0,0.0,0.0,37.55518229,126.91920428,192749.06,550519.936,192972.666,550743.543
YN_50000SQM_R02_C04,2,4,0,0,Y,50000.0,0.0,0.0,37.55518400,126.92173490,192972.666,550519.936,193196.273,550743.543
YN_50000SQM_R02_C05,2,5,0,0,Y,50000.0,0.0,0.0,37.55518565,126.92426553,193196.273,550519.936,193419.88,550743.543
YN_50000SQM_R02_C06,2,6,0,0,Y,50000.0,0.0,0.0,37.55518724,126.92679615,193419.88,550519.936,193643.487,550743.543
YN_50000SQM_R02_C07,2,7,0,0,Y,50000.0,0.0,0.0,37.55518879,126.92932677,193643.487,550519.936,193867.094,550743.543
YN_50000SQM_R02_C08,2,8,0,0,Y,50000.0,0.0,0.0,37.55519027,126.93185739,193867.094,550519.936,194090.7,550743.543
YN_50000SQM_R03_C01,3,1,0,0,Y,50000.0,0.0,0.0,37.55719341,126.91414073,192301.846,550743.543,192525.453,550967.15
YN_50000SQM_R03_C02,3,2,0,10,Y,50000.0,0.0,0.0,37.55719522,126.91667142,192525.453,550743.543,192749.06,550967.15
YN_50000SQM_R03_C03,3,3,3,22,N,50000.0,9795.41,0.1959082,37.55719698,126.91920211,192749.06,550743.543,192972.666,550967.15
YN_50000SQM_R03_C04,3,4,0,15,Y,50000.0,0.0,0.0,37.55719869,126.92173280,192972.666,550743.543,193196.273,550967.15
YN_50000SQM_R03_C05,3,5,0,8,Y,50000.0,0.0,0.0,37.55720034,126.92426349,193196.273,550743.543,193419.88,550967.15
YN_50000SQM_R03_C06,3,6,0,0,Y,50000.0,0.0,0.0,37.55720193,126.92679418,193419.88,550743.543,193643.487,550967.15
YN_50000SQM_R03_C07,3,7,0,0,Y,50000.0,0.0,0.0,37.55720348,126.92932487,193643.487,550743.543,193867.094,550967.15
YN_50000SQM_R03_C08,3,8,0,0,Y,50000.0,0.0,0.0,37.55720496,126.93185556,193867.094,550743.543,194090.7,550967.15
YN_50000SQM_R04_C01,4,1,0,0,Y,50000.0,0.0,0.0,37.55920810,126.91413842,192301.846,550967.15,192525.453,551190.756
YN_50000SQM_R04_C02,4,2,6,6,N,50000.0,1114.56,0.0222912,37.55920991,126.91666917,192525.453,550967.15,192749.06,551190.756
YN_50000SQM_R04_C03,4,3,143,21,N,50000.0,87106.42,1.7421284,37.55921167,126.91919993,192749.06,550967.15,192972.666,551190.756
YN_50000SQM_R04_C04,4,4,52,21,N,50000.0,35854.19,0.7170838,37.55921338,126.92173069,192972.666,550967.15,193196.273,551190.756
YN_50000SQM_R04_C05,4,5,0,36,Y,50000.0,0.0,0.0,37.55921503,126.92426145,193196.273,550967.15,193419.88,551190.756
YN_50000SQM_R04_C06,4,6,0,6,Y,50000.0,0.0,0.0,37.55921662,126.92679221,193419.88,550967.15,193643.487,551190.756
YN_50000SQM_R04_C07,4,7,0,0,Y,50000.0,0.0,0.0,37.55921817,126.92932297,193643.487,550967.15,193867.094,551190.756
YN_50000SQM_R04_C08,4,8,0,0,Y,50000.0,0.0,0.0,37.55921965,126.93185372,193867.094,550967.15,194090.7,551190.756
YN_50000SQM_R05_C01,5,1,0,0,Y,50000.0,0.0,0.0,37.56122279,126.91413610,192301.846,551190.756,192525.453,551414.363
YN_50000SQM_R05_C02,5,2,5,12,N,50000.0,1723.85,0.034477,37.56122460,126.91666693,192525.453,551190.756,192749.06,551414.363
YN_50000SQM_R05_C03,5,3,167,11,N,50000.0,88712.49,1.7742498,37.56122636,126.91919776,192749.06,551190.756,192972.666,551414.363
YN_50000SQM_R05_C04,5,4,162,10,N,50000.0,110939.652,2.21879304,37.56122806,126.92172858,192972.666,551190.756,193196.273,551414.363
YN_50000SQM_R05_C05,5,5,155,18,N,50000.0,79701.37,1.5940274,37.56122972,126.92425941,193196.273,551190.756,193419.88,551414.363
YN_50000SQM_R05_C06,5,6,86,9,N,50000.0,33921.19,0.6784238,37.56123131,126.92679024,193419.88,551190.756,193643.487,551414.363
YN_50000SQM_R05_C07,5,7,0,0,Y,50000.0,0.0,0.0,37.56123285,126.92932106,193643.487,551190.756,193867.094,551414.363
YN_50000SQM_R05_C08,5,8,0,0,Y,50000.0,0.0,0.0,37.56123434,126.93185189,193867.094,551190.756,194090.7,551414.363
