그리드ID,그리드행,그리드열,입체화재하중밀도,입체화재하중_분자,기준면적_m2,건물수,숙박시설수,건물데이터_0여부
YN_50000SQM_R01_C01,1,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C02,1,2,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C03,1,3,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C04,1,4,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C05,1,5,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C06,1,6,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C07,1,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R01_C08,1,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C01,2,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C02,2,2,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C03,2,3,0.0,0.0,50000.0,0,4,Y
YN_50000SQM_R02_C04,2,4,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C05,2,5,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C06,2,6,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C07,2,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R02_C08,2,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R03_C01,3,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R03_C02,3,2,0.0,0.0,50000.0,0,10,Y
YN_50000SQM_R03_C03,3,3,0.1959082,9795.41,50000.0,3,22,N
YN_50000SQM_R03_C04,3,4,0.0,0.0,50000.0,0,15,Y
YN_50000SQM_R03_C05,3,5,0.0,0.0,50000.0,0,8,Y
YN_50000SQM_R03_C06,3,6,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R03_C07,3,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R03_C08,3,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R04_C01,4,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R04_C02,4,2,0.0222912,1114.56,50000.0,6,6,N
YN_50000SQM_R04_C03,4,3,1.7421284,87106.42,50000.0,143,21,N
YN_50000SQM_R04_C04,4,4,0.7170838,35854.19,50000.0,52,21,N
YN_50000SQM_R04_C05,4,5,0.0,0.0,50000.0,0,36,Y
YN_50000SQM_R04_C06,4,6,0.0,0.0,50000.0,0,6,Y
YN_50000SQM_R04_C07,4,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R04_C08,4,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R05_C01,5,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R05_C02,5,2,0.034477,1723.85,50000.0,5,12,N
YN_50000SQM_R05_C03,5,3,1.7742498,88712.49,50000.0,167,11,N
YN_50000SQM_R05_C04,5,4,2.21879304,110939.652,50000.0,162,10,N
YN_50000SQM_R05_C05,5,5,1.5940274,79701.37,50000.0,155,18,N
YN_50000SQM_R05_C06,5,6,0.6784238,33921.19,50000.0,86,9,N
YN_50000SQM_R05_C07,5,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R05_C08,5,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R06_C01,6,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R06_C02,6,2,0.5144462,25722.31,50000.0,80,4,N
YN_50000SQM_R06_C03,6,3,1.5001712,75008.56,50000.0,97,6,N
YN_50000SQM_R06_C04,6,4,1.79551552,89775.776,50000.0,94,8,N
YN_50000SQM_R06_C05,6,5,2.080787,104039.35,50000.0,188,5,N
YN_50000SQM_R06_C06,6,6,1.5708272,78541.36,50000.0,156,0,N
YN_50000SQM_R06_C07,6,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R06_C08,6,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R07_C01,7,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R07_C02,7,2,0.7188606,35943.03,50000.0,96,0,N
YN_50000SQM_R07_C03,7,3,1.51223552,75611.776,50000.0,108,0,N
YN_50000SQM_R07_C04,7,4,1.5067098,75335.49,50000.0,182,0,N
YN_50000SQM_R07_C05,7,5,1.3103706,65518.53,50000.0,144,0,N
YN_50000SQM_R07_C06,7,6,0.1890962,9454.81,50000.0,28,0,N
YN_50000SQM_R07_C07,7,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R07_C08,7,8,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R08_C01,8,1,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R08_C02,8,2,0.3629124,18145.62,50000.0,36,0,N
YN_50000SQM_R08_C03,8,3,0.107655,5382.75,50000.0,30,0,N
YN_50000SQM_R08_C04,8,4,0.010856,542.8,50000.0,5,0,N
YN_50000SQM_R08_C05,8,5,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R08_C06,8,6,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R08_C07,8,7,0.0,0.0,50000.0,0,0,Y
YN_50000SQM_R08_C08,8,8,0.0,0.0,50000.0,0,0,Y
