인덱스,보정_X,보정_Y,반경_50m_건물수,주택_수,상업_수,숙박_수,사무_수,기타_수,밀집도,주요_시설군,집중도(%)
0.0,198630.79627087922,552035.4126469055,13,0,2,0,1,10,13개,기타,76.9
1.0,198586.8652386699,552307.0714757699,8,0,4,0,0,4,8개,상업,50.0
2.0,198498.91863291207,552473.4037499999,14,0,10,0,1,3,14개,상업,71.4
3.0,199636.41086315393,552376.6679740263,3,0,0,0,0,3,3개,기타,100.0
4.0,201365.39626367114,552247.7338981959,3,0,0,1,0,2,3개,기타,66.7
5.0,198988.9836462216,552223.0972210659,21,1,13,2,1,4,21개,상업,61.9
6.0,200280.21893959673,552611.5759365377,7,0,4,0,0,3,7개,상업,57.1
7.0,197769.2537231727,552117.7398848702,5,0,0,0,0,5,5개,기타,100.0
8.0,199893.409361955,552037.9379629096,37,7,22,0,1,7,37개,상업,59.5
9.0,199177.06429675664,552360.6268234181,31,2,19,2,0,8,31개,상업,61.3
10.0,200833.12138128167,552040.3239096423,6,0,0,0,0,6,6개,기타,100.0
11.0,199243.96095949816,552293.899531079,11,1,8,1,1,0,11개,상업,72.7
12.0,198568.7779223695,551891.2996229794,4,0,0,0,2,2,4개,사무,50.0
13.0,201801.30013730587,552526.9513245515,9,1,2,0,0,6,9개,기타,66.7
14.0,197912.5694321283,550501.8263390432,14,2,4,0,0,8,14개,기타,57.1
15.0,201161.56956579944,552070.7311822909,5,0,1,0,0,4,5개,기타,80.0
16.0,198527.2010799602,551901.1550598735,3,0,0,0,1,2,3개,기타,66.7
17.0,198549.37739769503,551960.972726138,15,0,5,0,3,7,15개,기타,46.7
18.0,200401.72293956898,552062.9568302049,12,0,0,0,0,12,12개,기타,100.0
19.0,201192.31984822478,552214.3525444112,6,2,4,0,0,0,6개,상업,66.7
20.0,200328.85058794063,551973.845648665,5,0,0,0,0,5,5개,기타,100.0
21.0,200297.41136398888,552567.9679397504,8,0,6,0,0,2,8개,상업,75.0
22.0,198906.52558246476,552222.2605370608,16,0,12,0,0,4,16개,상업,75.0
23.0,201689.36029146623,552306.0100812571,48,8,24,0,0,16,48개,상업,50.0
24.0,201057.43107016655,552245.9446390521,3,1,1,0,0,1,3개,주택,33.3
25.0,198819.5742696315,551942.9790719448,1,0,0,0,1,0,1개,사무,100.0
26.0,198656.93362390113,551906.8502930223,3,0,0,0,2,1,3개,사무,66.7
27.0,200902.80723224266,552137.5843467464,2,0,1,0,0,1,2개,상업,50.0
28.0,199157.90320770355,552735.594736647,66,7,40,1,1,17,66개,상업,60.6
29.0,200613.28166375207,552191.0166809219,2,0,1,0,0,1,2개,상업,50.0
30.0,198912.88206470537,552284.288999581,7,0,6,0,1,0,7개,상업,85.7
31.0,199969.99969961532,552226.5493232541,17,0,16,0,1,0,17개,상업,94.1
32.0,198786.90172332362,551865.4942417177,2,0,0,0,1,1,2개,사무,50.0
33.0,198984.60487528364,551902.0228161257,21,3,16,1,1,0,21개,상업,76.2
34.0,198743.1895276212,551823.2355717733,2,0,0,0,0,2,2개,기타,100.0
35.0,198469.8545194891,552315.7462092468,0,0,0,0,0,0,0개,없음,0.0
36.0,201770.68798191342,552337.6907489251,10,6,4,0,0,0,10개,주택,60.0
37.0,199094.42697408606,552705.663555768,76,1,47,0,0,28,76개,상업,61.8
38.0,200179.81452861117,552151.358602176,19,2,12,0,0,5,19개,상업,63.2
39.0,199221.509430179,551851.540972503,24,1,20,0,0,3,24개,상업,83.3
