사각지대_위험순위,구,동,숙소명,업종,주변건물수_검증상태,주변건물수_보정출처,사각지대_위험도점수,고립위험_정규화,밀집사각지대_정규화,도로폭위험도_정규화,구조노후도_정규화,단속위험도_정규화,주변건물수,집중도,도로폭위험도,구조노후도,단속위험도,위험점수_AHP
1,성동구,성동,복래여관,숙박업,원본유지,,77.73639768905535,0.972972972972973,0.7684426229508197,1.0,0.8821111111111112,0.005454967287882062,4,25.0,1.0,0.8939,0.0361050046421162,64.58
2,마포구,노고산동,1965 신촌인,숙박업,원본유지,,76.03156160380216,0.9369369369369369,0.7684426229508197,0.85,0.8695555555555556,0.13843886791064172,8,25.0,0.85,0.8826,0.9162907318741552,39.47
3,중구,남학동,진포레스트인(JIN FOREST Inn),숙박업,통계추정,구+동 중앙값,75.83732840690078,0.9369369369369369,0.8965163934426229,0.7,0.8695555555555556,0.10472496079481362,8,12.5,0.7,0.8826,0.6931471805599453,20.95
4,중구,신당동,세화장여관,숙박업,원본유지,,74.86299732155942,0.990990990990991,0.5122950819672131,1.0,0.8895555555555554,0.10593851094647648,2,50.0,1.0,0.9006,0.7011793522572095,50.54
5,용산구,청파동,서울46,외국인관광도시민박업,원본유지,,74.66851060316044,0.8828828828828829,0.5850409836065573,0.85,0.8945555555555555,0.393230446453005,14,42.9,0.85,0.9051,2.602689685444384,68.14
6,중구,명동,무드온 명동,관광숙박업,원본유지,,74.62126436509482,0.9459459459459459,0.8780737704918032,1.0,0.4222222222222222,0.17455650092115366,7,14.3,1.0,0.48,1.155343917473199,37.93
7,종로구,명륜4가,호텔 달스테어(Hotel DALSTAIR),숙박업,원본유지,,74.23676973750808,0.9819819819819819,0.6834016393442623,0.18,0.852,0.714624505416898,3,33.3,0.18,0.8668,4.729913072579535,40.03
8,용산구,한강로3가,이촌 야드,외국인관광도시민박업,원본유지,,74.00456586534567,0.9369369369369369,0.8965163934426229,0.7,0.8217777777777778,0.030318569135583902,8,12.5,0.7,0.8396,0.2006706954621511,85.13
9,성동구,성동,이안스테이,외국인관광도시민박업,원본유지,,73.7038048148817,0.8918918918918919,0.8668032786885246,1.0,0.3516666666666667,0.3251015349930008,13,15.4,1.0,0.4165,2.151762203259462,46.69
10,용산구,서계동,휴스테이,외국인관광도시민박업,원본유지,,73.31064217755372,0.9459459459459459,0.8780737704918032,1.0,0.32433333333333336,0.18507057730730286,7,14.3,1.0,0.3919,1.2249338447258826,29.69
