path,count_cols,concentration_cols,name_cols,coord_cols,n_cols
0424\data\data_with_fire_targets.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,47
0424\data\facility_expected_property_damage_two_stage.csv,주변건물수,집중도,,위도|경도,16
0424\data\lisa_result.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,50
0424\data\lodging_nearest5_property_damage.csv,주변건물수,집중도,숙소명,위도|경도,26
0424\data\lodging_nearest5_property_damage_all_years.csv,주변건물수,집중도,숙소명,위도|경도,31
0424\data\lodging_property_damage_knn_median_target_predict_unmatched.csv,주변건물수,집중도,숙소명,위도|경도,42
0424\data\lodging_property_damage_knn_train_matched_predict_unmatched.csv,주변건물수,집중도,숙소명,위도|경도,41
0424\data\lodging_property_damage_train_matched_predict_unmatched.csv,주변건물수,집중도,숙소명,위도|경도,42
0424\data\ols_residuals.csv,주변건물수,집중도,,위도|경도,20
0424\data\분석변수_최종테이블0423.csv,주변건물수,집중도,숙소명,위도|경도,15
0424\data\핵심서울0424.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,45
0424\gwr_results.csv,coef_주변건물수|tval_주변건물수,coef_집중도|tval_집중도,,위도|경도,15
0424\gwr_results_v2_gaussian.csv,coef_주변건물수|tval_주변건물수,coef_집중도|tval_집중도,,위도|경도,15
0424\분석\tables\AHP_3등급_최우수모델_예측결과.csv,주변건물수,집중도,,위도|경도,20
0424\분석\tables\lodging_targets_injury_fire_top3.csv,주변건물수,집중도,숙소명,위도|경도,39
0424\분석\tables\lodging_targets_property_damage_50m.csv,주변건물수,집중도,숙소명,위도|경도,26
0424\분석\tables\분석변수_최종테이블0423_AHP3등급비교.csv,주변건물수,집중도,숙소명,위도|x_5181|경도|y_5181,22
0424\분석\tables\분석변수_최종테이블0423_건물특성_probe.csv,주변건물수,집중도,숙소명|업소명,위도|X좌표|경도|Y좌표,45
0426\gwr_results.csv,coef_주변건물수|tval_주변건물수,coef_집중도|tval_집중도,,위도|경도,16
0427\data\clustering_result_A_기존숙박군.csv,주변건물수,집중도,숙소명,위도|x_5181|경도|y_5181,23
0427\data\clustering_result_B_외국인민박.csv,주변건물수,집중도,숙소명,위도|x_5181|경도|y_5181,23
0427\data\clustering_result_all.csv,주변건물수,집중도,숙소명,위도|x_5181|경도|y_5181,23
data\0421기준안쓰는파일들\법정동별_사용승인구간_0415.csv,전체건물수|10년미만건물수|10년이상건물수|30년이상건물수|50년이상건물수,,,,10
data\0421기준안쓰는파일들\법정동별_숙박밀집도.csv,전체건물수,,,,9
data\0421기준안쓰는파일들\분석변수_테이블_주변노후도_50m100m.csv,반경_50m_건물수|주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,집중도(%),,위도|경도,44
data\0421기준안쓰는파일들\분석변수_테이블_주변노후도_50m100m_사용승인일기준_전체행.csv,반경_50m_건물수|주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,집중도(%),,위도|경도,44
data\0421기준안쓰는파일들\분석변수_테이블_주변노후도_50m100m_사용승인일유효.csv,반경_50m_건물수|주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,집중도(%),,위도|경도,44
data\0421기준안쓰는파일들\분석변수_테이블_주변노후도_50m100m_연면적유효.csv,반경_50m_건물수|주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,집중도(%),,위도|경도,44
data\0421기준안쓰는파일들\서울10개구_행정동별_평균사용승인연도_건물나이_0415.csv,건물수,,,,10
data\0421기준안쓰는파일들\자치구_법정동별_사용승인연한구간_0415.csv,전체건물수|10년이상건물수|30년이상건물수|50년이상건물수,,,,9
data\0421기준안쓰는파일들\주변노후건물_50m100m_상관행렬.csv,주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,,,,33
data\0421기준안쓰는파일들\집계구별_건물수.csv,전체건물수,,,,2
data\0421기준안쓰는파일들\통합숙박시설최종안0415_주변노후도_50m100m.csv,주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,,사업장명,X좌표|Y좌표,69
data\0421기준안쓰는파일들\통합숙박시설최종안0415_주변노후도_50m100m_사용승인일유효.csv,주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,,사업장명,X좌표|Y좌표,69
data\0421기준안쓰는파일들\통합숙박시설최종안0415_주변노후도_50m100m_연면적유효.csv,주변건물수_50m|주변_사용승인일유효건물수_50m|주변_노후건물수_30년이상_50m|주변_초노후건물수_50년이상_50m|주변건물수_100m|주변_사용승인일유효건물수_100m|주변_노후건물수_30년이상_100m|주변_초노후건물수_50년이상_100m,,사업장명,X좌표|Y좌표,69
data\AL_D010_11_20260409\연남동_500m_그리드_건물수.csv,건물수,,,,15
