업종별_군집,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위험점수_AHP,시설수,업종,선택_K,silhouette
0,0.2381,7.0091,90.5477,0.5547,0.133,0.2528,33.0318,110,관광숙박업,6,0.22310248693411544
1,0.5494,12.9479,83.6844,0.8611,0.1285,0.7235,57.643,96,관광숙박업,6,0.22310248693411544
2,0.2671,12.7193,58.4754,2.6947,0.1424,0.4756,36.9981,57,관광숙박업,6,0.22310248693411544
3,0.2124,12.3421,76.0289,1.3053,0.4816,0.5074,42.0445,38,관광숙박업,6,0.22310248693411544
4,0.2976,8.2069,38.8944,0.6884,0.1371,0.4475,34.9652,116,관광숙박업,6,0.22310248693411544
5,0.2175,33.9459,77.6189,1.0207,0.1425,0.8384,36.1568,111,관광숙박업,6,0.22310248693411544
0,0.1899,27.0123,74.4426,0.8612,0.2251,0.8629,37.952,326,숙박업,4,0.18807432459045745
1,0.2502,9.1393,68.2191,0.6281,0.2086,0.2171,38.5904,359,숙박업,4,0.18807432459045745
2,0.5109,12.6755,85.8063,0.8572,0.1967,0.7151,61.3742,151,숙박업,4,0.18807432459045745
3,0.2192,14.2109,61.4888,1.815,0.5778,0.5454,45.5093,147,숙박업,4,0.18807432459045745
0,0.3588,9.1502,71.0353,0.7208,0.2864,0.3279,44.6729,1145,외국인관광도시민박업,2,0.18089779848511545
1,0.3433,24.7358,85.1764,0.9126,0.3295,0.8795,49.1854,1590,외국인관광도시민박업,2,0.18089779848511545
