최종위험순위,AHP위험순위,사각지대_위험순위,기대피해액순위,구,동,숙소명,업종,업종별_군집명,위험점수_AHP,사각지대_위험도점수,주변건물수_검증상태,주변건물수_보정출처,기대피해액_백만원,예상_화재발생확률,조건부_예상피해액_백만원,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
1,1,3041,245,강남구,신사동,짝호텔,숙박업,숙박업 군집 2,100.0,44.163702145635874,원본유지,,0.111873166556912,0.612732532625705,0.182580751959601,0.7798,14,100.0,2.982610251535188,0.1752,0.35,37.51455044,127.01883228
2,2,3060,3731,송파구,방이동,라 트리 호텔(La TREE HOTEL),숙박업,숙박업 군집 2,97.46,44.03739668405099,원본유지,,0.0241027440975913,0.1426363821595613,0.1689803382045162,0.7818,28,100.0,1.7440716384423396,0.1509,0.85,37.5133466,127.11295612
3,3,2591,216,강남구,신사동,어바웃스테이 신사점,관광숙박업,관광숙박업 군집 1,97.33,46.446475245414206,원본유지,,0.1142476234000344,0.6083742425203287,0.1877916838272732,0.7779,12,91.7,3.003785567140398,0.1694,0.35,37.51443018,127.01905593
4,4,4045,1162,종로구,행촌동,잔잔스테이,외국인관광도시민박업,외국인관광도시민박업 군집 1,97.04,36.678651100077595,원본유지,,0.0849730025329614,0.8312677779206625,0.1022209747447608,0.5991,68,86.8,2.4849066497880004,0.8961,0.08,37.57102423,126.96280533
5,5,3105,3802,송파구,방이동,초이스모텔,숙박업,숙박업 군집 2,96.9,43.7687973974766,원본유지,,0.0217371308819592,0.1284625066628388,0.1692099231646648,0.7759,27,100.0,1.4555323006144405,0.1551,0.85,37.51309635,127.11280051
6,6,3043,3993,송파구,방이동,아 파트 아파트(a part apart),외국인관광도시민박업,외국인관광도시민박업 군집 1,94.3,44.158946025813556,원본유지,,0.0105079976490959,0.061919748761503,0.1697034929771719,0.7932,28,100.0,0.9424170364663752,0.1322,1.0,37.51082338,127.11434129
7,7,2548,3848,송파구,방이동,하이브,숙박업,숙박업 군집 2,94.02,46.686657691785896,원본유지,,0.0191803977834253,0.1084700170842156,0.1768267240940298,0.7837,21,95.2,1.4742244336265928,0.1551,0.85,37.51313185,127.11314646
8,8,4060,128,송파구,문정동,정스테이서울,외국인관광도시민박업,외국인관광도시민박업 군집 0,92.12,36.45682450163091,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.124292028424073,0.4808009988129012,0.2585103373972814,0.8006,1,100.0,0.0574320490858754,0.1436,0.04,37.47791622,127.126368
9,9,3220,3990,마포구,연남동,CARRIE'S HOME,외국인관광도시민박업,외국인관광도시민박업 군집 1,92.0,43.13332252446072,원본유지,,0.0108436171251564,0.0850662784952197,0.1274725698240787,0.6729,44,97.7,0.1318907031670627,0.4553,1.0,37.56141201,126.92515067
10,10,3656,3920,송파구,방이동,호텔 동그라미,숙박업,숙박업 군집 2,91.89,40.51577383842765,원본유지,,0.0162574952155183,0.0963974918549113,0.1686506038973259,0.7577,28,100.0,0.2747309201047029,0.1394,0.85,37.51323747,127.11206871
