년도,구,갯수
2021,마포구,73
2021,용산구,30
2021,종로구,9
2021,중구,9
2021,송파구,1
2021,성동구,1
2021,강서구,1
2021,강남구,0
2021,영등포구,1
2021,서초구,4
2022,마포구,91
2022,용산구,29
2022,종로구,9
2022,중구,14
2022,송파구,7
2022,성동구,0
2022,강서구,2
2022,강남구,2
2022,영등포구,2
2022,서초구,1
2023,마포구,210
2023,용산구,103
2023,종로구,21
2023,중구,41
2023,송파구,26
2023,성동구,7
2023,강서구,13
2023,강남구,17
2023,영등포구,6
2023,서초구,8
2024,마포구,495
2024,용산구,57
2024,종로구,122
2024,중구,75
2024,송파구,48
2024,성동구,80
2024,강서구,53
2024,강남구,28
2024,영등포구,27
2024,서초구,6
2025,마포구,459
2025,용산구,122
2025,종로구,168
2025,중구,67
2025,송파구,103
2025,성동구,58
2025,강서구,66
2025,강남구,80
2025,영등포구,22
2025,서초구,18
