feature,cluster,cluster_label,bandwidth,dong_count,sample_count
구조노후도,0,중위험군,43.0,161,1465
구조노후도,1,저위험군,336.0,160,1326
구조노후도,2,고위험군,582.0,134,1455
단속위험도,0,중위험군,73.0,161,1465
단속위험도,1,저위험군,1324.0,160,1326
단속위험도,2,고위험군,1454.0,134,1455
도로폭위험도,0,중위험군,327.0,161,1465
도로폭위험도,1,저위험군,223.0,160,1326
도로폭위험도,2,고위험군,322.0,134,1455
최근접_소화용수_거리등급,0,중위험군,1170.0,161,1465
최근접_소화용수_거리등급,1,저위험군,167.0,160,1326
최근접_소화용수_거리등급,2,고위험군,153.0,134,1455
소방위험도_점수,0,중위험군,95.0,161,1465
소방위험도_점수,1,저위험군,223.0,160,1326
소방위험도_점수,2,고위험군,1454.0,134,1455
집중도,0,중위험군,1464.0,161,1465
집중도,1,저위험군,1310.0,160,1326
집중도,2,고위험군,1454.0,134,1455
