구,동,cluster,cluster_label,facility_count
강남구,개포동,0,중위험군,2
강남구,논현동,0,중위험군,45
강남구,대치동,0,중위험군,21
강남구,도곡동,0,중위험군,1
강남구,삼성동,1,저위험군,25
강남구,신사동,1,저위험군,21
강남구,역삼동,0,중위험군,76
강남구,일원동,1,저위험군,4
강남구,청담동,0,중위험군,8
강서구,가양동,0,중위험군,1
강서구,개화동,2,고위험군,3
강서구,공항동,1,저위험군,23
강서구,내발산동,0,중위험군,6
강서구,등촌동,1,저위험군,9
강서구,마곡동,1,저위험군,6
강서구,방화동,0,중위험군,11
강서구,염창동,1,저위험군,9
강서구,외발산동,0,중위험군,4
강서구,화곡동,0,중위험군,56
마포구,공덕동,2,고위험군,17
마포구,구수동,0,중위험군,1
마포구,노고산동,0,중위험군,30
마포구,당인동,1,저위험군,12
마포구,대흥동,2,고위험군,17
마포구,도화동,2,고위험군,23
마포구,동교동,2,고위험군,66
마포구,마포동,0,중위험군,1
마포구,망원동,2,고위험군,45
마포구,상수동,1,저위험군,16
마포구,상암동,1,저위험군,15
마포구,서교동,2,고위험군,106
마포구,성산동,2,고위험군,30
마포구,신공덕동,0,중위험군,2
마포구,신수동,2,고위험군,6
마포구,아현동,2,고위험군,4
마포구,연남동,2,고위험군,129
마포구,염리동,2,고위험군,17
마포구,용강동,1,저위험군,4
마포구,중동,1,저위험군,3
마포구,창전동,2,고위험군,17
마포구,합정동,1,저위험군,36
서초구,반포동,1,저위험군,12
서초구,방배동,0,중위험군,11
서초구,서초동,1,저위험군,23
서초구,신원동,0,중위험군,1
서초구,양재동,0,중위험군,4
서초구,우면동,1,저위험군,2
서초구,잠원동,1,저위험군,4
성동구,도선동,0,중위험군,19
성동구,마장동,1,저위험군,3
성동구,사근동,1,저위험군,1
성동구,성동,2,고위험군,48
성동구,송정동,1,저위험군,6
성동구,옥수동,0,중위험군,1
성동구,용답동,2,고위험군,5
성동구,응봉동,2,고위험군,2
성동구,하왕십리동,2,고위험군,15
성동구,행당동,2,고위험군,10
성동구,홍익동,2,고위험군,3
송파구,가락동,1,저위험군,8
송파구,거여동,0,중위험군,3
송파구,마천동,2,고위험군,2
송파구,문정동,1,저위험군,9
송파구,방이동,0,중위험군,41
송파구,삼전동,0,중위험군,19
송파구,석촌동,0,중위험군,28
송파구,송파동,0,중위험군,21
송파구,신천동,1,저위험군,3
송파구,오금동,1,저위험군,3
송파구,잠실동,0,중위험군,35
송파구,풍납동,0,중위험군,4
영등포구,(당산동,1,저위험군,22
영등포구,(문래동,1,저위험군,3
영등포구,(양평동,1,저위험군,15
영등포구,(영등포동,0,중위험군,39
영등포구,당산동,0,중위험군,1
영등포구,대림동,1,저위험군,10
영등포구,도림동,0,중위험군,3
영등포구,선유동,1,저위험군,3
영등포구,신길동,2,고위험군,36
영등포구,여의도동,1,저위험군,10
영등포구,영등포동,2,고위험군,3
용산구,(용산동,2,고위험군,20
용산구,(청파동,2,고위험군,17
용산구,갈월동,2,고위험군,10
용산구,관철동,1,저위험군,1
용산구,남영동,1,저위험군,5
용산구,동빙고동,1,저위험군,4
용산구,동자동,2,고위험군,19
용산구,문배동,0,중위험군,1
용산구,보광동,2,고위험군,10
용산구,산천동,2,고위험군,1
용산구,서계동,2,고위험군,55
용산구,서빙고동,0,중위험군,1
용산구,신창동,1,저위험군,1
용산구,용문동,0,중위험군,3
용산구,용산동2가,2,고위험군,2
용산구,원효로1가,2,고위험군,3
용산구,원효로2가,1,저위험군,3
용산구,원효로3가,1,저위험군,3
용산구,원효로4가,0,중위험군,1
용산구,이촌동,0,중위험군,3
용산구,이태원동,1,저위험군,55
용산구,한강로1가,2,고위험군,5
용산구,한강로2가,1,저위험군,1
용산구,한강로3가,1,저위험군,8
용산구,한남동,2,고위험군,13
용산구,효창동,0,중위험군,2
용산구,후암동,2,고위험군,32
종로구,견지동,1,저위험군,1
종로구,계동,0,중위험군,4
종로구,관수동,1,저위험군,9
종로구,관철동,1,저위험군,17
종로구,관훈동,1,저위험군,9
종로구,교북동,1,저위험군,1
종로구,구기동,0,중위험군,2
종로구,권농동,0,중위험군,3
종로구,낙원동,1,저위험군,21
종로구,내수동,1,저위험군,2
종로구,누상동,0,중위험군,5
종로구,누하동,2,고위험군,6
종로구,당주동,0,중위험군,1
종로구,돈의동,0,중위험군,3
