구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,local_R2,residual,coef_intercept,tval_intercept,bw_intercept,coef_구조노후도,tval_구조노후도,bw_구조노후도,coef_단속위험도,tval_단속위험도,bw_단속위험도,coef_도로폭위험도,tval_도로폭위험도,bw_도로폭위험도,coef_최근접_소화용수_거리등급,tval_최근접_소화용수_거리등급,bw_최근접_소화용수_거리등급,coef_소방위험도_점수,tval_소방위험도_점수,bw_소방위험도_점수,coef_집중도,tval_집중도,bw_집중도,z_구조노후도,contrib_구조노후도,z_단속위험도,contrib_단속위험도,z_도로폭위험도,contrib_도로폭위험도,z_최근접_소화용수_거리등급,contrib_최근접_소화용수_거리등급,z_소방위험도_점수,contrib_소방위험도_점수,z_집중도,contrib_집중도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,,0.11686823987774275,31.425398618188737,165.98223666616994,43.0,2.101585097267117,18.460165827008918,43.0,2.0344339818743613,20.812341185350704,73.0,2.1329896624969757,33.99045199169668,327.0,4.486211583273089,173.433056678467,1170.0,1.4929033193925134,6.430319093134523,95.0,1.4131417951435399,58.46582111932276,1464.0,1.8527140246479161,3.8936361836978426,-0.23319380424237143,-0.47441739971323804,-1.9364797374399687,-4.130491261594311,-1.3358457647529545,-5.9928867433010025,0.17143933784541937,0.25594235654388114,-1.544864613871178,-2.183112753699648
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,,0.4452719924296389,31.164100991462092,104.61802541242098,43.0,2.0623667213601538,17.152527740252125,43.0,2.0465241669190513,21.408518719243975,73.0,2.1406637191115405,34.574986981613414,327.0,4.487365079787995,171.73604041939697,1170.0,1.4779937028930465,5.856528544247613,95.0,1.4131018862891636,58.46877492672646,1464.0,-1.0849906764987711,-2.237648664197106,1.171306522775322,2.3971071057296167,0.011746987076150088,0.02514634904278665,-1.3358457647529545,-5.9944276367350975,-0.8861059841859545,-1.3096590647226862,0.019710593596261,0.027853076990755527
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,,0.3245175380623522,31.505587652932462,210.37316225534275,43.0,1.6163409904208785,16.023406010084944,43.0,1.8984758182468533,15.416345640510503,73.0,2.15528836530616,39.41108928047032,327.0,4.491651117168302,169.9780195234187,1170.0,1.346506190593019,6.080351862529493,95.0,1.4127227793012487,58.881098402991235,1464.0,1.746165149476793,2.822398307143741,-0.23319380424237143,-0.4427127983191326,-0.9623663751819097,-2.074177051591433,-0.007255102592005115,-0.03258738966255042,-0.146575931218143,-0.19736539877716608,0.37654353565023835,0.5319516302117235
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,,-0.3271365950055447,30.998321965021034,190.52480223260463,43.0,1.953421834007328,14.644802444748045,43.0,1.9739584662982357,16.846856325146494,73.0,2.1820430742449712,41.16120537149496,327.0,4.500394887720844,163.54720263916235,1170.0,1.7456882478966573,8.697367989526645,95.0,1.4118763035877882,59.58726251025847,1464.0,0.27350748193305235,0.5342754869723892,-0.2110000940912878,-0.4165054221212219,0.011746987076150088,0.025632431792758485,-1.3358457647529545,-6.011833450477738,-0.31946059567269774,-0.5576786075318942,-0.9989407110706486,-1.410380718649784
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,,-0.3285693525517779,31.45302289578806,170.09941860990588,43.0,1.943888807405589,16.187980148718292,43.0,1.9445397221951146,21.447648101128642,73.0,2.23317080555526,39.15905242099212,327.0,4.481581347317558,174.97304678155137,1170.0,1.8489417093544263,9.359327777366307,95.0,1.4128830742763812,58.87797071145643,1464.0,-0.8148131716005651,-1.583906204400988,-0.23319380424237143,-0.4534546153190829,-1.9364797374399687,-4.3244900152002534,-1.3358457647529545,-5.986701462209999,-0.42122548177303776,-0.7788213622930822,-0.7061547073340518,-0.9977140338128734
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,,-0.7456110938021503,31.459144428160368,176.71764509155767,43.0,2.1006682100600456,17.490251030021803,43.0,2.064326057841104,21.779064114338425,73.0,2.131681348462492,33.91099282376416,327.0,4.485884787421776,173.7428179759269,1170.0,1.4759881479232897,6.690953487796568,95.0,1.4131541377999044,58.45725996825203,1464.0,1.4759876445785873,3.100560323407644,0.5157323298407509,1.0646396873613653,-1.9364797374399687,-4.127957737976325,-1.3358457647529545,-5.992450194447088,0.47499936740609255,0.7010934365624528,-0.9989407110706486,-1.4116571992662659
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,,0.1965479878851255,30.718738251038612,215.85148061633237,43.0,1.7721581103053214,15.321557100593475,43.0,1.8826736878171717,14.832155397409647,73.0,2.1651315238457536,43.097605837691574,327.0,4.4937902752802374,169.84750172015825,1170.0,1.7334220010794232,11.420937356720774,95.0,1.4126465008787004,58.90172882755409,1464.0,0.27350748193305235,0.4846985023368449,-0.09333735630955393,-0.17572378481441325,0.9858603493342099,2.1345173204530847,1.3213355595689442,5.937804887972892,0.0644705655240392,0.11175469670140209,0.2728484926601935,0.38543846842645013
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,,0.27136125284445356,31.123255816421004,185.8537866447212,43.0,1.8782123530343156,13.984640971684952,43.0,1.9517054853417526,17.060713748178756,73.0,2.180488093816484,40.90661615057887,327.0,4.500234533215073,164.396858751968,1170.0,1.7480911240958217,8.64044409619341,95.0,1.4118736156221272,59.614188886509226,1464.0,-1.3437522304857852,-2.5238520387158165,0.32960844103446113,0.6432986023819014,-0.9623663751819097,-2.0984284229734813,-1.3358457647529545,-6.011619241590344,-0.16392221862161005,-0.28655097541453134,0.019710593596261,0.027828867046811367
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,,-0.46082606749955346,31.111811223556046,91.10612181811969,43.0,1.625528358154199,15.823339058523995,43.0,2.076269210165772,21.190377061798074,73.0,2.150079941804671,34.46225355025506,327.0,4.488695390073304,171.82582546032936,1170.0,1.5956057209821133,5.906079387280151,95.0,1.4131529819665722,58.3480958988936,1464.0,-0.5408303497319622,-0.8791350704397578,1.7903798811848184,3.717310621804291,0.011746987076150088,0.025256961289069003,-0.007255102592005115,-0.03256594555924224,-0.945661570937858,-1.5089030127013787,0.15695403284779072,0.22180005955053478
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,,-0.17271473130806214,31.32153971803529,145.54654926288595,43.0,2.06947378899742,19.82464777834394,43.0,2.0524165694884573,20.844115438592834,73.0,2.1409888513981317,35.318802273003094,327.0,4.486818790188436,171.21908004093996,1170.0,1.3287941143479478,5.741954760887557,95.0,1.4130699712583823,58.517388161356855,1464.0,-1.301893743811415,-2.694234978877446,-0.07311223990793646,-0.15005677261946404,-1.9364797374399687,-4.145981528817354,-1.3358457647529545,-5.993697878087198,-0.30269251784934653,-0.4022160361753728,0.7455758945265737,1.0535509078496081
