구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_구조노후도,bw_intercept,bw_구조노후도
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,3.6509717121015655,40.61913983744114,3.9886606910197537,43.0,435.0
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,6.5394135094465256,37.03585874322483,4.061879982168867,43.0,435.0
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,4.8962260787994865,38.61819516181539,4.246019506775606,43.0,435.0
종로구,낙원동,하프레스트 호스텔,2,고위험군,37.56953983,126.9876225,198906.5254,452222.2607,27.46548794,-10.479433982390407,36.52227224445149,4.00096954023383,43.0,435.0
종로구,관철동,스테이 마루 종로,2,고위험군,37.56669767,126.9847978,198656.9335,451906.8508,41.77586694,6.4066885073590285,35.98078814961028,3.999369729805589,43.0,435.0
종로구,숭인동,루나하우스,2,고위험군,37.57353634,127.0219178,201936.189,452665.9807,35.49600889,-0.12132785493649578,36.52192022189482,4.205861410434705,43.0,435.0
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,-3.634429011583336,41.4700265410109,4.2677183185792895,43.0,435.0
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,4.481324905721387,39.07745667418129,4.270467523192831,43.0,435.0
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,-0.3047484392960129,37.36317112512369,4.182840623153511,43.0,435.0
중구,황학동,SINDANG GRAND JOY 호스텔,2,고위험군,37.56332856,127.018601,201643.4107,451532.9731,53.20401401,2.3974448225906,38.18239953624643,4.262541965875643,43.0,435.0
중구,충무로3가,MOREN SEOUL MYEONGDONG,2,고위험군,37.55945274,126.9901255,199127.5348,451102.686,38.45181873,-0.32646568630403294,38.89715518705513,4.152567203708156,43.0,435.0
중구,(인현동,이랑 스테이,2,고위험군,37.5614873,126.9924598,199333.8016,451328.479,37.18727609,0.08481986820154219,38.04688099434636,4.146042973941576,43.0,435.0
중구,을지로6가,하이 동대문 호스텔,2,고위험군,37.5646535,127.0066663,200588.9601,451679.8841,47.47456513,5.095009473672015,42.81910738758789,4.2765229141347305,43.0,435.0
중구,명동,하이 서울 호스텔,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.53618313,-7.871723591333904,38.625413371509,4.265910055441978,43.0,435.0
중구,충무로2가,올스테이인,2,고위험군,37.55898959,126.9891113,199037.9163,451051.2918,35.16750905,-4.5345452265351085,39.821183011032325,4.16157876967286,43.0,435.0
중구,을지로3가,아르보 스테이,2,고위험군,37.56344317,126.9931766,199397.1478,451545.5527,34.04461661,-8.444061163942266,37.11220173557696,4.149795998027662,43.0,435.0
중구,(남산동,올리브 호스텔,2,고위험군,37.55561712,126.9843204,198614.5499,450677.0475,45.54906612,4.207329708195395,43.489596316976936,4.286207307131274,43.0,435.0
