구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.1851,0.6931471805599453,0.55,15.4,13,1965,9,893.0,기존숙박군,37.56785597,126.98450169,305.8,50.3
0.1308,0.7304542329727559,0.08,50.0,8,2003,10,2071.0,기존숙박군,37.57030354,126.9840039,104.4,21.0
0.1079,0.4895482253187058,0.12,71.4,14,2019,17,22135.0,기존숙박군,37.57180204,126.98300804,10899.8,46.6
0.4289,0.0652912498144373,0.08,0.0,3,1985,4,367.96,외국인관광도시민박업,37.57093161,126.99588429,155.4,4.9
0.1408,1.8643198527313989,0.18,0.0,3,1996,6,130.0,기존숙박군,37.56976898,127.01545561,312.0,64.5
0.1079,1.7926362777015894,0.85,66.7,21,2019,19,5971.0,기존숙박군,37.56954746,126.98855583,178.4,14.3
0.1079,0.058188157683169,0.04,57.1,7,2019,15,1844.0,기존숙박군,37.57304815,127.00317208,6061.6,43.6
0.4676,0.035612071788877,0.55,0.0,5,1963,5,162.0,기존숙박군,37.56859605,126.97474946,447.0,104.5
0.1823,0.6931471805599453,0.7,78.4,37,1967,5,151.0,기존숙박군,37.56787973,126.99879348,27302.6,24.7
0.4641,0.698324068739479,1.0,67.7,31,1965,6,291.0,기존숙박군,37.57078678,126.99068465,228.4,1.6
0.1465,0.2810012094609484,0.18,0.0,6,1992,6,152.0,기존숙박군,37.56790086,127.00943028,501.2,16.4
0.1251,0.3761947258080512,0.08,81.8,11,2007,5,285.0,기존숙박군,37.57018563,126.99144197,197.4,48.9
0.1937,0.6931471805599453,0.12,0.0,4,1959,5,435.0,기존숙박군,37.56655742,126.98379997,439.0,23.3
0.1436,0.7105211484959985,0.85,33.3,9,1994,5,152.0,기존숙박군,37.57228397,127.02039051,98790.2,22.6
0.115,0.6931471805599453,0.55,42.9,14,2014,5,488.0,기존숙박군,37.55403706,126.97637629,406.4,51.6
0.1509,2.290649742444773,0.25,20.0,5,1989,5,261.0,기존숙박군,37.56817447,127.01314811,1655.4,78.2
0.1708,1.0608719606852626,0.08,0.0,3,1975,7,104.0,기존숙박군,37.56664615,126.98332934,418.8,24.3
0.1752,1.2794312155775294,0.55,33.3,15,1972,8,104.0,기존숙박군,37.56718514,126.98358024,474.0,45.0
0.1823,0.0130720815673527,0.08,0.0,12,1967,7,91.0,기존숙박군,37.56810507,127.0045472,980.0,108.4
0.4747,1.8129221675840912,0.25,100.0,6,1959,2,226.0,기존숙박군,37.56946846,127.01349641,160.0,19.3
0.1708,0.0575238441381866,0.08,0.0,5,1975,5,64.0,기존숙박군,37.56730221,127.0037223,655.4,85.0
0.1436,0.8026314134016336,1.0,75.0,8,1994,6,299.0,기존숙박군,37.57265524,127.00336668,4317.0,90.2
0.5361,1.5746285077682394,0.08,75.0,16,2000,7,554.0,기존숙박군,37.56953983,126.98762245,39.8,19.7
0.1011,1.1337273076890122,0.7,66.7,48,2024,5,596.0,기존숙박군,37.57029351,127.01912285,8200.6,21.2
0.1036,1.6502405363066972,0.18,66.7,3,2022,8,963.0,기존숙박군,37.56975326,127.01196959,686.2,35.1
0.1794,1.652923024373839,0.55,0.0,1,1969,7,183.0,기존숙박군,37.56702341,126.98663866,12439.0,69.2
0.4641,0.3677247801253173,0.55,0.0,3,1965,8,234.0,기존숙박군,37.56669767,126.98479778,312.6,61.1
0.2295,2.585960082443016,0.08,50.0,2,1934,6,46.0,기존숙박군,37.56877711,127.01021919,14322746.8,16.8
0.1222,2.277267285009756,0.85,71.2,66,2009,3,140.0,기존숙박군,37.57416521,126.99046732,101.6,9.6
