구,시설수,외국인민박수,위험도점수_평균,위험도점수_중앙값,위험점수_AHP_평균,위험점수_AHP_중앙값,사각지대_위험도점수_평균,사각지대_위험도점수_중앙값,fire_count_150m_평균,fire_count_150m_중앙값,fire_exists_150m_평균,fire_exists_150m_중앙값,target_damage_sum_천원_평균,target_damage_sum_천원_중앙값,예상_화재발생확률_평균,예상_화재발생확률_중앙값,기대피해액_백만원_평균,기대피해액_백만원_중앙값,주변건물수_평균,주변건물수_중앙값,집중도_평균,집중도_중앙값,단속위험도_평균,단속위험도_중앙값,구조노후도_평균,구조노후도_중앙값,도로폭위험도_평균,도로폭위험도_중앙값,위험도점수_평균순위,위험도점수_중앙값순위,위험점수_AHP_평균순위,위험점수_AHP_중앙값순위,사각지대_위험도점수_평균순위,사각지대_위험도점수_중앙값순위,fire_count_150m_평균순위,fire_count_150m_중앙값순위,fire_exists_150m_평균순위,fire_exists_150m_중앙값순위,target_damage_sum_천원_평균순위,target_damage_sum_천원_중앙값순위,예상_화재발생확률_평균순위,예상_화재발생확률_중앙값순위,기대피해액_백만원_평균순위,기대피해액_백만원_중앙값순위,주변건물수_평균순위,주변건물수_중앙값순위,집중도_평균순위,집중도_중앙값순위,단속위험도_평균순위,단속위험도_중앙값순위,구조노후도_평균순위,구조노후도_중앙값순위,도로폭위험도_평균순위,도로폭위험도_중앙값순위
강남구,351,187,49.21379961906668,48.37664618131849,51.0528774928775,52.33,49.21379961906668,48.37664618131849,7.250712250712251,7.0,0.9572649572649573,1.0,22813.754985754986,10658.0,0.3919908403859053,0.403923494523583,0.06995632139055329,0.0674789325005849,10.666666666666666,10.0,74.2094017094017,78.6,0.9844590080050057,0.838112950810131,0.1793900284900285,0.1394,0.5615099715099715,0.7,4,6,2,2,4,6,1,1,1,1,2,1,8,7,6,7,10,7,6,6,2,2,9,8,7,4
강서구,246,138,44.57799395472475,44.824914605236486,44.23853658536586,44.235,44.57799395472475,44.824914605236486,2.9430894308943087,2.0,0.6422764227642277,1.0,5914.231707317073,398.0,0.43896627133512645,0.44056346285969417,0.07149909917607933,0.07391929706477099,16.621951219512194,16.0,82.12947154471544,90.9,0.5480062245816696,0.3102575528402274,0.2169207317073171,0.1394,0.5100813008130081,0.45,10,10,7,6,10,10,10,10,10,1,10,10,5,5,5,5,5,4,2,2,10,10,7,8,9,9
마포구,1163,1070,49.23721058927288,48.8279057943622,47.077558039552876,45.6,49.23721058927288,48.8279057943622,6.4496990541702495,5.0,0.9234737747205503,1.0,11901.890799656061,2682.0,0.372749696952702,0.3618956386747177,0.057273288130482096,0.0551275520006267,16.316423043852108,16.0,81.9572656921754,89.7,0.8187838960304421,0.6681904485860778,0.31635760963026655,0.4113,0.660524505588994,0.7,3,4,4,5,3,4,4,4,5,1,6,6,9,9,9,9,6,4,3,3,7,7,3,3,3,4
서초구,89,49,45.853839574119206,45.68854181141567,49.540112359550555,49.33,45.853839574119206,45.68854181141567,4.202247191011236,4.0,0.9325842696629213,1.0,10400.91011235955,1549.0,0.42416133350592217,0.4260010064320504,0.07569692051133563,0.0757338190283767,11.662921348314606,9.0,77.81460674157304,87.2,0.7272612582831668,0.6141039732194925,0.1869168539325843,0.1337,0.43820224719101125,0.25,9,9,3,3,9,9,9,6,3,1,7,8,6,6,4,3,9,8,4,4,9,9,8,10,10,10
성동구,211,146,52.87257047988302,52.689369369369366,44.433601895734604,43.89,52.87257047988302,52.689369369369366,4.298578199052133,3.0,0.8151658767772512,1.0,7992.132701421801,750.0,0.4126273520910389,0.4026455993719299,0.06307587093832842,0.0615848514216739,15.563981042654028,9.0,67.2691943127962,66.7,0.92339547293979,0.6567795363890705,0.3445398104265403,0.4148,0.6392890995260663,0.85,1,1,6,7,1,1,7,9,9,1,8,9,7,8,8,8,7,8,10,10,5,8,2,1,4,1
송파구,245,163,46.754210786471866,46.41090950698201,57.83134693877551,56.47,46.754210786471866,46.41090950698201,6.640816326530612,6.0,0.9346938775510204,1.0,17815.24081632653,3625.0,0.31970595239721955,0.3106081156854237,0.055780312469263515,0.0503442904389274,17.069387755102042,17.0,84.10367346938776,92.0,0.7784884583985765,0.7022796641232177,0.17884612244897957,0.1408,0.6990204081632652,0.85,8,8,1,1,8,8,3,2,2,1,4,3,10,10,10,10,4,2,1,1,8,3,10,7,1,1
영등포구,299,69,50.88363865387698,51.275069236378,41.24040133779265,40.05,50.88363865387698,51.275069236378,5.588628762541806,5.0,0.8896321070234113,1.0,21045.79933110368,6260.0,0.47229066209879217,0.4729636482765924,0.07589849430546708,0.0754091938153166,13.508361204013378,7.0,68.09648829431438,71.4,1.0426002699584436,0.9309968792638504,0.2672284280936455,0.1608,0.542675585284281,0.7,2,2,9,9,2,2,5,4,7,1,3,2,4,4,3,4,8,10,9,8,1,1,5,6,8,4
용산구,493,406,49.06953465680444,49.36644186602,46.31369168356998,46.73,49.06953465680444,49.36644186602,4.294117647058823,4.0,0.8539553752535497,1.0,6815.718052738337,1672.0,0.49621421037815816,0.4878617175312237,0.06785726060651487,0.0681413337918582,24.993914807302232,21.0,76.38995943204868,81.6,0.8822232606946007,0.6757554378480761,0.3708590263691684,0.4148,0.6855578093306288,0.85,5,3,5,4,5,3,8,6,8,1,9,7,3,3,7,6,1,1,5,5,6,6,1,1,2,1
종로구,580,300,48.710965374360526,48.52358836977308,42.21296551724137,40.7,48.710965374360526,48.52358836977308,6.7620689655172415,6.0,0.9310344827586207,1.0,16459.798275862067,3439.0,0.5165389018831281,0.5254940496884826,0.07743652892784257,0.0797052429588685,19.851724137931033,17.0,71.4153448275862,71.4,0.984306161565932,0.6983063243999215,0.28374896551724144,0.1766,0.5669655172413792,0.55,7,5,8,8,7,5,2,2,4,1,5,4,2,1,2,2,2,2,8,8,3,4,4,4,6,8
중구,633,207,48.74528189044295,48.30140648710623,37.29428120063191,37.18,48.74528189044295,48.30140648710623,4.729857819905213,4.0,0.9115323854660348,1.0,37436.66982622433,2855.0,0.5218711626636426,0.5182238024477728,0.07922282771933206,0.0819099886263585,18.44391785150079,15.0,73.05789889415482,75.6,0.9239336467148357,0.6931471805599453,0.2589990521327014,0.1665,0.5987203791469194,0.7,6,7,10,10,6,7,6,6,6,1,1,5,1,2,1,1,3,6,7,7,4,5,6,5,5,4
