useAprvYmd,frspnSprklHYn,bildSn,sprklAvYn,bassAdres,ctpvNm,sggNm,dongNm,sprklHYn,frspnSprklAvYn,spskHYn,objNm,spskAvYn,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,매핑방법
19551201,N,11000000000675,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,은성빌딩,N,서울특별시 중구 북창동 134-1번지,11140,11300,0,0134,0001,100313042,1,일반,2,일반건축물,서울특별시 중구 남대문로1길 6 (북창동),은성빌딩,,,,0,111404103013,11301,0,6,0,,0,주건축물,247.9,247.47,99.82,1631.27,1383.8,558.2,21,철근콘크리트구조,"철근콘크리트조, 육옥근",04000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,스라브,0,0,18,6,1,1,0,0,0,1631.27,0,0,0,0,1,14.31,0,0,,,19661029,,3010075,건축과,1108,용도변경허가,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19621201,N,11000000002232,N,서울특별시 중구 을지로5가,서울특별시,중구,을지로5가,N,N,N,뉴천지관광호텔,N,서울특별시 중구 을지로5가 133-1번지,11140,15100,0,0133,0001,1003111884,1,일반,2,일반건축물,서울특별시 중구 을지로38길 20 (을지로5가),뉴천지관광호텔,,,,0,111404103253,15103,0,20,0,,0,주건축물,1276.8,1212.47,94.96,4665.56,0,357.61,21,철근콘크리트구조,"철근콘크리트, 연와조",15000,숙박시설,"호텔, 근린생활시설, 위락시설",10,(철근)콘크리트,평옥개,0,0,16.5,5,1,1,0,0,0,4665.56,0,0,0,0,0,0,18,457.9,,,19611212,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19651026,N,11000000003655,Y,서울특별시 종로구 종로2가,서울특별시,종로구,종로2가,Y,N,N,서울 YMCA,Y,서울특별시 종로구 종로2가 9번지,11110,13800,0,0009,0000,1002124034,1,일반,2,일반건축물,서울특별시 종로구 종로 69 (종로2가),서울 YMCA,,,,0,111103100013,13806,0,69,,,0,주건축물,3113.88,2419.65,77.7053,13668.3,13668.3,438.9476,21,철근콘크리트구조,철근콘크리트구조,03000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,30.4,8,1,2,0,0,0,13668.3,0,0,0,0,0,0,15,420,,,19651026,,,,,,0,,0,0,,0,,0,20250520,0,,구+동+건물명
19671001,N,11000000003998,N,서울특별시 중구 충무로2가,서울특별시,중구,충무로2가,N,N,N,금성빌딩(명동고시레),N,서울특별시 중구 충무로2가 12-4번지,11140,12500,0,0012,0004,100314832,1,일반,2,일반건축물,서울특별시 중구 명동8가길 61 (충무로2가),금성빌딩,,,,0,111404103160,12501,0,61,0,,0,주건축물,0,0,0,1243,0,0,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,"근린생활시설, 사무실, 숙박시설",10,(철근)콘크리트,(평)스라브,0,0,22,7,1,1,0,0,0,1243,0,0,0,0,0,0,0,0,,,19671025,,,,,,0,,0,0,,0,,0,20251002,0,,구+동+건물명
19671210,N,11000000004135,N,서울특별시 종로구 관철동,서울특별시,종로구,관철동,N,N,N,대한방직협회 빌딩,N,서울특별시 종로구 관철동 43-8번지,11110,13500,0,0043,0008,1002124030,1,일반,2,일반건축물,서울특별시 종로구 청계천로 61 (관철동),대한방직협회 빌딩,,,,0,111103100021,13502,0,61,,,0,주건축물,275.7,272.4,98.803,3577.65,3305.25,1198.8574,21,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,"업무시설,근린생활시설",90,기타지붕,기타지붕,0,0,40.9,13,1,1,0,0,0,3577.65,0,0,0,0,0,0,0,0,,,19671210,2008,3000082,건축과,1108,용도변경허가,0,,0,0,,0,,0,20240201,0,,구+동+건물명
19700124,N,11000000006410,Y,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,Y,N,N,명동하늘빌딩(호텔스카이파크 명동1호점),N,서울특별시 중구 충무로1가 24-23번지,11140,12400,0,0024,0023,100314807,2,집합,3,표제부,서울특별시 중구 명동8나길 15 (충무로1가),명동하늘빌딩,,,,0,111404103162,12401,0,15,,,0,주건축물,694.2,610.68,87.97,6972.81,6077.28,875.44,21,철근콘크리트구조,철근콘크리트,Z6000,판매및영업시설,"판매시설, 근린생활시설, 문화및집회시설",10,(철근)콘크리트,철근콘크리트 평스라브,568,0,37.5,10,1,2,0,0,0,6972.81,0,0,0,0,0,0,0,0,,,19700124,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19710306,N,11000000007941,Y,서울특별시 중구 명동2가,서울특별시,중구,명동2가,Y,N,N,엠플라자(유투존),N,서울특별시 중구 명동2가 31-1번지,11140,12700,0,0031,0001,100315387,1,일반,2,일반건축물,서울특별시 중구 명동8길 27 (명동2가),엠 플라자,,,,1,111404103161,12703,0,27,,엠 플라자,0,주건축물,3014.8,2392.68,79.364468,26966.53,23834.97,790.59871,42,철골철근콘크리트구조,철골철근콘크리트구조,15000,숙박시설,"숙박시설,판매시설,제1,2종근린생활시설",10,(철근)콘크리트,평스라브,0,0,78.66,22,2,8,1,0,0,26966.53,0,0,0,0,0,0,0,0,,,19710306,,,,,,0,,0,0,,0,,0,20230221,0,,구+동+건물명
19710901,N,11000000008566,N,서울특별시 중구 광희동1가,서울특별시,중구,광희동1가,N,N,N,태성빌딩(구.유관흥건물),N,서울특별시 중구 광희동1가 240-2번지,11140,14500,0,0240,0002,1003110098,1,일반,2,일반건축물,서울특별시 중구 퇴계로 303-3 (광희동1가),태성빌딩,,,,0,111403101011,14518,0,303,3,,0,주건축물,131.4,78.04,59.39,475.43,383.19,291.62,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설(생활숙박시설),10,(철근)콘크리트,평스라브,0,0,15.6,5,1,0,0,0,0,475.43,0,0,0,0,2,30.58,0,0,19970624,19970709,19980515,,,,,,0,,0,0,,0,,0,20230920,0,,구+동+건물명
19730401,N,11000000010046,N,서울특별시 중구 광희동1가,서울특별시,중구,광희동1가,N,N,N,에비뉴모텔(모아텔),N,서울특별시 중구 광희동1가 155번지,11140,14500,0,0155,0000,1003110023,1,일반,2,일반건축물,서울특별시 중구 을지로44길 24-4 (광희동1가),에비뉴모텔,,,,1,111404103260,14501,0,24,4,,0,주건축물,333.2,225.98,67.8211,1215.02,1102.76,330.9604,21,철근콘크리트구조,철근콘크리트,15000,숙박시설,"점포, 목욕탕, 여관",10,(철근)콘크리트,평옥개,0,0,17,5,1,0,0,0,0,1215.02,0,0,0,0,0,0,0,0,,,19730503,,,,,,0,,0,0,,0,,0,20220813,0,,구+동+건물명
19731027,N,11000000010564,N,서울특별시 중구 태평로1가,서울특별시,중구,태평로1가,N,N,N,광화문G스퀘어(구.뉴국제호텔),N,서울특별시 중구 태평로1가 25-3번지,11140,10300,0,0025,0003,100311526,1,일반,2,일반건축물,서울특별시 중구 세종대로22길 12 (태평로1가),광화문G스퀘어,,,,1,111404103196,10301,0,12,,,0,주건축물,798,540.53,67.735588,9519.39,8637.97,1082.4523,21,철근콘크리트구조,철근콘크리트,14000,업무시설,"사무소,근린생활시설",10,(철근)콘크리트,평옥개,0,0,56.8,16,2,2,1,0,0,8814.85,0,0,0,0,0,0,1,0,,,19731027,,,,,,0,,0,0,,0,,0,20250102,1,Ⅶ-0.197g,구+동+건물명
