model,variable,rows,R2,dong_count,global_moran_i,global_moran_p,HH,LL,HL,LH,Not Sig,cluster,cluster_label,bandwidths,adj_R2
OLS,구조노후도,4246.0,0.47867961307188145,207.0,0.15877423636026772,0.002,8.0,9.0,2.0,6.0,182.0,,,,
MGWR,구조노후도,1465.0,0.36724756203590414,,,,,,,,,0.0,중위험군,"[43.0, 83.0]",0.3023795214895465
MGWR,구조노후도,1326.0,0.5676722074077106,,,,,,,,,1.0,저위험군,"[44.0, 140.0]",0.5312104395688761
MGWR,구조노후도,1455.0,0.4943635960477678,,,,,,,,,2.0,고위험군,"[43.0, 435.0]",0.4574591871708781
MGWR,구조노후도,,,207.0,-0.022136342547997918,0.361,7.0,4.0,4.0,7.0,185.0,,,,
OLS,도로폭위험도,4246.0,0.30814924013712375,207.0,0.28741374146058213,0.001,9.0,20.0,6.0,6.0,166.0,,,,
MGWR,도로폭위험도,1465.0,0.45060387760291565,,,,,,,,,0.0,중위험군,"[46.0, 1464.0]",0.4146606163497457
MGWR,도로폭위험도,1326.0,0.30245251829577635,,,,,,,,,1.0,저위험군,"[44.0, 171.0]",0.24720840595147842
MGWR,도로폭위험도,1455.0,0.36137605936642603,,,,,,,,,2.0,고위험군,"[43.0, 125.0]",0.30497062298884126
MGWR,도로폭위험도,,,207.0,0.03178482719811475,0.256,7.0,0.0,6.0,6.0,188.0,,,,
OLS,단속위험도,4246.0,0.03119705270078832,207.0,0.32087789672524325,0.001,16.0,19.0,5.0,4.0,163.0,,,,
MGWR,단속위험도,1465.0,0.36461179471444327,,,,,,,,,0.0,중위험군,"[43.0, 65.0]",0.2943059568475894
MGWR,단속위험도,1326.0,0.26737881090468973,,,,,,,,,1.0,저위험군,"[52.0, 1006.0]",0.22594948297965678
MGWR,단속위험도,1455.0,0.25359543222038283,,,,,,,,,2.0,고위험군,"[46.0, 165.0]",0.19548008668119898
MGWR,단속위험도,,,207.0,-0.03860557340895532,0.237,4.0,3.0,4.0,4.0,192.0,,,,
