EMD_CD,EMD_KOR_NM,EMD_ENG_NM,ESRI_PK,SHAPE_AREA,SHAPE_LEN,join_code,has_data,기준일,구_x,법정동코드,법정동명,전체건물수,사용승인일유효건수,10년이상건물수,30년이상건물수,50년이상건물수,geometry,구_매칭,동_매칭,구_y,동,residual,sample_count,lisa_cat,local_i,p_sim,quadrant
11590108,대방동,Daebang-dong,18,0.000157,0.063998,11590108,0,,,11590108,대방동,0,0,0,0,0,"POLYGON ((949840.1219591511 1946406.3213145155, 949857.6711544907 1946302.6443680108, 949988.8391069443 1946193.462283579, 950038.7638297873 1946050.2003815917, 950063.6603391151 1945705.2324178254, 950042.5023855753 1945597.7805475686, 950084.303550855 1945442.5118511629, 950030.3764683524 1945373.298910364, 950029.378569321 1945367.868889088, 949971.0526296024 1945256.23121098, 949860.9309015962 1945298.686512227, 949857.7183300031 1945129.5594891512, 949760.5921975485 1945083.6692632488, 949667.2088766561 1945062.806061229, 949557.0838866463 1945148.8954366134, 949476.9510307094 1945089.290445202, 949458.2710261715 1945019.0749466966, 949511.4463156529 1944912.6432446882, 949507.0161714237 1944811.2865554658, 949513.403959282 1944799.3103139128, 949647.2947794565 1944674.1689618926, 949639.710369839 1944628.4092680444, 949498.9640745838 1944554.1804246318, 949355.7655544752 1944608.9055101718, 948934.4095466291 1944453.9043273753, 948755.5896501418 1944519.497991067, 948765.9394588528 1944689.627860854, 949219.2232489198 1946071.5912827416, 949343.4122025686 1946101.3662435168, 949351.9524128853 1946405.672178813, 949540.3654918193 1946390.7143583663, 949840.1219591511 1946406.3213145155))",동작구,대방동,,,,,No Data,,,
11110118,내수동,Naesu-dong,59,7e-06,0.011823,11110118,1,2026-04-15,종로구,1111011800,내수동,2,2,2,1,0,"POLYGON ((953506.0595788866 1952867.0697415457, 953579.2880776519 1952715.1345038023, 953349.9321257384 1952644.1161310028, 953240.962250309 1952735.7040454443, 953196.6423658186 1952856.4209001618, 953246.5132911097 1952950.5048861946, 953506.0595788866 1952867.0697415457))",종로구,내수동,종로구,내수동,1.2203792423673576,2.0,HH,0.3899408839162983,0.026,1.0
11590105,흑석동,Heukseok-dong,15,0.000171,0.05742,11590105,0,,,11590105,흑석동,0,0,0,0,0,"POLYGON ((953517.8976653953 1945486.607106537, 953335.3122470414 1945272.2511073607, 953332.5109798308 1945172.6111519085, 953269.8876323169 1945124.5304109156, 952994.5922047684 1945052.6110737969, 952853.9852446129 1944967.4117589972, 952841.2489079899 1944896.106873867, 952761.3527472594 1944837.4809913235, 952723.3260051269 1944752.9118223684, 952651.8365522722 1944716.5001514342, 952563.6591125167 1944616.5580459775, 952532.1177219121 1944497.9427981009, 952440.1850456177 1944379.3759024485, 952175.6720833409 1944494.2912642155, 952050.2581339461 1944527.2102611621, 951953.9817827845 1944622.0860783379, 951939.2942896164 1944724.8669496244, 951831.4178201583 1944911.4729654507, 951856.3448539391 1944981.1934333737, 951833.1686287664 1945094.3461821817, 951703.8595553398 1945157.0121778746, 951707.7518406587 1945214.7533237746, 951799.1176595655 1945503.5206160035, 951836.8061436892 1945518.992954383, 951855.2393949402 1945672.8916833808, 952059.3412013198 1945785.1604936218, 952107.2678947584 1945908.0009122351, 952268.5579860442 1945955.7606534003, 952445.644803304 1946116.3567968209, 952717.3773679397 1945861.8821009705, 952895.5659847525 1945752.6015755143, 953170.8614018768 1945657.8560201998, 953517.8976653953 1945486.607106537))",동작구,흑석동,,,,,No Data,,,
11320107,창동,Chang-dong,1,0.000436,0.100323,11320107,0,,,11320107,창동,0,0,0,0,0,"POLYGON ((960810.1536480408 1960221.0321589666, 960717.4719075769 1960167.3208046125, 960562.8933319948 1960338.7795967234, 960514.5819739788 1960426.721106304, 960422.3957970197 1960688.0650875703, 960333.9155342049 1960665.5971989145, 960363.4230448602 1960576.2343623864, 960277.4761753795 1960544.0638875028, 960216.4046446885 1960392.8931822586, 960105.6512984222 1960310.963062242, 960011.2623215971 1960291.3352799476, 960014.7680414977 1960123.3816266956, 959946.3026972116 1959923.4416148134, 959859.8625973321 1959789.236017949, 959856.2716513271 1959697.5502113318, 959760.1673608118 1959433.2312870282, 959661.4789836308 1959347.1527041434, 959559.6750156621 1959211.1058990043, 959642.1617971228 1959098.121934246, 959564.3211664001 1959138.2368616029, 959393.1100420122 1959292.7209719007, 959250.9258954927 1959522.036352959, 959223.5334912464 1959719.9572236626, 959138.2482471882 1959799.3151949032, 958988.4971086069 1959858.0485026392, 958937.5838937396 1959914.6089106821, 958837.2938041232 1960205.824441734, 958749.9142303985 1960365.3916157032, 958612.5903050323 1960481.0674346245, 958717.1988985628 1960624.2437509985, 959585.9665134273 1962435.8090163802, 959629.5583803995 1962577.6295609078, 959918.8288994633 1962618.8750536267, 960007.6569653727 1962603.9570784003, 960451.6116370019 1962445.6112489416, 960469.1929102981 1962363.8980901379, 960610.8296172181 1962095.2498869826, 960665.7375372349 1961760.3319569519, 960637.2699122997 1961490.1203845588, 960654.3650711919 1961326.1137868327, 960784.3844050796 1961066.3572781254, 960817.8865294803 1960934.0884356496, 960801.1771923795 1960662.1847362053, 960756.3387744945 1960534.828858043, 960752.8499628954 1960299.9589516297, 960810.1536480408 1960221.0321589666))",도봉구,창동,,,,,No Data,,,
11230107,청량리동,Cheongnyangni-dong,8,0.000122,0.064774,11230107,0,,,11230107,청량리동,0,0,0,0,0,"POLYGON ((960039.1572361726 1955290.5284465412, 960073.2311201462 1955260.8137380835, 960045.1228347092 1955094.5346232462, 960083.2684431948 1954957.208990453, 960032.0832671745 1954753.2255424927, 960111.938959874 1954693.1180143612, 960074.2564739863 1954627.123774261, 960057.6117108294 1954452.4791335124, 960262.6424865883 1954535.4032118553, 960365.2820633824 1954522.6321794486, 960454.743821932 1954456.200931704, 960457.1521304172 1954450.8467602567, 960567.5771599283 1954361.4741364853, 960268.3918299092 1953934.2036346453, 959845.8329466184 1953519.4501228381, 959697.6696709594 1953461.9827178493, 959638.0883888017 1953648.1625060018, 959748.683220607 1953651.461878665, 959598.4898615838 1954244.976490078, 959422.3744329184 1954239.2460479303, 959432.9442899642 1954338.9030672307, 959378.4681658625 1954446.1945054997, 959488.0033714079 1954650.4933250458, 959439.4856158621 1954768.0543969946, 959285.6713412517 1954767.82413679, 959407.9885009396 1955118.3298339774, 959489.329514531 1955227.7825925848, 959556.9522577188 1955326.7827397997, 959662.3034282856 1955382.0444590682, 959722.1745474095 1955304.3065512574, 959880.7564044293 1955342.5016321847, 959940.6328540489 1955295.258686932, 960039.1572361726 1955290.5284465412))",동대문구,청량리동,,,,,No Data,,,
11230104,전농동,Jeonnong-dong,12,0.00021,0.079448,11230104,0,,,11230104,전농동,0,0,0,0,0,"POLYGON ((961922.6992567236 1953737.904515043, 961905.7492511404 1953515.9432399971, 961807.6975658495 1953298.9550403792, 961776.682764124 1953115.7515245508, 961715.9282079161 1953085.1754579686, 961565.9554300146 1953109.0964834, 961519.2155878403 1953081.6602027975, 961275.0483033758 1953038.2234704401, 961191.4040980841 1952987.037789318, 960972.4998589888 1952967.3459036173, 960901.0891555608 1952984.654422109, 960762.8006912436 1952869.8423397983, 960657.530197798 1952829.3817391237, 960545.1485023301 1952825.1257994303, 960426.1301638265 1952923.8256498687, 960271.6335685448 1952904.3868918475, 960195.8018959439 1952959.7358258564, 960014.268754014 1952695.5740191718, 959877.3481370731 1952827.3668663604, 959826.3774920567 1953001.5216984258, 959848.7621276929 1953119.8222482193, 959850.2893257912 1953188.7002205825, 959680.3069255407 1953307.2562735293, 959606.0851109572 1953425.887904688, 959697.6696709594 1953461.9827178493, 959845.8329466184 1953519.4501228381, 960268.3918299092 1953934.2036346453, 960567.5771599283 1954361.4741364853, 960570.1059004418 1954351.49490629, 960663.5940742717 1954350.7328328507, 960738.3549978585 1954217.8545901643, 960748.0732351217 1954120.4969912483, 960690.2322849247 1953975.050374095, 960846.8471338933 1953872.4153137035, 960917.4134617685 1953976.3353510252, 961070.55759505 1954065.5444025334, 961143.9025268789 1954010.3032805324, 961275.062906849 1954101.095590593, 961410.3374098171 1954086.6570776503, 961544.7828151507 1954011.5263775047, 961542.085962124 1953875.6767522146, 961506.0218207854 1953679.6733755253, 961618.3365987911 1953681.4156677627, 961681.9665363006 1953728.813091239, 961797.4485105801 1953724.3780460274, 961888.9567447567 1953807.4060206604, 961922.6992567236 1953737.904515043))",동대문구,전농동,,,,,No Data,,,
11230110,이문동,Imun-dong,13,0.000177,0.067588,11230110,0,,,11230110,이문동,0,0,0,0,0,"POLYGON ((961991.2966165645 1955189.9090427381, 961809.5955536538 1955140.6821773527, 961641.5266076011 1955192.7375271975, 961553.0378453264 1955128.6338060258, 961429.7379766633 1955167.1569391054, 961307.248082957 1954949.0703759564, 961239.986791807 1954978.3473190165, 960952.7247602749 1954882.8235648617, 960901.9543213653 1954774.499609463, 960824.7537123894 1954815.018748238, 960776.8564296114 1954997.1842722616, 960668.8983085031 1955079.2143604374, 960697.2311521585 1955226.8965144067, 960616.5886459145 1955340.7104955898, 960580.8200934354 1955486.6029582007, 960573.6756463347 1955634.1576729538, 960463.1774737787 1955731.7367745636, 960916.1280297008 1955880.0986567554, 960937.686837672 1955846.2148431384, 961088.0396963791 1955829.6308891417, 961179.3516718458 1955904.1164722918, 961172.0499487027 1956050.753611802, 961230.9192495518 1956098.253066802, 961357.4329107018 1956279.7882422782, 961490.3049955035 1956293.6902814207, 961604.3953948895 1956357.5239787216, 961712.7662808675 1956330.229476715, 961766.137900352 1956387.1167618576, 961911.9802399849 1956440.7076505173, 962141.8398821055 1956554.131524977, 962141.8041241656 1956553.1632251085, 962181.6574292284 1956222.1994053335, 962258.2502543046 1956026.15416195, 962298.3439664809 1955854.5466836307, 962264.3979768622 1955734.1147243478, 961998.1035614869 1955402.6204074633, 961991.2966165645 1955189.9090427381))",동대문구,이문동,,,,,No Data,,,
11230109,휘경동,Hwigyeong-dong,16,0.000172,0.074605,11230109,0,,,11230109,휘경동,0,0,0,0,0,"POLYGON ((961991.2966165645 1955189.9090427381, 962087.3062143724 1954887.0775912656, 962103.8912320811 1954762.3611332607, 962059.5883290039 1954593.8203834873, 962271.0837745569 1954210.4711795817, 962227.7979312622 1954038.2245153207, 962461.6561129784 1953685.614194545, 962498.2596451383 1953597.2787433886, 961922.6992567236 1953737.904515043, 961888.9567447567 1953807.4060206604, 961797.4485105801 1953724.3780460274, 961681.9665363006 1953728.813091239, 961618.3365987911 1953681.4156677627, 961506.0218207854 1953679.6733755253, 961542.085962124 1953875.6767522146, 961544.7828151507 1954011.5263775047, 961410.3374098171 1954086.6570776503, 961275.062906849 1954101.095590593, 961143.9025268789 1954010.3032805324, 961070.55759505 1954065.5444025334, 960917.4134617685 1953976.3353510252, 960846.8471338933 1953872.4153137035, 960690.2322849247 1953975.050374095, 960748.0732351217 1954120.4969912483, 960738.3549978585 1954217.8545901643, 960663.5940742717 1954350.7328328507, 960570.1059004418 1954351.49490629, 960797.7178070125 1954596.2983182783, 960863.3086195808 1954750.1746929216, 960901.9543213653 1954774.499609463, 960952.7247602749 1954882.8235648617, 961239.986791807 1954978.3473190165, 961307.248082957 1954949.0703759564, 961429.7379766633 1955167.1569391054, 961553.0378453264 1955128.6338060258, 961641.5266076011 1955192.7375271975, 961809.5955536538 1955140.6821773527, 961991.2966165645 1955189.9090427381))",동대문구,휘경동,,,,,No Data,,,
11590102,상도동,Sangdo-dong,19,0.000361,0.150457,11590102,0,,,11590102,상도동,0,0,0,0,0,"POLYGON ((951799.1176595655 1945503.5206160035, 951707.7518406587 1945214.7533237746, 951703.8595553398 1945157.0121778746, 951833.1686287664 1945094.3461821817, 951856.3448539391 1944981.1934333737, 951831.4178201583 1944911.4729654507, 951939.2942896164 1944724.8669496244, 951953.9817827845 1944622.0860783379, 952050.2581339461 1944527.2102611621, 952175.6720833409 1944494.2912642155, 952440.1850456177 1944379.3759024485, 952476.869848077 1944195.159441485, 952524.4534187707 1944081.6643745797, 952461.4088426947 1944021.1848659546, 952387.8755391785 1943872.527570054, 952292.2038639209 1943969.6576272757, 952173.4033412647 1943954.9353429263, 952129.1687023153 1943846.4957964325, 952042.6017344834 1943775.1670799267, 951854.680535016 1943713.6379995332, 951841.9612220222 1943704.9031432376, 951708.9312704339 1943627.110685228, 951531.423317241 1943800.318979064, 951403.2460837904 1943835.2619421137, 951277.3590316318 1943908.425052073, 951274.8421086272 1943983.934130057, 951164.6558834909 1943974.1009717993, 951115.2616759542 1944014.081338585, 951037.2399754968 1943949.5776440515, 950899.2918764029 1943911.0384643988, 950890.1624254385 1943839.879870632, 950650.516901218 1943804.9372994504, 950571.5560757814 1943885.1157335322, 950547.7603031343 1943880.43277481, 950448.3810787876 1943820.2997948485, 950429.9495360735 1943810.2140219589, 950351.1363577914 1943829.1874366389, 950192.3170558941 1943787.7483653896, 950088.6528743944 1943874.1709459517, 949952.3098362128 1943917.6734316582, 949829.7863244251 1943893.500455009, 949664.8886834596 1943980.8701126103, 949651.3639629377 1943990.3320392906, 949602.5336304528 1944013.4473335452, 949564.344212932 1944164.5130575164, 949607.8955421493 1944385.6795735077, 949610.9032710576 1944394.2180065836, 949577.4009168661 1944445.9715824735, 949567.966398676 1944458.104028424, 949498.9640745838 1944554.1804246318, 949639.710369839 1944628.4092680444, 949647.2947794565 1944674.1689618926, 949513.403959282 1944799.3103139128, 949507.0161714237 1944811.2865554658, 949511.4463156529 1944912.6432446882, 949458.2710261715 1945019.0749466966, 949476.9510307094 1945089.290445202, 949557.0838866463 1945148.8954366134, 949667.2088766561 1945062.806061229, 949760.5921975485 1945083.6692632488, 949857.7183300031 1945129.5594891512, 949860.9309015962 1945298.686512227, 949971.0526296024 1945256.23121098, 950029.378569321 1945367.868889088, 950030.3764683524 1945373.298910364, 950084.303550855 1945442.5118511629, 950187.4016941326 1945460.4915153051, 950338.5580960405 1945340.9748097179, 950392.5346707302 1945270.5666737321, 950574.2905092429 1945285.9816874547, 950916.3131540761 1945443.6417836063, 951127.9648094985 1945438.146059693, 951145.6309699382 1945373.520157787, 951150.695720713 1945362.2061161746, 951197.8649638748 1945433.7282726865, 951324.9997688768 1945443.6872681512, 951445.5475624851 1945563.559579364, 951506.029369575 1945557.0774814186, 951534.2375753738 1945493.3569953826, 951412.5881137772 1945372.6570768715, 951376.916992283 1945248.2376781611, 951050.027347214 1945026.7460363978, 951166.8129204598 1944866.1999214026, 951318.8912997877 1944787.7126358342, 951450.3752391301 1944587.3223570376, 951566.969529913 1944702.2519363812, 951694.4784506822 1944752.4360995877, 951689.8376064698 1944759.9813108207, 951674.7716932114 1945074.881171227, 951600.1939188151 1945178.134999005, 951686.3287176699 1945312.864842262, 951685.1066943075 1945445.968836305, 951596.0883010479 1945406.5781716348, 951536.7926987301 1945563.3835039649, 951536.8056209967 1945563.3714462903, 951668.1141460332 1945634.3539592607, 951729.4911803633 1945518.4781353264, 951799.1176595655 1945503.5206160035))",동작구,상도동,,,,,No Data,,,
11545102,독산동,Doksan-dong,36,0.000429,0.134618,11545102,0,,,11545102,독산동,0,0,0,0,0,"POLYGON ((948037.6898096144 1940903.5237107992, 947889.6069552908 1940853.5085827373, 947784.7995704346 1940879.0032978586, 947759.3484923199 1940817.4792929478, 947657.8759081438 1940757.7726486966, 947569.2563764806 1940744.6129504787, 947468.9553599214 1940650.665774603, 947393.9697714538 1940661.8826443674, 947374.4543551733 1940553.9865479982, 947325.2705091356 1940510.7815202486, 947169.4200201761 1940506.8470427524, 947156.6077210989 1940323.2569474017, 947098.8698142815 1940194.9589364806, 946984.1651494073 1940148.280574794, 946898.4433313911 1940036.7020477154, 946840.9584237968 1940056.2869283971, 946802.1962313057 1940185.4198553269, 946654.9625096384 1940133.52219645, 946689.6017475574 1940023.8726678812, 946499.178745814 1939941.5991187734, 946398.3278160171 1939964.9953379554, 946305.2467180656 1940032.8852629685, 946355.0596495131 1939838.6679856274, 946498.6657587436 1939462.1566319605, 946401.635725581 1939453.7747403714, 946292.8736425252 1939379.329266033, 946005.1834587717 1939454.5207048922, 946020.3223972118 1939545.5067747517, 945985.4665753519 1939652.2865271561, 945733.5996222285 1939841.5613602623, 945688.3369964729 1939989.9475200411, 945725.2766725542 1940167.8683712606, 945643.0290642823 1940251.3966806794, 945707.6068897344 1940361.5471909314, 945831.6867564295 1940383.5762754397, 945955.8015913093 1940369.687478239, 945801.873155723 1940587.7537226763, 945626.4418996787 1940540.5189628352, 945553.7530661814 1940569.4006289442, 945415.9809079084 1940755.241059514, 945452.0373052389 1940836.812014085, 945578.5583224419 1940893.6207689133, 945685.9298719105 1940739.3054555706, 946030.5180027217 1940916.7803748543, 945797.1443957872 1941601.1195684853, 945994.2010383664 1941590.498161319, 946111.7848578704 1941632.85063369, 946406.442794316 1941617.0198878264, 946427.8560942827 1941874.1748985907, 946656.2886517658 1942015.2591841957, 946585.1567576731 1942313.8972381027, 946863.4844700013 1942383.4560652266, 946859.2225714279 1942360.310925188, 947416.1620720949 1942486.8914341545, 947440.6449793899 1942472.3227599326, 947818.7029768063 1942556.7202553211, 947746.8196497124 1942482.0009765197, 947714.8510127635 1942369.9863750872, 947788.3663038765 1942253.2635431013, 947996.9928221846 1942227.281278917, 947994.1340947236 1942122.1778295366, 947938.8216925899 1941940.2753388558, 947954.0617727196 1941858.2037742783, 947899.4578916709 1941761.2217538622, 947672.7739633066 1941666.1548711634, 947794.6823521637 1941440.094436934, 947851.1376935857 1941277.8984721736, 947825.5300506176 1941225.238313584, 947920.8249095517 1941148.8500055228, 947972.781831269 1941006.7733621153, 948037.6898096144 1940903.5237107992))",금천구,독산동,,,,,No Data,,,
