그리드ID,주요구,주요법정동코드,주요법정동명,포함법정동수,그리드행,그리드열,기준면적_m2,기준면적_ha,전체건물수,전체건물수_per_ha,전체건물연면적합계_m2,전체건물입체화재하중_분자_원본,전체건물입체화재하중_분자,면적계산가능건물수,면적보정건물수,전체건물_입체화재하중밀도,상가수,상가수_per_ha,상가연면적합계_m2,상가입체화재하중_분자,상가_입체화재하중밀도,건물데이터_0여부,면적데이터_0여부,중심위도,중심경도,x_min_EPSG5186,y_min_EPSG5186,x_max_EPSG5186,y_max_EPSG5186
G50K_R0001_C0121,서초구,1165011100,신원동,1.0,1,121,50000.0,5.0,6.0,1.2,215.99,688.0,215.99,1.0,1.0,0.00432,1.0,0.2,215.99,215.99,0.00432,N,N,37.430276,127.070924,206165.467525,536656.3146,206389.074323,536879.921398
G50K_R0003_C0121,서초구,1165011100,신원동,1.0,3,121,50000.0,5.0,19.0,3.8,2500.33,7780.21,2500.33,15.0,15.0,0.050007,1.0,0.2,149.92,149.92,0.002998,N,N,37.434306,127.070927,206165.467525,537103.528195,206389.074323,537327.134993
G50K_R0004_C0121,서초구,1165011100,신원동,1.0,4,121,50000.0,5.0,10.0,2.0,1576.26,5641.21,1576.26,7.0,7.0,0.031525,1.0,0.2,257.63,257.63,0.005153,N,N,37.436321,127.070929,206165.467525,537327.134993,206389.074323,537550.741791
G50K_R0007_C0115,서초구,1165010400,원지동,1.0,7,115,50000.0,5.0,25.0,5.0,3655.54,14051.880000000001,3655.54,17.0,17.0,0.073111,10.0,2.0,2097.88,2097.88,0.041958,N,N,37.442373,127.055774,204823.826739,537997.955386,205047.433537,538221.562184
G50K_R0007_C0116,서초구,1165010400,원지동,1.0,7,116,50000.0,5.0,6.0,1.2,569.88,2339.98,569.88,3.0,3.0,0.011398,2.0,0.4,408.62,408.62,0.008172,N,N,37.442372,127.058301,205047.433537,537997.955386,205271.040334,538221.562184
G50K_R0007_C0118,서초구,1165011100,신원동,1.0,7,118,50000.0,5.0,6.0,1.2,12.89,724536.0,12.89,1.0,1.0,0.000258,1.0,0.2,12.89,12.89,0.000258,N,N,37.442369,127.063354,205494.647132,537997.955386,205718.25393,538221.562184
G50K_R0008_C0115,서초구,1165010400,원지동,1.0,8,115,50000.0,5.0,30.0,6.0,7310.05,20664.41,7310.05,24.0,24.0,0.146201,21.0,4.2,6651.21,6651.21,0.133024,N,N,37.444388,127.055776,204823.826739,538221.562184,205047.433537,538445.168982
G50K_R0008_C0116,서초구,1165011100,신원동,2.0,8,116,50000.0,5.0,41.0,8.2,6996.46,20449.45,6996.46,29.0,29.0,0.139929,17.0,3.4,4380.61,4380.61,0.087612,N,N,37.444386,127.058302,205047.433537,538221.562184,205271.040334,538445.168982
G50K_R0009_C0114,서초구,1165011100,신원동,1.0,9,114,50000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,37.446404,127.05325,204600.219941,538445.168982,204823.826739,538668.77578
G50K_R0009_C0115,서초구,1165011100,신원동,1.0,9,115,50000.0,5.0,10.0,2.0,297.46,990.0,297.46,1.0,1.0,0.005949,1.0,0.2,297.46,297.46,0.005949,N,N,37.446402,127.055777,204823.826739,538445.168982,205047.433537,538668.77578
G50K_R0009_C0116,서초구,1165011100,신원동,1.0,9,116,50000.0,5.0,62.0,12.4,11579.535,31468.21,11579.535,49.0,49.0,0.231591,21.0,4.2,5554.31,5554.31,0.111086,N,N,37.446401,127.058304,205047.433537,538445.168982,205271.040334,538668.77578
G50K_R0010_C0116,서초구,1165011100,신원동,1.0,10,116,50000.0,5.0,30.0,6.0,4257.37,12403.36,4257.37,26.0,26.0,0.085147,4.0,0.8,624.48,624.48,0.01249,N,N,37.448416,127.058306,205047.433537,538668.77578,205271.040334,538892.382577
G50K_R0012_C0112,서초구,1165010400,원지동,1.0,12,112,50000.0,5.0,23.0,4.6,748.62,3794.08,748.62,4.0,4.0,0.014972,2.0,0.4,310.92,310.92,0.006218,N,N,37.45245,127.0482,204153.006346,539115.989375,204376.613143,539339.596173
G50K_R0012_C0115,서초구,1165011100,신원동,1.0,12,115,50000.0,5.0,37.0,7.4,4968.95,12656.6,4968.95,20.0,20.0,0.099379,5.0,1.0,1370.6,1370.6,0.027412,N,N,37.452447,127.055781,204823.826739,539115.989375,205047.433537,539339.596173
G50K_R0012_C0119,서초구,1165010900,내곡동,1.0,12,119,50000.0,5.0,43.0,8.6,9047.6,25609.88,9047.6,39.0,39.0,0.180952,5.0,1.0,1225.24,1225.24,0.024505,N,N,37.452441,127.06589,205718.25393,539115.989375,205941.860728,539339.596173
G50K_R0012_C0123,서초구,1165010900,내곡동,1.0,12,123,50000.0,5.0,12.0,2.4,891.92,2464.0,891.92,5.0,5.0,0.017838,2.0,0.4,331.65,331.65,0.006633,N,N,37.452435,127.075999,206612.681121,539115.989375,206836.287919,539339.596173
G50K_R0012_C0125,서초구,1165010900,내곡동,1.0,12,125,50000.0,5.0,24.0,4.8,3799.21,41647.23,3799.21,11.0,11.0,0.075984,2.0,0.4,430.87,430.87,0.008617,N,N,37.452432,127.081053,207059.894716,539115.989375,207283.501514,539339.596173
G50K_R0013_C0112,서초구,1165010400,원지동,1.0,13,112,50000.0,5.0,27.0,5.4,421.96,1204.92,421.96,2.0,2.0,0.008439,1.0,0.2,249.04,249.04,0.004981,N,N,37.454465,127.048201,204153.006346,539339.596173,204376.613143,539563.202971
G50K_R0013_C0113,서초구,1165011100,신원동,2.0,13,113,50000.0,5.0,23.0,4.6,2371.7,7906.28,2371.7,16.0,16.0,0.047434,9.0,1.8,1385.6,1385.6,0.027712,N,N,37.454464,127.050729,204376.613143,539339.596173,204600.219941,539563.202971
G50K_R0013_C0114,서초구,1165011100,신원동,1.0,13,114,50000.0,5.0,62.0,12.4,6488.11,14770.76,6488.11,32.0,32.0,0.129762,8.0,1.6,1882.01,1882.01,0.03764,N,N,37.454462,127.053256,204600.219941,539339.596173,204823.826739,539563.202971
G50K_R0013_C0115,서초구,1165011100,신원동,1.0,13,115,50000.0,5.0,35.0,7.0,4967.99,12326.35,4967.99,25.0,25.0,0.09936,4.0,0.8,537.83,537.83,0.010757,N,N,37.454461,127.055783,204823.826739,539339.596173,205047.433537,539563.202971
G50K_R0013_C0119,서초구,1165010900,내곡동,1.0,13,119,50000.0,5.0,50.0,10.0,11624.23,34435.73,11624.23,44.0,44.0,0.232485,12.0,2.4,5844.67,5844.67,0.116893,N,N,37.454456,127.065892,205718.25393,539339.596173,205941.860728,539563.202971
G50K_R0013_C0120,서초구,1165010900,내곡동,1.0,13,120,50000.0,5.0,17.0,3.4,5509.03,15180.91,5509.03,16.0,16.0,0.110181,3.0,0.6,994.13,994.13,0.019883,N,N,37.454455,127.068419,205941.860728,539339.596173,206165.467525,539563.202971
G50K_R0013_C0123,서초구,1165010900,내곡동,1.0,13,123,50000.0,5.0,14.0,2.8,1546.0,9259.78,1546.0,9.0,9.0,0.03092,2.0,0.4,427.84,427.84,0.008557,N,N,37.45445,127.076001,206612.681121,539339.596173,206836.287919,539563.202971
G50K_R0013_C0125,서초구,1165010900,내곡동,1.0,13,125,50000.0,5.0,40.0,8.0,1782.23,2936.93,1782.23,13.0,13.0,0.035645,2.0,0.4,423.08,423.08,0.008462,N,N,37.454447,127.081055,207059.894716,539339.596173,207283.501514,539563.202971
G50K_R0013_C0128,서초구,1165010900,내곡동,1.0,13,128,50000.0,5.0,3.0,0.6,2740.98,17340.98,2740.98,3.0,3.0,0.05482,1.0,0.2,64.0,64.0,0.00128,N,N,37.454441,127.088637,207730.71511,539339.596173,207954.321907,539563.202971
G50K_R0014_C0099,서초구,1165010300,우면동,1.0,14,99,50000.0,5.0,12.0,2.4,29731.44,51377.0,29731.44,10.0,10.0,0.594629,5.0,1.0,7797.28,7797.28,0.155946,N,N,37.456488,127.015348,201246.117975,539563.202971,201469.724773,539786.809768
G50K_R0014_C0113,서초구,1165011100,신원동,1.0,14,113,50000.0,5.0,13.0,2.6,1022.57,3376.73,1022.57,6.0,6.0,0.020451,2.0,0.4,317.97,317.97,0.006359,N,N,37.456478,127.05073,204376.613143,539563.202971,204600.219941,539786.809768
G50K_R0014_C0114,서초구,1165011100,신원동,1.0,14,114,50000.0,5.0,3.0,0.6,354.16,1521.92,354.16,2.0,2.0,0.007083,1.0,0.2,228.24,228.24,0.004565,N,N,37.456477,127.053257,204600.219941,539563.202971,204823.826739,539786.809768
G50K_R0014_C0115,서초구,1165011000,염곡동,2.0,14,115,50000.0,5.0,15.0,3.0,1729.77,4135.51,1729.77,10.0,10.0,0.034595,3.0,0.6,453.35,453.35,0.009067,N,N,37.456476,127.055784,204823.826739,539563.202971,205047.433537,539786.809768
G50K_R0014_C0116,서초구,1165011000,염곡동,2.0,14,116,50000.0,5.0,17.0,3.4,4546.56,16688.36,4546.56,9.0,9.0,0.090931,5.0,1.0,3877.79,3877.79,0.077556,N,N,37.456475,127.058312,205047.433537,539563.202971,205271.040334,539786.809768
G50K_R0014_C0118,서초구,1165010900,내곡동,1.0,14,118,50000.0,5.0,30.0,6.0,4441.25,10451.11,4441.25,16.0,16.0,0.088825,4.0,0.8,1291.15,1291.15,0.025823,N,N,37.456472,127.063366,205494.647132,539563.202971,205718.25393,539786.809768
G50K_R0014_C0119,서초구,1165010900,내곡동,1.0,14,119,50000.0,5.0,16.0,3.2,3215.46,8377.15,3215.46,13.0,13.0,0.064309,2.0,0.4,773.5,773.5,0.01547,N,N,37.456471,127.065894,205718.25393,539563.202971,205941.860728,539786.809768
G50K_R0014_C0120,서초구,1165010900,내곡동,1.0,14,120,50000.0,5.0,8.0,1.6,27480.73,257789.96000000002,27480.73,7.0,7.0,0.549615,2.0,0.4,756.81,756.81,0.015136,N,N,37.456469,127.068421,205941.860728,539563.202971,206165.467525,539786.809768
G50K_R0014_C0121,서초구,1165010900,내곡동,1.0,14,121,50000.0,5.0,12.0,2.4,1060.39,2817.4700000000003,1060.39,7.0,7.0,0.021208,2.0,0.4,461.52,461.52,0.00923,N,N,37.456468,127.070948,206165.467525,539563.202971,206389.074323,539786.809768
G50K_R0014_C0123,서초구,1165010900,내곡동,1.0,14,123,50000.0,5.0,4.0,0.8,387.79,676.14,387.79,2.0,2.0,0.007756,1.0,0.2,223.65,223.65,0.004473,N,N,37.456465,127.076003,206612.681121,539563.202971,206836.287919,539786.809768
G50K_R0014_C0125,서초구,1165010900,내곡동,1.0,14,125,50000.0,5.0,19.0,3.8,570.11,2605.19,570.11,5.0,5.0,0.011402,3.0,0.6,391.2,391.2,0.007824,N,N,37.456461,127.081057,207059.894716,539563.202971,207283.501514,539786.809768
G50K_R0014_C0128,서초구,1165010900,내곡동,1.0,14,128,50000.0,5.0,24.0,4.8,1014.29,13883.779999999999,1014.29,13.0,13.0,0.020286,3.0,0.6,391.0,391.0,0.00782,N,N,37.456456,127.088639,207730.71511,539563.202971,207954.321907,539786.809768
G50K_R0015_C0088,서초구,1165010100,방배동,1.0,15,88,50000.0,5.0,1.0,0.2,6093.19,6093.19,6093.19,1.0,1.0,0.121864,1.0,0.2,6093.19,6093.19,0.121864,N,N,37.458503,126.987547,198786.4432,539786.809768,199010.049997,540010.416566
G50K_R0015_C0097,서초구,1165010300,우면동,1.0,15,97,50000.0,5.0,9.0,1.8,1090.57,3171.35,1090.57,5.0,5.0,0.021811,1.0,0.2,199.2,199.2,0.003984,N,N,37.458503,127.010293,200798.904379,539786.809768,201022.511177,540010.416566
G50K_R0015_C0098,서초구,1165010300,우면동,1.0,15,98,50000.0,5.0,61.0,12.2,7657.43,23678.53,7657.43,29.0,29.0,0.153149,8.0,1.6,3093.84,3093.84,0.061877,N,N,37.458503,127.012821,201022.511177,539786.809768,201246.117975,540010.416566
G50K_R0015_C0099,서초구,1165010300,우면동,1.0,15,99,50000.0,5.0,28.0,5.6,1561.71,3374.68,1561.71,6.0,6.0,0.031234,1.0,0.2,726.47,726.47,0.014529,N,N,37.458503,127.015348,201246.117975,539786.809768,201469.724773,540010.416566
G50K_R0015_C0107,서초구,1165010200,양재동,1.0,15,107,50000.0,5.0,18.0,3.6,18089.92,128379.6,18089.92,1.0,1.0,0.361798,1.0,0.2,18089.92,18089.92,0.361798,N,N,37.458499,127.035567,203034.972357,539786.809768,203258.579155,540010.416566
G50K_R0015_C0112,서초구,1165010400,원지동,2.0,15,112,50000.0,5.0,68.0,13.6,791.27,2315.27,791.27,3.0,3.0,0.015825,2.0,0.4,441.27,441.27,0.008825,N,N,37.458494,127.048204,204153.006346,539786.809768,204376.613143,540010.416566
G50K_R0015_C0115,서초구,1165011000,염곡동,1.0,15,115,50000.0,5.0,25.0,5.0,3128.83,9005.61,3128.83,17.0,17.0,0.062577,4.0,0.8,421.19,421.19,0.008424,N,N,37.458491,127.055786,204823.826739,539786.809768,205047.433537,540010.416566
