그리드ID,주요구,주요법정동코드,주요법정동명,격자_전체건물수,격자_상가수,격자_전체건물_입체화재하중밀도,격자_표제부매칭_보정밀도_후보_PK중복제거,건물ID,구,법정동코드,법정동명,주소,지번,건물용도코드,건물용도명,상가여부,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,총층수_보정,원본분자,보정분자,면적계산가능여부,보정사유,건물중심좌표_EPSG5186_x,건물중심좌표_EPSG5186_y,표제부매칭상태,표제부후보수,표제부면적양수후보수,표제부선택후보_출처,표제부선택후보_출처파일,표제부선택후보_대지위치,표제부선택후보_도로명대지위치,표제부선택후보_관리건축물대장PK,표제부선택후보_대장종류,표제부선택후보_건물명,표제부선택후보_주부속구분,표제부선택후보_주용도코드,표제부선택후보_주용도코드명,표제부선택후보_대지면적_m2,표제부선택후보_건축면적_m2,표제부선택후보_연면적_m2,표제부선택후보_총동연면적_m2,표제부선택후보_지상층수,표제부선택후보_지하층수,표제부선택후보_총층수,표제부선택후보_총층수_보정,표제부선택후보_표제부_원본분자_건축면적x총층수,표제부선택후보_표제부_보정분자_후보,표제부선택후보_표제부_보정사유_후보,표제부선택후보_사용승인일,표제부선택후보_생성일자
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191008914499898200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191078.621879,550294.900248,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191041964499586700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191111.676104,550263.74687,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191045704499552000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191115.417133,550260.280292,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191049444499519700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191119.147661,550257.051879,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191062674499405200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191132.383051,550245.599196,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191066534499370700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191136.241753,550242.154611,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191070554499335200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191140.264773,550238.598538,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0.0,0.006458,0000191111214499748600000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,222-1,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,191180.922779,550279.945016,표제부후보없음,0,0,,,,,,,,,,,,,,,,,0,,,,,,
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190747954502138800000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190817.656691,550518.95569,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190754164502086000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190823.868181,550513.674024,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190757284502111000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190826.988986,550516.171934,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190769254501964400000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190838.963669,550501.518061,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0.0,0.006458,0000190785684501915100000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,,,False,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,False,연면적_건축면적_0,190855.393761,550496.580927,표제부단일후보매칭,1,1,10개구_표제부_CSV,등기부등본_표제부_마포구.csv,서울특별시 마포구 망원동 205-4번지,서울특별시 마포구 마포나루길 467 (망원동),10151100185851,일반건축물,한강공원 망원안내센터,주건축물,03000,제1종근린생활시설,90704.0,342.23,322.9,322.9,2.0,1.0,3,3.0,1026.69,322.9,표제부_연면적사용,20060214,20220813
