그리드ID,주요구,주요법정동코드,주요법정동명,전체건물수,상가수,면적계산가능건물수,면적데이터_0여부,전체건물연면적합계_m2,전체건물입체화재하중_분자_원본,전체건물입체화재하중_분자,전체건물_입체화재하중밀도,기준면적_m2,표제부매칭_보정가능건물수,표제부매칭_보정가능_중복제거PK수,표제부매칭_중복매칭건물수_제외,표제부매칭_보정분자합계_후보_PK중복제거,표제부매칭_보정밀도_후보_PK중복제거,중심좌표_WGS84_위도,중심좌표_WGS84_경도,격자범위_EPSG5186_x_min,격자범위_EPSG5186_y_min,격자범위_EPSG5186_x_max,격자범위_EPSG5186_y_max,원천_밀도0_건물목록수
G50K_R0061_C0053,마포구,1144012300,망원동,8,0,0,Y,0.0,0.0,0.0,0.0,50000.0,7,1,6,322.9,0.006458,37.551137,126.898965,190960.205278,550072.722465,191183.812076,550296.329263,8
G50K_R0062_C0052,마포구,1144012300,망원동,18,0,0,Y,0.0,0.0,0.0,0.0,50000.0,16,1,15,322.9,0.006458,37.55315,126.896431,190736.598481,550296.329263,190960.205278,550519.93606,18
G50K_R0071_C0051,마포구,1144012700,상암동,2,0,0,Y,0.0,0.0,0.0,0.0,50000.0,2,1,1,79.3,0.001586,37.57128,126.893875,190512.991683,552308.790442,190736.598481,552532.39724,2
G50K_R0071_C0052,마포구,1144012700,상암동,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.571282,126.896406,190736.598481,552308.790442,190960.205278,552532.39724,3
G50K_R0057_C0060,마포구,1144012200,합정동,1,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.543092,126.916687,192525.452863,549178.295274,192749.05966,549401.902072,1
G50K_R0058_C0057,마포구,1144012200,합정동,1,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.545101,126.909094,191854.632469,549401.902072,192078.239267,549625.508869,1
G50K_R0059_C0056,마포구,1144012200,합정동,2,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.547114,126.906561,191631.025672,549625.508869,191854.632469,549849.115667,2
G50K_R0027_C0104,서초구,1165010800,서초동,16,0,0,Y,0.0,0.0,0.0,0.0,50000.0,7,2,5,25950.09,0.519002,37.482677,127.027994,202364.151964,542470.091341,202587.758761,542693.698139,16
G50K_R0009_C0114,서초구,1165011100,신원동,4,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.446404,127.05325,204600.219941,538445.168982,204823.826739,538668.77578,4
G50K_R0057_C0110,성동구,1120011400,성수동1가,7,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.543114,127.043198,203705.79275,549178.295274,203929.399548,549401.902072,7
G50K_R0058_C0109,성동구,1120011400,성수동1가,2,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.545129,127.040669,203482.185952,549401.902072,203705.79275,549625.508869,2
G50K_R0052_C0115,성동구,1120011500,성수동2가,1,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.533035,127.055841,204823.826739,548060.261285,205047.433537,548283.868083,1
G50K_R0025_C0142,송파구,1171010800,문정동,4,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.478586,127.124058,210861.210278,542022.877746,211084.817076,542246.484544,4
G50K_R0035_C0128,송파구,1171010600,삼전동,1,0,0,Y,0.0,0.0,0.0,0.0,50000.0,1,1,0,538.4,0.010768,37.498765,127.088689,207730.71511,544258.945723,207954.321907,544482.552521,1
G50K_R0035_C0135,송파구,1171010500,석촌동,2,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.49875,127.10639,209295.962694,544258.945723,209519.569492,544482.552521,2
G50K_R0035_C0136,송파구,1171010500,석촌동,4,0,0,Y,0.0,0.0,0.0,0.0,50000.0,1,1,0,8064.54,0.161291,37.498748,127.108919,209519.569492,544258.945723,209743.176289,544482.552521,4
G50K_R0041_C0134,송파구,1171010200,신천동,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,3,1,2,420309.54,8.406191,37.510841,127.103878,209072.355896,545600.58651,209295.962694,545824.193308,3
G50K_R0046_C0046,영등포구,1156012600,양평동2가,4,0,0,Y,0.0,0.0,0.0,0.0,50000.0,4,2,2,12782.57,0.255651,37.5209,126.881299,189394.957694,546718.620499,189618.564492,546942.227296,4
G50K_R0055_C0082,용산구,1117010500,남영동,32,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.539089,126.972353,197444.802413,548731.081678,197668.409211,548954.688476,32
G50K_R0045_C0091,용산구,1117013200,동빙고동,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.518945,126.995125,199457.263593,546495.013701,199680.870391,546718.620499,3
G50K_R0044_C0089,용산구,1117013300,서빙고동,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,3,2,1,18938.1,0.378762,37.51693,126.990067,199010.049997,546271.406903,199233.656795,546495.013701,3
G50K_R0054_C0087,용산구,1117010200,용산동2가,38,0,0,Y,0.0,0.0,0.0,0.0,50000.0,38,2,36,82.65,0.001653,37.537077,126.985004,198562.836402,548507.474881,198786.4432,548731.081678,38
G50K_R0056_C0085,용산구,1117010200,용산동2가,17,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.541105,126.979943,198115.622806,548954.688476,198339.229604,549178.295274,17
G50K_R0045_C0077,용산구,1117012900,이촌동,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,1,1,0,8126.17,0.162523,37.518938,126.959714,196326.768424,546495.013701,196550.375222,546718.620499,3
G50K_R0047_C0075,용산구,1117012900,이촌동,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.522966,126.954653,195879.554829,546942.227296,196103.161627,547165.834094,3
G50K_R0050_C0089,용산구,1117013000,이태원동,17,0,0,Y,0.0,0.0,0.0,0.0,50000.0,3,1,2,2016.15,0.040323,37.529018,126.990065,199010.049997,547613.04769,199233.656795,547836.654487,17
G50K_R0051_C0088,용산구,1117013000,이태원동,18,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.531033,126.987535,198786.4432,547836.654487,199010.049997,548060.261285,18
G50K_R0052_C0088,용산구,1117013000,이태원동,19,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.533048,126.987535,198786.4432,548060.261285,199010.049997,548283.868083,19
G50K_R0053_C0087,용산구,1117013000,이태원동,36,0,0,Y,0.0,0.0,0.0,0.0,50000.0,17,2,15,82.65,0.001653,37.535062,126.985005,198562.836402,548283.868083,198786.4432,548507.474881,36
G50K_R0050_C0082,용산구,1117012400,한강로1가,46,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.529016,126.972357,197444.802413,547613.04769,197668.409211,547836.654487,46
G50K_R0045_C0078,용산구,1117012800,한강로3가,3,0,0,Y,0.0,0.0,0.0,0.0,50000.0,0,0,0,0.0,0.0,37.518939,126.962243,196550.375222,546495.013701,196773.98202,546718.620499,3
