그리드ID,주요구,주요법정동코드,주요법정동명,이상건물수,건축면적_연면적초과_건물수,건축면적x총층수_연면적초과_건물수,원래분자_합계,보정후분자_합계,분자감소량_합계,원래밀도기여도_합계,보정후밀도기여도_합계,밀도감소량_합계,최대_원래밀도기여도,최대_밀도감소량,최대기여_주소,최대기여_지번,최대기여_건물ID,최대기여_건물용도명,최대기여_연면적,최대기여_건축면적,최대기여_총층수,최대기여_원래밀도기여도,최대기여_밀도감소량,최대기여_이상유형
G50K_R0062_C0019,강서구,1150010800,공항동,10,10,0,154886655.8,35296.5,154851359.3,3097.733116,0.70593,3097.027186,1370.37996,1370.321999,서울특별시 강서구 공항동,1373,2003183426934501915200000000,운수시설,2898.04,3425949.9,20.0,1370.37996,1370.321999,건축면적_연면적초과
G50K_R0046_C0137,송파구,1171010200,신천동,7,0,7,58743900.36,8065111.37,50678788.99,1174.878007,161.302227,1013.57578,206.54064,175.13924,서울특별시 송파구 신천동,20,2008209759774465693700000000,,1570070.0,271764.0,38.0,206.54064,175.13924,건축면적x총층수_연면적초과
G50K_R0047_C0138,송파구,1171010200,신천동,7,1,6,52870087.2,7943536.88,44926550.32,1057.401744,158.870738,898.531006,206.54064,175.13924,서울특별시 송파구 신천동,20,2008209924384466543200000000,,1570070.0,271764.0,38.0,206.54064,175.13924,건축면적x총층수_연면적초과
G50K_R0057_C0026,강서구,1150010300,화곡동,21,21,0,35684379.0,145696.1314,35538682.8686,713.68758,2.913923,710.773657,45.1701,45.099255,서울특별시 강서구 화곡동,1091,2002185051564490395900000000,공동주택,3542.241,150567.0,15.0,45.1701,45.099255,건축면적_연면적초과
G50K_R0063_C0018,강서구,1150010800,공항동,10,10,0,34276775.0,4063.23,34272711.77,685.5355,0.081265,685.454235,137.037996,137.021196,서울특별시 강서구 공항동,1373,2003183225304502263400000000,제2종근린생활시설,840.0,3425949.9,2.0,137.037996,137.021196,건축면적_연면적초과
G50K_R0065_C0110,성동구,1120010700,행당동,21,7,14,31321465.61,114142.985,31207322.625,626.429312,2.28286,624.146452,149.88876,149.090984,서울특별시 성동구 사근동,110,1972203826204508165900000000,의료시설,39888.8,356878.0,21.0,149.88876,149.090984,건축면적_연면적초과
G50K_R0063_C0017,강서구,1150010800,공항동,4,4,0,30833549.1,19396.96,30814152.14,616.670982,0.387939,616.283043,274.075992,273.725944,서울특별시 강서구 공항동,1373,1990182880934503819400000000,운수시설,17502.42,3425949.9,4.0,274.075992,273.725944,건축면적_연면적초과
G50K_R0064_C0111,성동구,1120010600,사근동,7,7,0,29438976.0,108744.06,29330231.94,588.77952,2.174881,586.604639,125.00544,124.729318,서울특별시 성동구 행당동,17,2000203969354504746500000000,교육연구시설,13806.12,520856.0,12.0,125.00544,124.729318,건축면적_연면적초과
G50K_R0063_C0030,강서구,1150010600,내발산동,36,17,19,24327152.0,128141.327,24199010.673,486.54304,2.562827,483.980213,40.178124,40.040909,서울특별시 강서구 내발산동,657,2005185970784503654800000000,공동주택,6860.77,95662.2,21.0,40.178124,40.040909,건축면적_연면적초과
G50K_R0060_C0030,강서구,1150010300,화곡동,22,15,7,23053358.3,76816.78,22976541.52,461.067166,1.536336,459.53083,46.712248,46.550796,서울특별시 강서구 화곡동,1159,2008185749804496704800000000,공동주택,8072.61,106164.2,22.0,46.712248,46.550796,건축면적_연면적초과
G50K_R0057_C0038,강서구,1150010200,등촌동,21,20,1,22204713.6,99156.7819,22105556.8181,444.094272,1.983136,442.111136,34.41832,34.330644,서울특별시 강서구 등촌동,715,2004187740104490148600000000,공동주택,4383.7882,86045.8,20.0,34.41832,34.330644,건축면적_연면적초과
G50K_R0058_C0026,강서구,1150010300,화곡동,14,14,0,21832215.0,82422.249,21749792.751,436.6443,1.648445,434.995855,45.1701,45.094601,서울특별시 강서구 화곡동,1091,2002185067324491204300000000,공동주택,3774.97,150567.0,15.0,45.1701,45.094601,건축면적_연면적초과
G50K_R0062_C0018,강서구,1150010800,공항동,3,3,0,20555699.4,82221.49,20473477.91,411.113988,1.64443,409.469558,274.075992,272.457551,서울특별시 강서구 공항동,1373,1986183082634501274900000000,운수시설,80922.07,3425949.9,4.0,274.075992,272.457551,건축면적_연면적초과
G50K_R0061_C0020,강서구,1150010800,공항동,9,9,0,18874393.2,36304.72,18838088.48,377.487864,0.726094,376.76177,342.59499,341.962091,서울특별시 강서구 공항동,1373,1986183559324499635000000000,창고시설,31644.93,3425949.9,5.0,342.59499,341.962091,건축면적_연면적초과
G50K_R0063_C0033,강서구,1150010300,화곡동,31,19,12,18754857.3,136079.98,18618777.32,375.097146,2.7216,372.375546,33.25425,33.097035,서울특별시 강서구 화곡동,1145,2003186574614503472000000000,공동주택,7860.75,66508.5,25.0,33.25425,33.097035,건축면적_연면적초과
