그리드ID,건물ID,구,법정동코드,법정동명,주소,지번,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,보정분자,보정사유
G50K_R0061_C0053,0000191008914499898200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191041964499586700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191045704499552000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191049444499519700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191062674499405200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191066534499370700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191070554499335200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0061_C0053,0000191111214499748600000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,222-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190747954502138800000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190754164502086000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190757284502111000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190769254501964400000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190785684501915100000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190786534502070300000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190791794502063800000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190796704501971900000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190829864501507400000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190833364501473700000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190837054501438200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190840544501405200000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190844384501370400000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190847764501337000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0062_C0052,0000190851614501301000000000,마포구,1144012300,망원동,서울특별시 마포구 망원동,205-4,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
