구분,사업장명,도로명전체주소
통합숙박업,AC 호텔 바이 메리어트 서울 강남,서울특별시 강남구 테헤란로25길 10 (역삼동)
통합숙박업,뉴데이호텔 강남도곡,서울특별시 강남구 도곡로 220 (도곡동)
통합숙박업,M호텔,"서울특별시 강남구 테헤란로27길 10 (역삼동, 외2필지)"
통합숙박업,AC호텔 바이 메리어트 서울 강남,"서울특별시 강남구 테헤란로25길 10, 지상3~20층 (역삼동)"
통합숙박업,로프트13,"서울특별시 마포구 서강로 132, BS타워 13층 (노고산동)"
통합숙박업,더집서울,"서울특별시 마포구 서강로 132, BS타워 4,7층 (노고산동)"
통합숙박업,더집서울,"서울특별시 마포구 서강로 132, BS타워 4,7층 (노고산동)"
통합숙박업,로프트13,"서울특별시 마포구 서강로 132, BS타워 13층 (노고산동)"
통합숙박업,가야라트리호텔,서울특별시 용산구 한강대로 253 (갈월동)
통합숙박업,신흥여인숙,서울특별시 용산구 후암로57길 3-7 (동자동)
통합숙박업,수정,서울특별시 종로구 종로67길 3-12 (숭인동)
통합숙박업,호텔가온,서울특별시 종로구 종로48길 17 (창신동)
통합숙박업,호텔가온골든파크,서울특별시 종로구 종로44길 77-0 (창신동)
통합숙박업,덕흥,서울특별시 종로구 보문로1길 7-14 (숭인동)
통합숙박업,와이키키,서울특별시 종로구 난계로29길 19-5 (숭인동)
통합숙박업,중앙여인숙,
통합숙박업,옥천여관,서울특별시 중구 충무로 68-9 (입정동)
통합숙박업,삼정여관,서울특별시 중구 세종대로2길 11 (남대문로5가)
통합숙박업,호텔 경동,서울특별시 중구 퇴계로12길 51 (회현동1가)
통합숙박업,Q모텔,"서울특별시 중구 다산로35길 19-1, 2,3층 (신당동)"
통합숙박업,호텔 아라,서울특별시 중구 을지로40길 21-38 (광희동1가)
통합숙박업,동대문인모텔(Dongdaemun Inn),서울특별시 중구 퇴계로 325-4 (광희동2가)
통합숙박업,평양여인숙,
통합숙박업,경주모텔,서울특별시 중구 충무로14길 6-12 (입정동)
통합숙박업,신세계,"서울특별시 중구 퇴계로12길 39-22, 신세계여관 (회현동1가)"
통합숙박업,레몬 게스트 하우스,서울특별시 중구 수표로 68 (수표동)
통합숙박업,우성빌,서울특별시 중구 난계로15길 10 (황학동)
민박업,스테이 에스제이,"서울특별시 마포구 신촌로2안길 42, 위저드 빌 II 2층 (동교동)"
민박업,Jobs,서울특별시 종로구 창의문로9길 33-1 (부암동)
민박업,원큐,"서울특별시 마포구 성미산로29길 42-7, 지층 (연남동)"
민박업,비엔비 강남,"서울특별시 서초구 서초대로73길 30, 504호 (서초동, 서초성우빌리지)"
민박업,해피홈,"서울특별시 용산구 우사단로12길 7-4, 2층 301호 (이태원동)"
민박업,Comestay,"서울특별시 송파구 풍성로10길 4, 301호 (풍납동)"
민박업,롬바드하우스,"서울특별시 마포구 동교로16길 17, 4층 (서교동)"
