대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 강남구 역삼동 601-21번지,11680,10100,0,601,21,1024123792,1,일반,2,일반건축물,서울특별시 강남구 봉은사로4길 7 (역삼동),,,,,0,116804166357.0,10101.0,0.0,7.0,,,0,주건축물,301.2,180.42,59.9,592.61,592.61,196.75,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,다가구주택,10.0,(철근)콘크리트,평슬라브,0,8,13.5,5,0,0,0,0,0.0,592.61,0,0.0,0,0.0,5,168.72,3,34.5,20010920,20011015,20020619.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 603번지,11680,10100,0,603,0,102419340,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 130 (역삼동),,,,,0,116803122004.0,10101.0,0.0,130.0,,노보텔앰배서더서울,0,주건축물,6228.9,2578.28,41.39,41813.29,18631.24,299.11,42.0,철골철근콘크리트구조,철골철근콘크리트조,15000,숙박시설,숙박시설 업무시설 운동시설 위락시설 근린생활시설,10.0,(철근)콘크리트,평슬라브,0,0,60.56,16,6,6,1,0,0.0,41813.29,0,0.0,0,0.0,317,0.0,17,0.0,19871102,198901,19930813.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 603-1번지,11680,10100,0,603,1,10241100259551,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 134 (역삼동),,,,,0,116803122004.0,10101.0,0.0,134.0,0.0,,0,주건축물,1078.4,532.32,49.36,8527.58,6538.71,606.33,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),10.0,(철근)콘크리트,평스라브,0,0,64.51,16,3,3,1,0,0.0,8527.58,60,0.0,0,0.0,0,0.0,2,0.0,20130911,20140127,20161118.0,2013.0,3220175.0,건축과,1101.0,신축허가,0,,0.0,80.2,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 604-7번지,11680,10100,0,604,7,1024120603,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 150 (역삼동),,,,,4,116803122004.0,10101.0,0.0,150.0,0.0,,0,주건축물,5867.5,2900.63,49.44,15535.14,12056.59,205.48,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 위락시설 근린생활시설 문화시설,10.0,(철근)콘크리트,평슬라브,0,0,37.1,11,2,4,1,0,0.0,15535.14,0,0.0,0,0.0,0,0.0,117,0.0,19971021,,19820122.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20250901,1.0,
서울특별시 강남구 역삼동 605번지,11680,10100,0,605,0,10241100294423,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 156 (역삼동),마티네 차움,,,,2,116803122004.0,10101.0,0.0,156.0,,,0,주건축물,1948.5,1020.9,52.39,21699.28,11629.92,596.86,42.0,철골철근콘크리트구조,철골철근콘크리트구조,15000,숙박시설,"숙박시설(의료관광호텔),의료시설,근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트,0,0,65.4,15,7,9,1,0,0.0,21699.28,0,0.0,0,0.0,111,0.0,0,0.0,20151221,20161229,20201008.0,2016.0,3220175.0,건축과,1101.0,신축허가,0,2,316.9,0.0,3.0,60.26,,0.0,20250411,1.0,0.2112g (수정메르칼리 진도 등급 VII)
서울특별시 강남구 역삼동 610-3번지,11680,10100,0,610,3,1024113101,1,일반,2,일반건축물,서울특별시 강남구 봉은사로24길 20 (역삼동),,,,,0,116804166342.0,10101.0,0.0,20.0,0.0,,0,주건축물,0.0,112.0,0.0,329.25,187.6,0.0,11.0,벽돌구조,연와조,01000,단독주택,주거시설,10.0,(철근)콘크리트,슬라브위기와,0,1,0.0,2,1,0,0,0,0.0,329.25,0,0.0,0,0.0,0,0.0,0,0.0,,,19820922.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 615-11번지,11680,10100,0,615,11,1024112536,1,일반,2,일반건축물,서울특별시 강남구 강남대로110길 31-1 (역삼동),,,,,0,116804166005.0,10101.0,0.0,31.0,1.0,,0,주건축물,262.9,103.77,39.47,186.54,179.27,68.19,11.0,벽돌구조,연와조,01000,단독주택,단독주택,10.0,(철근)콘크리트,슬라브,0,1,0.0,2,1,0,0,0,0.0,186.54,0,0.0,0,0.0,0,0.0,1,0.0,,,19731128.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 618-19번지,11680,10100,0,618,19,1024110030,1,일반,2,일반건축물,서울특별시 강남구 봉은사로18길 62 (역삼동),,,,,0,116804166337.0,10101.0,0.0,62.0,,,0,주건축물,427.5,202.67,47.41,575.74,379.53,88.78,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,10.0,(철근)콘크리트,슬라브,0,12,7.76,2,1,0,0,0,0.0,575.74,0,0.0,0,0.0,0,0.0,8,0.0,20010420,20010421,20011113.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 619-12번지,11680,10100,0,619,12,1024111534,1,일반,2,일반건축물,서울특별시 강남구 봉은사로18길 72 (역삼동),,,,,0,116804166337.0,10101.0,0.0,72.0,,,0,주건축물,367.1,198.96,54.2,657.81,493.11,134.33,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,10.0,(철근)콘크리트,평슬라브,0,9,9.4,3,1,0,0,0,0.0,657.81,0,0.0,0,0.0,0,0.0,5,57.5,19960228,19960516,19961113.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 621-8번지,11680,10100,0,621,8,1024121092,2,집합,3,표제부,서울특별시 강남구 봉은사로6길 52 (역삼동),,,,,0,116804166373.0,10101.0,0.0,52.0,,,0,주건축물,267.9,133.37,49.78,629.26,304.68,113.73,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10.0,(철근)콘크리트,"(철근)콘크리트,평스라브",11,0,9.85,3,2,0,0,0,0.0,629.26,0,0.0,0,0.0,8,0.0,0,0.0,20020228,20020511,20021224.0,2002.0,3220053.0,역삼1동,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
