좌표정보X(EPSG5174),좌표정보Y(EPSG5174),대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,도로명대지위치,연면적(㎡),대지면적(㎡),건축면적(㎡),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,용적률(%),건폐율(%),용적률산정연면적(㎡),용도지역,건폐율_법정상한(%),용적률_법정상한(%)
202256.81,444677.1,서울특별시 강남구 역삼동 601-21번지,11680,10100,0,601,21,1024123792,서울특별시 강남구 봉은사로4길 7 (역삼동),592.61,301.2,180.42,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,다가구주택,5,0,20020619.0,20010920.0,0,0,0.0,196.75,59.9,592.61,제3종일반주거지역,50.0,300.0
202482.7,444787.81,서울특별시 강남구 역삼동 603번지,11680,10100,0,603,0,102419340,서울특별시 강남구 봉은사로 130 (역삼동),41813.29,6228.9,2578.28,42.0,철골철근콘크리트구조,철골철근콘크리트조,15000,숙박시설,숙박시설 업무시설 운동시설 위락시설 근린생활시설,16,6,19930813.0,19871102.0,6,1,0.0,299.11,41.39,18631.24,"일반상업지역,제3종일반주거지역",50.0,300.0
202535.92,444822.17,서울특별시 강남구 역삼동 603-1번지,11680,10100,0,603,1,10241100259551,서울특별시 강남구 봉은사로 134 (역삼동),8527.58,1078.4,532.32,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),16,3,20161118.0,20130911.0,3,1,1.0,606.33,49.36,6538.71,"일반상업지역,제3종일반주거지역",50.0,300.0
202699.23,444846.76,서울특별시 강남구 역삼동 604-7번지,11680,10100,0,604,7,1024120603,서울특별시 강남구 봉은사로 150 (역삼동),15535.14,5867.5,2900.63,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 위락시설 근린생활시설 문화시설,11,2,19820122.0,19971021.0,4,1,1.0,205.48,49.44,12056.59,"일반상업지역,제3종일반주거지역",50.0,300.0
202743.0,444909.97,서울특별시 강남구 역삼동 605번지,11680,10100,0,605,0,10241100294423,서울특별시 강남구 봉은사로 156 (역삼동),21699.28,1948.5,1020.9,42.0,철골철근콘크리트구조,철골철근콘크리트구조,15000,숙박시설,"숙박시설(의료관광호텔),의료시설,근린생활시설",15,7,20201008.0,20151221.0,9,1,1.0,596.86,52.39,11629.92,"일반상업지역,제3종일반주거지역",50.0,300.0
202811.18,444812.58,서울특별시 강남구 역삼동 610-3번지,11680,10100,0,610,3,1024113101,서울특별시 강남구 봉은사로24길 20 (역삼동),329.25,164.62,112.0,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19820922.0,,0,0,0.0,100.0,50.0,187.6,제1종전용주거지역,50.0,100.0
202345.11,444650.56,서울특별시 강남구 역삼동 615-11번지,11680,10100,0,615,11,1024112536,서울특별시 강남구 강남대로110길 31-1 (역삼동),186.54,262.9,103.77,11.0,벽돌구조,연와조,01000,단독주택,단독주택,2,1,19731128.0,,0,0,0.0,68.19,39.47,179.27,제1종전용주거지역,50.0,100.0
202415.03,444488.15,서울특별시 강남구 역삼동 618-19번지,11680,10100,0,618,19,1024110030,서울특별시 강남구 봉은사로18길 62 (역삼동),575.74,427.5,202.67,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,2,1,20011113.0,20010420.0,0,0,0.0,88.78,47.41,379.53,제1종전용주거지역,50.0,100.0
202375.73,444430.26,서울특별시 강남구 역삼동 619-12번지,11680,10100,0,619,12,1024111534,서울특별시 강남구 봉은사로18길 72 (역삼동),657.81,367.1,198.96,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19961113.0,19960228.0,0,0,0.0,134.33,54.2,493.11,제2종일반주거지역,60.0,250.0
202478.26,444458.56,서울특별시 강남구 역삼동 621-8번지,11680,10100,0,621,8,1024121092,서울특별시 강남구 봉은사로6길 52 (역삼동),629.26,267.9,133.37,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,3,2,20021224.0,20020228.0,0,0,0.0,113.73,49.78,304.68,제1종전용주거지역,50.0,100.0
202483.23,444497.88,서울특별시 강남구 역삼동 622-16번지,11680,10100,0,622,16,102415350,서울특별시 강남구 봉은사로6길 55-1 (역삼동),309.09,154.54,105.88,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19830708.0,19830318.0,0,0,0.0,100.0,50.0,181.04,제1종전용주거지역,50.0,100.0
202559.69,444606.21,서울특별시 강남구 역삼동 623-7번지,11680,10100,0,623,7,1024110511,서울특별시 강남구 강남대로110길 59 (역삼동),315.29,320.7,126.41,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19920603.0,19910612.0,0,0,0.0,66.08,39.42,211.93,제1종전용주거지역,50.0,100.0
202595.17,444581.14,서울특별시 강남구 역삼동 623-22번지,11680,10100,0,623,22,1024121750,서울특별시 강남구 테헤란로13길 65 (역삼동),255.81,362.5,140.54,11.0,벽돌구조,연와조,03000,제1종근린생활시설,근린생활시설,2,1,19850706.0,19850325.0,0,0,0.0,60.79,38.77,220.36,제1종전용주거지역,50.0,100.0
202854.22,444595.05,서울특별시 강남구 역삼동 626-24번지,11680,10100,0,626,24,102415950,서울특별시 강남구 테헤란로19길 52 (역삼동),249.63,361.6,92.68,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19891229.0,19890126.0,0,0,0.0,45.76,25.63,165.48,제1종전용주거지역,50.0,100.0
202881.57,444632.32,서울특별시 강남구 역삼동 626-29번지,11680,10100,0,626,29,1024112250,서울특별시 강남구 봉은사로20길 52 (역삼동),260.82,130.41,96.36,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19830913.0,19830210.0,0,0,0.0,100.0,50.0,164.46,제1종전용주거지역,50.0,100.0
203033.44,444637.16,서울특별시 강남구 역삼동 628-12번지,11680,10100,0,628,12,10241100268074,서울특별시 강남구 논현로 533 (역삼동),1956.35,541.5,269.59,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),8,2,20171222.0,20151218.0,2,0,1.0,279.62,49.79,1514.16,제3종일반주거지역,50.0,300.0
202704.86,444276.21,서울특별시 강남구 역삼동 636-24번지,11680,10100,0,636,24,1024123008,서울특별시 강남구 강남대로94길 51-4 (역삼동),659.5,356.5,189.6,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19951125.0,19950721.0,0,0,0.0,139.02,53.18,495.6,제2종일반주거지역,60.0,250.0
202877.4,444457.5,서울특별시 강남구 역삼동 638-6번지,11680,10100,0,638,6,102416645,서울특별시 강남구 테헤란로19길 34-5 (역삼동),106.56,83.9,38.52,11.0,벽돌구조,연와조,01000,단독주택,주거시설,2,1,19910601.0,19910107.0,0,0,0.0,81.1,45.91,68.04,제1종전용주거지역,50.0,100.0
202929.49,444433.24,서울특별시 강남구 역삼동 639-15번지,11680,10100,0,639,15,102416797,서울특별시 강남구 논현로95길 24 (역삼동),590.44,256.4,152.4,21.0,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,제2종근린생활시설 / 단독주택,5,0,20040119.0,20030625.0,1,0,0.0,230.28,59.44,590.44,제2종일반주거지역,60.0,250.0
203095.19,444354.43,서울특별시 강남구 역삼동 642-2번지,11680,10100,0,642,2,1024114891,서울특별시 강남구 테헤란로25길 6-13 (역삼동),1999.18,420.7,247.25,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,관광숙박시설-관광호텔,10,1,20030127.0,20011114.0,2,0,1.0,457.49,58.77,1924.65,일반상업지역,80.0,800.0
202985.41,444343.59,서울특별시 강남구 역삼동 644-13번지,11680,10100,0,644,13,1024117558,서울특별시 강남구 테헤란로21길 14 (역삼동),992.46,655.2,259.84,21.0,철근콘크리트구조,철근콘크리트조,02000,공동주택,연립주택,3,1,19910614.0,19891102.0,0,0,0.0,115.84,39.66,758.97,제3종일반주거지역,50.0,300.0
