대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 강남구 역삼동 603번지,11680,10100,0,603,0,102419340,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 130 (역삼동),,,,,0,116803122004.0,10101.0,0.0,130.0,,노보텔앰배서더서울,0,주건축물,6228.9,2578.28,41.39,41813.29,18631.24,299.11,42.0,철골철근콘크리트구조,철골철근콘크리트조,15000,숙박시설,숙박시설 업무시설 운동시설 위락시설 근린생활시설,10.0,(철근)콘크리트,평슬라브,0,0,60.56,16,6,6,1,0,0.0,41813.29,0,0.0,0,0.0,317,0.0,17,0.0,19871102,198901,19930813.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 603-1번지,11680,10100,0,603,1,10241100259551,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 134 (역삼동),,,,,0,116803122004.0,10101.0,0.0,134.0,0.0,,0,주건축물,1078.4,532.32,49.36,8527.58,6538.71,606.33,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),10.0,(철근)콘크리트,평스라브,0,0,64.51,16,3,3,1,0,0.0,8527.58,60,0.0,0,0.0,0,0.0,2,0.0,20130911,20140127,20161118.0,2013.0,3220175.0,건축과,1101.0,신축허가,0,,0.0,80.2,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 604-7번지,11680,10100,0,604,7,1024120603,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 150 (역삼동),,,,,4,116803122004.0,10101.0,0.0,150.0,0.0,,0,주건축물,5867.5,2900.63,49.44,15535.14,12056.59,205.48,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 위락시설 근린생활시설 문화시설,10.0,(철근)콘크리트,평슬라브,0,0,37.1,11,2,4,1,0,0.0,15535.14,0,0.0,0,0.0,0,0.0,117,0.0,19971021,,19820122.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20250901,1.0,
서울특별시 강남구 역삼동 605번지,11680,10100,0,605,0,10241100294423,1,일반,2,일반건축물,서울특별시 강남구 봉은사로 156 (역삼동),마티네 차움,,,,2,116803122004.0,10101.0,0.0,156.0,,,0,주건축물,1948.5,1020.9,52.39,21699.28,11629.92,596.86,42.0,철골철근콘크리트구조,철골철근콘크리트구조,15000,숙박시설,"숙박시설(의료관광호텔),의료시설,근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트,0,0,65.4,15,7,9,1,0,0.0,21699.28,0,0.0,0,0.0,111,0.0,0,0.0,20151221,20161229,20201008.0,2016.0,3220175.0,건축과,1101.0,신축허가,0,2,316.9,0.0,3.0,60.26,,0.0,20250411,1.0,0.2112g (수정메르칼리 진도 등급 VII)
서울특별시 강남구 역삼동 628-12번지,11680,10100,0,628,12,10241100268074,1,일반,2,일반건축물,서울특별시 강남구 논현로 533 (역삼동),Hotel Senne,,,,0,116803121022.0,10101.0,0.0,533.0,,,0,주건축물,541.5,269.59,49.79,1956.35,1514.16,279.62,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광호텔),10.0,(철근)콘크리트,(철근)콘크리트,0,0,31.44,8,2,2,0,0,0.0,1956.35,24,50.75,0,0.0,0,0.0,1,12.0,20151218,20160623,20171222.0,2015.0,3220175.0,건축과,1101.0,신축허가,0,,0.0,67.6,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 642-2번지,11680,10100,0,642,2,1024114891,1,일반,2,일반건축물,서울특별시 강남구 테헤란로25길 6-13 (역삼동),노블레스,,,,0,116804166726.0,10101.0,0.0,6.0,13.0,,0,주건축물,420.7,247.25,58.77,1999.18,1924.65,457.49,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,관광숙박시설-관광호텔,10.0,(철근)콘크리트,(철근)콘크리트평슬라브,0,0,29.8,10,1,2,0,0,0.0,1999.18,0,0.0,0,0.0,7,80.5,0,0.0,20011114,200204,20030127.0,2001.0,3220088.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 647-6번지,11680,10100,0,647,6,10241100183427,1,일반,2,일반건축물,서울특별시 강남구 테헤란로13길 8-5 (역삼동),블루-b,,,,0,116804166718.0,10101.0,0.0,8.0,5.0,주건축물제1동,0,주건축물,348.0,208.14,59.81,1999.94,1642.28,471.92,21.0,철근콘크리트구조,철근콘크리트구조,14000,업무시설,"근린생활시설, 업무시설",10.0,(철근)콘크리트,평슬라브,0,0,29.87,10,2,1,0,0,0.0,1999.94,9,145.41,0,0.0,0,0.0,0,0.0,20070706,20070724,20080528.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20250904,,
서울특별시 강남구 역삼동 648-7번지,11680,10100,0,648,7,1024124310,1,일반,2,일반건축물,서울특별시 강남구 강남대로94길 56-4 (역삼동),,,,,1,116804166037.0,10101.0,0.0,56.0,4.0,,0,주건축물,313.24,187.84,59.97,1855.58,1446.74,461.86,21.0,철근콘크리트구조,철근콘크리트구조(경량철골구조),15000,숙박시설,"숙박시설,위락시설,제2종근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트(기타(샌드위치판넬)),0,0,29.8,9,2,1,0,0,0.0,1855.58,0,0.0,0,0.0,8,92.0,0,0.0,20030211,20030513,20040924.0,2003.0,3220088.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
서울특별시 강남구 역삼동 659-7번지,11680,10100,0,659,7,1024117478,1,일반,2,일반건축물,서울특별시 강남구 논현로 548 (역삼동),,,,,0,116803121022.0,10101.0,0.0,548.0,0.0,,0,주건축물,0.0,231.21,0.0,1047.49,843.42,0.0,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,"숙박시설, 근린생활시설",10.0,(철근)콘크리트,슬라브,0,0,0.0,4,1,0,0,0,0.0,1047.49,0,0.0,0,0.0,0,0.0,0,0.0,,,19810908.0,,,,,,0,,0.0,0.0,,0.0,,0.0,20220813,0.0,
서울특별시 강남구 역삼동 675-3번지,11680,10100,0,675,3,10241100235950,2,집합,3,표제부,서울특별시 강남구 언주로 517 (역삼동),KT강남,,,,0,116803005086.0,10101.0,0.0,517.0,,IDC,0,주건축물,6791.9,1092.22,16.08,23690.85,13667.84,201.24,42.0,철골철근콘크리트구조,철골철근콘크리트구조,24000,방송통신시설,"방송통신시설,근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트,0,0,66.56,14,7,2,1,0,0.0,23690.85,0,0.0,0,0.0,253,11327.6,0,0.0,20030617,20040608,20140730.0,2003.0,3220088.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0.0,20231121,1.0,
