구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
종로구,,서울YMCA관광호텔,1965,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169
종로구,관훈동,호텔 썬비,2003,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804
종로구,인의동,이스트 아뜰리에,1985,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429
종로구,숭인동,U-STAY HOSTEL,1996,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561
종로구,낙원동,목시 서울 인사동 호텔,2019,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583
종로구,이화동,글루호텔,2019,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946
종로구,,진가,1967,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348
종로구,묘동,킴스텔코리아 종로점,1965,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465
종로구,창신동,호스텔 메가 동대문역,1992,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028
종로구,봉익동,포레스트 스테이 종로,2007,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197
종로구,관철동,MOMENTO HOSTEL,1959,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997
종로구,숭인동,더온재,1994,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051
중구,남창동,케이팝 서울타워 호스텔,2014,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629
종로구,창신동,247 HOSTEL SEOUL,1989,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811
종로구,관철동,찰나 호스텔,1975,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934
종로구,,스테이울림,1972,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024
종로구,,편안정 종로5가점,1967,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472
종로구,창신동,동대문 스테이가든,1959,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641
종로구,,고유리(Goyu;re),1975,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223
종로구,충신동,온코리아 스테이,1994,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668
종로구,낙원동,하프레스트 호스텔,2000,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245
종로구,숭인동,엔조이스테이 호스텔,2024,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285
종로구,창신동,이온호텔,2022,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959
종로구,관철동,오아시스 트레블러스 종로,1969,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866
종로구,관철동,스테이 마루 종로,1965,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778
종로구,창신동,동대문인순,1934,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919
종로구,권농동,스테이 종로 온당,2009,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732
종로구,,편안정,1980,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942
종로구,낙원동,소락방 주식회사,1971,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431
종로구,연지동,스테이누아 종로,1992,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041
종로구,관철동,1996 종로인,1996,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896
종로구,관수동,THE EXTAY LOUNGE,2023,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426
종로구,견지동,더프리마호텔 종로,1971,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937
종로구,숭인동,서울앤호텔 동대문,2017,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352
종로구,와룡동,클래식 아파트먼트 익선,1965,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488
종로구,효제동,하우스 오손 종묘점,1991,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539
종로구,관수동,HELLO HOSTEL,1965,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336
종로구,충신동,연경당,2019,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269
종로구,숭인동,호텔 DM,2020,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129
