그리드ID,주요구,주요법정동코드,주요법정동명,포함법정동수,그리드행,그리드열,기준면적_m2,기준면적_ha,전체건물수,상가수,상가연면적합계_m2,상가입체화재하중_분자,숙박시설수,숙박연면적합계_m2,숙박입체화재하중_분자,복합입체화재하중_분자,상가수_per_ha,숙박시설수_per_ha,상가연면적_per_ha,숙박연면적_per_ha,상가_입체화재하중밀도,숙박_입체화재하중밀도,복합_입체화재하중밀도,상가숙박_개수,상가숙박_개수_per_ha,건물데이터_0여부,중심위도,중심경도,x_min_EPSG5186,y_min_EPSG5186,x_max_EPSG5186,y_max_EPSG5186
G50K_R0001_C0121,서초구,1165011100,신원동,1,1,121,50000.0,5.0,6,1,215.99,688.0,0,0.0,0.0,688.0,0.2,0.0,43.198,0.0,0.01376,0.0,0.01376,1,0.2,N,37.430276,127.070924,206165.467525,536656.3146,206389.074323,536879.921398
G50K_R0003_C0121,서초구,1165011100,신원동,1,3,121,50000.0,5.0,19,1,149.92,149.92,0,0.0,0.0,149.92,0.2,0.0,29.984,0.0,0.002998,0.0,0.002998,1,0.2,N,37.434306,127.070927,206165.467525,537103.528195,206389.074323,537327.134993
G50K_R0004_C0121,서초구,1165011100,신원동,1,4,121,50000.0,5.0,10,1,257.63,1245.0,0,0.0,0.0,1245.0,0.2,0.0,51.526,0.0,0.0249,0.0,0.0249,1,0.2,N,37.436321,127.070929,206165.467525,537327.134993,206389.074323,537550.741791
G50K_R0007_C0115,서초구,1165010400,원지동,1,7,115,50000.0,5.0,25,10,2097.88,8977.14,0,0.0,0.0,8977.14,2.0,0.0,419.576,0.0,0.179543,0.0,0.179543,10,2.0,N,37.442373,127.055774,204823.826739,537997.955386,205047.433537,538221.562184
G50K_R0007_C0116,서초구,1165010400,원지동,1,7,116,50000.0,5.0,6,2,408.62,2178.72,0,0.0,0.0,2178.72,0.4,0.0,81.724,0.0,0.043574,0.0,0.043574,2,0.4,N,37.442372,127.058301,205047.433537,537997.955386,205271.040334,538221.562184
G50K_R0007_C0118,서초구,1165011100,신원동,1,7,118,50000.0,5.0,6,1,12.89,724536.0,0,0.0,0.0,724536.0,0.2,0.0,2.578,0.0,14.49072,0.0,14.49072,1,0.2,N,37.442369,127.063354,205494.647132,537997.955386,205718.25393,538221.562184
G50K_R0008_C0115,서초구,1165010400,원지동,1,8,115,50000.0,5.0,30,21,6651.21,18393.47,0,0.0,0.0,18393.47,4.2,0.0,1330.242,0.0,0.367869,0.0,0.367869,21,4.2,N,37.444388,127.055776,204823.826739,538221.562184,205047.433537,538445.168982
G50K_R0008_C0116,서초구,1165011100,신원동,2,8,116,50000.0,5.0,41,17,4380.61,14273.42,0,0.0,0.0,14273.42,3.4,0.0,876.122,0.0,0.285468,0.0,0.285468,17,3.4,N,37.444386,127.058302,205047.433537,538221.562184,205271.040334,538445.168982
G50K_R0009_C0114,서초구,1165011100,신원동,1,9,114,50000.0,5.0,4,0,0.0,0.0,1,20177.715,20177.715,20177.715,0.0,0.2,0.0,4035.543,0.0,0.403554,0.403554,1,0.2,N,37.446404,127.05325,204600.219941,538445.168982,204823.826739,538668.77578
G50K_R0009_C0115,서초구,1165011100,신원동,1,9,115,50000.0,5.0,10,1,297.46,990.0,0,0.0,0.0,990.0,0.2,0.0,59.492,0.0,0.0198,0.0,0.0198,1,0.2,N,37.446402,127.055777,204823.826739,538445.168982,205047.433537,538668.77578
G50K_R0009_C0116,서초구,1165011100,신원동,1,9,116,50000.0,5.0,62,21,5554.31,17690.3,0,0.0,0.0,17690.3,4.2,0.0,1110.862,0.0,0.353806,0.0,0.353806,21,4.2,N,37.446401,127.058304,205047.433537,538445.168982,205271.040334,538668.77578
G50K_R0010_C0116,서초구,1165011100,신원동,1,10,116,50000.0,5.0,30,4,624.48,2888.0,0,0.0,0.0,2888.0,0.8,0.0,124.896,0.0,0.05776,0.0,0.05776,4,0.8,N,37.448416,127.058306,205047.433537,538668.77578,205271.040334,538892.382577
G50K_R0012_C0112,서초구,1165010400,원지동,1,12,112,50000.0,5.0,23,2,310.92,2977.0,0,0.0,0.0,2977.0,0.4,0.0,62.184,0.0,0.05954,0.0,0.05954,2,0.4,N,37.45245,127.0482,204153.006346,539115.989375,204376.613143,539339.596173
G50K_R0012_C0115,서초구,1165011100,신원동,1,12,115,50000.0,5.0,37,5,1370.6,4143.0,0,0.0,0.0,4143.0,1.0,0.0,274.12,0.0,0.08286,0.0,0.08286,5,1.0,N,37.452447,127.055781,204823.826739,539115.989375,205047.433537,539339.596173
G50K_R0012_C0119,서초구,1165010900,내곡동,1,12,119,50000.0,5.0,43,5,1225.24,3916.38,0,0.0,0.0,3916.38,1.0,0.0,245.048,0.0,0.078328,0.0,0.078328,5,1.0,N,37.452441,127.06589,205718.25393,539115.989375,205941.860728,539339.596173
G50K_R0012_C0123,서초구,1165010900,내곡동,1,12,123,50000.0,5.0,12,2,331.65,1520.0,0,0.0,0.0,1520.0,0.4,0.0,66.33,0.0,0.0304,0.0,0.0304,2,0.4,N,37.452435,127.075999,206612.681121,539115.989375,206836.287919,539339.596173
G50K_R0012_C0125,서초구,1165010900,내곡동,1,12,125,50000.0,5.0,24,2,430.87,1782.0,0,0.0,0.0,1782.0,0.4,0.0,86.174,0.0,0.03564,0.0,0.03564,2,0.4,N,37.452432,127.081053,207059.894716,539115.989375,207283.501514,539339.596173
G50K_R0013_C0112,서초구,1165010400,원지동,1,13,112,50000.0,5.0,27,1,249.04,1032.0,0,0.0,0.0,1032.0,0.2,0.0,49.808,0.0,0.02064,0.0,0.02064,1,0.2,N,37.454465,127.048201,204153.006346,539339.596173,204376.613143,539563.202971
G50K_R0013_C0113,서초구,1165011100,신원동,2,13,113,50000.0,5.0,23,9,1385.6,5565.0,0,0.0,0.0,5565.0,1.8,0.0,277.12,0.0,0.1113,0.0,0.1113,9,1.8,N,37.454464,127.050729,204376.613143,539339.596173,204600.219941,539563.202971
G50K_R0013_C0114,서초구,1165011100,신원동,1,13,114,50000.0,5.0,62,8,1882.01,4218.48,0,0.0,0.0,4218.48,1.6,0.0,376.402,0.0,0.08437,0.0,0.08437,8,1.6,N,37.454462,127.053256,204600.219941,539339.596173,204823.826739,539563.202971
G50K_R0013_C0115,서초구,1165011100,신원동,1,13,115,50000.0,5.0,35,4,537.83,1812.69,0,0.0,0.0,1812.69,0.8,0.0,107.566,0.0,0.036254,0.0,0.036254,4,0.8,N,37.454461,127.055783,204823.826739,539339.596173,205047.433537,539563.202971
G50K_R0013_C0119,서초구,1165010900,내곡동,1,13,119,50000.0,5.0,50,12,5844.67,14692.0,0,0.0,0.0,14692.0,2.4,0.0,1168.934,0.0,0.29384,0.0,0.29384,12,2.4,N,37.454456,127.065892,205718.25393,539339.596173,205941.860728,539563.202971
G50K_R0013_C0120,서초구,1165010900,내곡동,1,13,120,50000.0,5.0,17,3,994.13,2583.0,0,0.0,0.0,2583.0,0.6,0.0,198.826,0.0,0.05166,0.0,0.05166,3,0.6,N,37.454455,127.068419,205941.860728,539339.596173,206165.467525,539563.202971
G50K_R0013_C0123,서초구,1165010900,내곡동,1,13,123,50000.0,5.0,14,2,427.84,1980.0,0,0.0,0.0,1980.0,0.4,0.0,85.568,0.0,0.0396,0.0,0.0396,2,0.4,N,37.45445,127.076001,206612.681121,539339.596173,206836.287919,539563.202971
G50K_R0013_C0125,서초구,1165010900,내곡동,1,13,125,50000.0,5.0,40,2,423.08,916.62,0,0.0,0.0,916.62,0.4,0.0,84.616,0.0,0.018332,0.0,0.018332,2,0.4,N,37.454447,127.081055,207059.894716,539339.596173,207283.501514,539563.202971
G50K_R0013_C0128,서초구,1165010900,내곡동,1,13,128,50000.0,5.0,3,1,64.0,7682.0,0,0.0,0.0,7682.0,0.2,0.0,12.8,0.0,0.15364,0.0,0.15364,1,0.2,N,37.454441,127.088637,207730.71511,539339.596173,207954.321907,539563.202971
G50K_R0014_C0099,서초구,1165010300,우면동,1,14,99,50000.0,5.0,12,5,7797.28,14595.7,0,0.0,0.0,14595.7,1.0,0.0,1559.456,0.0,0.291914,0.0,0.291914,5,1.0,N,37.456488,127.015348,201246.117975,539563.202971,201469.724773,539786.809768
G50K_R0014_C0113,서초구,1165011100,신원동,1,14,113,50000.0,5.0,13,2,317.97,1437.32,0,0.0,0.0,1437.32,0.4,0.0,63.594,0.0,0.028746,0.0,0.028746,2,0.4,N,37.456478,127.05073,204376.613143,539563.202971,204600.219941,539786.809768
G50K_R0014_C0114,서초구,1165011100,신원동,1,14,114,50000.0,5.0,3,1,228.24,1396.0,0,0.0,0.0,1396.0,0.2,0.0,45.648,0.0,0.02792,0.0,0.02792,1,0.2,N,37.456477,127.053257,204600.219941,539563.202971,204823.826739,539786.809768
G50K_R0014_C0115,서초구,1165011000,염곡동,2,14,115,50000.0,5.0,15,3,453.35,1454.88,0,0.0,0.0,1454.88,0.6,0.0,90.67,0.0,0.029098,0.0,0.029098,3,0.6,N,37.456476,127.055784,204823.826739,539563.202971,205047.433537,539786.809768
G50K_R0014_C0116,서초구,1165011000,염곡동,2,14,116,50000.0,5.0,17,5,3877.79,14791.84,0,0.0,0.0,14791.84,1.0,0.0,775.558,0.0,0.295837,0.0,0.295837,5,1.0,N,37.456475,127.058312,205047.433537,539563.202971,205271.040334,539786.809768
G50K_R0014_C0118,서초구,1165010900,내곡동,1,14,118,50000.0,5.0,30,4,1291.15,2896.0,0,0.0,0.0,2896.0,0.8,0.0,258.23,0.0,0.05792,0.0,0.05792,4,0.8,N,37.456472,127.063366,205494.647132,539563.202971,205718.25393,539786.809768
G50K_R0014_C0119,서초구,1165010900,내곡동,1,14,119,50000.0,5.0,16,2,773.5,1994.04,0,0.0,0.0,1994.04,0.4,0.0,154.7,0.0,0.039881,0.0,0.039881,2,0.4,N,37.456471,127.065894,205718.25393,539563.202971,205941.860728,539786.809768
G50K_R0014_C0120,서초구,1165010900,내곡동,1,14,120,50000.0,5.0,8,2,756.81,1734.0,0,0.0,0.0,1734.0,0.4,0.0,151.362,0.0,0.03468,0.0,0.03468,2,0.4,N,37.456469,127.068421,205941.860728,539563.202971,206165.467525,539786.809768
G50K_R0014_C0121,서초구,1165010900,내곡동,1,14,121,50000.0,5.0,12,2,461.52,1708.0,0,0.0,0.0,1708.0,0.4,0.0,92.304,0.0,0.03416,0.0,0.03416,2,0.4,N,37.456468,127.070948,206165.467525,539563.202971,206389.074323,539786.809768
G50K_R0014_C0123,서초구,1165010900,내곡동,1,14,123,50000.0,5.0,4,1,223.65,512.0,0,0.0,0.0,512.0,0.2,0.0,44.73,0.0,0.01024,0.0,0.01024,1,0.2,N,37.456465,127.076003,206612.681121,539563.202971,206836.287919,539786.809768
G50K_R0014_C0125,서초구,1165010900,내곡동,1,14,125,50000.0,5.0,19,3,391.2,1980.0,0,0.0,0.0,1980.0,0.6,0.0,78.24,0.0,0.0396,0.0,0.0396,3,0.6,N,37.456461,127.081057,207059.894716,539563.202971,207283.501514,539786.809768
G50K_R0014_C0128,서초구,1165010900,내곡동,1,14,128,50000.0,5.0,24,3,391.0,391.0,0,0.0,0.0,391.0,0.6,0.0,78.2,0.0,0.00782,0.0,0.00782,3,0.6,N,37.456456,127.088639,207730.71511,539563.202971,207954.321907,539786.809768
G50K_R0015_C0088,서초구,1165010100,방배동,1,15,88,50000.0,5.0,1,1,6093.19,6093.19,0,0.0,0.0,6093.19,0.2,0.0,1218.638,0.0,0.121864,0.0,0.121864,1,0.2,N,37.458503,126.987547,198786.4432,539786.809768,199010.049997,540010.416566
G50K_R0015_C0097,서초구,1165010300,우면동,1,15,97,50000.0,5.0,9,1,199.2,704.0,0,0.0,0.0,704.0,0.2,0.0,39.84,0.0,0.01408,0.0,0.01408,1,0.2,N,37.458503,127.010293,200798.904379,539786.809768,201022.511177,540010.416566
G50K_R0015_C0098,서초구,1165010300,우면동,1,15,98,50000.0,5.0,61,8,3093.84,9625.0,0,0.0,0.0,9625.0,1.6,0.0,618.768,0.0,0.1925,0.0,0.1925,8,1.6,N,37.458503,127.012821,201022.511177,539786.809768,201246.117975,540010.416566
G50K_R0015_C0099,서초구,1165010300,우면동,1,15,99,50000.0,5.0,28,1,726.47,1716.0,0,0.0,0.0,1716.0,0.2,0.0,145.294,0.0,0.03432,0.0,0.03432,1,0.2,N,37.458503,127.015348,201246.117975,539786.809768,201469.724773,540010.416566
G50K_R0015_C0107,서초구,1165010200,양재동,1,15,107,50000.0,5.0,18,1,18089.92,128379.6,0,0.0,0.0,128379.6,0.2,0.0,3617.984,0.0,2.567592,0.0,2.567592,1,0.2,N,37.458499,127.035567,203034.972357,539786.809768,203258.579155,540010.416566
