구,법정동코드,법정동명,면적_m2,면적_ha,전체건물수,전체연면적합계_m2,상가수,상가연면적합계_m2,상가입체화재하중_분자,숙박시설수,숙박연면적합계_m2,숙박입체화재하중_분자,복합입체화재하중_분자,상가수_per_ha,숙박시설수_per_ha,상가연면적_per_ha,숙박연면적_per_ha,상가_입체화재하중밀도,숙박_입체화재하중밀도,복합_입체화재하중밀도,상가숙박_개수,상가숙박_개수_per_ha
종로구,1111011800,내수동,72577.375088,7.257738,35,405588.35,14,11524.99,26024.91,2,3642.99,3642.99,29667.9,1.928976,0.275568,1587.959056,501.945681,0.358582,0.050195,0.408776,16,2.204544
중구,1114016200,신당동,2386775.722243,238.677572,7364,3406308.7543,1397,985312.9133,1720823.8681,62,75047.89,75047.89,1795871.7581,5.853085,0.259765,4128.217428,314.432099,0.720983,0.031443,0.752426,1459,6.112849
강서구,1150010900,방화동,5030636.233047,503.063623,4331,3018700.3874,637,340001.445,971154.29,25,63661.1118,63661.1118,1034815.4018,1.266241,0.049696,675.861719,126.54684,0.193048,0.012655,0.205703,662,1.315937
종로구,1111017100,명륜2가,107491.892575,10.749189,323,196040.77,143,58442.12,107352.21,5,2285.26,2285.26,109637.47,13.303329,0.465151,5436.886318,212.598359,0.998701,0.02126,1.01996,148,13.76848
종로구,1111010200,신교동,100038.379438,10.003838,197,156630.0,12,7025.09,15470.36,5,1750.46,1750.46,17220.82,1.19954,0.499808,702.239484,174.978844,0.154644,0.017498,0.172142,17,1.699348
종로구,1111014200,소격동,59623.960808,5.962396,107,70099.76,59,13489.58,34791.52,1,143.14,143.14,34934.66,9.895351,0.167718,2262.442786,24.007127,0.583516,0.002401,0.585916,60,10.063068
종로구,1111012200,청진동,61983.805782,6.198381,308,73174.62,68,9697.54,12699.73,1,1578.9,1578.9,14278.63,10.970607,0.161332,1564.528005,254.727824,0.204888,0.025473,0.230361,69,11.13194
종로구,1111010800,통인동,47802.274575,4.780227,240,41740.68,85,17025.95,29751.17,8,1735.52,1735.52,31486.69,17.781581,1.673561,3561.744739,363.062222,0.62238,0.036306,0.658686,93,19.455141
종로구,1111010900,누상동,267585.258419,26.758526,268,97301.04,13,2064.64,4126.77,15,4071.24,4071.24,8198.01,0.485826,0.560569,77.158212,152.147395,0.015422,0.015215,0.030637,28,1.046395
종로구,1111010500,창성동,59551.415052,5.955142,127,69671.54,39,10285.82,18666.68,1,97.99,97.99,18764.67,6.548963,0.167922,1727.216724,16.454689,0.313455,0.001645,0.3151,40,6.716885
종로구,1111012100,신문로2가,245295.977802,24.529598,289,167533.26,75,32592.31,86388.43,2,1645.0,1645.0,88033.43,3.057531,0.081534,1328.693209,67.061842,0.35218,0.006706,0.358887,77,3.139065
종로구,1111014000,삼청동,1170182.971017,117.018297,574,116727.485,147,33453.19,105467.72,3,420.5,420.5,105888.22,1.256214,0.025637,285.879993,3.593455,0.090129,0.000359,0.090489,150,1.281851
종로구,1111013900,팔판동,37299.545767,3.729955,164,24695.1,65,11443.28,19871.99,1,122.31,122.31,19994.3,17.426486,0.2681,3067.940846,32.791284,0.532768,0.003279,0.536047,66,17.694585
종로구,1111013000,와룡동,706293.202582,70.62932,226,53422.93,51,19022.45,29274.2,5,4241.92,4241.92,33516.12,0.72208,0.070792,269.32795,60.05891,0.041448,0.006006,0.047454,56,0.792872
종로구,1111014800,계동,172700.190652,17.270019,399,235660.5603,92,18617.2803,36264.13,4,1082.75,1082.75,37346.88,5.327151,0.231615,1078.011566,62.695356,0.209983,0.00627,0.216253,96,5.558766
종로구,1111010400,효자동,57488.779005,5.748878,129,40069.69,22,7015.0,13532.28,3,680.34,680.34,14212.62,3.826834,0.521841,1220.238127,118.343094,0.23539,0.011834,0.247224,25,4.348675
강남구,1168010800,논현동,2717068.478545,271.706848,4562,5224259.6208,1809,1685903.6456,3543335.813,74,226672.38,226672.38,3770008.193,6.657911,0.272352,6204.862553,834.253468,1.304103,0.083425,1.387528,1883,6.930263
종로구,1111011100,옥인동,413924.139572,41.392414,458,117158.646,55,13364.576,43114.71,6,2503.69,2503.69,45618.4,1.328746,0.144954,322.875008,60.486687,0.104161,0.006049,0.11021,61,1.4737
종로구,1111011500,사직동,290343.678302,29.034368,338,185166.97,36,10677.65,27096.34,3,664.13,664.13,27760.47,1.23991,0.103326,367.758997,22.873927,0.093325,0.002287,0.095612,39,1.343236
중구,1114013700,필동1가,29259.1871,2.925919,100,94318.03,55,20535.06,34678.55,6,34552.8701,34552.8701,69231.4201,18.797515,2.050638,7018.328954,11809.237892,1.185219,1.180924,2.366143,61,20.848153
종로구,1111010100,청운동,799934.088125,79.993409,368,228007.475,40,14426.7,35165.14,7,1915.65,1915.65,37080.79,0.500041,0.087507,180.348609,23.947598,0.04396,0.002395,0.046355,47,0.587548
종로구,1111011700,당주동,41546.282652,4.154628,69,118330.09,43,14904.35,16516.24,2,67980.79,67980.79,84497.03,10.349903,0.481391,3587.4088,16362.664879,0.397538,1.636266,2.033805,45,10.831294
종로구,1111017300,명륜3가,417021.722136,41.702172,1023,337857.54,105,36492.88,63811.01,14,3624.75,3624.75,67435.76,2.517854,0.335714,875.083432,86.919933,0.153016,0.008692,0.161708,119,2.853568
종로구,1111012800,관훈동,75370.395714,7.53704,243,148368.42,147,32251.25,49185.47,9,82637.57,82637.57,131823.04,19.503679,1.194103,4279.034188,10964.19479,0.652583,1.096419,1.749003,156,20.697782
종로구,1111017400,창신동,780092.588817,78.009259,3475,951398.258,710,255897.01,510357.89,75,62222.51,62222.51,572580.4,9.101484,0.961424,3280.341509,797.629806,0.654227,0.079763,0.73399,785,10.062908
종로구,1111017500,숭인동,589622.383817,58.962238,2498,816437.2261,473,169520.83,277957.11,74,136141.05,136141.05,414098.16,8.022084,1.255041,2875.074533,2308.953217,0.471415,0.230895,0.702311,547,9.277124
중구,1114014000,남학동,10248.628274,1.024863,31,11430.5,12,4542.21,7923.35,4,11395.63,11395.63,19318.98,11.708884,3.902961,4432.017514,11119.17585,0.773113,1.111918,1.885031,16,15.611845
중구,1114015800,충무로3가,53173.104222,5.31731,143,190370.26,96,35834.99,51331.84,9,11988.71,11988.71,63320.55,18.05424,1.692585,6739.307498,2254.656781,0.965372,0.225466,1.190838,105,19.746825
중구,1114010900,장교동,28806.584025,2.880658,6,178458.0,0,0.0,0.0,2,50667.24,50667.24,50667.24,0.0,0.694286,0.0,17588.770663,0.0,1.758877,1.758877,2,0.694286
종로구,1111015300,돈의동,31033.648091,3.103365,216,68684.155,88,50308.045,89249.11,7,8069.97,8069.97,97319.08,28.356318,2.255616,16210.806043,2600.393604,2.875882,0.260039,3.135921,95,30.611934
강서구,1150010800,공항동,3391355.155172,339.135516,2786,1272198.079,321,138289.812,41363780.81,34,24374.94,24374.94,41388155.75,0.946524,0.100255,407.771542,71.873746,12.19683,0.007187,12.204017,355,1.046779
종로구,1111016200,효제동,96783.578282,9.678358,300,117308.71,161,65126.99,97243.55,13,8631.52,8631.52,105875.07,16.635053,1.343203,6729.136405,891.837247,1.004753,0.089184,1.093936,174,17.978257
종로구,1111013300,익선동,44641.88256,4.464188,305,100622.92,146,15025.77,23383.12,13,37922.18,37922.18,61305.3,32.704714,2.912064,3365.845959,8494.753766,0.523793,0.849475,1.373269,159,35.616778
중구,1114014100,주자동,21213.918988,2.121392,12,11300.85,7,3477.78,5971.49,1,1469.07,1469.07,7440.56,3.29972,0.471389,1639.385915,692.50288,0.281489,0.06925,0.35074,8,3.771109
강서구,1150010500,마곡동,2751056.157899,275.105616,902,663985.5111,105,70244.045,2566318.422,8,366184.9716,366184.9716,2932503.3936,0.381672,0.02908,255.334828,1331.070507,0.932848,0.133107,1.065955,113,0.410751
종로구,1111015500,관수동,59181.515571,5.918152,163,91121.15,103,65726.31,108094.99,15,30199.17,30199.17,138294.16,17.404083,2.534575,11105.884898,5102.804433,1.826499,0.51028,2.33678,118,19.938658
종로구,1111015100,묘동,31096.193276,3.109619,128,47552.79,87,25319.82,31499.07,2,1242.12,1242.12,32741.19,27.977701,0.643166,8142.417876,399.444391,1.012956,0.039944,1.0529,89,28.620867
종로구,1111015400,장사동,56364.55297,5.636455,165,66041.29,101,52850.21,54160.39,2,7136.47,7136.47,61296.86,17.919063,0.354833,9376.497677,1266.127313,0.960895,0.126613,1.087507,103,18.273896
중구,1114013300,충무로5가,55649.349245,5.564935,182,110990.851,108,32839.4,54991.57,6,17794.491,17794.491,72786.061,19.407235,1.07818,5901.129204,3197.609899,0.98818,0.319761,1.307941,114,20.485415
중구,1114015200,주교동,72600.545533,7.260055,294,100712.73,171,82410.26,96754.5,11,8964.13,8964.13,105718.63,23.553542,1.51514,11351.190187,1234.719372,1.332697,0.123472,1.456169,182,25.068682
종로구,1111013200,운니동,70635.074012,7.063507,105,88494.89,33,8002.13,11450.8,5,5462.06,5462.06,16912.86,4.6719,0.707864,1132.88336,773.278725,0.162112,0.077328,0.23944,38,5.379764
종로구,1111011300,필운동,80541.502451,8.05415,304,92363.44,79,17071.02,32707.62,5,1871.02,1871.02,34578.64,9.808608,0.620798,2119.530861,232.305078,0.406096,0.023231,0.429327,84,10.429406
종로구,1111010600,통의동,63627.343804,6.362734,191,54718.42,95,24569.96,54367.15,1,367.39,367.39,54734.54,14.930688,0.157165,3861.54105,57.740898,0.854462,0.005774,0.860236,96,15.087853
종로구,1111011200,체부동,43703.991067,4.370399,309,36733.69,77,15337.22,30640.9,8,2944.91,2944.91,33585.81,17.618528,1.830496,3509.340823,673.830908,0.701101,0.067383,0.768484,85,19.449025
종로구,1111012900,견지동,44167.438378,4.416744,67,69103.79,35,9294.2,15747.45,1,6074.37,6074.37,21821.82,7.92439,0.226411,2104.310402,1375.305026,0.35654,0.137531,0.49407,36,8.150801
종로구,1111013700,낙원동,79222.206781,7.922221,231,219866.44,120,91780.31,117219.05,37,142655.25,142655.25,259874.3,15.147268,4.670408,11585.174628,18006.977563,1.479624,1.800698,3.280321,157,19.817676
종로구,1111013800,종로2가,54761.001025,5.4761,62,145236.16,40,47988.64,73552.08,3,28065.03,28065.03,101617.11,7.304468,0.547835,8763.287577,5125.0031,1.343147,0.5125,1.855647,43,7.852303
