서별,명칭,위치,관할구역,전화번호,팩스번호
강남소방서,개포119안전센터,강남구 논현로10길 19 (개포동),강남구중 : 개포동(개포1ㆍ2ㆍ4동),02-6981-7593,02-2187-8228
강남소방서,삼성119안전센터,강남구 테헤란로 629 (삼성동),"강남구중 : 삼성동(삼성 1ㆍ2동), 청담동, 대치동 (대치 1ㆍ2ㆍ4동)",02-6981-7551,02-2187-8224
강남소방서,세곡119안전센터,강남구 밤고개로 268 (율현동),"강남구중 : 율현동, 자곡동, 세곡동",02-6981-7594,02-2187-8229
강남소방서,수서119안전센터,강남구 광평로31길 6 (수서동),"강남구중 : 수서동, 일원동(일원본동ㆍ1ㆍ2동)",02-6981-7592,02-2187-8227
강남소방서,역삼119안전센터,강남구 역삼로 236 (역삼동),"강남구중 : 역삼동(역삼 1ㆍ2동), 도곡동(도곡 1ㆍ2동)",02-6981-7591,02-2187-8226
강남소방서,영동119안전센터,강남구 도산대로 320 (논현동),"강남구중 : 압구정동, 신사동, 논현동(논현 1ㆍ2동)",02-6981-7590,02-2187-8225
강동소방서,강일119안전센터,강동구 고덕로98길 22 (강일동),"강동구중 : 강일동, 상일동 일부 (1~84, 121~122, 124~126, 131~132, 362~426, 479~513, 520, 산1?산12), 고덕동 일부(142, 144, 151~154, 156~168, 172~189, 191~198, 200~201, 210, 212, 215)",02-6981-7790,02-429-0121
강동소방서,고덕119안전센터,강동구 양재대로 156길 133 (고덕동),"강동구중 : 고덕동 일부 (강일관할구역 제외), 명일동",02-441-0119,02-426-0431
강동소방서,길동119안전센터,강동구 천중로 215 (길동),"강동구중 : 길동, 상일동 일부 (강일관할구역 제외)",02-486-1727,02-487-6119
강동소방서,성내119안전센터,강동구 성내로 39 (성내동),"강동구중 : 성내동, 둔촌동",02-6981-7750,02-6981-7717
강동소방서,암사119안전센터,강동구 올림픽로 815 (암사동),강동구중 : 암사동,02-3426-2119,02-429-0427
강동소방서,천호119안전센터,강동구 진황도로 37 (천호동),강동구중 : 천호동,02-476-0119,02-474-1721
강북소방서,미아119안전센터,강북구 도봉로 125 (미아동),"강북구중 : 미아동, 송중동, 송천동",02-6946-0252,02-2187-8368
강북소방서,번동119안전센터,강북구 한천로 911 (번동),"강북구중 : 번1,2,3동, 수유3동",02-6946-0250,02-6946-0229
강북소방서,삼각산119안전센터,강북구 솔샘로 208 (미아동),"강북구중 : 삼양동, 삼각산동, 수유1동",02-6946-0253,02-2187-8369
강북소방서,우이119안전센터,강북구 삼각산로 111 (수유동),"강북구중 : 우이동, 인수동, 수유2동, ",02-904-0119,02-998-9116
강서소방서,개화119안전센터,강서구 개화동로19길 8 (개화동),"강서구중 : 공항동 일부(마곡관할구역 제외), 방화2동",02-6981-5188,02-2187-8248
강서소방서,등촌119안전센터,강서구 양천로 550 (등촌동),"강서구중 : 가양2ㆍ3동, 등촌1ㆍ2ㆍ3동, 염창동, 화곡4동",02-6981-5120,02-2187-8244
강서소방서,마곡119안전센터,강서구 마곡서로 9 (마곡동),"강서구중 : 가양1동 일부(524~526, 574~591, 642~663, 710~819, 824~831, 839~855. 859~884, 894~906, 908~975, 979~1083, 1086~1455) 공항동 일부 (4~7, 37-1. 538-4, 730-90, 746~749, 937~1313, 1321~1326, 1332~1334, 1343~1369) 발산1동 일부 (215~289, 297~300, 303~371, 373~404, 410~414, 420~421, 424~429, 609, 623~643, 737~740, 748~800, 산245-13~15) 방화1동 일부 (718~730, 738~757, 759~767)",02-6981-5190,02-2187-8249
강서소방서,발산119안전센터,강서구 강서로 329 (내발산동),"강서구중 : 발산1동(마곡관할구역 제외), 우장산동, 화곡3ㆍ6동",02-6981-5175,02-2187-8246
강서소방서,방화119안전센터,강서구 금낭화로26길 10 (방화동),"강서구중 : 가양1동(마곡관할구역 제외), 방화1동(마곡관할구역 제외), 방화3동",02-6981-5180,02-2187-8247
강서소방서,화곡119안전센터,강서구 까치산로 49 (화곡동),"강서구중 : 화곡본동, 화곡1ㆍ2ㆍ8동",02-6981-5170,02-2187-8245
관악소방서,관악119안전센터,관악구 관악로 97 (봉천동),"관악구중 : 봉천동(청룡동, 낙성대동, 인헌동), 신림동(서림동, 삼성동, 대학동), 남현동",02-6981-8204,02-2187-8303
관악소방서,난곡119안전센터,관악구 난곡로 243 (신림동),"관악구중 : 신림동(난곡동, 난향동, 미성동, 조원동)",02-6981-8371,02-2187-8307
관악소방서,봉천119안전센터,관악구 은천로 54 (봉천동),"관악구중 : 봉천동(은천동, 보라매동, 성현동, 청림동, 행운동, 중앙동)",02-6981-8351,02-2187-8305
관악소방서,신림119안전센터,관악구 봉천로 202 (신림동),"관악구중 : 신림동(서원동, 신원동, 신사동, 신림동)",02-6981-8361,02-2187-8306
광진소방서,구의119안전센터,광진구 광나루로 480 (구의동),"광진구중 : 구의동(구의동중 3~9, 15~58, 549, 551, 552, 554~556, 558~560번지 제외), 광장동, 자양동(자양1ㆍ2동)",02-6981-6759,02-446-4119
광진소방서,능동119안전센터,광진구 능동로 242 (능동),"광진구중 : 능동, 군자동, 화양동, 자양동(자양3ㆍ4동)",02-6981-6789,02-3436-8119
광진소방서,중곡119안전센터,광진구 용마산로 150 (중곡동),"광진구중 : 중곡동, 구의동중 3~9, 15~58, 549, 551, 552, 554~556, 558~560번지",02-6981-6799,02-2201-4119
구로소방서,고일119안전센터,구로구 경인로 408 (고척동),"구로구 중 : 고척동(고척1동), 개봉동(개봉1동 중 48-1, 74, 76, 78~92, 126~128, 130~134, 136~144, 146~150, 152~157, 159~167, 169~182, 206~207, 214~217, 219, 221~224, 226, 227, 239~240, 353, 415~417, 421, 429~435, 437~438, 446, 447, 454, 459, 466, 467, 468, 475, 476, 484, 산17~19, 산21, 산22, 산28, 산31, 산40), 개봉동(개봉2ㆍ3동)",02-6981-6341,02-2681-1406
구로소방서,고척119안전센터,구로구 고척로 195 (고척동),"구로구중 : 고척동(고척2동), 개봉동(개봉1동 중 1~5, 7~15, 17~27, 29~41, 43~47, 49~71, 73~75, 92의(2, 3, 4, 7, 8, 9, 10, 61, 76), 96~99, 102, 105~109, 111~122, 124, 125, 126의 (1~4,6,7), 416, 436, 439~445, 469, 472, 474, 496, 산1~2)",02-6981-6372,02-2616-0119
구로소방서,공단119안전센터,구로구 디지털로34길 56 (구로동),"구로구 중 : 구로동(구로2동 중 387~390, 392, 706~729, 808~809번지, 구로3동, 구로4동 중 731~736, 760번지 제외), 가리봉동",02-6981-6396,02-837-7119
