OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,SNTUPTAENM,BDNGJISGFLRCNT,BDNGUNDERFLRCNT,USEJISGSTFLR,USEJISGENDFLR,USEUNDERSTFLR,USEUNDERENDFLR,HANSHILCNT,YANGSILCNT,YOKSILCNT,BALHANSILYN,CHAIRCNT,CNDPERMNTWHY,CNDPERMSTYMD,CNDPERMENDYMD,BDNGOWNSENM,WASHMCCNT,WMEIPCNT,MANEIPCNT,RCVDRYNCNT,ABEDCNT,MULTUSNUPSOYN
3220000,3220000-201-1972-00003,1972-11-17,,03,폐업,02,폐업,2003-02-22,,,,0234630462,0.00,135-860,서울특별시 강남구 도곡동 956-11번지,,,대동여인숙,2003-03-05 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,13,,,,,,,,,0,0,,,N
3220000,3220000-201-1974-00008,1974-10-21,,03,폐업,02,폐업,2004-12-16,,,,0205676817,102.53,135-509,서울특별시 강남구 삼성동 115-28번지,,,삼성여관,2002-11-11 00:00:00,I,2018-08-31 23:59:59.0,여관업,204384.977690753,445523.738754815,여관업,0,0,0,0,0,0,0,11,,,,,,,,,0,0,,,N
3220000,3220000-201-1975-00067,1975-12-10,,03,폐업,02,폐업,2010-01-26,,,,0205681188,406.98,135-928,서울특별시 강남구 역삼동 779-5번지,,,삼보여관,2005-05-09 00:00:00,I,2018-08-31 23:59:59.0,여관업,203942.743842609,443773.130887728,여관업,0,0,0,0,0,0,0,20,,,,,,,,,0,0,,,N
3220000,3220000-201-1976-00006,1976-06-11,,01,영업/정상,01,영업,,,,,,183.19,135-513,서울특별시 강남구 역삼동 700-27,서울특별시 강남구 언주로94길 13 (역삼동),06147,블랑호텔 강남점,2024-12-13 17:41:34,U,2024-12-15 02:40:00.0,여관업,203757.96454122,444700.323000452,여관업,0,0,0,0,0,0,0,23,,,,,,,,,0,0,,,N
3220000,3220000-201-1976-00018,1976-11-25,,03,폐업,02,폐업,1997-02-01,,,,02 5432183,150.80,135-811,서울특별시 강남구 논현동 4-0번지,,,삼부,2001-11-26 00:00:00,I,2018-08-31 23:59:59.0,여관업,201887.115904979,446069.444901719,여관업,0,0,0,0,0,0,0,11,,,,,,,,,0,0,,,N
3220000,3220000-201-1976-00084,1976-12-10,,03,폐업,02,폐업,2020-08-11,,,,02 5421511,414.87,135-815,서울특별시 강남구 논현동 56-21,서울특별시 강남구 학동로 141 (논현동),06045,호텔지,2020-08-11 12:23:22,U,2020-08-13 02:40:00.0,관광호텔,202253.771265692,445646.871803817,관광호텔,0,0,0,0,0,0,9,31,,,,,,,,,0,0,,,N
3220000,3220000-201-1977-00012,1977-09-19,,03,폐업,02,폐업,2004-10-30,,,,0205665935,216.37,135-935,서울특별시 강남구 역삼동 826-5번지,,,유림,2002-11-11 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,22,,,,,,,,,0,0,,,N
3220000,3220000-201-1977-00019,1977-04-04,,03,폐업,02,폐업,2006-04-26,,,,02 5482298,230.48,135-545,서울특별시 강남구 논현동 201-6번지,,,유진여관,2002-11-28 00:00:00,I,2018-08-31 23:59:59.0,여관업,202239.450359987,444795.560502591,여관업,0,0,0,0,0,0,5,10,,,,,,,,,0,0,,,N
3220000,3220000-201-1977-00146,1977-06-18,,03,폐업,02,폐업,2004-03-20,,,,0205431231,0.00,135-892,서울특별시 강남구 신사동 585-8번지,,,신라여관,2003-10-30 00:00:00,I,2018-08-31 23:59:59.0,여관업,202388.335397044,446632.279179718,여관업,0,0,0,0,0,0,8,7,,,,,,,,,0,0,,,N
3220000,3220000-201-1977-00147,1977-01-25,,03,폐업,02,폐업,1997-07-18,,,,0205575629,0.00,135-841,서울특별시 강남구 대치동 904-0번지,,,대치,2001-10-19 00:00:00,I,2018-08-31 23:59:59.0,여관업,204836.082080505,444500.863513381,여관업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
