OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,SNTUPTAENM,BDNGJISGFLRCNT,BDNGUNDERFLRCNT,USEJISGSTFLR,USEJISGENDFLR,USEUNDERSTFLR,USEUNDERENDFLR,HANSHILCNT,YANGSILCNT,YOKSILCNT,BALHANSILYN,CHAIRCNT,CNDPERMNTWHY,CNDPERMSTYMD,CNDPERMENDYMD,BDNGOWNSENM,WASHMCCNT,WMEIPCNT,MANEIPCNT,RCVDRYNCNT,ABEDCNT,MULTUSNUPSOYN
3130000,3130000-201-1958-00133,1958-10-04,,03,폐업,02,폐업,1994-04-15,,,,02 3222972,0.00,121-897,서울특별시 마포구 합정동 366-2번지,,,성원여관,2001-10-05 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,192402.234109794,449526.911448615,여인숙업,0,0,0,0,0,0,14,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1963-00076,1963-06-28,,03,폐업,02,폐업,2009-03-30,,,,02  362 8645,0.00,121-861,서울특별시 마포구 아현동 425-11번지,,,행화,2009-03-10 15:31:09,I,2018-08-31 23:59:59.0,여인숙업,196156.603326695,449972.490411799,여인숙업,0,0,0,0,0,0,4,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1963-00077,1963-12-19,,03,폐업,02,폐업,1998-10-18,,,,0203125395,0.00,121-859,서울특별시 마포구 아현동 347-12번지,,,제일,1999-02-09 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,195657.906841527,450497.845380082,여인숙업,0,0,0,0,0,0,16,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1964-00028,1964-12-23,,03,폐업,02,폐업,2012-03-16,,,,02 7153969,200.00,121-808,서울특별시 마포구 대흥동 12-42번지,,,귀빈장여관,2005-08-10 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,4,9,,,,,,,,,0,0,,,N
3130000,3130000-201-1964-00086,1964-12-04,,03,폐업,02,폐업,2006-10-16,,,,02 7130760,0.00,121-800,서울특별시 마포구 공덕동 22-34번지,,,한성여인숙,2002-06-07 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,196228.533799687,449623.183590608,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1965-00017,1965-07-02,,03,폐업,02,폐업,2009-03-25,,,,02  713 9020,149.00,121-851,서울특별시 마포구 신공덕동 25-24번지,,,동성여관,2007-11-20 10:26:21,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,14,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1965-00020,1965-10-29,,03,폐업,02,폐업,2004-04-28,,,,0207123622,66.00,121-812,서울특별시 마포구 도화동 4-94번지,,,경보,2004-06-21 00:00:00,I,2018-08-31 23:59:59.0,여관업,195770.544295874,448774.650967743,여관업,0,0,0,0,0,0,7,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1965-00078,1965-08-30,,03,폐업,02,폐업,2013-09-30,,,,02  362 8483,75.00,121-863,서울특별시 마포구 아현동 641-21번지,,,대원,2007-11-20 10:26:50,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1965-00090,1965-08-30,,03,폐업,02,폐업,2012-09-05,,,,0207157808,0.00,121-805,서울특별시 마포구 공덕동 446-66번지,,,해주여인숙,2010-09-08 13:31:48,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,9,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1965-00121,1965-04-24,,03,폐업,02,폐업,2015-11-13,,,,02 7161868,0.00,121-807,서울특별시 마포구 노고산동 122-2번지,,,서강여관,2007-09-17 18:07:59,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,9,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00006,1966-11-09,,03,폐업,02,폐업,2006-10-02,,,,02 3921043,0.00,121-858,서울특별시 마포구 아현동 85-262번지,,,용강여관,2002-06-05 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,10,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00018,1966-08-02,,03,폐업,02,폐업,2007-12-31,,,,0207120223,73.10,121-851,서울특별시 마포구 신공덕동 49-0번지,,,수정여관,2005-03-17 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,17,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00029,1966-11-22,,01,영업/정상,01,영업,,,,,02 3226009,0.00,121-807,서울특별시 마포구 노고산동 54-90,서울특별시 마포구 신촌로16길 16 (노고산동),04057,아더포레,2024-11-12 16:03:11,U,2024-11-14 02:40:00.0,여관업,194145.910119791,450308.589069852,여관업,0,0,0,0,0,0,42,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00044,1966-07-21,,03,폐업,02,폐업,2017-12-07,,,,02 3345847,87.17,121-885,서울특별시 마포구 합정동 379-4번지,서울특별시 마포구 양화진2길 41 (합정동),04084,센시,2017-12-07 14:01:04,I,2018-08-31 23:59:59.0,여관업,192043.507297118,449524.361048163,여관업,0,0,0,0,0,0,9,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00079,1966-04-23,,03,폐업,02,폐업,1999-03-15,,,,02 3641541,0.00,121-861,서울특별시 마포구 아현동 404-5번지,,,동호여인숙,1999-03-15 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,12,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00080,1966-09-13,,01,영업/정상,01,영업,,,,,02 3136584,0.00,121-859,서울특별시 마포구 아현동 346-27,서울특별시 마포구 신촌로30길 3-12 (아현동),04115,신도여관,2023-10-27 08:28:40,U,2023-10-29 02:40:00.0,여인숙업,195747.454473835,450506.098536664,여인숙업,0,0,0,0,0,0,5,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00081,1966-11-11,,03,폐업,02,폐업,2002-10-29,,,,02 3629035,0.00,121-858,서울특별시 마포구 아현동 85-158번지,,,삼희여관,2002-11-08 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,6,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00088,1966-09-23,,03,폐업,02,폐업,2003-02-20,,,,02 7152531,0.00,121-805,서울특별시 마포구 공덕동 446-76번지,,,오성여인숙,2003-04-21 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00122,1966-07-02,,03,폐업,02,폐업,2009-03-25,,,,0207154737,38.72,121-806,서울특별시 마포구 노고산동 40-51번지,,,복여관,2004-10-06 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,194480.62071727,450314.778015298,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1966-00130,1966-09-19,,03,폐업,02,폐업,2003-06-11,,,,0203234140,47.31,121-881,서울특별시 마포구 창전동 187-6번지,,,귀빈,2003-06-11 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00024,1967-06-05,,03,폐업,02,폐업,2012-10-24,,,,02 7015041,56.58,121-856,서울특별시 마포구 신수동 446-9번지,,,마포장,2009-02-17 13:22:58,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,13,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00030,1967-05-10,,03,폐업,02,폐업,2008-03-18,,,,0207177829,96.00,121-806,서울특별시 마포구 노고산동 1-49번지,,,동신,2002-06-05 00:00:00,I,2018-08-31 23:59:59.0,여관업,194861.430793984,450413.950059959,여관업,0,0,0,0,0,0,16,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00036,1967-11-08,,03,폐업,02,폐업,2011-05-20,,,,02 3220688,49.13,121-828,서울특별시 마포구 상수동 36-1번지,,,서강,2007-09-17 15:40:23,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00039,1967-08-24,,03,폐업,02,폐업,2000-11-24,,,,0203363681,67.11,121-816,서울특별시 마포구 동교동 153-8번지,,,강남여관,2002-06-05 00:00:00,I,2018-08-31 23:59:59.0,여관업,193182.998431004,450696.608458741,여관업,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00082,1967-12-02,,03,폐업,02,폐업,1994-05-23,,,,0203637306,0.00,121-858,서울특별시 마포구 아현동 115-0번지,,,성,1999-01-18 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,7,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00083,1967-12-11,,03,폐업,02,폐업,2009-07-14,,,,02 3631401,0.00,121-859,서울특별시 마포구 아현동 345-8번지,,,개성여관,2009-02-06 10:42:20,I,2018-08-31 23:59:59.0,여인숙업,195706.75333782,450480.802410763,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3130000,3130000-201-1967-00089,1967-05-27,,03,폐업,02,폐업,2003-02-20,,,,0207134801,49.53,121-800,서울특별시 마포구 공덕동 38-120번지,,,귀빈장,2003-04-21 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,9,0,,,,,,,,,0,0,,,N
