OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,SNTUPTAENM,BDNGJISGFLRCNT,BDNGUNDERFLRCNT,USEJISGSTFLR,USEJISGENDFLR,USEUNDERSTFLR,USEUNDERENDFLR,HANSHILCNT,YANGSILCNT,YOKSILCNT,BALHANSILYN,CHAIRCNT,CNDPERMNTWHY,CNDPERMSTYMD,CNDPERMENDYMD,BDNGOWNSENM,WASHMCCNT,WMEIPCNT,MANEIPCNT,RCVDRYNCNT,ABEDCNT,MULTUSNUPSOYN
3210000,3210000-201-1970-00001,1970-10-21,,03,폐업,02,폐업,2016-11-03,,,,02 5994773,718.00,137-852,서울특별시 서초구 방배동 1756번지 (2층),서울특별시 서초구 서초대로1길 19-5 (방배동),06567,러브장여관,2016-11-04 10:29:00,I,2018-08-31 23:59:59.0,여관업,198413.327404748,442866.056190387,여관업,0,0,2,2,0,0,3,10,,,,,,,,,0,0,,,N
3210000,3210000-201-1971-00014,1971-04-23,,03,폐업,02,폐업,2022-04-04,,,,02   5871829,126.00,137-817,서울특별시 서초구 방배동 437-20 (1층),서울특별시 서초구 방배천로16길 11-9 (방배동),06677,서초 게스트하우스K,2022-04-04 11:08:25,U,2022-04-07 02:40:00.0,여인숙업,198473.323023666,442257.060724806,여인숙업,2,0,1,1,0,0,10,0,,,,,,,,,0,0,,,N
3210000,3210000-201-1972-00015,1972-03-07,,03,폐업,02,폐업,2003-05-30,,,,5995044,0.00,137-852,서울특별시 서초구 방배동 1855번지,,,신일여인숙,2003-05-31 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,11,,,,,,,,,0,0,,,N
3210000,3210000-201-1972-00016,1972-07-05,,01,영업/정상,01,영업,,,,,,97.75,137-852,서울특별시 서초구 방배동 1775 (1층~2층),서울특별시 서초구 서초대로1길 19-7 (방배동),06567,서울여인숙,2023-04-28 16:01:48,U,2023-04-30 02:40:00.0,여인숙업,198407.171233999,442856.500523556,여인숙업,0,0,1,2,0,0,12,0,,,,,,,,,0,0,,,N
3210000,3210000-201-1973-00016,1973-01-15,,03,폐업,02,폐업,1996-08-12,,,,02 5422735,0.00,137-902,서울특별시 서초구 잠원동 13-7번지,,,은하여관,2001-09-29 00:00:00,I,2018-08-31 23:59:59.0,여관업,201576.127051499,445998.07382598,여관업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3210000,3210000-201-1974-00024,1974-10-14,,03,폐업,02,폐업,2021-01-25,,,,02 5427288,264.00,137-902,서울특별시 서초구 잠원동 12-21 금정빌딩 1층~2층,"서울특별시 서초구 강남대로 615, 금정빌딩 1층, 2층 (잠원동)",06524,휴 모텔,2021-01-25 13:41:36,U,2021-01-27 02:40:00.0,여관업,201601.185140592,446044.757176321,여관업,0,0,0,0,0,0,6,9,,,,,,,,,0,0,,,N
3210000,3210000-201-1974-00025,1974-06-29,,01,영업/정상,01,영업,,,,,5730163,246.00,137-887,"서울특별시 서초구 양재동 8-11 1층, 2층, 3층","서울특별시 서초구 남부순환로358길 26, 1층, 2층, 3층 (양재동)",06738,30Month hotel,2021-12-22 16:14:13,U,2021-12-24 02:40:00.0,여관업,203351.410678606,442432.723351408,여관업,0,0,1,3,0,0,2,21,,,,,,,,,0,0,,,N
3210000,3210000-201-1977-00055,1977-12-29,,03,폐업,02,폐업,2021-07-07,,,,02 5477711,490.00,137-810,서울특별시 서초구 반포동 737-17,서울특별시 서초구 강남대로79길 6 (반포동),,은도여관,2021-07-07 16:55:46,U,2021-07-09 02:40:00.0,여관업,201990.683868027,444810.467348984,여관업,0,0,0,0,0,0,15,11,,,,,,,,,0,0,,,N
3210000,3210000-201-1977-00063,1977-01-20,,01,영업/정상,01,영업,,,,,02 5420105,776.00,137-030,"서울특별시 서초구 잠원동 14-14 , 15호 2층~5층","서울특별시 서초구 나루터로 77, 2층~5층 (잠원동)",06525,La TREE HOTEL(라 트리 호텔),2022-12-23 11:23:07,U,2022-12-25 02:40:00.0,일반호텔,201552.119425746,445972.287156027,일반호텔,0,0,2,5,0,0,0,32,,,,,,,,,0,0,,,N
3210000,3210000-201-1979-00066,1979-03-02,,03,폐업,02,폐업,2022-05-31,,,,02  34818777,1202.98,137-070,"서울특별시 서초구 서초동 1317-9 ,10호 2층~6층","서울특별시 서초구 서초대로77길 11, 2층~6층 (서초동)",06615,The S HOTEL(더 에스 호텔),2022-05-31 11:08:37,U,2022-06-04 02:40:00.0,여관업,202256.863333333,444066.363333333,여관업,0,0,2,6,0,0,0,49,,,,,,,자가,,0,0,,,Y
3210000,3210000-201-1981-00004,1981-10-12,,03,폐업,02,폐업,2002-12-31,,,,0205843146,0.00,137-828,서울특별시 서초구 방배동 752-18번지,,,대림장여관,2003-01-22 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,8,14,,,,,,,,,0,0,,,N
3210000,3210000-201-1981-00007,1981-11-28,,03,폐업,02,폐업,2022-01-04,,,,02 5331583,320.00,137-830,서울특별시 서초구 방배동 793-4 (2~3층),서울특별시 서초구 동광로 55 (방배동),06561,금강장여관,2022-01-04 09:31:30,U,2022-01-06 02:40:00.0,여관업,198927.744463937,443343.635611175,여관업,0,0,2,3,0,0,3,12,,,,,,,,,0,0,,,N
3210000,3210000-201-1981-00023,1981-09-21,,03,폐업,02,폐업,2017-12-31,,,,02 5331571,526.00,137-832,서울특별시 서초구 방배동 812-10번지,서울특별시 서초구 방배로 209 (방배동),06562,렌트 하우스,2018-01-02 18:00:22,I,2018-08-31 23:59:59.0,여관업,199107.991026421,443291.680719243,여관업,0,0,0,0,0,0,6,17,,,,,,,,,0,0,,,N
3210000,3210000-201-1981-00032,1981-11-18,,03,폐업,02,폐업,1992-12-09,,,,02 5871829,0.00,137-841,서울특별시 서초구 방배동 898-4번지,,,삼호여관,2001-09-29 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3210000,3210000-201-1981-00034,1981-12-05,,03,폐업,02,폐업,2017-10-11,,,,02 5832257,363.00,137-843,서울특별시 서초구 방배동 924-12번지,서울특별시 서초구 방배로 109 (방배동),,장수장,2017-10-11 10:58:38,I,2018-08-31 23:59:59.0,여관업,199555.117803856,442399.755965008,여관업,0,0,0,0,0,0,6,14,,,,,,,,,0,0,,,N
