OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,SNTUPTAENM,BDNGJISGFLRCNT,BDNGUNDERFLRCNT,USEJISGSTFLR,USEJISGENDFLR,USEUNDERSTFLR,USEUNDERENDFLR,HANSHILCNT,YANGSILCNT,YOKSILCNT,BALHANSILYN,CHAIRCNT,CNDPERMNTWHY,CNDPERMSTYMD,CNDPERMENDYMD,BDNGOWNSENM,WASHMCCNT,WMEIPCNT,MANEIPCNT,RCVDRYNCNT,ABEDCNT,MULTUSNUPSOYN
3230000,3230000-201-1968-00119,1968-11-18,,03,폐업,02,폐업,1993-02-10,,,,0204001608,53.56,138-210,서울특별시 송파구 장지동 산 314-17번지,,,경기,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,7,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1969-00007,1969-09-19,,03,폐업,02,폐업,1996-06-12,,,,02 4781878,149.85,138-210,서울특별시 송파구 장지동 산 94-15번지,,,조호,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,7,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1969-00118,1969-06-23,,03,폐업,02,폐업,1992-11-10,,,,0200000000,10.00,138-210,서울특별시 송파구 장지동 산 133-0번지,,,설악,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1970-00001,1970-12-29,,03,폐업,02,폐업,2000-08-14,,,,02 4004362,3.23,138-815,서울특별시 송파구 거여동 208-17번지,,,부흥,2002-10-11 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1970-00120,1970-07-27,,03,폐업,02,폐업,1990-03-28,,,,0200000000,0.00,138-210,서울특별시 송파구 장지동 산 166-0번지,,,대흥,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,5,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1970-00121,1970-06-05,,03,폐업,02,폐업,1993-08-24,,,,0204084921,78.55,138-210,서울특별시 송파구 장지동 산 186-1번지,,,동성,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,9,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1970-00122,1970-12-24,,03,폐업,02,폐업,1996-03-06,,,,02 4029443,78.55,138-210,서울특별시 송파구 장지동 산 300-2번지,,,충북,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,9,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1971-00009,1971-12-01,,03,폐업,02,폐업,1995-07-07,,,,02 4060429,58.77,138-210,서울특별시 송파구 장지동 산 207-3번지,,,삼화,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3230000,3230000-201-1971-00109,1971-12-01,,03,폐업,02,폐업,1995-07-07,,,,02   00000,58.77,138-210,서울특별시 송파구 장지동 산 207-3번지,,,삼화,2002-09-04 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,7,1,,,,,,,,,0,0,,,N
3230000,3230000-201-1971-00112,1971-08-18,,03,폐업,02,폐업,2003-02-26,,,,0204003166,49.86,138-814,서울특별시 송파구 거여동 181-406번지,,,한성,2003-04-18 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,12,0,,,,,,,,,0,0,,,N
