OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,SNTUPTAENM,BDNGJISGFLRCNT,BDNGUNDERFLRCNT,USEJISGSTFLR,USEJISGENDFLR,USEUNDERSTFLR,USEUNDERENDFLR,HANSHILCNT,YANGSILCNT,YOKSILCNT,BALHANSILYN,CHAIRCNT,CNDPERMNTWHY,CNDPERMSTYMD,CNDPERMENDYMD,BDNGOWNSENM,WASHMCCNT,WMEIPCNT,MANEIPCNT,RCVDRYNCNT,ABEDCNT,MULTUSNUPSOYN
3020000,3020000-201-1900-00001,1900-01-01,,03,폐업,02,폐업,1967-07-10,,,,,0.00,140-869,서울특별시 용산구 청파동1가 176-12번지,,,천일장여관,2003-03-20 00:00:00,I,2018-08-31 23:59:59.0,여관업,197243.518938879,449498.630352071,여관업,0,0,0,0,0,0,13,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00002,1900-01-01,,03,폐업,02,폐업,2001-02-01,,,,,0.00,140-875,서울특별시 용산구 한강로2가 200-2번지,,,한강,2003-03-28 00:00:00,I,2018-08-31 23:59:59.0,관광호텔,,,관광호텔,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00003,1900-01-01,,03,폐업,02,폐업,1972-07-31,,,,,0.00,140-903,서울특별시 용산구 후암동 448-94번지,,,대흥여관,2003-03-15 00:00:00,I,2018-08-31 23:59:59.0,여관업,197931.695511675,450252.535071952,여관업,0,0,0,0,0,0,10,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00004,1900-01-01,,03,폐업,02,폐업,1975-09-18,,,,,0.00,140-871,서울특별시 용산구 한강로2가 324-2번지,,,평창여인숙,2003-03-20 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,8,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00005,1900-01-01,,03,폐업,02,폐업,2000-06-15,,,,,0.00,140-876,서울특별시 용산구 한강로2가 400-5번지,,,한강,2003-03-28 00:00:00,I,2018-08-31 23:59:59.0,관광호텔,,,관광호텔,0,0,0,0,0,0,4,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00006,1900-01-01,,03,폐업,02,폐업,1900-01-01,,,,,0.00,140-876,서울특별시 용산구 한강로2가 372번지,,,동일여인숙,2003-02-20 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,4,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00007,1900-01-01,,03,폐업,02,폐업,2001-05-17,,,,,0.00,140-876,서울특별시 용산구 한강로2가 402번지,,,장성여인숙,2003-03-20 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1900-00008,1900-01-01,,03,폐업,02,폐업,2001-07-07,,,,,0.00,140-876,서울특별시 용산구 한강로2가 370번지,,,한밭여관,2003-03-20 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1924-00111,1924-01-16,,03,폐업,02,폐업,2022-08-22,,,,02 7933407,144.93,140-872,서울특별시 용산구 한강로2가 157-4,서울특별시 용산구 한강대로38길 11-6 (한강로2가),04386,삼원여인숙,2022-08-22 16:10:12,U,2022-08-24 02:40:00.0,여인숙업,197252.357803721,447493.790123764,여인숙업,0,0,0,0,0,0,0,12,,,,,,,,,0,0,,,N
3020000,3020000-201-1927-00110,1927-12-30,,03,폐업,02,폐업,2015-12-03,,,,02 7932878,148.50,140-872,서울특별시 용산구 한강로2가 155-2번지,서울특별시 용산구 한강대로40길 18-6 (한강로2가),04386,서울여인숙,2015-08-13 14:31:31,I,2018-08-31 23:59:59.0,여인숙업,197288.220137304,447525.319989285,여인숙업,0,0,0,0,0,0,0,9,,,,,,,,,0,0,,,N
3020000,3020000-201-1960-00016,1960-12-30,,03,폐업,02,폐업,1992-02-10,,,,0207954746,0.00,140-871,서울특별시 용산구 한강로2가 334-0번지,,,진주,2001-09-27 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1960-00017,1960-12-30,,03,폐업,02,폐업,1993-04-13,,,,0207932057,0.00,140-871,서울특별시 용산구 한강로2가 338-0번지,,,송죽,2001-09-27 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,13,0,,,,,,,,,0,0,,,N
3020000,3020000-201-1960-00041,1960-12-30,,03,폐업,02,폐업,2007-04-19,,,,02 7982262,59.40,140-876,서울특별시 용산구 한강로2가 394-0번지,,,평남여인숙,2004-02-21 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,4,,,,,,,,,0,0,,,N
