OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,CULPHYEDCOBNM,CULWRKRSENM,REGNSENM,TOTNUMLAY,NEARENVNM,MNFACTREARTCLCN,INSURORGNM,BDNGSRVNM,JISGNUMLAY,UNDERNUMLAY,STROOMCNT,CNSTYAREA,ENGSTNTRNMNM,ENGSTNTRNMADDR,SHPTOTTONS,SHPCNT,SHPINFO,STAGEAR,CHAIRCNT,SVNSR,MEETSAMTIMESYGSTF,FACILAR,PLAYUTSCNTDTL,PLAYFACILCNT,BCFACILEN,GEICPFACILEN,DISPENEN,INFOBEN,PLNINSURSTDT,PLNINSURENDDT,CAPT,INSURSTDT,INSURENDDT,AFC,FACILSCP,TRSTLODGCLNM
3000000,CDFI2260031967000001,1967-04-03,,02,휴업,02,휴업,,2023-01-01,2027-12-31,,02-734-6884,,,서울특별시 종로구 종로2가 9 (8층),"서울특별시 종로구 종로 69 (종로2가, YMCA)",03164,서울YMCA관광호텔,2023-06-15 13:47:15,U,2023-06-17 02:40:00.0,,198630.79627088,452035.412646906,관광숙박업,관광사업,,9,,,,호텔,8,1,30,0,SEOUL YMCA TOURIST HOTEL,TOURIST HOTEL,0,0,,0,0,,0,892.86,,0,,,,,,,0,,,,893,관광호텔업
3000000,CDFI2260031968000001,1968-05-01,,01,영업/정상,13,영업중,,,,,02-741-7811,,,서울특별시 종로구 창신동 444-14,"서울특별시 종로구 종로 286 (창신동, 이스턴호텔)",03119,동대문관광호텔,2025-07-10 11:12:57,U,2025-07-12 02:40:00.0,,200846.171043058,452069.005122414,관광숙박업,관광사업,,9,,,,,7,2,52,0,DONGDAEMUN TOURIST HOTEL,TOURIST HOTEL,0,0,,0,0,,0,3798.73,,0,,,,,,,0,,,,3799,관광호텔업
3000000,CDFI2260031969000001,1969-05-01,,01,영업/정상,13,영업중,,,,,02-6365-6500,,,서울특별시 종로구 장사동 227-1,"서울특별시 종로구 청계천로 137 (장사동, 센트럴관광호텔)",03193,센추럴,2023-11-22 17:26:41,U,2023-11-24 02:40:00.0,,199302.818541341,451834.817165156,관광숙박업,관광사업,,10,,,,,9,1,78,0,,,0,0,,0,0,,0,6309.22,,0,,,,,,,0,,,,6309,관광호텔업
3000000,CDFI2260031970000001,1970-05-01,,01,영업/정상,13,영업중,,,,,02-741-7080,,,서울특별시 종로구 창신동 436-73,"서울특별시 종로구 청계천로 341 (창신동, 삼호호텔)",03120,VATICA HOTEL(바티카 호텔),2024-01-09 09:50:33,U,2024-01-11 02:40:00.0,,201302.883783666,451982.388503793,관광숙박업,관광사업,,8,,,,,7,1,50,0,VATICA HOTEL,Tourist Accommodation Business,0,0,,0,0,,0,3292,,0,,,,,,,0,,,,3292,관광호텔업
3000000,CDFI2260031974000001,1974-04-01,,03,폐업,03,폐업,2008-01-04,,,,02-735-9001,,110-130,서울특별시 종로구 청진동 92번지,,,서울,2008-01-04 14:29:13,I,2018-08-31 23:59:59.0,,,,관광숙박업,관광사업,,10,,,,,8,2,0,0,,,0,0,,0,0,,0,5358.27,,0,,,,,,,0,,,,5358,
3000000,CDFI2260031980000001,1980-04-01,,01,영업/정상,13,영업중,,,,,02-3676-8000,,,서울특별시 종로구 낙원동 25,"서울특별시 종로구 삼일대로30길 9 (낙원동, 종로 크라운 호텔)",03132,종로크라운,2023-10-10 09:25:46,U,2023-10-12 02:40:00.0,,198886.944446027,452419.42955676,관광숙박업,관광사업,,10,,,,,8,2,80,0,Jongno Crown,Tourist Accommodation Business,0,0,,0,0,,0,4285.76,,0,,,,,,,0,,,,4286,관광호텔업
3000000,CDFI2260031990000001,1990-04-02,,01,영업/정상,13,영업중,,,,,02-379-0520,,,서울특별시 종로구 평창동 66-50,"서울특별시 종로구 평창문화로 136 (평창동, 킴스관광호텔)",03010,동화킴스관광호텔,2024-05-20 10:30:04,U,2024-05-22 02:40:00.0,,197733.39181877,456346.84737021,관광숙박업,관광사업,,6,,,,,4,2,51,0,,,0,0,,0,0,,0,3170.38,,0,,,,,,,0,,,,3170,관광호텔업
3000000,CDFI2260032003000001,2003-07-11,,03,폐업,03,폐업,2005-12-30,,,,02-2287-6070,,110-846,서울특별시 종로구 평창동 108-2번지,,,(주)올림피아스위트,2005-12-30 18:06:29,I,2018-08-31 23:59:59.0,,197949.002174181,456478.436790904,관광숙박업,관광사업,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,
3000000,CDFI2260032003000002,2003-12-10,,03,폐업,03,폐업,2012-08-30,,,,02-763-3233,,110-450,서울특별시 종로구 원남동 36번지,서울특별시 종로구 율곡로 176  (원남동),,비원관광호텔,2012-09-05 09:27:14,I,2018-08-31 23:59:59.0,,199775.901529928,452592.4422331,관광숙박업,관광사업,,15,,,,,13,2,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,
3000000,CDFI2260032007000001,2007-09-04,,01,영업/정상,13,영업중,,,,,02-6262-8282,,110-320,서울특별시 종로구 낙원동 272,서울특별시 종로구 인사동4길 18 (낙원동),03163,오라카이 인사동 스위츠,2024-01-19 09:19:30,U,2024-01-21 02:40:00.0,,198811.497417806,452301.907780717,관광숙박업,관광사업,일반상업지역,30,학교정화(상대),,,호텔,24,6,213,0,Orakai Insadong Suites,Family Hotel Business,0,0,,0,0,,0,45510.23,,0,,,,,,,20299999200,,,,45510,가족호텔업
