OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,SNTUPTAENM,BDNGJISGFLRCNT,BDNGUNDERFLRCNT,USEJISGSTFLR,USEJISGENDFLR,USEUNDERSTFLR,USEUNDERENDFLR,HANSHILCNT,YANGSILCNT,YOKSILCNT,BALHANSILYN,CHAIRCNT,CNDPERMNTWHY,CNDPERMSTYMD,CNDPERMENDYMD,BDNGOWNSENM,WASHMCCNT,WMEIPCNT,MANEIPCNT,RCVDRYNCNT,ABEDCNT,MULTUSNUPSOYN
3000000,3000000-201-1960-00148,1960-12-19,,03,폐업,02,폐업,1993-12-21,,,,0207635635,99.17,110-840,서울특별시 종로구 창신동 148-1번지,,,백금여관,2001-09-29 00:00:00,I,2018-08-31 23:59:59.0,여관업,201035.357569809,452256.067308891,여관업,0,0,0,0,0,0,14,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1960-00266,1960-12-19,,01,영업/정상,01,영업,,,,,02 7645531,91.17,120-855,서울특별시 종로구 창신동 687-20,서울특별시 종로구 창신길 9-8 (창신동),03101,이지스테이,2025-01-13 17:05:20,U,2025-01-15 02:40:00.0,여관업,200827.196168282,452228.128468846,여관업,0,0,0,5,0,0,8,2,,,,,,,,,0,0,,,N
3000000,3000000-201-1960-00287,1960-12-30,,03,폐업,02,폐업,1994-02-28,,,,0200000000,64.93,110-290,서울특별시 종로구 인사동 153-2번지,,,강원,2001-11-20 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,198721.150252708,452189.728779146,여인숙업,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1961-00259,1961-11-30,,03,폐업,02,폐업,1997-03-13,,,,02 7640550,89.19,110-126,서울특별시 종로구 종로6가 112-0번지,,,삼화,2001-11-20 00:00:00,I,2018-08-31 23:59:59.0,여관업,200625.032207372,452143.431069172,여관업,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1963-00210,1963-07-26,,01,영업/정상,01,영업,,,,,0264595113,82.64,110-540,서울특별시 종로구 창신동 581-8번지,서울특별시 종로구 창신길 28-7 (창신동),03106,호스텔 바닐라 1,2019-06-04 09:57:10,U,2019-06-06 02:40:00.0,여관업,200915.355544808,452286.287835015,여관업,0,0,0,7,0,0,10,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1963-00276,1963-06-27,,03,폐업,02,폐업,1996-01-06,,,,02 7305432,45.43,110-813,서울특별시 종로구 무악동 45-36번지,,,영천,2001-09-29 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,11,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1963-00277,1963-06-27,,03,폐업,02,폐업,2010-06-23,,,,02 7382405,23.43,110-813,서울특별시 종로구 무악동 46-53번지,,,현저여인숙,2004-01-16 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,5,0,0,6,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1963-00352,1963-01-29,,03,폐업,02,폐업,2001-07-25,,,,02 7649294,84.54,110-863,서울특별시 종로구 숭인동 94-0번지,,,봉산,2001-08-28 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,14,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1964-00261,1964-04-11,,03,폐업,02,폐업,2001-12-31,,,,02 7628565,101.33,110-126,서울특별시 종로구 종로6가 21-2번지,,,진희,2002-07-15 00:00:00,I,2018-08-31 23:59:59.0,여관업,200611.127042618,452235.891284162,여관업,0,0,0,0,0,0,12,0,,,,,,,,,0,0,,,N
3000000,3000000-201-1965-00174,1965-05-10,,01,영업/정상,01,영업,,,,,02 9276393,141.95,110-827,서울특별시 종로구 숭인동 339,서울특별시 종로구 보문로7길 5-1 (숭인동),03111,메종호텔,2025-01-09 17:06:41,U,2025-01-11 02:40:00.0,여관업,201930.626141344,452794.664951715,여관업,0,0,0,7,0,0,10,0,,,,,,,,,0,0,,,N
