시설ID,시설명,시설유형,소방서ID,X좌표,Y좌표,위도,경도,관할구역
1100106,회현119안전센터,안전센터/구조대,1100000,198522.999,550971.303,37.5582682,126.9832837,"중구중 : 남대문로3~5가, 의주로1~2가, 중림동, 만리동1~2가, 봉래동  1~2가, 회현동1~3가, 남창동, 충정로1가, 정동, 순화동, 서소문동, 태평로2가, 북창동"
1100512,본부현장대응단,안전센터/구조대,1100000,199028.5081,551050.1231,37.5589791,126.9890048,
1102000,동작소방서,소방서,1100000,192727.712,543911.472,37.4946315,126.9177639,"동작구중 : 흑석동, 노량진동(노량진1ㆍ2동), 사당동[사당2동(44-20~1137 신동아 일대)] / 동작구중 : 신대방동(신대방1ㆍ2동), 대방동 / 동작구중 : 상도1동, 사당동[사당1ㆍ3ㆍ4ㆍ5동, 사당2동(105 극동?147-106 일대)] / 동작구중 : 상도동(상도2ㆍ3ㆍ4동)"
1102101,동작119안전센터,안전센터/구조대,1102000,192718.705,543910.48,37.4946225,126.917662,"동작구중 : 신대방동(신대방1ㆍ2동), 대방동"
1102102,노량진119안전센터,안전센터/구조대,1102000,195310.039,546021.914,37.5136635,126.9469517,"동작구중 : 흑석동, 노량진동(노량진1ㆍ2동), 사당동[사당2동(44-20~1137 신동아 일대)]"
1102103,상도119안전센터,안전센터/구조대,1102000,193774.33,544394.125,37.4989879,126.9295951,동작구중 : 상도동(상도2ㆍ3ㆍ4동)
1102104,백운119안전센터,안전센터/구조대,1102000,196604.194,543927.68,37.4948,126.9615996,"동작구중 : 상도1동, 사당동[사당1ㆍ3ㆍ4ㆍ5동, 사당2동(105 극동?147-106 일대)]"
1103000,종로소방서,소방서,1100000,198916.6787,553041.4444,37.5769206,126.9877362,"종로구중 : 중학동, 수송동, 견지동, 관훈동, 청진동, 공평동, 종로1가, 서린동, 내자동, 적선동, 평  동, 송월동, 도렴동, 당주동, 내수동,  신문로1ㆍ2가, 세종로동, 소격동, 사간동, 송현동, 종로2가, 인사동, 관철동, 삼청동, 팔판동, 안국동 / 종로구중 : 창신1ㆍ2ㆍ3동, 숭인1ㆍ2동, 충신동, 종로6가  / 종로구중 : 청운동, 신교동, 효자동, 궁정동, 창성동, 통인동, 누상동, 누하동, 옥인동, 무악동, 체부동, 필운동,  통의동, 홍파동, 교남동, 교북동, 행촌동, 사직동 / 종로구중 : 구기동, 평창동, 부암동, 홍지동, 신영동 / 종로구중 : 혜화동, 명륜동1~4가, 연건동, 동숭동, 원남동, 인의동, 예지동, 연지동, 효제동, 종로5가, 이화동 / 종로구중 : 화 동, 가회동, 운니동, 경운동,  익선동, 낙원동,  훈정동, 봉익동, 묘동, 돈의동, 종로3가, 종로4가, 관수동, 장사동, 와룡동, 재동, 계동, 원서동, 권농동"
1103102,세종로119안전센터,안전센터/구조대,1103000,198916.6787,553048.4444,37.5769837,126.9877362,"종로구중 : 중학동, 수송동, 견지동, 관훈동, 청진동, 공평동, 종로1가, 서린동, 내자동, 적선동, 평  동, 송월동, 도렴동, 당주동, 내수동,  신문로1ㆍ2가, 세종로동, 소격동, 사간동, 송현동, 종로2가, 인사동, 관철동, 삼청동, 팔판동, 안국동"
1103104,신교119안전센터,안전센터/구조대,1103000,197354.902,553854.036,37.5842389,126.970053,"종로구중 : 청운동, 신교동, 효자동, 궁정동, 창성동, 통인동, 누상동, 누하동, 옥인동, 무악동, 체부동, 필운동,  통의동, 홍파동, 교남동, 교북동, 행촌동, 사직동"
1103105,연건119안전센터,안전센터/구조대,1103000,200168.188,553314.489,37.5793814,127.001904,"종로구중 : 혜화동, 명륜동1~4가, 연건동, 동숭동, 원남동, 인의동, 예지동, 연지동, 효제동, 종로5가, 이화동"
1103106,신영119안전센터,안전센터/구조대,1103000,196540.867,556252.501,37.6058461,126.9608254,"종로구중 : 구기동, 평창동, 부암동, 홍지동, 신영동"
1103108,종로119안전센터,안전센터/구조대,1103000,199329.2769,552415.8453,37.5712844,126.9924076,"종로구중 : 화 동, 가회동, 운니동, 경운동,  익선동, 낙원동,  훈정동, 봉익동, 묘동, 돈의동, 종로3가, 종로4가, 관수동, 장사동, 와룡동, 재동, 계동, 원서동, 권농동"
1103109,숭인119안전센터,안전센터/구조대,1103000,201926.092,553131.624,37.5777318,127.0218047,"종로구중 : 창신1ㆍ2ㆍ3동, 숭인1ㆍ2동, 충신동, 종로6가 "
1104000,중부소방서,소방서,1100000,201365.224,551713.513,37.5649557,127.0154527,"중구중 : 황학동, 신당동(신당1동, 신당4~6동), 광희동2가, 장충동1가 / 중구중 : 신당2~3동, 장충동2가, 묵정동, 필동2~3가, 예장동 / 중구중 : 주교동, 방산동, 을지로3~7가, 오장동, 예관동, 충무로4~5가, 광희동1가, 쌍림동, 입정동, 산림동, 저동2가, 초동, 인현동 1~2가 / 중구중 : 충무로1~3가, 필동1가, 남학동, 주자동, 태평로1가, 무교동, 다동, 을지로1~2가, 삼각동, 수하동, 장교동, 수표동, 소공동, 명동1~2가, 남대문로1~2가, 남산동1~3가, 저동1가 / 중구중 : 남대문로3~5가, 의주로1~2가, 중림동, 만리동1~2가, 봉래동  1~2가, 회현동1~3가, 남창동, 충정로1가, 정동, 순화동, 서소문동, 태평로2가, 북창동"
1104103,충무로119안전센터,안전센터/구조대,1104000,199377.223,551399.433,37.5621266,126.9929512,"중구중 : 충무로1~3가, 필동1가, 남학동, 주자동, 태평로1가, 무교동, 다동, 을지로1~2가, 삼각동, 수하동, 장교동, 수표동, 소공동, 명동1~2가, 남대문로1~2가, 남산동1~3가, 저동1가"
1104105,을지로119안전센터,안전센터/구조대,1104000,201082.738,551926.895,37.5668786,127.0122556,"중구중 : 주교동, 방산동, 을지로3~7가, 오장동, 예관동, 충무로4~5가, 광희동1가, 쌍림동, 입정동, 산림동, 저동2가, 초동, 인현동 1~2가"
1104106,신당119안전센터,안전센터/구조대,1104000,200855.012,550373.246,37.5528805,127.0096761,"중구중 : 신당2~3동, 장충동2가, 묵정동, 필동2~3가, 예장동"
1104401,무학119안전센터,안전센터/구조대,1104000,201367.223,551701.514,37.5648476,127.0154753,"중구중 : 황학동, 신당동(신당1동, 신당4~6동), 광희동2가, 장충동1가"
1105000,광진소방서,소방서,1100000,207314.868,549495.2,37.5449407,127.0827732,"광진구중 : 구의동(구의동중 3~9, 15~58, 549, 551, 552, 554~556, 558~560번지 제외), 광장동, 자양동(자양1ㆍ2동) / 광진구중 : 능동, 군자동, 화양동, 자양동(자양3ㆍ4동) / 광진구중 : 중곡동, 구의동중 3~9, 15~58, 549, 551, 552, 554~556, 558~560번지"
1105103,능동119안전센터,안전센터/구조대,1105000,206790.935,550240.539,37.5516602,127.0768514,"광진구중 : 능동, 군자동, 화양동, 자양동(자양3ㆍ4동)"
1105107,중곡119안전센터,안전센터/구조대,1105000,207659.174,551941.719,37.566981,127.0866948,"광진구중 : 중곡동, 구의동중 3~9, 15~58, 549, 551, 552, 554~556, 558~560번지"
1105401,구의119안전센터,안전센터/구조대,1105000,207307.868,549486.204,37.5448597,127.0826939,"광진구중 : 구의동(구의동중 3~9, 15~58, 549, 551, 552, 554~556, 558~560번지 제외), 광장동, 자양동(자양1ㆍ2동)"
