119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
신림119안전센터,,11000000090415,서울특별시,,신림동,,숙박시설,Y,20060905,관악소방서,빌라드보니(구. 루쏘호텔),19970818,Y,N,,442847.59,,,,193974.89,,관악구,LUSSO HOTEL,,종합점검대상
신림119안전센터,,11000000322877,서울특별시,,신림동,,숙박시설,Y,20190321,관악소방서,삼화,20190911,Y,N,,442942.1,,,N,193689.69,20190902,관악구,삼화,,종합점검대상
현장대응단,,11000000096494,서울특별시,,둔촌동,20290320,숙박시설,Y,20050724,강동소방서,둔촌빌딩(숙박),19831226,Y,N,,447907.41,,20240320,,212574.18,19990701,강동구,,하나 손해보험,작동점검대상
천호119안전센터,,11000000057280,서울특별시,,천호동,20240825,숙박시설,Y,20060713,강동소방서,에바파크(숙박),19900319,Y,N,,448855.06,,20230825,,211135.24,,강동구,,현대해상화재보험,작동점검대상
영동119안전센터,서울특별시 강남구 논현동,11000000064595,서울특별시,,논현동,,숙박시설,Y,20021101,강남소방서,호원빌딩,19910608,Y,,,445731.87,,,,203421.98,19910608,강남구,,,작동점검대상
영동119안전센터,서울특별시 강남구 논현동,11000000066516,서울특별시,,논현동,,숙박시설,Y,20030101,강남소방서,신성빌딩(케이그랜드호스텔),19911016,Y,,,445116.89,,,,202225.79,20160202,강남구,,,작동점검대상
천호119안전센터,,11000000100663,서울특별시,,천호동,20241121,숙박시설,Y,20060412,강동소방서,히트호텔(숙박),20001219,Y,N,,448893.79,,20231121,,211097.97,,강동구,,삼성화재,작동점검대상
종로119안전센터,서울특별시 종로구 와룡동,11000000001685,서울특별시,N,와룡동,,숙박시설,Y,20030516,종로소방서,태양여관,19600901,N,,N,452752.68,,,,199226.12,,종로구,,,
현장대응단,서울특별시 양천구 목동,11000000035969,서울특별시,,목동,,숙박시설,Y,19990224,양천소방서,"잠모텔(구.오목장모텔,도원모텔)",19830725,Y,N,,447293.66,,,,189055.16,,양천구,오목장여관,,작동점검대상
을지로119안전센터,서울특별시 중구 입정동,11330000093857,서울특별시,,입정동,,숙박시설,Y,20240919,중부소방서,세운푸르지오 G팰리스 A동,20240912,Y,N,,451725.2,,,N,199287.99,20240911,중구,세운푸르지오G-팰리스 1,,종합및작동점검대상
현장대응단,,11000000117628,서울특별시,,연희동,,숙박시설,Y,20041218,서대문소방서,동방빌딩(영덕막회물회건물),20040519,Y,N,,451723.78,,,,193610.58,20251117,서대문구,동방빌딩,,작동점검대상
충무로119안전센터,서울특별시 중구 을지로2가,11000000131076,서울특별시,,을지로2가,20250416,숙박시설,Y,20080515,중부소방서,아르누보 센텀,20080416,Y,N,,451683.8,,20240416,,198570.87,,중구,명동아르누보센텀,메리트화재보험,종합및작동점검대상
미아119안전센터,서울특별시 강북구 미아동,11000000013956,서울특별시,N,미아동,,숙박시설,Y,20040221,강북소방서,하이빌모텔(구-일신장여관),19760701,N,,N,459323.4,,,,202121.44,,강북구,하이빌모텔,,
미아119안전센터,서울특별시 강북구 미아동,11000000003865,서울특별시,N,미아동,,숙박시설,Y,20051221,강북소방서,정민장(한국관),19670810,N,,N,456767.13,,,,202848.81,,강북구,정민장,,
미아119안전센터,서울특별시 강북구 미아동,11000000007067,서울특별시,N,미아동,,숙박시설,Y,20051221,강북소방서,서림장여관,19700730,N,,N,457842.15,,,,201931.05,,강북구,서림장여관,,
휘경119안전센터,서울특별시 동대문구 휘경동,11000000116641,서울특별시,,휘경동,20190807,숙박시설,Y,20041208,동대문소방서,강화군 제3장학관,20040305,Y,N,Y,454443.56,Y,20180808,,205013.73,20040305,동대문구,드웰 동대문,삼성화재,종합및작동점검대상
전농119안전센터,,11000000124152,서울특별시,,답십리동,20210627,숙박시설,Y,20060119,동대문소방서,SM부티크호텔(상명빌딩),20051212,Y,N,,451905.89,,20160627,,204732.11,20051212,동대문구,상명빌딩,삼성화재,종합및작동점검대상
신월119안전센터,,11000000154679,서울특별시,,신월동,20180911,숙박시설,Y,20130912,양천소방서,캠프관광호텔,20130902,Y,N,,448630.32,,20130911,,185371.68,20130822,양천구,캠프관광호텔,LIG보험,종합및작동점검대상
서초119안전센터,서울특별시 서초구 서초동,11000000334845,서울특별시,,서초동,20250301,숙박시설,Y,20220921,서초소방서,지젤시그니티서초,20220930,Y,N,,443098.69,,20240301,N,201657.87,20220921,서초구,지젤시그니티서초,화재보험 가입됨,종합및작동점검대상
충무로119안전센터,서울특별시 중구 충무로1가,11000000334924,서울특별시,Y,충무로1가,20240926,숙박시설,Y,20220929,중부소방서,LeMERIDIEN moxy르메르디앙 명동(목시빌딩),20220926,Y,N,,451368.74,,20230926,N,198478.61,20220923,중구,,메리츠화재보험,종합및작동점검대상
충무로119안전센터,서울특별시 중구 을지로2가,11000000249857,서울특별시,,을지로2가,20240427,숙박시설,Y,20150218,중부소방서,트레블로지 명동을지로호텔(구.홀리데이인익스프레스),20150319,Y,N,,451896.14,,20230427,N,199054.26,20150216,중구,,삼성화재,종합및작동점검대상
신정119안전센터,서울특별시 양천구 신정동,11000000036841,서울특별시,,신정동,,숙박시설,Y,20061214,양천소방서,부곡빌딩(구.모텔메종),19850504,Y,N,,447294.65,,,,187427.22,,양천구,,,작동점검대상
회현119안전센터,서울특별시 중구 남대문로3가,11000000336458,서울특별시,,남대문로3가,,숙박시설,Y,20230304,중부소방서,더스테이 클래식,20230228,Y,N,,451081.61,,,N,198191.57,20230220,중구,,,종합및작동점검대상
서초119안전센터,서울특별시 서초구 서초동,11000000337447,서울특별시,,서초동,,숙박시설,Y,20230608,서초소방서,서초로이지움지젤,20230615,Y,N,,442944.77,,,N,201118.88,20230608,서초구,서초로이지움지젤,,종합및작동점검대상
돈암119안전센터,서울특별시 성북구 동선동4가,11000000102632,서울특별시,,동선동4가,20211101,숙박시설,Y,20040226,성북소방서,더월호텔,20010608,Y,N,,454926.38,,20161001,,201507.27,20010601,성북구,라마다모텔,케이비 화재보험,작동점검대상
서교119안전센터,,11000000314829,서울특별시,Y,서교동,20180715,숙박시설,Y,20170719,마포소방서,라이즈호텔(구.아주호텔서교),20180125,Y,N,,450554.82,,20150601,N,193038.36,20171212,마포구,라이즈호텔,서울보증보험주식회사,종합점검대상
녹번119안전센터,,11000000250557,서울특별시,,응암동,,숙박시설,Y,20150402,은평소방서,브릭스관광호텔,20160819,Y,,,455594.9,,,N,193035.07,20160725,은평구,브릭스 관광호텔,,종합점검대상
면목119안전센터,,11000000010750,서울특별시,N,면목동,,숙박시설,Y,20031219,중랑소방서,별장여관(간판없음),19731220,N,,N,454149.65,,,,207244.56,,중랑구,,,
