119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
신림119안전센터,,11000000326893,서울특별시,,신림동,,숙박시설,Y,20200514,관악소방서,오루트21,20210803,Y,N,,,,,N,,20210811,관악구,ORT21,,종합점검대상
북가좌119안전센터,,11000000335577,서울특별시,,북가좌동,,숙박시설,Y,20221208,서대문소방서,달콤하우스-B,20190213,,N,,,,,N,,,서대문구,달콤하우스-B,,
북가좌119안전센터,,11000000335702,서울특별시,,북가좌동,,숙박시설,Y,20221222,서대문소방서,예원 237-2,20220818,,N,,,,,N,,,서대문구,예원 237-2,,
용두119안전센터,,11330000124079,서울특별시,,제기동,,숙박시설,Y,20250512,동대문소방서,스테이청량,19810819,Y,N,,,,,N,,20250616,동대문구,,,작동점검대상
성수119안전센터,,11330000134465,서울특별시,,성수동2가,,숙박시설,Y,20251216,성동소방서,스윗스팟성수,,Y,N,,,,,N,,20251031,성동구,,,작동점검대상
신림119안전센터,,11000000310380,서울특별시,,신림동,,숙박시설,Y,20161215,관악소방서,TH78,20170731,Y,,,,,,N,,20170712,관악구,TH78,,작동점검대상
신림119안전센터,,11000000258167,서울특별시,,신림동,,숙박시설,Y,20160322,관악소방서,하이야트관광호텔,20161110,Y,,,,,,N,,20161014,관악구,하이야트 관광호텔,,작동점검대상
현장대응단,,11000000337672,서울특별시,,영등포동3가,,숙박시설,Y,20230628,영등포소방서,H-AVENUE HOTEL,20230620,Y,N,,,,,N,,20230620,영등포구,H-AVENUE HOTEL,,종합및작동점검대상
서교119안전센터,,11000000337048,서울특별시,Y,서교동,,숙박시설,Y,20230420,마포소방서,누디트 홍대(구.서교동공유복합시설),20230421,Y,N,,,,,N,,20230420,마포구,서교동 공유복합시설,,종합점검대상
녹번119안전센터,,11000000312947,서울특별시,,응암동,,숙박시설,Y,20170223,은평소방서,킹모텔,19701104,,,,,,,N,,,은평구,,,
백운119안전센터,,11000000329038,서울특별시,,사당동,,숙박시설,Y,20210104,동작소방서,건수빌딩,20200724,,N,,,,,N,,,동작구,골든스테이,,
노량진119안전센터,,11000000329042,서울특별시,,사당동,,숙박시설,Y,20210104,동작소방서,지현빌,20200130,,N,,,,,N,,,동작구,지현빌,,
수색119안전센터,,11000000324226,서울특별시,,수색동,,숙박시설,Y,20190829,은평소방서,현대여관건물,19660712,,N,,,,,N,,,은평구,,,
종로119안전센터,,11000000287334,서울특별시,,익선동,,숙박시설,Y,20161102,종로소방서,익선동94-3건물,20160720,,,,,,,N,,,종로구,,,
당산119안전센터,,11330000126872,서울특별시,,양평동3가,,숙박시설,Y,20250616,영등포소방서,가예2,20250701,Y,N,,,,,,,20250616,영등포구,,,종합및작동점검대상
수색119안전센터,,11000000329426,서울특별시,,신사동,,숙박시설,Y,20210215,은평소방서,신사동30-27건물(벧엘장애인공동생활가정),19920609,,,,,,,N,,,은평구,,,
수색119안전센터,,11000000329427,서울특별시,,신사동,,숙박시설,Y,20210215,은평소방서,신사동31-25건물(브니엘장애인공동생활가정),19941122,,,,,,,N,,,은평구,,,
백운119안전센터,,11000000332709,서울특별시,,사당동,,숙박시설,Y,20220103,동작소방서,카라하우스빌,20211014,,N,,,,,N,,,동작구,카라하우스빌,,
백운119안전센터,,11000000332732,서울특별시,,사당동,,숙박시설,Y,20220103,동작소방서,첼시하우스 34,20210615,,N,,,,,N,,,동작구,첼시하우스 34,,
