사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부,지번주소_매칭,도로명주소_매칭,매칭건물명,매칭건축물대장PK,매칭소스,매칭방식,매칭점수
19131022,N,11000000000054,N,서울특별시 중구 남산동1가,서울특별시,중구,남산동1가,N,N,N,더로드서울,N,서울특별시 중구 남산동1가 16-2번지,서울특별시 중구 소공로6길 13-8 (남산동1가),(주)더로드서울,100315447,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19341030,N,11000000000153,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,피넛호텔,N,서울특별시 중구 북창동 95번지,서울특별시 중구 남대문로1길 26-8 (북창동),피넛호텔,100313011,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19500302,N,11000000000422,N,서울특별시 종로구 권농동,서울특별시,종로구,권농동,N,N,N,순라 스테이,N,서울특별시 종로구 권농동 155-1번지,서울특별시 종로구 율곡로10길 17 (권농동),순라스테이,1002120348,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19520913,N,11000000000487,N,서울특별시 용산구 남영동,서울특별시,용산구,남영동,N,N,N,로망스모텔(로망스여관),N,서울특별시 용산구 남영동 38번지,서울특별시 용산구 한강대로84길 11-12 (남영동),로망스모텔,100415203,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19531201,N,11000000000526,N,서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가,N,N,N,서대문여관(공가),N,,,,,,,0.0
19540401,N,11000000000539,N,서울특별시 중구 충무로5가,서울특별시,중구,충무로5가,N,N,N,남경빌딩,N,서울 중구 충무로5가 19-7,서울 중구 창경궁로 2,남경빌딩,,kakao_keyword,kakao_keyword,12.5
19541201,N,11000000000601,N,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,N,N,N,(선임유예/~240722)뉴썬게스트하우스,N,,,,,,,0.0
19551201,N,11000000000675,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,은성빌딩,N,서울특별시 중구 북창동 134-1번지,서울특별시 중구 남대문로1길 6 (북창동),은성빌딩,100313042,등기부등본_표제부_중구.csv,exact_name_gu_dong,100.0
19560130,N,11000000000685,N,서울특별시 중구 명동2가,서울특별시,중구,명동2가,N,N,N,명동2가 54-2 건물(꽁돈삼겹살 건물),N,,,,,,,0.0
19561001,N,11000000000744,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,올스테이 호스텔,N,서울특별시 중구 북창동 93-36번지,서울특별시 중구 남대문로5길 23 (북창동),올스테이 호스텔,100312970,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19561001,N,11000000000748,N,서울특별시 중구 필동2가,서울특별시,중구,필동2가,N,N,N,한일장모텔,N,서울특별시 중구 필동2가 18-14번지,서울특별시 중구 퇴계로 210-47 (필동2가),한일장모텔,100317582,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19561001,N,11000000000753,N,서울특별시 중구 신당동,서울특별시,중구,신당동,N,N,N,신양장,N,서울 성동구 성수동1가 176-2,서울 성동구 성덕정길 38,신양장여관,,kakao_keyword,kakao_keyword,9.45
19570402,N,11000000000799,N,서울특별시 중구 충무로3가,서울특별시,중구,충무로3가,N,N,N,삼익프린팅,N,서울 중구 충무로4가 154-1,서울 중구 충무로2길 8,삼익프린팅,,kakao_keyword,kakao_keyword,11.5
19571001,N,11000000000839,N,서울특별시 중구 오장동,서울특별시,중구,오장동,N,N,N,조일빌딩,N,서울 종로구 충신동 206-10,서울 종로구 종로39길 54,조일빌딩,,kakao_keyword,kakao_keyword,10.0
19580801,N,11000000000927,N,서울특별시 중구 태평로2가,서울특별시,중구,태평로2가,N,N,N,"퍼스트스테이호텔이글(구.빅토리아호텔, 호텔통명동)",N,,,,,,,0.0
19581031,N,11000000000935,N,서울특별시 종로구 관철동,서울특별시,종로구,관철동,N,N,N,우미관호텔 건물,N,서울특별시 종로구 관철동 15-1번지,서울특별시 종로구 종로14길 4 (관철동),우미관호텔,1002123465,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.56
19590301,N,11000000001025,N,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,N,N,N,힐하우스호텔(구.언덕의집),N,서울특별시 중구 회현동1가 133-1번지,서울특별시 중구 소공로3길 42 (회현동1가),힐하우스 호텔,100314093,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19590601,N,11000000001062,N,서울특별시 중구 태평로2가,서울특별시,중구,태평로2가,N,N,N,서림빌딩,N,서울 종로구 숭인동 177-2,서울 종로구 종로 377-3,서림빌딩,,kakao_keyword,kakao_keyword,10.0
19680905,N,11000000001079,N,서울특별시 용산구 원효로2가,서울특별시,용산구,원효로2가,N,N,N,대흥여관,N,서울 노원구 상계동 156-24,서울 노원구 한글비석로24라길 5,대흥여관,,kakao_keyword,kakao_keyword,10.0
19600401,N,11000000001584,N,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,N,N,N,세기P&C(충무빌딩),N,,,,,,,0.0
19600601,N,11000000001628,N,서울특별시 종로구 숭인동,서울특별시,종로구,숭인동,N,N,N,가야장여관,N,서울특별시 종로구 숭인동 1089번지,서울특별시 종로구 보문로3길 17-4 (숭인동),가야,10021970,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.4
19600901,N,11000000001685,N,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동,N,N,N,태양여관,N,경남 밀양시 하남읍 수산리 815-26,경남 밀양시 하남읍 수산중앙로 35,태양여관,,kakao_keyword,kakao_keyword,10.0
19651031,N,11000000001706,N,서울특별시 용산구 한강로2가,서울특별시,용산구,한강로2가,N,N,N,HOTEL MAC(구.우정여관),N,,,,,,,0.0
19601115,N,11000000001744,N,서울특별시 중구 남창동,서울특별시,중구,남창동,N,N,N,황금장,N,서울특별시 중구 남창동 168-5번지,서울특별시 중구 퇴계로4길 9 (남창동),황금장여관,100312556,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.5
19601201,N,11000000001767,N,서울특별시 중구 다동,서울특별시,중구,다동,N,N,N,한주화학빌딩,N,,,,,,,0.0
19601201,N,11000000001790,N,서울특별시 중구 태평로2가,서울특별시,중구,태평로2가,N,N,N,인천이씨공도공파종친회(오천회관),N,,,,,,,0.0
19601231,N,11000000001801,N,서울특별시 중구 을지로2가,서울특별시,중구,을지로2가,Y,N,N,메트로호텔,N,서울특별시 중구 을지로2가 199-33번지,서울특별시 중구 명동9가길 14 (을지로2가),메트로호텔,100311756,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19610301,N,11000000001826,N,서울특별시 영등포구 영등포동3가,서울특별시,영등포구,영등포동3가,N,N,N,일신여관,N,서울특별시 영등포구 영등포동3가 10-33번지,서울특별시 영등포구 영중로2길 9 (영등포동3가),일신여관,102014386,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
