기준일,구,법정동코드,법정동명,전체건물수,사용승인일유효건수,10년이상건물수,30년이상건물수,50년이상건물수
2026-04-15,강남구,1168010300,개포동,2,2,1,0,0
2026-04-15,강남구,1168010800,논현동,74,74,67,32,0
2026-04-15,강남구,1168010600,대치동,25,25,23,3,0
2026-04-15,강남구,1168011800,도곡동,3,3,3,2,0
2026-04-15,강남구,1168010500,삼성동,50,50,38,14,0
2026-04-15,강남구,1168010700,신사동,36,36,32,20,2
2026-04-15,강남구,1168010100,역삼동,133,133,106,39,1
2026-04-15,강남구,1168011400,일원동,8,8,8,8,0
2026-04-15,강남구,1168010400,청담동,18,18,15,9,0
2026-04-15,강서구,1150010400,가양동,3,3,3,2,0
2026-04-15,강서구,1150011000,개화동,4,4,4,3,0
2026-04-15,강서구,1150010800,공항동,34,34,28,15,3
2026-04-15,강서구,1150010600,내발산동,10,10,9,6,0
2026-04-15,강서구,1150010200,등촌동,20,20,13,6,1
2026-04-15,강서구,1150010500,마곡동,8,8,3,0,0
2026-04-15,강서구,1150010900,방화동,25,25,21,12,4
2026-04-15,강서구,1150010100,염창동,9,9,6,2,0
2026-04-15,강서구,1150010700,외발산동,5,5,5,0,0
2026-04-15,강서구,1150010300,화곡동,126,126,112,50,5
2026-04-15,마포구,1144010200,공덕동,28,26,26,13,5
2026-04-15,마포구,1144011300,구수동,1,1,0,0,0
2026-04-15,마포구,1144011000,노고산동,70,69,68,50,7
2026-04-15,마포구,1144011800,당인동,13,13,13,12,1
2026-04-15,마포구,1144010800,대흥동,21,21,19,13,5
2026-04-15,마포구,1144010400,도화동,46,46,43,28,3
2026-04-15,마포구,1144012100,동교동,136,136,122,84,9
2026-04-15,마포구,1144010700,마포동,2,2,1,0,0
2026-04-15,마포구,1144012300,망원동,84,83,77,52,5
2026-04-15,마포구,1144011500,상수동,29,29,26,19,2
2026-04-15,마포구,1144012700,상암동,33,33,32,6,2
2026-04-15,마포구,1144012000,서교동,219,219,208,127,19
2026-04-15,마포구,1144012500,성산동,72,72,58,37,10
2026-04-15,마포구,1144010300,신공덕동,7,6,5,4,0
2026-04-15,마포구,1144011100,신수동,15,14,11,6,1
2026-04-15,마포구,1144010100,아현동,9,5,5,4,2
2026-04-15,마포구,1144012400,연남동,232,232,211,138,43
2026-04-15,마포구,1144010900,염리동,22,22,21,16,7
2026-04-15,마포구,1144010500,용강동,4,4,3,2,0
2026-04-15,마포구,1144012600,중동,4,4,4,4,0
2026-04-15,마포구,1144011400,창전동,37,37,34,24,3
2026-04-15,마포구,1144012200,합정동,81,81,75,48,7
2026-04-15,서초구,1165010700,반포동,16,16,16,7,0
2026-04-15,서초구,1165010100,방배동,22,22,19,13,1
2026-04-15,서초구,1165010800,서초동,32,32,24,6,0
2026-04-15,서초구,1165011100,신원동,1,1,0,0,0
2026-04-15,서초구,1165010200,양재동,9,9,9,6,0
2026-04-15,서초구,1165010300,우면동,2,2,0,0,0
2026-04-15,서초구,1165010600,잠원동,7,6,6,4,0
2026-04-15,성동구,1120010900,금호동1가,2,2,2,2,0
2026-04-15,성동구,1120011000,금호동2가,3,3,3,3,1
2026-04-15,성동구,1120011100,금호동3가,7,7,7,7,6
2026-04-15,성동구,1120011200,금호동4가,1,1,1,1,0
2026-04-15,성동구,1120010400,도선동,30,30,29,20,2
2026-04-15,성동구,1120010500,마장동,6,6,6,4,3
2026-04-15,성동구,1120010600,사근동,2,2,2,2,1
2026-04-15,성동구,1120011400,성수동1가,48,48,43,36,4
2026-04-15,성동구,1120011500,성수동2가,43,43,42,33,8
2026-04-15,성동구,1120011800,송정동,11,11,9,9,5
2026-04-15,성동구,1120011300,옥수동,3,3,3,2,0
2026-04-15,성동구,1120012200,용답동,9,9,9,7,3
2026-04-15,성동구,1120010800,응봉동,3,3,3,3,0
2026-04-15,성동구,1120010200,하왕십리동,19,19,18,13,4
2026-04-15,성동구,1120010700,행당동,20,20,20,16,2
2026-04-15,성동구,1120010300,홍익동,4,4,4,4,2
2026-04-15,송파구,1171010700,가락동,8,8,7,5,0
2026-04-15,송파구,1171011300,거여동,5,5,4,4,1
2026-04-15,송파구,1171011400,마천동,2,2,2,2,2
2026-04-15,송파구,1171010800,문정동,9,9,5,5,0
2026-04-15,송파구,1171011100,방이동,54,54,49,19,0
2026-04-15,송파구,1171010600,삼전동,23,23,22,8,0
2026-04-15,송파구,1171010500,석촌동,43,43,42,20,0
2026-04-15,송파구,1171010400,송파동,31,31,28,10,0
2026-04-15,송파구,1171010200,신천동,4,4,1,0,0
2026-04-15,송파구,1171011200,오금동,5,5,3,2,0
2026-04-15,송파구,1171010100,잠실동,49,49,46,23,0
2026-04-15,송파구,1171010300,풍납동,8,8,8,3,0
2026-04-15,영등포구,1156011700,당산동,1,1,1,0,0
2026-04-15,영등포구,1156011100,당산동1가,26,26,18,14,9
2026-04-15,영등포구,1156011200,당산동2가,6,5,3,3,1
2026-04-15,영등포구,1156011300,당산동3가,8,8,7,6,2
2026-04-15,영등포구,1156011400,당산동4가,2,2,2,1,0
2026-04-15,영등포구,1156011500,당산동5가,4,4,4,2,0
2026-04-15,영등포구,1156011600,당산동6가,6,6,6,6,2
2026-04-15,영등포구,1156013300,대림동,20,20,18,16,12
2026-04-15,영등포구,1156011800,도림동,8,8,7,5,0
2026-04-15,영등포구,1156012000,문래동2가,2,1,1,0,0
2026-04-15,영등포구,1156012100,문래동3가,1,1,1,0,0
2026-04-15,영등포구,1156012200,문래동4가,1,1,1,1,0
2026-04-15,영등포구,1156013200,신길동,66,62,55,48,35
2026-04-15,영등포구,1156012500,양평동1가,9,9,5,4,2
2026-04-15,영등포구,1156012600,양평동2가,3,3,3,1,0
2026-04-15,영등포구,1156012700,양평동3가,6,6,2,0,0
2026-04-15,영등포구,1156012800,양평동4가,12,11,10,8,4
2026-04-15,영등포구,1156012900,양평동5가,4,4,1,1,0
2026-04-15,영등포구,1156011000,여의도동,11,11,10,2,1
2026-04-15,영등포구,1156010100,영등포동,6,6,6,6,3
2026-04-15,영등포구,1156010200,영등포동1가,7,7,3,0,0
2026-04-15,영등포구,1156010300,영등포동2가,8,8,4,4,3
2026-04-15,영등포구,1156010400,영등포동3가,52,48,42,19,9
2026-04-15,영등포구,1156010500,영등포동4가,8,8,7,5,2
2026-04-15,영등포구,1156010600,영등포동5가,9,8,8,7,6
2026-04-15,영등포구,1156010700,영등포동6가,10,9,9,9,3
2026-04-15,영등포구,1156010800,영등포동7가,1,1,1,1,1
2026-04-15,영등포구,1156010900,영등포동8가,1,1,1,0,0
2026-04-15,용산구,1117010400,갈월동,23,21,19,17,11
2026-04-15,용산구,1117010500,남영동,9,7,7,7,6
2026-04-15,용산구,1117013200,동빙고동,5,5,5,4,2
2026-04-15,용산구,1117010700,동자동,30,30,30,24,20
2026-04-15,용산구,1117012200,문배동,2,2,2,0,0
2026-04-15,용산구,1117013600,보광동,16,15,15,11,6
2026-04-15,용산구,1117011500,산천동,1,1,1,1,0
2026-04-15,용산구,1117010800,서계동,76,76,72,49,18
2026-04-15,용산구,1117013300,서빙고동,1,1,1,1,0
2026-04-15,용산구,1117011400,신창동,1,1,1,1,0
2026-04-15,용산구,1117012100,용문동,5,5,4,1,1
2026-04-15,용산구,1117010200,용산동2가,33,33,32,19,1
2026-04-15,용산구,1117012600,용산동3가,2,2,2,2,2
2026-04-15,용산구,1117011200,원효로1가,4,4,4,4,3
2026-04-15,용산구,1117011300,원효로2가,7,7,7,5,3
2026-04-15,용산구,1117011700,원효로3가,4,4,4,4,3
2026-04-15,용산구,1117011800,원효로4가,1,1,1,0,0
2026-04-15,용산구,1117012900,이촌동,8,8,8,4,2
2026-04-15,용산구,1117013000,이태원동,129,128,121,76,24
2026-04-15,용산구,1117010900,청파동1가,15,15,15,13,5
2026-04-15,용산구,1117011000,청파동2가,7,7,6,5,4
2026-04-15,용산구,1117011100,청파동3가,5,5,4,2,1
2026-04-15,용산구,1117012400,한강로1가,6,6,5,4,1
2026-04-15,용산구,1117012500,한강로2가,2,2,2,2,1
2026-04-15,용산구,1117012800,한강로3가,15,15,12,10,3
2026-04-15,용산구,1117013100,한남동,20,20,19,17,3
2026-04-15,용산구,1117011900,효창동,5,5,4,3,1
2026-04-15,용산구,1117010100,후암동,68,63,58,34,19
2026-04-15,종로구,1111014600,가회동,1,0,0,0,0
2026-04-15,종로구,1111012900,견지동,1,1,1,1,1
2026-04-15,종로구,1111014800,계동,4,4,4,0,0
2026-04-15,종로구,1111015500,관수동,15,15,10,5,3
2026-04-15,종로구,1111013500,관철동,34,29,24,19,13
2026-04-15,종로구,1111012800,관훈동,10,9,8,6,2
2026-04-15,종로구,1111018000,교북동,1,1,1,1,1
2026-04-15,종로구,1111018200,구기동,2,2,2,2,0
2026-04-15,종로구,1111013100,권농동,3,3,3,1,1
2026-04-15,종로구,1111013700,낙원동,38,37,34,12,3
2026-04-15,종로구,1111011800,내수동,2,2,2,1,0
2026-04-15,종로구,1111011400,내자동,2,0,0,0,0
2026-04-15,종로구,1111010900,누상동,15,14,12,2,0
2026-04-15,종로구,1111011000,누하동,10,9,8,4,3
2026-04-15,종로구,1111011700,당주동,2,2,2,1,1
2026-04-15,종로구,1111015300,돈의동,11,7,4,3,2
2026-04-15,종로구,1111016800,동숭동,30,30,27,16,1
2026-04-15,종로구,1111017000,명륜1가,9,9,9,6,0
2026-04-15,종로구,1111017100,명륜2가,6,5,4,2,1
2026-04-15,종로구,1111017300,명륜3가,14,14,13,11,1
2026-04-15,종로구,1111017200,명륜4가,10,8,7,5,3
2026-04-15,종로구,1111015100,묘동,2,2,2,2,2
2026-04-15,종로구,1111018700,무악동,1,1,1,1,0
2026-04-15,종로구,1111015200,봉익동,2,2,2,1,0
2026-04-15,종로구,1111018400,부암동,9,8,6,3,2
2026-04-15,종로구,1111014400,사간동,3,3,3,1,1
2026-04-15,종로구,1111011500,사직동,3,3,3,2,0
2026-04-15,종로구,1111014000,삼청동,3,3,2,1,1
2026-04-15,종로구,1111014200,소격동,1,1,1,1,1
2026-04-15,종로구,1111012400,수송동,4,3,3,0,0
2026-04-15,종로구,1111017500,숭인동,80,74,61,50,24
2026-04-15,종로구,1111010200,신교동,7,5,5,0,0
2026-04-15,종로구,1111012100,신문로2가,2,2,0,0,0
2026-04-15,종로구,1111018600,신영동,2,1,0,0,0
2026-04-15,종로구,1111016600,연건동,14,13,12,8,1
2026-04-15,종로구,1111016000,연지동,7,7,5,3,1
2026-04-15,종로구,1111011100,옥인동,7,5,2,1,1
2026-04-15,종로구,1111013000,와룡동,5,5,5,3,3
2026-04-15,종로구,1111013200,운니동,6,5,5,1,0
2026-04-15,종로구,1111015900,원남동,12,10,7,2,1
2026-04-15,종로구,1111014900,원서동,6,6,5,0,0
2026-04-15,종로구,1111016500,이화동,8,7,5,5,1
2026-04-15,종로구,1111013300,익선동,13,13,12,4,3
2026-04-15,종로구,1111013600,인사동,2,2,1,1,0
2026-04-15,종로구,1111015700,인의동,2,2,2,1,0
2026-04-15,종로구,1111015400,장사동,2,2,2,2,2
2026-04-15,종로구,1111014700,재동,1,0,0,0,0
2026-04-15,종로구,1111013800,종로2가,3,3,3,3,3
2026-04-15,종로구,1111016100,종로4가,1,1,1,1,1
2026-04-15,종로구,1111016300,종로5가,10,8,8,8,6
2026-04-15,종로구,1111016400,종로6가,7,6,6,4,2
2026-04-15,종로구,1111010500,창성동,1,1,1,0,0
2026-04-15,종로구,1111017400,창신동,81,75,72,62,37
2026-04-15,종로구,1111010100,청운동,7,7,7,3,0
2026-04-15,종로구,1111012200,청진동,1,1,1,1,1
2026-04-15,종로구,1111011200,체부동,11,8,8,7,2
2026-04-15,종로구,1111016700,충신동,17,15,12,11,1
2026-04-15,종로구,1111010600,통의동,3,1,1,0,0
2026-04-15,종로구,1111010800,통인동,10,8,8,4,1
2026-04-15,종로구,1111013900,팔판동,1,1,1,1,1
2026-04-15,종로구,1111018300,평창동,5,5,5,3,0
2026-04-15,종로구,1111011300,필운동,8,5,5,3,2
2026-04-15,종로구,1111018100,행촌동,9,9,8,4,1
2026-04-15,종로구,1111016900,혜화동,4,3,2,1,0
2026-04-15,종로구,1111018500,홍지동,8,8,5,5,3
2026-04-15,종로구,1111014300,화동,1,1,1,1,1
2026-04-15,종로구,1111010400,효자동,4,3,3,2,1
2026-04-15,종로구,1111016200,효제동,15,13,11,9,3
2026-04-15,중구,1114014500,광희동1가,19,17,14,13,6
2026-04-15,중구,1114014600,광희동2가,34,24,21,12,4
2026-04-15,중구,1114011500,남대문로2가,1,1,0,0,0
2026-04-15,중구,1114011600,남대문로3가,1,1,0,0,0
2026-04-15,중구,1114011700,남대문로4가,4,4,3,2,0
2026-04-15,중구,1114011800,남대문로5가,9,8,6,4,4
2026-04-15,중구,1114012800,남산동1가,9,7,7,5,3
2026-04-15,중구,1114012900,남산동2가,60,55,50,36,19
2026-04-15,중구,1114013000,남산동3가,6,4,4,2,2
2026-04-15,중구,1114011200,남창동,10,8,8,5,5
2026-04-15,중구,1114014000,남학동,4,4,2,2,2
2026-04-15,중구,1114010200,다동,3,3,3,3,3
