그리드ID,주요구,주요법정동코드,주요법정동명,포함법정동수,그리드행,그리드열,기준면적_m2,기준면적_ha,전체건물수,건축면적입력건물수,건축면적누락건물수,건축면적역추산건물수,건축면적산정불가건물수,연면적입력건물수,층수입력건물수,전체건물수_per_ha,전체건물연면적합계_m2,전체건축면적합계_m2,계산건축면적합계_m2,건축면적x층수_분자,건축면적x층수_밀도,전체건물입체화재하중_분자_원본,전체건물입체화재하중_분자,면적계산가능건물수,면적보정건물수,표제부보정건물수,전체건물_입체화재하중밀도,상가수,상가수_per_ha,숙박시설수,숙박시설수_per_ha,상가숙박_개수,상가숙박_개수_per_ha,상가연면적합계_m2,숙박연면적합계_m2,상가건축면적x층수_분자,상가건축면적x층수_밀도,숙박입체화재하중_분자,상가숙박_면적층수_분자,상가숙박_면적층수_밀도,상가입체화재하중_분자,상가_입체화재하중밀도,건물데이터_0여부,면적데이터_0여부,중심위도,중심경도,x_min_EPSG5186,y_min_EPSG5186,x_max_EPSG5186,y_max_EPSG5186
G50K_R0001_C0121,서초구,1165011100,신원동,1.0,1,121,50000.0,5.0,6.0,1.0,5.0,0.0,5.0,1.0,6.0,1.2,215.99,344.0,344.0,215.99,0.00432,688.0,215.99,1.0,1.0,0.0,0.00432,1.0,0.2,0.0,0.0,1.0,0.2,215.99,0.0,215.99,0.00432,0.0,215.99,0.00432,215.99,0.00432,N,N,37.430276,127.070924,206165.467525,536656.3146,206389.074323,536879.921398
G50K_R0003_C0121,서초구,1165011100,신원동,1.0,3,121,50000.0,5.0,19.0,7.0,12.0,8.0,4.0,15.0,19.0,3.8,2500.33,2761.0,3297.72,2500.33,0.050007,7780.21,2500.33,15.0,15.0,0.0,0.050007,1.0,0.2,0.0,0.0,1.0,0.2,149.92,0.0,149.92,0.002998,0.0,149.92,0.002998,149.92,0.002998,N,N,37.434306,127.070927,206165.467525,537103.528195,206389.074323,537327.134993
G50K_R0004_C0121,서초구,1165011100,신원동,1.0,4,121,50000.0,5.0,10.0,5.0,5.0,2.0,3.0,7.0,10.0,2.0,1576.26,1817.0,1912.105,1576.26,0.031525,5641.21,1576.26,7.0,7.0,0.0,0.031525,1.0,0.2,0.0,0.0,1.0,0.2,257.63,0.0,257.63,0.005153,0.0,257.63,0.005153,257.63,0.005153,N,N,37.436321,127.070929,206165.467525,537327.134993,206389.074323,537550.741791
G50K_R0007_C0115,서초구,1165010400,원지동,1.0,7,115,50000.0,5.0,25.0,14.0,11.0,3.0,8.0,17.0,25.0,5.0,3655.54,5760.0,5950.25,3655.54,0.073111,14051.880000000001,3655.54,17.0,17.0,0.0,0.073111,10.0,2.0,0.0,0.0,10.0,2.0,2097.88,0.0,2097.88,0.041958,0.0,2097.88,0.041958,2097.88,0.041958,N,N,37.442373,127.055774,204823.826739,537997.955386,205047.433537,538221.562184
G50K_R0007_C0116,서초구,1165010400,원지동,1.0,7,116,50000.0,5.0,6.0,2.0,4.0,1.0,3.0,3.0,6.0,1.2,569.88,726.24,806.87,569.88,0.011398,2339.98,569.88,3.0,3.0,0.0,0.011398,2.0,0.4,0.0,0.0,2.0,0.4,408.62,0.0,408.62,0.008172,0.0,408.62,0.008172,408.62,0.008172,N,N,37.442372,127.058301,205047.433537,537997.955386,205271.040334,538221.562184
G50K_R0007_C0118,서초구,1165011100,신원동,1.0,7,118,50000.0,5.0,6.0,1.0,5.0,0.0,5.0,1.0,6.0,1.2,12.89,724536.0,724536.0,12.89,0.000258,724536.0,12.89,1.0,1.0,0.0,0.000258,1.0,0.2,0.0,0.0,1.0,0.2,12.89,0.0,12.89,0.000258,0.0,12.89,0.000258,12.89,0.000258,N,N,37.442369,127.063354,205494.647132,537997.955386,205718.25393,538221.562184
G50K_R0008_C0115,서초구,1165010400,원지동,1.0,8,115,50000.0,5.0,30.0,20.0,10.0,4.0,6.0,24.0,30.0,6.0,7310.05,8154.6,8394.246667,7310.05,0.146201,20664.41,7310.05,24.0,24.0,0.0,0.146201,21.0,4.2,0.0,0.0,21.0,4.2,6651.21,0.0,6651.21,0.133024,0.0,6651.21,0.133024,6651.21,0.133024,N,N,37.444388,127.055776,204823.826739,538221.562184,205047.433537,538445.168982
G50K_R0008_C0116,서초구,1165011100,신원동,2.0,8,116,50000.0,5.0,41.0,20.0,21.0,9.0,12.0,29.0,41.0,8.2,6996.46,7287.0,7876.32,6996.46,0.139929,20449.45,6996.46,29.0,29.0,0.0,0.139929,17.0,3.4,0.0,0.0,17.0,3.4,4380.61,0.0,4380.61,0.087612,0.0,4380.61,0.087612,4380.61,0.087612,N,N,37.444386,127.058302,205047.433537,538221.562184,205271.040334,538445.168982
G50K_R0009_C0114,서초구,1165011100,신원동,1.0,9,114,50000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.0,20177.715,0.0,0.0,20177.715,20177.715,0.403554,0.0,0.0,Y,N,37.446404,127.05325,204600.219941,538445.168982,204823.826739,538668.77578
G50K_R0009_C0115,서초구,1165011100,신원동,1.0,9,115,50000.0,5.0,10.0,1.0,9.0,0.0,9.0,1.0,10.0,2.0,297.46,330.0,330.0,297.46,0.005949,990.0,297.46,1.0,1.0,0.0,0.005949,1.0,0.2,0.0,0.0,1.0,0.2,297.46,0.0,297.46,0.005949,0.0,297.46,0.005949,297.46,0.005949,N,N,37.446402,127.055777,204823.826739,538445.168982,205047.433537,538668.77578
G50K_R0009_C0116,서초구,1165011100,신원동,1.0,9,116,50000.0,5.0,62.0,29.0,33.0,20.0,13.0,49.0,62.0,12.4,11579.535,10708.29,12136.671667,11579.535,0.231591,31468.21,11579.535,49.0,49.0,0.0,0.231591,21.0,4.2,0.0,0.0,21.0,4.2,5554.31,0.0,5554.31,0.111086,0.0,5554.31,0.111086,5554.31,0.111086,N,N,37.446401,127.058304,205047.433537,538445.168982,205271.040334,538668.77578
G50K_R0010_C0116,서초구,1165011100,신원동,1.0,10,116,50000.0,5.0,30.0,14.0,16.0,12.0,4.0,26.0,30.0,6.0,4257.37,5223.0,5999.813333,4257.37,0.085147,12403.36,4257.37,26.0,26.0,0.0,0.085147,4.0,0.8,0.0,0.0,4.0,0.8,624.48,0.0,624.48,0.01249,0.0,624.48,0.01249,624.48,0.01249,N,N,37.448416,127.058306,205047.433537,538668.77578,205271.040334,538892.382577
G50K_R0012_C0112,서초구,1165010400,원지동,1.0,12,112,50000.0,5.0,23.0,3.0,20.0,1.0,19.0,4.0,23.0,4.6,748.62,2266.0,2335.54,748.62,0.014972,3794.08,748.62,4.0,4.0,0.0,0.014972,2.0,0.4,0.0,0.0,2.0,0.4,310.92,0.0,310.92,0.006218,0.0,310.92,0.006218,310.92,0.006218,N,N,37.45245,127.0482,204153.006346,539115.989375,204376.613143,539339.596173
G50K_R0012_C0115,서초구,1165011100,신원동,1.0,12,115,50000.0,5.0,37.0,13.0,24.0,7.0,17.0,20.0,37.0,7.4,4968.95,4945.44,5356.183333,4968.95,0.099379,12656.6,4968.95,20.0,20.0,0.0,0.099379,5.0,1.0,0.0,0.0,5.0,1.0,1370.6,0.0,1370.6,0.027412,0.0,1370.6,0.027412,1370.6,0.027412,N,N,37.452447,127.055781,204823.826739,539115.989375,205047.433537,539339.596173
G50K_R0012_C0119,서초구,1165010900,내곡동,1.0,12,119,50000.0,5.0,43.0,24.0,19.0,15.0,4.0,39.0,43.0,8.6,9047.6,9410.6,10468.475,9047.6,0.180952,25609.88,9047.6,39.0,39.0,0.0,0.180952,5.0,1.0,0.0,0.0,5.0,1.0,1225.24,0.0,1225.24,0.024505,0.0,1225.24,0.024505,1225.24,0.024505,N,N,37.452441,127.06589,205718.25393,539115.989375,205941.860728,539339.596173
G50K_R0012_C0123,서초구,1165010900,내곡동,1.0,12,123,50000.0,5.0,12.0,3.0,9.0,2.0,7.0,5.0,12.0,2.4,891.92,1051.75,1412.25,891.92,0.017838,2464.0,891.92,5.0,5.0,0.0,0.017838,2.0,0.4,0.0,0.0,2.0,0.4,331.65,0.0,331.65,0.006633,0.0,331.65,0.006633,331.65,0.006633,N,N,37.452435,127.075999,206612.681121,539115.989375,206836.287919,539339.596173
G50K_R0012_C0125,서초구,1165010900,내곡동,1.0,12,125,50000.0,5.0,24.0,10.0,14.0,1.0,13.0,11.0,24.0,4.8,3799.21,24223.36,24353.87,3799.21,0.075984,41647.23,3799.21,11.0,11.0,0.0,0.075984,2.0,0.4,0.0,0.0,2.0,0.4,430.87,0.0,430.87,0.008617,0.0,430.87,0.008617,430.87,0.008617,N,N,37.452432,127.081053,207059.894716,539115.989375,207283.501514,539339.596173
G50K_R0013_C0112,서초구,1165010400,원지동,1.0,13,112,50000.0,5.0,27.0,1.0,26.0,1.0,25.0,2.0,27.0,5.4,421.96,344.0,430.46,421.96,0.008439,1204.92,421.96,2.0,2.0,0.0,0.008439,1.0,0.2,0.0,0.0,1.0,0.2,249.04,0.0,249.04,0.004981,0.0,249.04,0.004981,249.04,0.004981,N,N,37.454465,127.048201,204153.006346,539339.596173,204376.613143,539563.202971
G50K_R0013_C0113,서초구,1165011100,신원동,2.0,13,113,50000.0,5.0,23.0,12.0,11.0,4.0,7.0,16.0,23.0,4.6,2371.7,4523.0,4748.085,2371.7,0.047434,7906.28,2371.7,16.0,16.0,0.0,0.047434,9.0,1.8,0.0,0.0,9.0,1.8,1385.6,0.0,1385.6,0.027712,0.0,1385.6,0.027712,1385.6,0.027712,N,N,37.454464,127.050729,204376.613143,539339.596173,204600.219941,539563.202971
G50K_R0013_C0114,서초구,1165011100,신원동,1.0,13,114,50000.0,5.0,62.0,15.0,47.0,17.0,30.0,32.0,62.0,12.4,6488.11,5412.5,6689.775,6488.11,0.129762,14770.76,6488.11,32.0,32.0,0.0,0.129762,8.0,1.6,0.0,0.0,8.0,1.6,1882.01,0.0,1882.01,0.03764,0.0,1882.01,0.03764,1882.01,0.03764,N,N,37.454462,127.053256,204600.219941,539339.596173,204823.826739,539563.202971
G50K_R0013_C0115,서초구,1165011100,신원동,1.0,13,115,50000.0,5.0,35.0,12.0,23.0,13.0,10.0,25.0,35.0,7.0,4967.99,4441.12,5390.256667,4967.99,0.09936,12326.35,4967.99,25.0,25.0,0.0,0.09936,4.0,0.8,0.0,0.0,4.0,0.8,537.83,0.0,537.83,0.010757,0.0,537.83,0.010757,537.83,0.010757,N,N,37.454461,127.055783,204823.826739,539339.596173,205047.433537,539563.202971
G50K_R0013_C0119,서초구,1165010900,내곡동,1.0,13,119,50000.0,5.0,50.0,34.0,16.0,10.0,6.0,44.0,50.0,10.0,11624.23,13689.0,14329.77,11624.23,0.232485,34435.73,11624.23,44.0,44.0,0.0,0.232485,12.0,2.4,0.0,0.0,12.0,2.4,5844.67,0.0,5844.67,0.116893,0.0,5844.67,0.116893,5844.67,0.116893,N,N,37.454456,127.065892,205718.25393,539339.596173,205941.860728,539563.202971
G50K_R0013_C0120,서초구,1165010900,내곡동,1.0,13,120,50000.0,5.0,17.0,12.0,5.0,4.0,1.0,16.0,17.0,3.4,5509.03,5793.86,6112.945,5509.03,0.110181,15180.91,5509.03,16.0,16.0,0.0,0.110181,3.0,0.6,0.0,0.0,3.0,0.6,994.13,0.0,994.13,0.019883,0.0,994.13,0.019883,994.13,0.019883,N,N,37.454455,127.068419,205941.860728,539339.596173,206165.467525,539563.202971
G50K_R0013_C0123,서초구,1165010900,내곡동,1.0,13,123,50000.0,5.0,14.0,6.0,8.0,3.0,5.0,9.0,14.0,2.8,1546.0,6055.7,6516.3,1546.0,0.03092,9259.78,1546.0,9.0,9.0,0.0,0.03092,2.0,0.4,0.0,0.0,2.0,0.4,427.84,0.0,427.84,0.008557,0.0,427.84,0.008557,427.84,0.008557,N,N,37.45445,127.076001,206612.681121,539339.596173,206836.287919,539563.202971
