컬럼명,한글명,설명,해당업종
구,구,서울시 구 이름,공통
업종,업종,관광숙박업 / 일반숙박업,공통
OPNSFTEAMCODE,개방자치단체코드,데이터를 제공하는 자치단체 코드,공통
MGTNO,관리번호,인허가 고유 관리번호,공통
APVPERMYMD,인허가일자,인허가(허가·신고·등록) 처리 일자,공통
APVCANCELYMD,인허가취소일자,인허가 취소 처리 일자,공통
TRDSTATEGBN,영업상태코드,영업상태 구분 코드 (01:영업 02:휴업 03:폐업),공통
TRDSTATENM,영업상태명,영업상태 명칭,공통
DTLSTATEGBN,상세영업상태코드,상세 영업상태 구분 코드,공통
DTLSTATENM,상세영업상태명,상세 영업상태 명칭,공통
DCBYMD,폐업일자,폐업 처리 일자,공통
CLGSTDT,휴업시작일자,휴업 시작 일자,공통
CLGENDDT,휴업종료일자,휴업 종료 일자,공통
ROPNYMD,재개업일자,재개업 처리 일자,공통
SITETEL,전화번호,사업장 전화번호,공통
SITEAREA,소재지면적,사업장 대지 면적(㎡),공통
SITEPOSTNO,소재지우편번호,지번 기준 우편번호,공통
SITEWHLADDR,지번주소,사업장 지번 주소,공통
RDNWHLADDR,도로명주소,사업장 도로명 주소,공통
RDNPOSTNO,도로명우편번호,도로명 기준 우편번호,공통
BPLCNM,사업장명,사업장(업소) 이름,공통
LASTMODTS,최종수정일자,데이터 최종 수정 일시,공통
UPDATEGBN,데이터갱신구분,갱신 구분 (I:신규 U:수정 D:삭제),공통
UPDATEDT,데이터갱신일자,데이터 갱신 일시,공통
UPTAENM,업태명,사업장 업태 명칭,공통
X,좌표정보(X),X 좌표 (GRS80 중부원점 기준),공통
Y,좌표정보(Y),Y 좌표 (GRS80 중부원점 기준),공통
CULPHYEDCOBNM,문화체육업종명,관광진흥법상 업종 명칭,관광숙박업
CULWRKRSENM,문화사업자구분명,관광사업자 구분 명칭,관광숙박업
REGNSENM,지역구분명,지역 구분 명칭,관광숙박업
TOTNUMLAY,총층수,건물 총 층수,관광숙박업
NEARENVNM,주변환경명,주변 환경 명칭,관광숙박업
MNFACTREARTCLCN,제작종료품목내용,제작 종료 품목 내용,관광숙박업
INSURORGNM,보험기관명,보험 가입 기관명,관광숙박업
BDNGSRVNM,건물용도명,건물 용도 명칭 (호텔·모텔 등),관광숙박업
JISGNUMLAY,지상층수,지상 층수,관광숙박업
UNDERNUMLAY,지하층수,지하 층수,관광숙박업
STROOMCNT,객실수,객실(숙박실) 수,관광숙박업
CNSTYAREA,공사연면적,공사 연면적(㎡),관광숙박업
ENGSTNTRNMNM,영문사업장명,사업장 영문 명칭,관광숙박업
ENGSTNTRNMADDR,영문사업장주소,사업장 영문 주소,관광숙박업
SHPTOTTONS,선박총톤수,선박 총 톤수,관광숙박업
SHPCNT,선박수,선박 수,관광숙박업
SHPINFO,선박정보,선박 상세 정보,관광숙박업
STAGEAR,무대면적,공연 무대 면적(㎡),관광숙박업
CHAIRCNT,의자수,의자 수,관광숙박업
SVNSR,소음진동유무,소음·진동 발생 여부,관광숙박업
MEETSAMTIMESYGSTF,동시수용가능객수,동시 수용 가능 인원 수,관광숙박업
FACILAR,시설면적,시설 총 면적(㎡),관광숙박업
PLAYUTSCNTDTL,유희시설수량상세,유희 시설 수량 상세 내용,관광숙박업
PLAYFACILCNT,유희시설수,유희 시설 수,관광숙박업
BCFACILEN,방송시설여부,방송 시설 설치 여부,관광숙박업
GEICPFACILEN,게임제공시설여부,게임 제공 시설 설치 여부,관광숙박업
DISPENEN,전시시설여부,전시 시설 설치 여부,관광숙박업
INFOBEN,안내시설여부,안내 시설 설치 여부,관광숙박업
PLNINSURSTDT,보험가입예정시작일,보험 가입 예정 시작 일자,관광숙박업
PLNINSURENDDT,보험가입예정종료일,보험 가입 예정 종료 일자,관광숙박업
CAPT,수용인원,최대 수용 인원,관광숙박업
INSURSTDT,보험가입시작일,실제 보험 가입 시작 일자,관광숙박업
INSURENDDT,보험가입종료일,실제 보험 가입 종료 일자,관광숙박업
AFC,AFC,AFC 정보,관광숙박업
FACILSCP,시설규모,시설 규모,관광숙박업
TRSTLODGCLNM,관광숙박업종명,세부 업종 명칭 (관광호텔업·호스텔업 등),관광숙박업
SNTUPTAENM,세분류업태명,일반숙박업 세분류 업태 명칭 (여관업 등),일반숙박업
BDNGJISGFLRCNT,건물지상층수,건물 지상 층수,일반숙박업
BDNGUNDERFLRCNT,건물지하층수,건물 지하 층수,일반숙박업
USEJISGSTFLR,사용지상시작층,사업장 사용 지상 시작 층,일반숙박업
USEJISGENDFLR,사용지상종료층,사업장 사용 지상 종료 층,일반숙박업
USEUNDERSTFLR,사용지하시작층,사업장 사용 지하 시작 층,일반숙박업
USEUNDERENDFLR,사용지하종료층,사업장 사용 지하 종료 층,일반숙박업
HANSHILCNT,한실수,한식 객실 수,일반숙박업
YANGSILCNT,양실수,양식 객실 수,일반숙박업
YOKSILCNT,욕실수,욕실 수,일반숙박업
BALHANSILYN,발한실여부,발한실(사우나) 설치 여부,일반숙박업
CNDPERMNTWHY,조건부영업허가사유,조건부 영업 허가 사유 내용,일반숙박업
CNDPERMSTYMD,조건부영업허가시작일,조건부 영업 허가 시작 일자,일반숙박업
CNDPERMENDYMD,조건부영업허가종료일,조건부 영업 허가 종료 일자,일반숙박업
BDNGOWNSENM,건물소유구분명,건물 소유 구분 명칭 (자가·임차 등),일반숙박업
WASHMCCNT,세탁기수,세탁기 수,일반숙박업
WMEIPCNT,여성종사자수,여성 종사자 수,일반숙박업
MANEIPCNT,남성종사자수,남성 종사자 수,일반숙박업
RCVDRYNCNT,객실건조대수,객실 내 건조대 수,일반숙박업
ABEDCNT,보조침대수,보조 침대 수,일반숙박업
MULTUSNUPSOYN,다중이용업소여부,다중이용업소 해당 여부 (Y/N),일반숙박업
