X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,소방청_매칭상태,소방청_스프링클러(AV)설치여부,소방청_간이스프링클러(AV)설치여부,소방청_대상물명,소방청_지번주소_매칭,소방청_도로명주소_매칭,소방청_매칭방식,소방청_매칭점수,후보개수,후보미리보기
200110.335302043,451549.054429182,서울특별시 중구 을지로5가 274-1번지,11140,15100,0,274,1,에이큐브 호텔,1003111956,서울특별시 중구 동호로35길 5 (을지로5가),2795.38,21.0,철근콘크리트,14000,"관광숙박시설, 근린생활시설",8,2,19850720.0,19840406.0,1,0,0.0,이름만일치,,,,,,,,1,에이큐브호텔(석광빌딩) / 서울 중구 을지로5가 274-1 / 서울 중구 동호로35길 5
198730.397072346,450725.563076072,서울특별시 중구 남산동2가 18-6번지,11140,12900,0,18,6,자자백팩커스,100315545,서울특별시 중구 퇴계로20길 35 (남산동2가),607.64,21.0,철근콘크리트,15000,숙박시설,4,1,19851125.0,19850711.0,0,0,0.0,이름만일치,,,,,,,,1,자자백팩커스(한도빌딩) /  / 
185373.875552476,450852.52184551,서울특별시 강서구 마곡동 797-10번지,11500,10500,0,797,10,호텔 엠펠리체,10171100296489,서울특별시 강서구 마곡동로4길 15 (마곡동),17518.94,21.0,철근콘크리트구조,15000,"숙박시설,근린생활시설,업무시설,운동시설",13,4,20170628.0,20150417.0,4,1,1.0,이름만일치,,,,,,,,1,마곡엠펠리체(호텔 엠펠리체) / 서울특별시 강서구 마곡동 771-1번지 / 서울특별시 강서구 마곡중앙8로 14 (마곡동)
185841.652551744,447544.394615942,서울특별시 강서구 화곡동 921-19번지,11500,10300,0,921,19,해담채스테이,10171100221613,서울특별시 강서구 곰달래로 70-1 (화곡동),1704.61,21.0,"철근콘크리트,경량철골구조",15000,"관광숙박시설(관광호텔), 제1종근린생활시설",13,1,20120309.0,20101014.0,1,0,1.0,이름만일치,,,,,,,,1,해담채스테이 / 서울특별시 강서구 화곡동 810-11번지 / 서울특별시 강서구 등촌로5가길 26 (화곡동)
190876.344610656,446715.096332249,서울특별시 영등포구 당산동1가 394-1번지,11560,11100,0,394,1,다담,10201100235629,서울특별시 영등포구 당산로16길 13-1 (당산동1가),393.67,21.0,철근콘크리트구조,15000,숙박시설,7,1,20170821.0,20161014.0,1,0,1.0,이름만일치,,,,,,,,1,다담 / 서울특별시 영등포구 대림동 1083-23번지 / 서울특별시 영등포구 디지털로 341-1 (대림동)
200250.447804795,444683.220506107,서울특별시 서초구 반포동 19-3번지,11650,10700,0,19,3,JW메리어트호텔 서울,1023112036,서울특별시 서초구 신반포로 176 (반포동),287986.9,42.0,철골철근콘크리트구조,07000,"판매및영업시설,숙박시설",32,5,20050909.0,19941128.0,59,7,1.0,이름만일치,,,,,,,,1,JW메리어트호텔서울 / 서울 서초구 반포동 19-3 / 서울 서초구 신반포로 176
203451.550821003,444529.420299492,서울특별시 강남구 역삼동 677-9번지,11680,10100,0,677,9,리치웰 호텔(Richwell Hotel),10241100244149,서울특별시 강남구 테헤란로37길 13-10 (역삼동),3227.77,21.0,철근콘크리트구조,15000,숙박시설(관광호텔),14,3,20150422.0,20121220.0,2,0,1.0,이름만일치,,,,,,,,1,리치웰 호텔 / 서울 강남구 역삼동 677-9 / 서울 강남구 테헤란로37길 13-10
202699.226067088,444846.764226016,서울특별시 강남구 역삼동 604-7번지,11680,10100,0,604,7,삼정관광호텔,1024120603,서울특별시 강남구 봉은사로 150 (역삼동),15535.14,21.0,철근콘크리트조,15000,숙박시설 위락시설 근린생활시설 문화시설,11,2,19820122.0,19971021.0,4,1,1.0,이름만일치,,,,,,,,1,삼정관광호텔 / 서울 강남구 역삼동 604-7 / 서울 강남구 봉은사로 150
209577.698774715,445907.77255221,서울특별시 송파구 방이동 36-2번지,11710,11100,0,36,2,호텔 더 캐슬(방이2),10251100554402,서울특별시 송파구 올림픽로32길 7-1 (방이동),1487.38,21.0,철근콘크리트구조,15000,숙박시설,16,2,20210528.0,20190925.0,1,0,1.0,이름만일치,,,,,,,,1,호텔더캐슬 / 서울특별시 송파구 잠실동 180-10번지 / 서울특별시 송파구 올림픽로12길 4-17 (잠실동)
207835.820419818,444569.108630582,서울특별시 송파구 삼전동 47번지,11710,10600,0,47,0,24게스트하우스(서울 잠실점),102516345,서울특별시 송파구 백제고분로22길 5 (삼전동),1057.32,21.0,철근콘크리트조외1,03000,"근린생활시설, 주택",5,1,19890927.0,19890324.0,0,0,0.0,이름만일치,,,,,,,,1,24게스트하우스(구.보령장여관) /  / 
