X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,소방청_매칭상태,소방청_스프링클러(AV)설치여부,소방청_간이스프링클러(AV)설치여부,소방청_대상물명,소방청_지번주소_매칭,소방청_도로명주소_매칭,소방청_매칭방식,소방청_매칭점수,이름후보개수,주소후보개수,이름후보미리보기,주소후보미리보기
197419.271266145,449254.786813543,서울특별시 용산구 갈월동 69-27번지,11170,10400,0,69,27,호텔 더 디자이너스,10041100206838,서울특별시 용산구 한강대로 305 (갈월동),5006.45,21.0,철근콘크리트구조,15000,관광호텔,20,3,20161103.0,20140702.0,2,1,1.0,이름주소각자일치,,,,,,,,1,1,호텔더디자이너스 / 서울특별시 종로구 관수동 14-1번지 / 서울특별시 종로구 수표로 89-8 (관수동),호텔더디자이너스 서울역점(디자이너스호텔) / 서울특별시 용산구 갈월동 69-27번지 / 서울특별시 용산구 한강대로 305 (갈월동)
209573.702036723,445919.513434498,서울특별시 송파구 방이동 36-16번지,11710,11100,0,36,16,호텔 더 캐슬(방이1),10251100531282,서울특별시 송파구 올림픽로32길 7 (방이동),2807.18,21.0,철근콘크리트구조,15000,관광숙박시설,16,2,20191219.0,20171102.0,1,1,1.0,이름주소각자일치,,,,,,,,1,2,호텔더캐슬 / 서울특별시 송파구 잠실동 180-10번지 / 서울특별시 송파구 올림픽로12길 4-17 (잠실동),호텔더캐슬 #1 / 서울특별시 송파구 방이동 36-16번지 / 서울특별시 송파구 올림픽로32길 7 (방이동) | 호텔더캐슬 #2 / 서울특별시 송파구 방이동 36-16번지 / 서울특별시 송파구 올림픽로32길 7 (방이동)
210463.282485743,443549.893536475,서울특별시 송파구 가락동 98-6번지,11710,10700,0,98,6,캘리포니아호텔,102516726,서울특별시 송파구 송파대로28길 11 (가락동),10601.31,21.0,철근콘크리트구조,15000,관광숙박시설(관광호텔)외2,12,3,20031002.0,20020311.0,0,0,0.0,이름주소각자일치,,,,,,,,2,1,캘리포니아호텔 / 서울특별시 강남구 삼성동 142-12번지 / 서울특별시 강남구 선릉로100길 52 (삼성동) | 캘리포니아호텔 / 서울특별시 강남구 삼성동 142-12번지 / 서울특별시 강남구 선릉로100길 52 (삼성동),캘리포니아관광호텔 (중점) / 서울특별시 송파구 가락동 98-6번지 / 서울특별시 송파구 송파대로28길 11 (가락동)
198975.358071696,452321.804010375,서울특별시 종로구 낙원동 84번지,11110,13700,0,84,0,시네마모텔,100213805,서울특별시 종로구 수표로28길 12-5 (낙원동),1985.64,21.0,철근콘크리트구조,15000,"숙박시설,여관",7,1,20040116.0,,1,0,0.0,이름주소각자일치,,,,,,,,1,1,시네마모텔 / 서울 강서구 화곡동 1105-11 / 서울 강서구 우장산로16길 7,시네마호텔(구낙원동숙박시설) / 서울특별시 종로구 낙원동 84번지 / 서울특별시 종로구 수표로28길 12-5 (낙원동)
201335.506427517,451517.007526308,서울특별시 중구 흥인동 110번지,11140,16300,0,110,0,레인보우호텔,1003122415,서울특별시 중구 다산로 255-1 (흥인동),1100.87,21.0,"철근콘크리트조,일반철골구조",15000,"근린생활시설, 숙박시설",7,1,19861104.0,19860315.0,1,0,0.0,이름주소각자일치,,,,,,,,1,1,레인보우호텔 / 서울특별시 용산구 갈월동 98-2번지 / 서울특별시 용산구 한강대로71길 48 (갈월동),"레인보우하우스(구,투스타모텔 / 서울특별시 중구 흥인동 110번지 / 서울특별시 중구 다산로 255-1 (흥인동)"
199415.898234098,451700.943760634,서울특별시 중구 입정동 281번지,11140,15600,0,281,0,호텔 더 보타닉 세운 명동(A동),1000000000000004621255,서울특별시 중구 을지로19길 23-1 (입정동),36006.0656,21.0,"철근콘크리트구조,철골철근콘크리트구조",15000,"숙박시설(생활숙박시설),근린생활시설",20,6,20240912.0,20160331.0,5,1,1.0,이름주소각자일치,,,,,,,,1,1,호텔누누(A동) / 서울특별시 종로구 낙원동 180번지 / 서울특별시 종로구 수표로22길 6 (낙원동),세운푸르지오 G팰리스 A동 / 서울특별시 중구 입정동 281번지 / 서울특별시 중구 을지로19길 23-1 (입정동)
199491.646400233,451701.368219467,서울특별시 중구 산림동 302번지,11140,15700,0,302,0,호텔 더 보타닉 세운 명동(B동),1000000000000004621209,서울특별시 중구 을지로19길 23 (산림동),27342.7712,21.0,"철근콘크리트구조,철골철근콘크리트구조",15000,"숙박시설(생활숙박시설),근린생활시설",20,6,20240912.0,20150730.0,4,1,1.0,이름주소각자일치,,,,,,,,2,1,"사보이호텔(A,B동) / 서울특별시 중구 충무로1가 23-1번지 / 서울특별시 중구 명동8나길 10 (충무로1가) | 강남캠퍼스 호텔(B동) / 서울특별시 강남구 역삼동 825-39번지 / 서울특별시 강남구 테헤란로2길 11 (역삼동)",세운푸르지오 G팰리스 B동 / 서울특별시 중구 산림동 302번지 / 서울특별시 중구 을지로19길 23 (산림동)
197419.271266145,449254.786813543,서울특별시 용산구 갈월동 69-27번지,11170,10400,0,69,27,호텔 더 디자이너스,10041100206838,서울특별시 용산구 한강대로 305 (갈월동),5006.45,21.0,철근콘크리트구조,15000,관광호텔,20,3,20161103.0,20140702.0,2,1,1.0,이름주소각자일치,,,,,,,,1,1,호텔더디자이너스 / 서울특별시 종로구 관수동 14-1번지 / 서울특별시 종로구 수표로 89-8 (관수동),호텔더디자이너스 서울역점(디자이너스호텔) / 서울특별시 용산구 갈월동 69-27번지 / 서울특별시 용산구 한강대로 305 (갈월동)
203039.972825556,451146.997606158,서울특별시 성동구 도선동 29-1번지,11200,10400,0,29,1,에이치호텔,100515074,서울특별시 성동구 왕십리로20길 10 (도선동),1136.9,21.0,철근콘크리트구조,15000,숙박시설,8,1,20040429.0,20030628.0,1,0,1.0,이름주소각자일치,,,,,,,,1,1,에이치호텔 / 서울특별시 서초구 서초동 1595-7번지 / 서울특별시 서초구 효령로55길 51 (서초동),에이치모텔 / 서울특별시 성동구 도선동 29-1번지 / 서울특별시 성동구 왕십리로20길 10 (도선동)
183137.063078512,452309.796144652,서울특별시 강서구 방화동 559-2번지,11500,10900,0,559,2,대우장,1017120963,서울특별시 강서구 양천로 54 (방화동),820.92,21.0,"철근콘크리트조, 연와조",15000,"근린생활시설, 숙박시설, 업무시설",3,1,19820920.0,19820326.0,0,0,0.0,이름주소각자일치,,,,,,,,1,1,대우장 / 서울특별시 영등포구 영등포동5가 42-26번지 / 서울특별시 영등포구 영중로16길 1 (영등포동5가),대우모텔(구.대우장여관) / 서울특별시 강서구 방화동 559-2번지 / 서울특별시 강서구 양천로 54 (방화동)
