개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),좌석수,normalized_road_address,normalized_jibun_address,registry_road_match,registry_jibun_match,registry_address_match
3150000,CDFI2260032018000002,2018-05-03,,01,영업/정상,13,영업중,,,,,02-6946-7000,,,서울특별시 강서구 마곡동 766-1 메리어트호텔,"서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 (마곡동)",07789,코트야드 메리어트 서울 보타닉파크,2026-03-10 10:40:46,U,2026-03-12 02:40:00.0,,,,0,서울특별시 강서구 마곡중앙12로 10,서울특별시 강서구 마곡동 766-1,False,False,False
3000000,3000000-201-1969-00356,1969-12-10,,01,영업/정상,01,영업,,,,,02 7633137,40.32,110-863,서울특별시 종로구 숭인동 188번지,서울특별시 종로구 종로67길 3-12 (숭인동),03112,수정,2018-02-22 15:09:26,I,2018-08-31 23:59:59.0,여인숙업,,,,서울특별시 종로구 종로67길 3-12,서울특별시 종로구 숭인동 188,False,False,False
3000000,3000000-201-1985-00133,1985-09-30,,01,영업/정상,01,영업,,,,,02  745 0289,113.16,110-842,서울특별시 종로구 창신동 459-27,서울특별시 종로구 종로48길 17 (창신동),03119,호텔가온,2025-01-13 17:53:24,U,2025-01-15 02:40:00.0,여관업,200985.585272234,452139.849762123,,서울특별시 종로구 종로48길 17,서울특별시 종로구 창신동 459-27,False,False,False
3010000,3010000-201-1981-00125,1981-04-02,,01,영업/정상,01,영업,,,,,02 7554932,161.76,100-095,서울특별시 중구 남대문로5가 217-0번지,서울특별시 중구 세종대로2길 11 (남대문로5가),,삼정여관,2017-11-29 10:14:45,I,2018-08-31 23:59:59.0,여관업,,,,서울특별시 중구 세종대로2길 11,서울특별시 중구 남대문로5가 217-0,False,False,False
3010000,3010000-201-1965-00145,1965-09-02,,01,영업/정상,01,영업,,,,,0222750964,97.50,100-350,서울특별시 중구 입정동 167-0,서울특별시 중구 충무로 68-9 (입정동),,옥천여관,2026-03-16 15:05:57,U,2026-03-18 02:40:00.0,여관업,199306.75140157,451681.664480633,,서울특별시 중구 충무로 68-9,서울특별시 중구 입정동 167-0,False,False,False
3010000,3010000-214-2003-00001,2003-01-30,,01,영업/정상,01,영업,,,,,07075638487,406.64,100-871,서울특별시 중구 황학동 1591,서울특별시 중구 난계로15길 10 (황학동),,우성빌,2026-03-16 15:45:02,U,2026-03-18 02:40:00.0,숙박업(생활),201980.074138496,451845.46073582,,서울특별시 중구 난계로15길 10,서울특별시 중구 황학동 1591,False,False,False
3010000,3010000-201-2003-00086,2003-10-29,,01,영업/정상,01,영업,,,,,02  22660688,317.00,100-230,서울특별시 중구 수표동 35-16번지,서울특별시 중구 수표로 68 (수표동),04543,레몬 게스트 하우스,2019-12-06 10:33:11,U,2019-12-08 02:40:00.0,여관업,199030.806204431,451659.586958777,,서울특별시 중구 수표로 68,서울특별시 중구 수표동 35-16,False,False,False
3010000,3010000-201-2003-00039,2003-02-26,,01,영업/정상,01,영업,,,,,22653587,225.23,100-852,서울특별시 중구 입정동 162,서울특별시 중구 충무로14길 6-12 (입정동),,경주모텔,2026-03-16 15:09:26,U,2026-03-18 02:40:00.0,여관업,199305.708902373,451695.322064595,,서울특별시 중구 충무로14길 6-12,서울특별시 중구 입정동 162,False,False,False
3010000,3010000-201-1964-00103,1964-11-24,,01,영업/정상,01,영업,,,,,0222386985,72.90,100-869,서울특별시 중구 황학동 754-0번지 3통5반,,,중앙여인숙,2018-11-20 11:23:38,U,2018-11-22 02:36:26.0,여인숙업,201540.899631646,451623.103928058,,,서울특별시 중구 황학동 754-0,False,False,False
3020000,3020000-201-1999-00109,1999-01-01,,01,영업/정상,01,영업,,,,,02 7565137,148.00,140-818,서울특별시 용산구 동자동 11-18,서울특별시 용산구 후암로57길 3-7 (동자동),04324,신흥여인숙,2024-03-12 15:57:32,U,2024-03-14 02:40:00.0,여인숙업,197681.014781047,450111.099176699,,서울특별시 용산구 후암로57길 3-7,서울특별시 용산구 동자동 11-18,False,False,False
3030000,3030000-201-1967-00145,1967-06-20,,01,영업/정상,01,영업,,,,,0202935381,122.00,133-882,서울특별시 성동구 도선동 15-0번지,서울특별시 성동구 고산자로 261-38 (도선동),04709,봉산,2020-03-16 10:31:56,U,2020-03-18 02:40:00.0,여관업,203096.452111689,451231.131473782,,서울특별시 성동구 고산자로 261-38,서울특별시 성동구 도선동 15-0,False,False,False
3030000,3030000-201-1994-00111,1994-12-20,,01,영업/정상,01,영업,,,,,0222816631,526.48,133-882,서울특별시 성동구 도선동 116-0번지,서울특별시 성동구 왕십리로22길 11 (도선동),04709,버니(BUNNY)모텔,2019-06-14 14:07:17,U,2019-06-16 02:40:00.0,여관업,203008.610153448,451208.010516522,,서울특별시 성동구 왕십리로22길 11,서울특별시 성동구 도선동 116-0,False,False,False
3220000,3220000-201-2002-00003,2002-03-14,,01,영업/정상,01,영업,,,,,02 5643220,1295.06,135-915,서울특별시 강남구 역삼동 678-21,"서울특별시 강남구 테헤란로27길 10 (역삼동, 외2필지)",06141,M호텔,2024-06-12 15:03:00,U,2024-06-14 02:40:00.0,일반호텔,203322.107730881,444444.114156804,,서울특별시 강남구 테헤란로27길 10,서울특별시 강남구 역삼동 678-21,False,False,False
3000000,CDFI2262212025000006,2025-01-03,,01,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 부암동 382-76,서울특별시 종로구 창의문로9길 33-1 (부암동),03022,Jobs,2025-02-24 15:55:13,U,2025-02-26 02:40:00.0,,196454.275454216,454368.027190406,0,서울특별시 종로구 창의문로9길 33-1,서울특별시 종로구 부암동 382-76,False,False,False
3020000,CDFI2262212020000003,2020-01-08,,01,영업/정상,13,영업중,,,,,,,,서울특별시 용산구 이태원동 136-39,"서울특별시 용산구 우사단로12길 7-4, 2층 301호 (이태원동)",04405,해피홈,2022-01-03 09:39:06,U,2022-01-05 02:40:00.0,,199588.535862019,447946.949917159,0,서울특별시 용산구 우사단로12길 7-4,서울특별시 용산구 이태원동 136-39,False,False,False
3130000,CDFI2262212024000259,2024-09-05,,01,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 연남동 241-94,"서울특별시 마포구 성미산로29길 42-7, 지층 (연남동)",03980,원큐,2024-09-05 17:21:43,I,2024-09-07 00:13:01.0,,193055.987007019,451505.416574291,0,서울특별시 마포구 성미산로29길 42-7,서울특별시 마포구 연남동 241-94,False,False,False
