화재번호,발생일자,발생시군구,화재유형,발화요인_대분류,발화요인_소분류,발화장소_대분류,발화장소_중분류,재산피해액(천원),재산피해액_백만원,사망자수,부상자수,인명피해계,위도,경도
210214121842554,20210214,중구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,판매시설,1586332,1586.332,0,3,3,37.5638555,126.9839949
230120162439271,20230120,강남구,건축/구조물,전기적 요인,접촉불량에 의한 단락,주거,기타주택,1083514,1083.514,0,0,0,37.47698377,127.0640769
220319171744939,20220319,성동구,건축/구조물,전기적 요인,접촉불량에 의한 단락,판매/업무시설,판매시설,485510,485.51,0,2,2,37.570921,127.041424
220408020029086,20220407,중구,건축/구조물,미상,미상,산업시설,작업장,474137,474.137,0,3,3,37.562076,126.994384
230323195423834,20230323,영등포구,건축/구조물,전기적 요인,절연열화에 의한 단락,산업시설,공장시설,442672,442.672,0,0,0,37.51440074,126.8922023
220304185415025,20220304,성동구,건축/구조물,미상,미상,산업시설,작업장,437587,437.587,0,0,0,37.538592,127.060578
220701171330999,20220701,중구,건축/구조물,미상,미상,판매/업무시설,일반업무,357783,357.783,0,2,2,37.56282,126.989543
230404050356671,20230403,중구,건축/구조물,미상,미상,산업시설,작업장,306142,306.142,0,2,2,37.56315579,126.9967044
231021071940646,20231021,중구,건축/구조물,방화,방화,주거,공동주택,285639,285.639,0,2,2,37.56805924,126.9942429
211229162617559,20211228,송파구,자동차/철도차량,전기적 요인,절연열화에 의한 단락,자동차/철도차량,자동차,268048,268.048,0,0,0,37.5167061,127.1135153
221215014022591,20221214,중구,건축/구조물,부주의,기타(부주의),생활서비스,일상서비스,243703,243.703,0,1,1,37.560912,126.97835
210605015839383,20210604,중구,자동차/철도차량,부주의,가연물 근접방치,자동차/철도차량,자동차,231217,231.217,0,2,2,37.5557928,127.0156881
240322212329719,20240322,영등포구,건축/구조물,미상,미상,판매/업무시설,판매시설,227067,227.067,0,1,1,37.52616442,126.9310342
230216093322398,20230216,강서구,건축/구조물,전기적 요인,미확인단락,운수자동차시설,자동차시설,225927,225.927,0,0,0,37.54889992,126.8755682
240620233254553,20240620,강남구,건축/구조물,부주의,용접/ 절단/ 연마,주거,공동주택,225720,225.72,0,4,4,37.49974924,127.0472881
