iter	RMSE
0	2.565449463
1	2.558484956
2	2.550519411
3	2.54510122
4	2.536785383
5	2.525343813
6	2.520420595
7	2.513216554
8	2.50400392
9	2.498311265
10	2.490614832
11	2.48566324
12	2.480551018
13	2.474280839
14	2.467656098
15	2.460713138
16	2.450958449
17	2.444860621
18	2.438821095
19	2.433602805
20	2.427134307
21	2.420355174
22	2.417931143
23	2.413964819
24	2.403624789
25	2.397144203
26	2.392353786
27	2.388433823
28	2.379221102
29	2.374142234
30	2.368103299
31	2.361326997
32	2.354980288
33	2.349698583
34	2.343723894
35	2.340646928
36	2.335334873
37	2.329894584
38	2.323797108
39	2.318055449
40	2.315420901
41	2.312235059
42	2.308865267
43	2.305057426
44	2.302830257
45	2.299489364
46	2.296715545
47	2.293928516
48	2.289522689
49	2.285564586
50	2.281191151
51	2.277694702
52	2.273618489
53	2.270868004
54	2.268351981
55	2.262024984
56	2.257865815
57	2.256012115
58	2.252013011
59	2.248814145
60	2.24711336
61	2.242870427
62	2.240824927
63	2.239762184
64	2.235734566
65	2.231766524
66	2.227251742
67	2.224406743
68	2.220064178
69	2.217840921
70	2.216221083
71	2.214719373
72	2.211067772
73	2.209539219
74	2.205982898
75	2.200227755
76	2.198383657
77	2.194204916
78	2.189245372
79	2.185048286
80	2.182195703
81	2.178373725
82	2.173423342
83	2.169306665
84	2.164912916
85	2.162532961
86	2.16090666
87	2.157298981
88	2.153703579
89	2.152533661
90	2.147003837
91	2.144795229
92	2.140472852
93	2.137677938
94	2.135896926
95	2.133896934
96	2.131258714
97	2.130643378
98	2.129072799
99	2.125049604
100	2.119310705
101	2.116314636
102	2.110661401
103	2.107469651
104	2.102969904
105	2.099971765
106	2.096826539
107	2.09564375
108	2.092492432
109	2.088355266
110	2.081502644
111	2.07876983
112	2.077575419
113	2.075205524
114	2.074462823
115	2.072468503
116	2.070254901
117	2.067384575
118	2.065025799
119	2.061499643
120	2.059177806
121	2.05674975
122	2.053021688
123	2.048872697
124	2.045916071
125	2.043903872
126	2.040140836
127	2.036959706
128	2.035779686
129	2.031215804
130	2.029216877
131	2.023661481
132	2.020119284
133	2.018158824
134	2.015508428
135	2.012658493
136	2.011920269
137	2.011262757
138	2.00837958
139	2.004022128
140	1.999629682
141	1.997313281
142	1.996810984
143	1.993958618
144	1.990472137
145	1.98522055
146	1.981575455
147	1.980780345
148	1.979212655
149	1.977822417
150	1.976564041
151	1.975920671
152	1.973028543
153	1.968473438
154	1.965186816
155	1.960548658
156	1.95802639
157	1.957579399
158	1.954973581
159	1.952678735
160	1.949963128
161	1.948592323
162	1.947636377
163	1.945147008
164	1.943686823
165	1.941128639
166	1.93904824
167	1.935760923
168	1.934857008
169	1.931286159
170	1.928643459
171	1.927599887
172	1.924907244
173	1.923433919
174	1.920389478
175	1.919161096
176	1.916528293
177	1.914326059
178	1.911759179
179	1.910967045
180	1.908085448
181	1.905480556
182	1.902774407
183	1.899805592
184	1.896822296
185	1.894797468
186	1.89392057
187	1.889845849
188	1.889621036
189	1.888511503
190	1.885185967
191	1.88503517
192	1.883751164
193	1.88124001
194	1.877455896
195	1.875282171
196	1.874004559
197	1.871181481
198	1.867802052
199	1.863251906
200	1.86192424
201	1.861104946
202	1.853809636
203	1.850469797
204	1.845329548
205	1.844912358
206	1.843269647
207	1.841800774
208	1.839204733
209	1.835961105
210	1.835126264
211	1.833646576
212	1.83278931
213	1.832406426
214	1.827838033
215	1.825651945
216	1.822362544
217	1.822156952
218	1.821959334
219	1.821778693
220	1.821272019
221	1.817366734
222	1.816006654
223	1.815732858
224	1.815436267
225	1.815172945
226	1.814623783
227	1.81217555
228	1.811364963
229	1.810622728
230	1.80905253
231	1.8087442
232	1.807041945
233	1.804476119
234	1.804209855
235	1.801737453
236	1.799430643
237	1.799090256
238	1.798212337
239	1.797063718
240	1.79658286
241	1.795472401
242	1.795136822
243	1.794854805
244	1.794145147
245	1.792033901
246	1.789241692
247	1.787520087
248	1.785169077
249	1.78480926
250	1.784640222
251	1.781233328
252	1.777091689
253	1.776825374
254	1.774058351
255	1.77387809
256	1.773656539
257	1.770226292
258	1.768955126
259	1.76845543
260	1.76697095
261	1.763210795
262	1.762111686
263	1.761122925
264	1.757992351
265	1.75766618
266	1.757470853
267	1.75722945
268	1.755916788
269	1.754063651
270	1.753959816
271	1.750937253
272	1.750784842
273	1.749823031
274	1.746522508
275	1.746350963
276	1.745653744
277	1.7411725
278	1.738786617
279	1.73823568
280	1.73807198
281	1.736360474
282	1.736080152
283	1.733207646
284	1.730221445
285	1.727285925
286	1.726290948
287	1.722242589
288	1.720752574
289	1.717369885
290	1.717128313
291	1.714563523
292	1.714375979
293	1.714147086
294	1.713151489
295	1.71069768
296	1.710549577
297	1.708261027
298	1.70593674
299	1.705753098
300	1.705533829
301	1.705318342
302	1.704653864
303	1.701373254
304	1.698433673
305	1.694307277
306	1.691870729
307	1.691703985
308	1.691335336
309	1.687489715
310	1.68732173
311	1.68687701
312	1.683974537
313	1.681373352
314	1.680924482
315	1.678937657
316	1.677474443
317	1.675388274
