iter	Passed	Remaining
0	53	95608
1	109	98817
2	165	99083
3	222	100018
4	288	103607
5	358	107113
6	428	109715
7	521	116918
8	609	121320
9	701	125587
10	790	128557
11	854	127261
12	906	124652
13	960	122576
14	1018	121221
15	1100	122679
16	1154	121037
17	1208	119682
18	1264	118534
19	1324	117844
20	1378	116779
21	1434	115899
22	1505	116281
23	1596	118117
24	1654	117484
25	1719	117311
26	1782	117064
27	1881	119101
28	1951	119177
29	2004	118251
30	2056	117379
31	2116	116941
32	2174	116412
33	2232	115980
34	2301	116068
35	2400	117632
36	2488	118596
37	2655	123116
38	2785	125763
39	2851	125462
40	2906	124690
41	2976	124593
42	3146	128587
43	3275	130715
44	3368	131352
45	3454	131739
46	3608	134599
47	3774	137753
48	3830	136868
49	3895	136351
50	3958	135752
51	4032	135539
52	4143	136566
53	4242	137179
54	4299	136406
55	4353	135571
56	4457	136319
57	4518	135698
58	4572	134927
59	4632	134342
60	4686	133613
61	4744	132990
62	4795	132222
63	4820	130764
64	4879	130245
65	4936	129700
66	4993	129161
67	5107	130093
68	5178	129901
69	5241	129542
70	5293	128911
71	5347	128329
72	5414	128085
73	5481	127847
74	5539	127410
75	5596	126959
76	5652	126493
77	5703	125908
78	5756	125412
79	5811	124952
80	5864	124464
81	5915	123942
82	5969	123479
83	6040	123399
84	6125	123593
85	6179	123149
86	6236	122790
87	6286	122309
88	6337	121827
89	6387	121367
90	6451	121163
91	6519	121027
92	6584	120860
93	6639	120495
94	6695	120171
95	6753	119881
96	6814	119647
97	6876	119433
98	6938	119212
99	7086	120468
100	7171	120629
101	7293	121415
102	7365	121356
103	7436	121273
104	7499	121062
105	7556	120763
106	7613	120464
107	7670	120166
108	7726	119866
109	7785	119610
110	7861	119621
111	7922	119400
112	7973	119034
113	8028	118740
114	8064	118157
115	8121	117905
116	8185	117745
117	8298	118294
118	8392	118554
119	8457	118399
120	8509	118077
121	8577	117975
122	8631	117684
123	8684	117384
124	8742	117150
125	8793	116828
126	8846	116539
127	8909	116383
128	8964	116115
129	9018	115850
130	9073	115600
131	9130	115374
132	9203	115355
133	9286	115453
134	9390	115815
135	9505	116298
136	9567	116134
137	9619	115851
138	9714	116089
139	9811	116332
140	9922	116751
141	10004	116810
142	10075	116753
143	10139	116608
144	10195	116371
145	10258	116212
146	10312	115964
147	10365	115702
148	10421	115474
149	10518	115701
150	10595	115703
151	10716	116190
152	10793	116190
153	10875	116244
154	10947	116186
155	11009	116025
156	11065	115796
157	11118	115543
158	11190	115491
159	11244	115254
160	11297	115007
161	11349	114752
162	11412	114618
163	11465	114378
164	11524	114202
165	11590	114090
166	11672	114139
167	11751	114159
168	11787	113762
169	11840	113532
170	11922	113581
171	12002	113601
172	12067	113491
173	12124	113297
174	12185	113149
175	12242	112964
176	12317	112949
177	12371	112730
178	12428	112554
179	12487	112383
180	12551	112265
181	12610	112106
182	12669	111948
183	12827	112659
184	12899	112611
185	12954	112411
186	13061	112660
187	13122	112520
188	13164	112214
189	13228	112094
190	13299	112033
191	13351	111817
192	13428	111814
193	13484	111627
194	13539	111440
195	13595	111261
196	13647	111047
197	13702	110864
198	13755	110669
199	13815	110524
200	13903	110605
201	14189	112247
202	14290	112423
203	14566	113962
204	15019	116862
205	15110	116922
206	15168	116730
207	15231	116576
208	15297	116449
209	15373	116401
210	15449	116343
211	15671	117387
212	15751	117362
213	15809	117168
214	15866	116967
215	15928	116806
216	15982	116592
217	16035	116365
218	16097	116211
219	16161	116068
220	16213	115844
221	16266	115622
222	16323	115436
223	16378	115231
224	16429	115006
225	16489	114844
226	16626	115211
227	16795	115801
228	16850	115596
229	16900	115361
230	16956	115169
231	17008	114954
232	17058	114725
233	17119	114568
234	17168	114336
235	17222	114135
236	17280	113963
237	17336	113778
238	17387	113562
239	17438	113349
240	17488	113132
241	17562	113065
242	17744	113697
243	17798	113501
244	17853	113315
245	17904	113103
246	17956	112901
247	18014	112735
248	18070	112557
249	18131	112413
250	18205	112354
251	18262	112181
252	18326	112058
253	18385	111905
254	18437	111709
255	18493	111537
256	18546	111348
257	18597	111152
258	18766	111659
259	18820	111475
260	18870	111268
261	18921	111073
262	18971	110871
263	19029	110715
264	19081	110530
265	19132	110336
266	19183	110140
267	19243	110005
268	19294	109816
269	19347	109637
270	19400	109458
271	19456	109301
272	19511	109134
273	19563	108956
274	19705	109275
275	19806	109368
276	19862	109206
277	19913	109022
278	19963	108835
279	20015	108653
