구,도로명,표시도로폭,공식도로폭평균m,공식구간수
종로구,지봉로,6m미만,3.84,25
종로구,청계천로,6m미만,4.92,25
종로구,창경궁로11길,6m미만,2.6,5
종로구,종로28가길,6m미만,2.8,5
종로구,보문로,6m미만,5.5,6
종로구,혜화로,폭8-10m,8.0,3
종로구,창경궁로35길,6m미만,4.0,5
종로구,창경궁로,6m미만,5.0,25
종로구,창경궁로13길,6m미만,3.0,3
종로구,보문로9길,6m미만,4.0,3
종로구,낙산길,6m미만,3.5454545454545454,11
종로구,삼일대로,6m미만,5.533333333333333,15
종로구,동망산길,6m미만,3.3333333333333335,6
종로구,종로30길,6m미만,2.5,4
종로구,동호로,폭25-30m,25.0,2
종로구,난계로,폭25-30m,25.0,1
종로구,진흥로,6m미만,5.277777777777778,18
종로구,홍지문길,6m미만,4.2,5
종로구,세검정로,6m미만,5.777777777777778,9
종로구,홍지문2길,6m미만,4.0,4
종로구,세검정로6가길,6m미만,1.8571428571428572,7
종로구,북악산로,폭10-12m,10.0,2
종로구,통일로,폭10-12m,10.142857142857142,7
종로구,내부순환로,폭12-15m,14.965,1
종로구,종각역중앙통로,6m미만,1.0,1
종로구,종각역2번출입구선,6m미만,1.0,1
종로구,광화문지하도로,6m미만,3.3055000000000003,2
종로구,종각역5번출입구선,6m미만,1.0,1
종로구,종각역상행승강장,6m미만,1.0,1
종로구,종각역하행승강장,6m미만,1.0,1
종로구,경복궁역지하2층중앙통로,6m미만,1.0,1
종로구,경복궁역지하1층중앙통로,6m미만,1.0,1
종로구,경복궁역승강장,6m미만,1.0,1
종로구,혜화역중앙통로,6m미만,1.0,1
종로구,혜화역상행승강장,6m미만,1.0,1
종로구,혜화역하행승강장,6m미만,1.0,1
종로구,종로5가역중앙통로,6m미만,1.0,1
종로구,종로5가역하행승강장,6m미만,1.0,1
종로구,종로5가역상행승강장,6m미만,1.0,1
종로구,광화문역1번출입구선,6m미만,1.0,1
종로구,광화문역서측지하1층통로,6m미만,1.0,1
종로구,광화문역5·6번출입구선,6m미만,1.0,1
종로구,광화문역4·7번출입구선,6m미만,1.0,1
종로구,광화문역동측중앙통로,6m미만,1.0,1
종로구,광화문역광화문광장출입구선,6m미만,1.0,1
종로구,광화문역서측지하2층통로,6m미만,1.0,1
종로구,광화문역동측지하3층연결통로,6m미만,1.0,1
종로구,광화문역승강장,6m미만,1.0,1
종로구,안국역4번출입구선,6m미만,1.0,1
종로구,안국역지하2층중앙통로,6m미만,1.0,1
종로구,안국역지하3층중앙통로,6m미만,1.0,1
종로구,안국역승강장,6m미만,1.0,1
종로구,창신역중앙통로,6m미만,1.0,1
종로구,창신역지하3층연결통로,6m미만,1.0,1
종로구,창신역승강장,6m미만,1.0,1
종로구,동대문역환승통로,6m미만,1.0,1
