순번,구,도로명,도로구분,도로기능,도로규모,도로폭,위도,경도,좌표조회주소,좌표후보수,좌표조회결과,작업일시
104,영등포구,가마산로32가길,일반도로,국지도로,소로,6m미만,37.497216291658,126.895171863291,서울 영등포구 가마산로32가길,1,성공,2026-04-20 11:18:02.774
111,영등포구,가마산로47길,일반도로,국지도로,소로1류,폭10-12m,37.5032474181398,126.899708811471,서울 영등포구 가마산로47길,1,성공,2026-04-20 11:18:02.778
231,송파구,감이천자전거길,일반도로,국지도로,소로3류,폭6-8m,37.5154407707809,127.138166036045,서울 송파구 감이천자전거길,1,성공,2026-04-20 11:18:02.835
391,강서구,강서로5길,일반도로,국지도로,소로1류,폭10-12m,37.5282590085899,126.848707016854,서울 강서구 강서로5길,1,성공,2026-04-20 11:18:02.911
502,송파구,거마로13길,일반도로,국지도로,소로,6m미만,37.4973945522987,127.145227319385,서울 송파구 거마로13길,1,성공,2026-04-20 11:18:02.965
504,송파구,거마로17길,일반도로,국지도로,소로,6m미만,37.4983796912055,127.145317435123,서울 송파구 거마로17길,1,성공,2026-04-20 11:18:02.965
838,성동구,고산자로8나길,일반도로,국지도로,소로,6m미만,37.5571676502303,127.035955775737,서울 성동구 고산자로8나길,1,성공,2026-04-20 11:18:03.125
839,성동구,고산자로8다길,일반도로,국지도로,소로,6m미만,37.5567777647824,127.036034132104,서울 성동구 고산자로8다길,1,성공,2026-04-20 11:18:03.125
921,강서구,곰달래로22길,일반도로,국지도로,소로,6m미만,37.5294309017449,126.844241403098,서울 강서구 곰달래로22길,1,성공,2026-04-20 11:18:03.168
958,강서구,곰달래로53나길,일반도로,국지도로,소로3류,폭6-8m,37.5371216260183,126.85622177886,서울 강서구 곰달래로53나길,1,성공,2026-04-20 11:18:03.183
1043,강서구,공항대로10가길,일반도로,국지도로,소로,6m미만,37.5602899016678,126.812894534417,서울 강서구 공항대로10가길,1,성공,2026-04-20 11:18:03.227
1055,강서구,공항대로3가길,일반도로,국지도로,소로,6m미만,37.5621590584241,126.80976316997,서울 강서구 공항대로3가길,1,성공,2026-04-20 11:18:03.232
1057,강서구,공항대로3나길,일반도로,국지도로,소로,6m미만,37.5624230708171,126.810055870939,서울 강서구 공항대로3나길,1,성공,2026-04-20 11:18:03.232
1097,강서구,공항대로7라길,일반도로,국지도로,소로,6m미만,37.5627270379275,126.811951613847,서울 강서구 공항대로7라길,1,성공,2026-04-20 11:18:03.251
1098,강서구,공항대로7마길,일반도로,국지도로,소로,6m미만,37.5627569574309,126.812295392418,서울 강서구 공항대로7마길,1,성공,2026-04-20 11:18:03.251
1165,성동구,광나루로2가길,일반도로,국지도로,소로,6m미만,37.5489408649055,127.053643128061,서울 성동구 광나루로2가길,1,성공,2026-04-20 11:18:03.284
1186,성동구,광나루로4다길,일반도로,국지도로,소로,6m미만,37.5486522583113,127.053481437531,서울 성동구 광나루로4다길,1,성공,2026-04-20 11:18:03.293
1490,영등포구,국회대로39길,일반도로,국지도로,소로,6m미만,37.5274498383037,126.899952797353,서울 영등포구 국회대로39길,1,성공,2026-04-20 11:18:03.436
1494,영등포구,국회대로52길,일반도로,국지도로,소로3류,폭6-8m,37.5250748819297,126.906658768615,서울 영등포구 국회대로52길,1,성공,2026-04-20 11:18:03.441
1526,마포구,굴레방로1길,일반도로,국지도로,소로,6m미만,37.5540827821456,126.956453836878,서울 마포구 굴레방로1길,1,성공,2026-04-20 11:18:03.456
1527,마포구,굴레방로3길,일반도로,국지도로,소로3류,폭6-8m,37.5546841164886,126.955990612696,서울 마포구 굴레방로3길,1,성공,2026-04-20 11:18:03.456
1536,강서구,금낭화로16길,일반도로,국지도로,소로,6m미만,37.5740292114179,126.812467356656,서울 강서구 금낭화로16길,1,성공,2026-04-20 11:18:03.461
1547,강서구,금낭화로3길,일반도로,국지도로,소로,6m미만,37.5662101251918,126.811343406877,서울 강서구 금낭화로3길,1,성공,2026-04-20 11:18:03.466
1597,성동구,금호산10가길,일반도로,국지도로,소로,6m미만,37.550655125533,127.020110070758,서울 성동구 금호산10가길,1,성공,2026-04-20 11:18:03.491
1704,종로구,낙산2길,일반도로,국지도로,소로,6m미만,37.5808111404858,127.005829951792,서울 종로구 낙산2길,1,성공,2026-04-20 11:18:03.546
1747,중구,난계로6길,일반도로,국지도로,소로,6m미만,37.5624373832219,127.024391703025,서울 중구 난계로6길,1,성공,2026-04-20 11:18:03.566
2013,서초구,남부순환로291길,일반도로,국지도로,소로3류,폭6-8m,37.4753091098616,126.98973314569,서울 서초구 남부순환로291길,1,성공,2026-04-20 11:18:03.701
2014,서초구,남부순환로292길,일반도로,국지도로,소로,6m미만,37.473412845916,126.989753753995,서울 서초구 남부순환로292길,1,성공,2026-04-20 11:18:03.701
2016,서초구,남부순환로294길,일반도로,국지도로,소로,6m미만,37.4731667030527,126.991022764635,서울 서초구 남부순환로294길,1,성공,2026-04-20 11:18:03.701
2018,서초구,남부순환로296가길,일반도로,국지도로,소로,6m미만,37.4721989083137,126.995380757021,서울 서초구 남부순환로296가길,1,성공,2026-04-20 11:18:03.701
2019,서초구,남부순환로296길,일반도로,국지도로,소로3류,폭6-8m,37.472603031407,126.993842483514,서울 서초구 남부순환로296길,1,성공,2026-04-20 11:18:03.701
2026,서초구,남부순환로300길,일반도로,국지도로,소로,6m미만,37.4718318817916,126.996732710707,서울 서초구 남부순환로300길,1,성공,2026-04-20 11:18:03.706
2044,서초구,남부순환로342길,일반도로,국지도로,소로3류,폭6-8m,37.4788633055755,127.027352742182,서울 서초구 남부순환로342길,1,성공,2026-04-20 11:18:03.716
2045,서초구,남부순환로344길,일반도로,국지도로,소로3류,폭6-8m,37.4828364296532,127.028725314516,서울 서초구 남부순환로344길,1,성공,2026-04-20 11:18:03.716
2048,서초구,남부순환로348길,일반도로,국지도로,소로3류,폭6-8m,37.4830023951221,127.034144987491,서울 서초구 남부순환로348길,1,성공,2026-04-20 11:18:03.716
2285,용산구,녹사평대로40가길,일반도로,국지도로,소로,6m미만,37.5349061057186,126.987812310353,서울 용산구 녹사평대로40가길,1,성공,2026-04-20 11:18:03.836
2492,중구,다산로27길,일반도로,국지도로,소로,6m미만,37.5594600660519,127.012772411597,서울 중구 다산로27길,1,성공,2026-04-20 11:18:03.943
2493,중구,다산로28가길,일반도로,국지도로,소로,6m미만,37.5591731824436,127.014392293557,서울 중구 다산로28가길,1,성공,2026-04-20 11:18:03.943
2501,중구,다산로33나길,일반도로,국지도로,소로,6m미만,37.5631553760611,127.013906477199,서울 중구 다산로33나길,1,성공,2026-04-20 11:18:03.948
2607,영등포구,당산로14길,일반도로,국지도로,소로,6m미만,37.5223214790966,126.896769682872,서울 영등포구 당산로14길,1,성공,2026-04-20 11:18:03.998
2628,영등포구,당산로41나길,일반도로,국지도로,소로,6m미만,37.5321934801264,126.897698179636,서울 영등포구 당산로41나길,1,성공,2026-04-20 11:18:04.009
2650,영등포구,대림로16길,일반도로,국지도로,소로,6m미만,37.492748105443,126.902314614423,서울 영등포구 대림로16길,1,성공,2026-04-20 11:18:04.019
2658,영등포구,대림로22라길,일반도로,국지도로,소로,6m미만,37.4963387057306,126.904628839403,서울 영등포구 대림로22라길,1,성공,2026-04-20 11:18:04.024
2673,영등포구,대림로31다길,일반도로,국지도로,소로,6m미만,37.4963805796178,126.895139445467,서울 영등포구 대림로31다길,1,성공,2026-04-20 11:18:04.033
2680,영등포구,대림로34마길,일반도로,국지도로,소로2류,폭8-10m,37.5000839316207,126.90006780509,서울 영등포구 대림로34마길,1,성공,2026-04-20 11:18:04.033
2685,영등포구,대림로34차길,일반도로,국지도로,소로,6m미만,37.4993475430199,126.902116594693,서울 영등포구 대림로34차길,1,성공,2026-04-20 11:18:04.038
2732,영등포구,대방천로16길,일반도로,국지도로,소로,6m미만,37.4988464058014,126.911725191939,서울 영등포구 대방천로16길,1,성공,2026-04-20 11:18:04.063
2733,영등포구,대방천로6가길,일반도로,국지도로,소로3류,폭6-8m,37.5000923226038,126.903660993494,서울 영등포구 대방천로6가길,1,성공,2026-04-20 11:18:04.063
2734,영등포구,대방천로6길,일반도로,국지도로,소로,6m미만,37.5005126896447,126.902620474535,서울 영등포구 대방천로6길,1,성공,2026-04-20 11:18:04.063
2735,영등포구,대방천로6나길,일반도로,국지도로,소로,6m미만,37.4995227480696,126.903270550887,서울 영등포구 대방천로6나길,1,성공,2026-04-20 11:18:04.063
2736,영등포구,대방천로6다길,일반도로,국지도로,소로,6m미만,37.4994651022038,126.903623914573,서울 영등포구 대방천로6다길,1,성공,2026-04-20 11:18:04.063
2751,용산구,대사관로24가길,일반도로,국지도로,소로,6m미만,37.5325801016896,127.004014617055,서울 용산구 대사관로24가길,1,성공,2026-04-20 11:18:04.073
2753,용산구,대사관로30가길,일반도로,국지도로,소로,6m미만,37.5316242405021,127.003676737686,서울 용산구 대사관로30가길,1,성공,2026-04-20 11:18:04.073
2755,용산구,대사관로30나길,일반도로,국지도로,소로,6m미만,37.5311145033549,127.004809436129,서울 용산구 대사관로30나길,4,성공,2026-04-20 11:18:04.073
2757,용산구,대사관로34가길,일반도로,국지도로,소로,6m미만,37.5314605490298,127.005474138843,서울 용산구 대사관로34가길,1,성공,2026-04-20 11:18:04.073
2759,용산구,대사관로34나길,일반도로,국지도로,소로,6m미만,37.5299328140485,127.005408069605,서울 용산구 대사관로34나길,5,성공,2026-04-20 11:18:04.073
