구,매칭방식,폭출처,폴리곤수
강남구,교차,API,3261
강남구,교차,공식만,35
강남구,교차,공식폭보완,15
강남구,근접,API,829
강남구,근접,공식만,2
강남구,근접,공식폭보완,2
강남구,미매칭,실폭만,31
강서구,교차,API,727
강서구,교차,공식만,34
강서구,근접,API,96
강서구,근접,공식만,13
강서구,미매칭,실폭만,7
마포구,교차,API,3323
마포구,교차,공식만,80
마포구,교차,공식폭보완,5
마포구,근접,API,446
마포구,근접,공식만,58
마포구,근접,공식폭보완,1
마포구,미매칭,실폭만,203
서초구,교차,API,1098
서초구,교차,공식만,139
서초구,교차,공식폭보완,4
서초구,근접,API,247
서초구,근접,공식만,76
서초구,미매칭,실폭만,29
성동구,교차,API,921
성동구,교차,공식만,170
성동구,교차,공식폭보완,1
성동구,근접,API,309
성동구,근접,공식만,132
성동구,미매칭,실폭만,10
송파구,교차,API,595
송파구,교차,공식만,74
송파구,교차,공식폭보완,6
송파구,근접,API,280
송파구,근접,공식만,36
송파구,근접,공식폭보완,5
송파구,미매칭,실폭만,16
영등포구,교차,API,2994
영등포구,교차,공식만,315
영등포구,교차,공식폭보완,4
영등포구,근접,API,296
영등포구,근접,공식만,141
영등포구,미매칭,실폭만,33
용산구,교차,API,1901
용산구,교차,공식만,73
용산구,교차,공식폭보완,1
용산구,근접,API,322
용산구,근접,공식만,24
용산구,미매칭,실폭만,5
종로구,교차,API,1009
종로구,교차,공식만,117
종로구,교차,공식폭보완,2
종로구,근접,API,156
종로구,근접,공식만,35
종로구,근접,공식폭보완,8
중구,교차,API,1051
중구,교차,공식만,147
중구,근접,API,139
중구,근접,공식만,45
