실폭도로일련번호,시군구코드,구,중심위도,중심경도
156,11170,용산구,37.550999,126.9731894
120,11170,용산구,37.5176988,126.9604834
11665,11170,용산구,37.5354221,127.0068274
1071,11170,용산구,37.5359638,127.0060436
1072,11170,용산구,37.5363562,127.0057454
667,11200,성동구,37.5415483,127.0337462
665,11200,성동구,37.5400046,127.0374763
676,11200,성동구,37.560225,127.0710783
666,11200,성동구,37.5414225,127.0335774
1030,11200,성동구,37.5401347,127.0384607
659,11200,성동구,37.5395337,127.0385282
1951,11200,성동구,37.5589446,127.007
1210,11200,성동구,37.5591096,127.0066975
1950,11200,성동구,37.5591096,127.0066975
1211,11200,성동구,37.5589446,127.007
4217,11440,마포구,37.5754297,126.8701683
4177,11440,마포구,37.5637123,126.8938123
4173,11440,마포구,37.563508,126.8935064
4254,11440,마포구,37.5736024,126.8732361
4111,11440,마포구,37.546513,126.9102308
4214,11440,마포구,37.5662266,126.887935
4195,11440,마포구,37.5642487,126.8945593
4222,11440,마포구,37.5776635,126.8593725
3317,11440,마포구,37.556599,126.9337656
4207,11440,마포구,37.5601135,126.8897368
4252,11440,마포구,37.5760192,126.8722629
4047,11440,마포구,37.5772841,126.862145
4128,11440,마포구,37.5581683,126.8960159
2790,11440,마포구,37.5694827,126.9123911
4179,11440,마포구,37.5637349,126.8975935
4301,11440,마포구,37.5679062,126.8865733
4289,11440,마포구,37.5653829,126.8867274
4174,11440,마포구,37.5635962,126.8967729
4272,11440,마포구,37.5724641,126.8861058
4181,11440,마포구,37.5637844,126.8974809
4297,11440,마포구,37.5684408,126.8866976
3967,11440,마포구,37.5506294,126.9143162
4245,11440,마포구,37.5759473,126.8779347
4184,11440,마포구,37.5638604,126.896275
4293,11440,마포구,37.5690377,126.8866195
4291,11440,마포구,37.5682131,126.8878033
322,11440,마포구,37.5582774,126.9602105
4088,11440,마포구,37.5747474,126.8667221
3316,11440,마포구,37.5565354,126.9339389
4303,11440,마포구,37.5687452,126.8871039
4295,11440,마포구,37.5692491,126.8825142
4270,11440,마포구,37.57315,126.8868239
4192,11440,마포구,37.5640609,126.8951174
4276,11440,마포구,37.5702215,126.8896977
4266,11440,마포구,37.5751396,126.8825582
4260,11440,마포구,37.5725246,126.8825051
4244,11440,마포구,37.569109,126.8789596
4286,11440,마포구,37.5686388,126.8912672
4285,11440,마포구,37.5688156,126.8914334
4249,11440,마포구,37.5727698,126.8737227
4294,11440,마포구,37.5689897,126.8864618
4277,11440,마포구,37.5714219,126.8887446
320,11440,마포구,37.5579239,126.9593999
4219,11440,마포구,37.5766979,126.8638238
4211,11440,마포구,37.5681544,126.8750763
323,11440,마포구,37.5588906,126.9608259
4314,11440,마포구,37.5665479,126.8858365
4334,11440,마포구,37.5662848,126.8936055
4308,11440,마포구,37.5671746,126.8876502
4363,11440,마포구,37.5630391,126.891148
