"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3050000","CDFI2260031982000001","1982-11-10","","03","폐업","03","폐업","2020-12-24","","","","2247-2500","","130-840","서울특별시 동대문구 장안동 366-7","서울특별시 동대문구 장한로 110 (장안동)","02639","(주)경남관광호텔","2020-12-28 17:01:08","U","2020-12-30 02:40:00.0","","206199.953197537","451997.934849601","관광숙박업","","","0","","","","","10","2","80","12865","","","0","0","","0","0","","0","12865.06","","0","","","","","","","0","","","","12865","관광호텔업"
"3050000","CDFI2260031984000001","1984-02-15","","03","폐업","03","폐업","2016-03-04","","","","962-0021,","","130-851","서울특별시 동대문구 전농동 620-27번지","서울특별시 동대문구 답십리로1길 39-5 (전농동)","","부림관광호텔","2016-03-04 14:40:31","I","2018-08-31 23:59:59.0","","203897.922953036","453018.913708542","관광숙박업","관광사업","일반상업지역","9","","","","호텔","8","1","54","0","","","0","0","","0","0","","0","3144.88","","0","","","","","","","0","","","","3145","관광호텔업"
"3050000","CDFI2260031999000001","1999-07-26","","03","폐업","03","폐업","2004-02-04","","","","522-0820","","130-840","서울특별시 동대문구 장안동 365-8번지","서울특별시 동대문구 장한로 96  (장안동)","","알프스관광호텔","2004-02-04 11:34:20","I","2018-08-31 23:59:59.0","","206117.295011037","451867.005076753","관광숙박업","관광사업","","10","","","","","8","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",""
"3050000","CDFI2260031999000002","1999-01-01","","03","폐업","03","폐업","2012-09-01","","","","2244-2222","","130-805","서울특별시 동대문구 답십리동 497-23번지","서울특별시 동대문구 천호대로 257  (답십리동)","","시티팔레스호텔","2012-09-28 12:30:28","I","2018-08-31 23:59:59.0","","204400.365537226","451854.716617007","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",""
"3050000","CDFI2260032011000001","2011-11-04","","01","영업/정상","13","영업중","","","","","02-556-2667","","130-010","서울특별시 동대문구 청량리동 30-6","서울특별시 동대문구 왕산로 269 (청량리동)","02488","위코스테이 청량리","2026-03-17 17:49:21","U","2026-03-19 02:40:00.0","","204390.028486003","453618.739915578","관광숙박업","","","5","","","삼성화재해상보험주식회사","호텔","0","1","46","1994","","","0","0","","0","0","","0","1993.54","","0","","","","","","","0","","","","1994","관광호텔업"
"3050000","CDFI2260032013000001","2013-04-18","","03","폐업","03","폐업","2023-04-10","","","","957-0700","","","서울특별시 동대문구 휘경동 319-12","서울특별시 동대문구 회기로 188-5 (휘경동)","02446","드웰동대문(dwell Dongdaemun)","2023-04-10 15:50:26","U","2023-04-12 02:40:00.0","","204945.801764162","454123.219581534","관광숙박업","","준주거지역","12","","","","숙박시설","10","2","117","4471","dwell Dongdaemun","TOURISM  BUSINESS CERTIFICATE OF REGISTRATION","0","0","","0","0","","0","4471","","0","","","","","","","8000000000","","","","4471","호스텔업"
"3050000","CDFI2260032014000001","2014-02-25","","03","폐업","03","폐업","2017-04-27","","","","2216-8885","","130-844","서울특별시 동대문구 장안동 429-1번지","서울특별시 동대문구 천호대로83길 98 (장안동)","02629","BORJOMI  BOUTIQUE  SEOUL","2017-04-27 17:31:40","I","2018-08-31 23:59:59.0","","205852.292590362","451534.523558603","관광숙박업","","일반주거지역","9","","","","숙박시설","7","2","36","236","","","0","0","","0","0","","0","1912.64","","0","","","","","","","0","","","","1913","관광호텔업"
"3050000","CDFI2260032014000002","2014-02-27","","03","폐업","03","폐업","2019-05-13","","","","3473-1700,961-6711","","130-851","서울특별시 동대문구 전농동 620-4번지","서울특별시 동대문구 왕산로 192-2 (전농동)","02559","K City Hotel","2019-05-13 16:43:57","U","2019-05-15 02:40:00.0","","203871.556031453","453032.727623015","관광숙박업","","일반상업지역","9","기타","","","숙박시설","7","2","60","3575","","","0","0","","0","0","","0","3575.03","","0","","","","","","","300000000","","","","3575","관광호텔업"
"3050000","CDFI2260032014000003","2014-06-26","","01","영업/정상","13","영업중","","","","","02-925-0721","","130-811","서울특별시 동대문구 신설동 92-35","서울특별시 동대문구 왕산로 28 (신설동)","02582","호텔 부티크나인","2025-06-25 17:54:10","U","2025-06-27 02:40:00.0","","202286.682586248","452683.713874138","관광숙박업","","일반상업지역","15","","","특수건물로 보험 제외","숙박시설","13","2","91","6225","","","0","0","","0","0","","0","6225.06","","0","","","","","","","500000000","","","","6225","관광호텔업"
"3050000","CDFI2260032014000004","2014-07-11","","03","폐업","03","폐업","2016-02-01","","","","2116-6001","","130-811","서울특별시 동대문구 신설동 98-24번지","서울특별시 동대문구 왕산로 22 (신설동)","02582","라마다앙코르 동대문지점","2016-02-01 13:23:08","I","2018-08-31 23:59:59.0","","202233.604900045","452654.5266264","관광숙박업","","일반상업지역","26","","","","숙박시설","20","6","332","11589","","","0","0","","0","0","","0","11588.89","","0","","","","","","","500000000","","","","11589","관광호텔업"
