"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3210000","CDFI2260031982000001","1982-09-18","","03","폐업","03","폐업","2021-03-08","","","","02-2186-6724","","137-804","서울특별시 서초구 반포동 64-1","서울특별시 서초구 사평대로 160 (반포동)","137-804","쉐라톤 서울 팔래스 강남 호텔","2021-03-08 13:52:57","U","2021-03-10 02:40:00.0","","200061.052344598","444287.834671099","관광숙박업","관광사업","일반주거지역","13","아파트지역","","","호텔","13","2","341","31162","Seojoo Industrial Development Co., Ltd.  (Sheraton Seoul Palace Gangnam Hotel)","TOURIST HOTEL","0","0","","0","0","","0","31162.04","","0","","","","","","","0","","","","31162","관광호텔업"
"3210000","CDFI2260031990000001","1990-12-30","","02","휴업","02","휴업","","2025-01-01","2029-12-31","","571-8100","","137-915","서울특별시 서초구 양재동 202","서울특별시 서초구 바우뫼로12길 70 (양재동)","06769","더케이호텔앤리조트(주) 더케이호텔서울","2025-01-08 13:31:03","U","2025-01-10 02:40:00.0","","202833.261653939","440511.561175378","관광숙박업","관광사업","자연녹지지역","11","주택가주변","","","호텔","11","1","250","72742","THE K HOTEL SEOUL","TOURIST HOTEL","0","0","","0","0","","0","52135.75","","0","","","","","","","0","","","","52136","관광호텔업"
"3210000","CDFI2260031994000001","1994-09-16","","01","영업/정상","13","영업중","","","","","02-6710-1804","","137-902","서울특별시 서초구 잠원동 6-1번지","서울특별시 서초구 강남대로107길 6 (잠원동, 더리버사이드호텔)","137-902","더리버사이드호텔","2019-07-12 14:55:51","U","2019-07-14 02:40:00.0","","201530.475526772","446268.294338007","관광숙박업","","일반상업지역","16","","","","호텔","13","3","109","30096","THE RIVERSIDE HOTEL","TOURIST HOTEL","0","0","","0","0","","0","30216.57","","0","","","","","","","0","","","","30217","관광호텔업"
"3210000","CDFI2260031999000001","1999-01-06","","03","폐업","03","폐업","2017-09-29","","","","3486-6000","","137-876","서울특별시 서초구 서초동 1594-3번지","서울특별시 서초구 효령로55길 39 (서초동)","","센트로관광호텔","2018-06-01 13:12:22","I","2018-08-31 23:59:59.0","","201170.070004848","442708.003635745","관광숙박업","관광사업","근린상업지역","8","기타","","","근린생활시설","8","2","94","8286","","","0","0","","0","0","","0","8285.57","","0","","","","","","","0","","","","8286","관광호텔업"
"3210000","CDFI2260032000000001","2000-07-28","","01","영업/정상","13","영업중","","","","","6282-6262","","137-713","서울특별시 서초구 반포동 19-3","서울특별시 서초구 신반포로 176 (반포동)","","JW메리어트호텔 서울","2025-04-07 11:19:01","U","2025-04-09 02:40:00.0","","200250.447804795","444683.220506107","관광숙박업","관광사업","일반상업지역","32","기타","","","근린생활시설","32","5","379","52653","JW MARRIOTT HOTEL SEOUL","TOURIST HOTEL","0","0","","0","0","","0","52653","","0","","","","","","","0","","","","52653","관광호텔업"
"3210000","CDFI2260032001000002","2001-09-28","","03","폐업","03","폐업","2021-09-23","","","","02-521-7111","","","서울특별시 서초구 서초동 1605-3 프랜드호텔","서울특별시 서초구 효령로 345, 프랜드호텔 (서초동)","06643","주식회사 프렌드호텔","2021-09-23 13:47:36","U","2021-09-25 02:40:00.0","","201846.586838152","442752.888685325","관광숙박업","관광사업","일반상업지역","5","유흥업소밀집지역","","","근린생활시설","5","2","59","3762","FRIEND HOTEL","TOURIST HOTEL","0","0","","0","0","","0","3713.77","","0","","","","","","","0","","","","3714","관광호텔업"
"3210000","CDFI2260032007000001","2007-01-04","","01","영업/정상","13","영업중","","","","","02-597-1140","","137-881","서울특별시 서초구 서초동 1677-8","서울특별시 서초구 서초대로 338 (서초동)","","프로비스타 가족호텔","2025-04-03 11:06:12","U","2025-04-05 02:40:00.0","","201577.653343873","443623.599964173","관광숙박업","관광사업","일반상업지역","11","유흥업소밀집지역","","","호텔","15","3","79","10997","PROVISTA FAMILY HOTEL","FAMILY HOTEL","0","0","","0","0","","0","6375","","0","","","","","","","1850000000","","","","6375","가족호텔업"
"3210000","CDFI2260032009000001","2009-04-27","","01","영업/정상","13","영업중","","","","","02-544-1004","","","서울특별시 서초구 잠원동 18-5번지 호텔티롤","서울특별시 서초구 나루터로 64, 호텔티롤 (잠원동)","06527","호텔티롤","2019-07-24 10:39:13","U","2019-07-26 02:40:00.0","","201428.517596116","445869.951055925","관광숙박업","","일반상업지역","13","기타","","","호텔","9","4","83","7519","HOTEL TIROL","TOURIST HOTEL","0","0","","0","0","","0","7518.78","","0","","","","","","","200000000","","","","7519","관광호텔업"
"3210000","CDFI2260032011000001","2011-11-14","","01","영업/정상","13","영업중","","","","","02-585-0561","","137-876","서울특별시 서초구 서초동 1589-4","서울특별시 서초구 반포대로12길 29 (서초동)","06653","유원관광호텔","2023-08-21 16:42:42","U","2023-08-23 02:40:00.0","","201066.818606401","442553.417053589","관광숙박업","","일반상업지역","12","기타","","","호텔","10","2","71","0","YUWONMATE TOURIST HOTEL","TOURIST HOTEL","0","0","","0","0","","0","4983.12","","0","","","","","","","17006000100","","","","4983","관광호텔업"
"3210000","CDFI2260032014000001","2014-04-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 서초동 1594-4","서울특별시 서초구 반포대로14길 53 (서초동)","06651","호텔 소설(小雪)","2024-03-06 17:42:37","U","2024-03-08 02:40:00.0","","201151.028822729","442683.649804365","관광숙박업","","상업지역","14","유흥업소밀집지역","","","호텔","12","2","52","0","HOTEL Soh Sul","TOURIST HOTEL","0","0","","0","0","","0","3660","","0","","","","","","","6899999700","","","","3660","관광호텔업"
"3210000","CDFI2260032015000001","2015-09-02","","01","영업/정상","13","영업중","","","","","0269368100","","137-863","서울특별시 서초구 서초동 1361-9","서울특별시 서초구 강남대로 259 (서초동)","137-863","호텔 페이토","2025-12-12 14:15:18","U","2025-12-14 02:40:00.0","","202811.357664681","442727.748435057","관광숙박업","","일반상업지역","19","학교정화(상대)","","","호텔","19","4","186","8996","Hotel Peyto","TOURIST HOTEL","0","0","","0","0","","0","8996","","0","","","","","","","600000000","","","","8996","관광호텔업"
"3210000","CDFI2260032017000001","2017-04-03","","01","영업/정상","13","영업중","","","","","0222199000","","","서울특별시 서초구 서초동 1339-1","서울특별시 서초구 효령로 427 (서초동)","06628","신라스테이 서초","2025-05-27 17:32:49","U","2025-05-29 02:40:00.0","","202594.604971816","443029.088344854","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","17684","","0","","","","","","","0","","","","17684","관광호텔업"
"3210000","CDFI2260032018000001","2018-01-05","","03","폐업","03","폐업","2021-04-02","","","","02-2141-9900","","","서울특별시 서초구 서초동 1595-4","서울특별시 서초구 반포대로18길 62 (서초동)","06651","호텔 라리아","2021-04-02 13:54:42","U","2021-04-04 02:40:00.0","","201144.337579839","442788.083376457","관광숙박업","","일반상업지역","15","","","","","15","2","81","4830","","","0","0","","0","0","","0","0","","0","","","","","","","2500000000","","","","0","관광호텔업"
"3210000","CDFI2260032018000002","2018-03-06","","01","영업/정상","13","영업중","","","","","02-3474-1214","","","서울특별시 서초구 서초동 1670-15","서울특별시 서초구 서초대로56길 18, 업플로 호스텔 (서초동)","06633","업플로 호스텔","2025-08-19 10:10:43","U","2025-08-21 02:40:00.0","","201434.03210615","443506.579876212","관광숙박업","","일반상업지역","5","기타","","","숙박시설","5","1","23","1172","UPFLO HOSTEL","HOSTEL","0","0","","0","0","","0","1171.86","","0","","","","","","","1712131970","","","","1172","호스텔업"
"3210000","CDFI2260032018000003","2018-11-14","","01","영업/정상","13","영업중","","","","","0262007500","","","서울특별시 서초구 신원동 271-21번지 오라카이 청계산호텔","서울특별시 서초구 청계산로9길 1-7, 오라카이 청계산호텔 (신원동)","06802","오라카이 청계산 호텔","2019-07-12 15:02:30","U","2019-07-14 02:40:00.0","","204773.965728195","438573.091945475","관광숙박업","","준주거지역","5","","","","","5","3","193","20178","Geumbo gaebal Orakai Cheonggyesan Hotel Co., Ltd.","TOURIST HOTEL","0","0","","0","0","","0","4000","","0","","","","","","","0","","","","4000","관광호텔업"
"3210000","CDFI2260032021000001","2021-07-08","","01","영업/정상","13","영업중","","","","","02-580-8500","","","서울특별시 서초구 서초동 1362-26 준타워","서울특별시 서초구 강남대로 253, 준타워 (서초동)","06735","힐튼 가든 인 서울 강남","2023-08-21 16:24:21","U","2023-08-23 02:40:00.0","","202827.205726281","442635.958648293","관광숙박업","","일반상업지역","18","기타","","","숙박시설","18","6","208","0","Hilton Garden Inn Seoul Gangnam","TOURIST HOTEL","0","0","","0","0","","0","16900.37","","0","","","","","","","40000000000","","","","16900","관광호텔업"
"3210000","CDFI2260032026000001","2026-03-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 반포동 733-13","서울특별시 서초구 사평대로53길 27-6 (반포동)","06540","호스텔@강남","2026-03-13 10:41:41","I","2026-03-15 00:20:02.0","","201810.70789544","444825.576398283","관광숙박업","","일반주거지역","5","주택가주변","","","근린생활시설","5","1","36","731","","","0","0","","0","0","","0","277.37","","0","","","","","","","156588496","","","","277","호스텔업"
