"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3230000","CDFI2260031986000001","1986-10-01","","01","영업/정상","13","영업중","","","","","02-419-7000","","138-220","서울특별시 송파구 잠실동 40-1","서울특별시 송파구 올림픽로 240 (잠실동)","05554","호텔롯데 롯데호텔월드","2025-05-29 13:44:22","U","2025-05-31 02:40:00.0","","208589.363343145","445455.90405262","관광숙박업","관광사업","준주거지역","36","기타","","","숙박시설","33","3","477","95611","","","0","0","","0","0","","0","95611.39","","0","","","","","","","0","","","","95611","관광호텔업"
"3230000","CDFI2260031995000001","1995-10-01","","01","영업/정상","13","영업중","","","","","02-421-2761","","","서울특별시 송파구 잠실동 250-9","서울특별시 송파구 삼전로 67 (잠실동, 잠실관광호텔)","05567","잠실스테이","2024-06-03 10:44:21","U","2024-06-05 02:40:00.0","","207714.534207806","444749.931404748","관광숙박업","관광사업","준주거지역","9","","","","숙박시설","7","2","53","0","JAM SIL TOURIST HOTEL","TOURIST HOTEL","0","0","","0","0","","0","3814.44","","0","","","","","","","0","","","","3814","관광호텔업"
"3230000","CDFI2260031997000001","1997-10-01","","01","영업/정상","13","영업중","","","","","02-400-6641","","","서울특별시 송파구 가락동 98-5","서울특별시 송파구 송파대로28길 5 (가락동, 가락관광호텔)","05719","가락관광호텔","2024-06-05 10:17:44","U","2024-06-08 02:40:00.0","","210429.157119053","443526.648866499","관광숙박업","관광사업","일반상업지역","11","기타","","","호텔","8","3","71","4838","","","0","0","","0","0","","0","4838.25","","0","","","","","","","0","","","","4838","관광호텔업"
"3230000","CDFI2260032002000001","2002-08-16","","03","폐업","03","폐업","2007-09-21","","","","","","138-842","서울특별시 송파구 석촌동 24번지","","","HOTEL BELUGA","2007-10-01 16:33:53","I","2018-08-31 23:59:59.0","","208684.121024333","444900.075661195","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",""
"3230000","CDFI2260032003000001","2003-04-22","","03","폐업","03","폐업","2008-07-01","","","","421-2131","","138-827","서울특별시 송파구 방이동 44-5번지","서울특별시 송파구 위례성대로 10  (방이동)","","올림피아나 관광호텔","2008-07-02 18:47:30","I","2018-08-31 23:59:59.0","","209966.124550614","446059.613892034","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",""
"3230000","CDFI2260032004000001","2004-01-01","","01","영업/정상","13","영업중","","","","","02-422-1001","","","서울특별시 송파구 석촌동 158","서울특별시 송파구 석촌호수로 216 (석촌동, 호텔 레이크)","05610","레이크호텔","2024-06-03 10:30:04","U","2024-06-05 02:40:00.0","","208851.639893799","444965.4232772","관광숙박업","관광사업","","14","","","","호텔","10","4","94","9656","HOTEL LAKE","","0","0","","0","0","","0","9656.35","","0","","","","","","","0","","","","9656","관광호텔업"
"3230000","CDFI2260032004000002","2004-01-01","","01","영업/정상","13","영업중","","","","","02-401-4653","","","서울특별시 송파구 가락동 98-6","서울특별시 송파구 송파대로28길 11 (가락동, 캘리포니아관광호텔)","05719","캘리포니아호텔","2024-01-16 14:02:08","U","2024-01-18 02:40:00.0","","210463.282485743","443549.893536475","관광숙박업","관광사업","","15","","","","호텔","12","3","131","10601","California Tourist Hotel","Tourist Hotel","0","0","","0","0","","0","10601.32","","0","","","","","","","0","","","","10601","관광호텔업"
"3230000","CDFI2260032009000001","2009-09-03","","03","폐업","03","폐업","2009-12-31","","","","02-421-2131","","138-827","서울특별시 송파구 방이동 44-5번지","서울특별시 송파구 위례성대로 10  (방이동)","","올림피아나관광호텔","2010-01-12 10:45:17","I","2018-08-31 23:59:59.0","","209966.124550614","446059.613892034","관광숙박업","","일반상업지역","10","","","","","7","3","0","0","","","0","0","","0","0","","0","6641.46","","0","","","","","","","0","","","","6641",""
"3230000","CDFI2260032012000001","2012-12-11","","01","영업/정상","13","영업중","","","","","02-417-2700","","","서울특별시 송파구 잠실동 180번지","서울특별시 송파구 올림픽로10길 5 (잠실동, 파로스관광호텔)","05557","(주)파로스 관광호텔","2020-02-14 15:51:59","U","2020-02-16 02:40:00.0","","207106.032236098","445432.48407791","관광숙박업","","상업지역","19","아파트지역","","","숙박시설","14","5","52","4486","","","0","0","","0","0","","0","4485.52","","0","","","","","","","17991999500","","","","4486","관광호텔업"
"3230000","CDFI2260032013000001","2013-04-22","","03","폐업","03","폐업","2020-11-24","","","","02-3432-4671","","138-828","서울특별시 송파구 방이동 46-6","서울특별시 송파구 백제고분로51길 23 (방이동)","05544","필름 37.2","2020-11-24 13:56:22","U","2020-11-26 02:40:00.0","","209906.961485974","446035.154945848","관광숙박업","","일반상업지역","12","","","","","7","5","83","6976","","","0","0","","0","0","","0","6976","","0","","","","","","","0","","","","6976","관광호텔업"
"3230000","CDFI2260032013000002","2013-08-27","","01","영업/정상","13","영업중","","","","","02-2143-3000","","138-842","서울특별시 송파구 석촌동 1-7","서울특별시 송파구 삼학사로 98 (석촌동)","05612","로사나부띠끄 관광호텔","2024-06-03 10:37:34","U","2024-06-05 02:40:00.0","","208554.799609279","444868.79542744","관광숙박업","","상업지역","18","","","","","14","4","81","5242","","","0","0","","0","0","","0","5242.13","","0","","","","","","","0","","","","5242","관광호텔업"
"3230000","CDFI2260032015000001","2015-12-24","","01","영업/정상","13","영업중","","","","","02-425-1000","","","서울특별시 송파구 삼전동 180-3","서울특별시 송파구 백제고분로 268 (삼전동, 세경빌딩)","05585","호텔인피니","2024-06-11 10:07:01","U","2024-06-13 02:40:00.0","","208426.169119403","444447.682227261","관광숙박업","","일반주거지역","9","주택가주변","","","호텔","8","1","40","1463","","","0","0","","0","0","","0","1463.34","","0","","","","","","","0","","","","1463","관광호텔업"
"3230000","CDFI2260032016000001","2016-07-19","","01","영업/정상","13","영업중","","","","","02-6949-1000","","","서울특별시 송파구 삼전동 47 2층 부분","서울특별시 송파구 백제고분로22길 5, 2층 (삼전동, 한강빌딩)","05582","24게스트하우스(서울 잠실점)","2022-07-11 14:35:53","U","2022-07-13 02:40:00.0","","207835.820419818","444569.108630582","관광숙박업","","","2","","","","","2","0","6","0","","","0","0","","0","0","","0","168.48","","0","","","","","","","110000000","","","","168","호스텔업"
"3230000","CDFI2260032016000002","2016-12-23","","01","영업/정상","13","영업중","","","","","02-414-1263","","","서울특별시 송파구 방이동 36-5","서울특별시 송파구 오금로11길 21-9 (방이동, 대신파크)","05543","주식회사 딜라이트 호텔","2024-06-03 14:25:11","U","2024-06-05 02:40:00.0","","209595.213143028","445912.216884712","관광숙박업","","","11","","","","","10","1","71","2349","","","0","0","","0","0","","0","2349","","0","","","","","","","8700000300","","","","2349","관광호텔업"
"3230000","CDFI2260032016000003","2016-12-23","","01","영업/정상","13","영업중","","","","","02-420-2400","","","서울특별시 송파구 방이동 49-2","서울특별시 송파구 오금로11길 55-16 (방이동)","05545","HOTEL RAUM(라움)","2025-12-02 06:36:23","U","2025-12-04 02:40:00.0","","209996","445952.865","관광숙박업","","일반상업지역","10","","","","호텔","9","1","51","0","","","0","0","","0","0","","0","3180.9","","0","","","","","","","18499999700","","","","3181","관광호텔업"
"3230000","CDFI2260032016000004","2016-12-23","","03","폐업","03","폐업","2021-06-30","","","","02-420-2211","","","서울특별시 송파구 방이동 38-10","서울특별시 송파구 오금로11길 29-5 (방이동)","05543","IM HOTEL","2021-06-30 19:53:12","U","2021-07-02 02:40:00.0","","209681.364622247","445914.984531881","관광숙박업","","","6","","","","","5","1","20","559","","","0","0","","0","0","","0","559","","0","","","","","","","1000000000","","","","559","소형호텔업"
"3230000","CDFI2260032016000005","2016-12-23","","01","영업/정상","13","영업중","","","","","02-417-9351","","","서울특별시 송파구 석촌동 296-8번지","서울특별시 송파구 송파대로 385 (석촌동, 성룡빌딩)","05697","CORNER HOTEL","2020-02-14 17:20:19","U","2020-02-16 02:40:00.0","","209635.621974575","444386.042979275","관광숙박업","","","6","","","","","5","1","39","2166","","","0","0","","0","0","","0","2166","","0","","","","","","","24999999500","","","","2166","관광호텔업"
"3230000","CDFI2260032017000001","2017-03-28","","01","영업/정상","13","영업중","","","","","02-3213-1000","","","서울특별시 송파구 신천동 29","서울특별시 송파구 올림픽로 300 (신천동)","05551","시그니엘 서울(SIGNIEL SEOUL)","2025-04-04 15:31:16","U","2025-04-06 02:40:00.0","","209074.900840074","445657.80932984","관광숙박업","","","26","","","","","26","0","235","67097","","","0","0","","0","0","","0","67097","","0","","","","","","","511748506000","","","","67097","관광호텔업"
"3230000","CDFI2260032017000002","2017-05-23","","01","영업/정상","13","영업중","","","","","02-6925-2900","","","서울특별시 송파구 문정동 618번지","서울특별시 송파구 송파대로 111 (문정동, 파크하비오)","05837","호텔 파크하비오","2018-07-10 11:32:05","I","2018-08-31 23:59:59.0","","210868.397496689","442053.227933005","관광숙박업","","","24","","","","","19","5","472","22234","","","0","0","","0","0","","0","22234","","0","","","","","","","35999998000","","","","22234","관광호텔업"
"3230000","CDFI2260032017000003","2017-12-29","","03","폐업","03","폐업","2024-05-09","","","","02-417-6660","","","서울특별시 송파구 잠실동 180-7","서울특별시 송파구 백제고분로7길 23-6 (잠실동)","05557","호텔포레스타1호점","2024-05-10 10:19:19","U","2024-05-12 02:40:00.0","","207148.374688088","445418.562120928","관광숙박업","","","14","","","","","13","1","53","1996","","","0","0","","0","0","","0","1996","","0","","","","","","","0","","","","1996","관광호텔업"
"3230000","CDFI2260032018000001","2018-08-13","","01","영업/정상","13","영업중","","","","","02-419-9990","","","서울특별시 송파구 잠실동 180-3","서울특별시 송파구 백제고분로7길 23-5 (잠실동)","05557","포레스타","2024-06-19 16:33:09","U","2024-06-21 02:40:00.0","","207125.820825269","445419.558960012","관광숙박업","","일반상업지역","14","유흥업소밀집지역","","","호텔","13","1","53","1994","","","0","0","","0","0","","0","1993.73","","0","","","","","","","0","","","","1994","관광호텔업"
"3230000","CDFI2260032019000001","2019-07-25","","01","영업/정상","13","영업중","","","","","02-423-4300","","","서울특별시 송파구 잠실동 180-10","서울특별시 송파구 올림픽로12길 4-17 (잠실동)","05557","호텔 더 캐슬(신천)","2024-06-03 10:50:44","U","2024-06-05 02:40:00.0","","207163.343016332","445433.784924234","관광숙박업","","상업지역","18","유흥업소밀집지역","","","호텔","16","2","68","0","","","0","0","","0","0","","0","2983.46","","0","","","","","","","0","","","","2983","관광호텔업"
"3230000","CDFI2260032019000002","2019-12-10","","01","영업/정상","13","영업중","","","","","02-409-5919","","","서울특별시 송파구 가락동 73-1 관광호텔","서울특별시 송파구 송이로 104, 관광호텔 (가락동)","05713","부티크 호텔 XYM","2024-06-20 09:38:55","U","2024-06-22 02:40:00.0","","210664.369854452","443861.184407649","관광숙박업","","일반주거지역","9","주택가주변","","","호텔","7","2","29","971","","","0","0","","0","0","","0","971","","0","","","","","","","0","","","","971","소형호텔업"
"3230000","CDFI2260032020000001","2020-01-02","","01","영업/정상","13","영업중","","","","","02-412-2601","","","서울특별시 송파구 방이동 36-16 호텔 더 캐슬","서울특별시 송파구 올림픽로32길 7, 호텔 더 캐슬 (방이동)","05543","호텔 더 캐슬(방이1)","2024-06-03 14:29:05","U","2024-06-05 02:40:00.0","","209573.702036723","445919.513434498","관광숙박업","","일반상업지역","18","유흥업소밀집지역","","","숙박시설","16","2","63","0","","","0","0","","0","0","","0","2806.76","","0","","","","","","","0","","","","2807","관광호텔업"
"3230000","CDFI2260032021000001","2021-06-22","","01","영업/정상","13","영업중","","","","","02-412-2220","","","서울특별시 송파구 방이동 36-2","서울특별시 송파구 올림픽로32길 7-1 (방이동)","05543","호텔 더 캐슬(방이2)","2024-06-03 14:24:29","U","2024-06-05 02:40:00.0","","209577.698774715","445907.77255221","관광숙박업","","일반상업지역","18","","","","숙박시설","16","2","41","0","","","0","0","","0","0","","0","1487.08","","0","","","","","","","11000000500","","","","1487","관광호텔업"
"3230000","CDFI2260032021000002","2021-09-29","","01","영업/정상","13","영업중","","","","","02-2040-3188","","","서울특별시 송파구 신천동 29-1 KT송파타워","서울특별시 송파구 잠실로 209, KT송파타워 (신천동)","05552","소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(가족호텔)","2025-01-31 09:56:49","U","2025-02-02 02:40:00.0","","209337.104501753","445744.864426145","관광숙박업","","일반상업지역","37","","","","숙박시설","32","5","160","97496","Sofitel Ambassador Seoul Hotel & Serviced Residences(FAMILY HOTEL BUSINESS)","FAMILY HOTEL BUSINESS","0","0","","0","0","","0","74200.51","","0","","","","","","","79200002000","","","","74201","가족호텔업"
"3230000","CDFI2260032021000003","2021-09-29","","01","영업/정상","13","영업중","","","","","02-2092-6000","","","서울특별시 송파구 신천동 29-1 KT송파타워","서울특별시 송파구 잠실로 209, KT송파타워 (신천동)","05552","소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(관광호텔)","2025-01-31 09:56:57","U","2025-02-02 02:40:00.0","","209337.104501753","445744.864426145","관광숙박업","","일반상업지역","37","","","","숙박시설","32","5","403","97496","Sofitel Ambassador Seoul Hotel & Serviced Residences(Tourist Hotel Business)","TOURIST HOTEL BUSINESS","0","0","","0","0","","0","74200.51","","0","","","","","","","79200002000","","","","74201","관광호텔업"
"3230000","CDFI2260032023000001","2023-08-08","","01","영업/정상","13","영업중","","","","","02-408-9230","","","서울특별시 송파구 문정동 61-15 메리제인호텔","서울특별시 송파구 송파대로20길 6 (문정동, 메리제인호텔)","05807","메리제인호텔","2024-02-23 11:26:29","U","2024-02-25 02:40:00.0","","210857.025715606","442611.394350958","관광숙박업","","일반주거지역","10","기타","","","호텔","8","2","29","0","","","0","0","","0","0","","0","996.15","","0","","","","","","","3000000000","","","","996","소형호텔업"
"3230000","CDFI2260032024000003","2024-05-28","","01","영업/정상","13","영업중","","","","","02-2202-5002","","","서울특별시 송파구 방이동 36-6","서울특별시 송파구 오금로11길 21-19 (방이동)","05543","오로시에 관광호텔","2025-06-05 14:55:04","U","2025-06-08 02:40:00.0","","209581.256815683","445953.572522606","관광숙박업","","","0","","","","","9","1","45","2069","","","0","0","","0","0","","0","67.03","","0","","","","","","","7000000000","","","","67","관광호텔업"
"3230000","CDFI2260032025000001","2025-10-29","","01","영업/정상","13","영업중","","","","","02-6403-5558","","","서울특별시 송파구 송파동 11-1","서울특별시 송파구 백제고분로41길 31, 4층 (송파동)","05625","아이앤유스테이","2026-03-25 10:19:20","U","2026-03-27 02:40:00.0","","209345.228484453","445137.751124173","관광숙박업","","일반주거지역","5","","","","근린생활시설","5","1","0","0","","","0","0","","0","0","","0","140.62","","0","","","","","","","48000000","","","","141","호스텔업"
"3230000","CDFI2260032026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 38-14 호텔베네 롯데타워점","서울특별시 송파구 오금로11길 29-15, 호텔베네 롯데타워점 (방이동)","05543","호텔베네 롯데타워점","2026-01-23 16:00:14","I","2026-01-25 00:20:02.0","","209664.305905648","445965.223882044","관광숙박업","","상업지역","15","","","","숙박시설","15","3","0","0","","","0","0","","0","0","","0","2896.12","","0","","","","","","","9500000300","","","","2896","관광호텔업"
