"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3020000","CDFI2260031975000001","1975-07-29","","01","영업/정상","13","영업중","","","","","02-3786-6000","","140-863","서울특별시 용산구 이태원동 119-24 119-24,25,108-9,123-10~15,116-1,116-5,112-7,112-15","서울특별시 용산구 이태원로 179 (이태원동)","04350","해밀톤관광호텔","2024-06-26 18:26:35","U","2024-06-30 02:40:00.0","","199362.51518342","448070.485388482","관광숙박업","관광사업","일반상업지역","13","유흥업소밀집지역","","","호텔","9","4","166","16789","HAMILTON TOURIST HOTEL","TOURIST HOTEL","0","0","","0","0","","0","26806.67","","0","","","","","","","0","","","","26807","관광호텔업"
"3020000","CDFI2260031978000001","1978-05-15","","01","영업/정상","13","영업중","","","","","02-797-1234","","140-893","서울특별시 용산구 한남동 747-7","서울특별시 용산구 소월로 322 (한남동)","","서울미라마(유)그랜드하얏트서울","2024-08-07 15:01:17","U","2024-08-10 02:40:00.0","","199737.097413554","448587.753314794","관광숙박업","관광사업","일반주거지역","19","","","","호텔","17","2","620","0","Seoul Miramar Corporation d/b/a Grand Hyatt Seoul","TOURIST HOTEL","0","0","","0","0","","0","62156.19","","0","","","","","","","0","","","","62156","관광호텔업"
"3020000","CDFI2260031980000001","1980-05-20","","03","폐업","03","폐업","2022-06-24","","","","02-797-4111","","140-863","서울특별시 용산구 이태원동 34-69 36-69, 34-159, 44-64","서울특별시 용산구 녹사평대로 140 (이태원동)","04390","크라운관광호텔","2022-06-24 16:07:09","U","2022-06-26 02:40:00.0","","199118.176847228","447688.4883026","관광숙박업","관광사업","일반주거지역","8","","","","호텔","7","1","203","13634","CROWN TOURIST HOTEL","Tourist Hotel","0","0","","0","0","","0","2452.17","","0","","","","","","","0","","","","2452","관광호텔업"
"3020000","CDFI2260031988000001","1988-09-28","","01","영업/정상","13","영업중","","","","","02-3702-8000","","140-893","서울특별시 용산구 한남동 737-32","서울특별시 용산구 이태원로 221 (한남동)","","임피리얼팰리스 부티크호텔(Imperial Palace Boutique Hotel)","2025-11-04 10:19:12","U","2025-11-06 02:40:00.0","","199788.755748324","448121.175798434","관광숙박업","관광사업","준주거지역","15","기타","","","호텔","11","4","128","10654","","","0","0","","0","0","","0","715.24","","0","","","","","","","0","","","","715","관광호텔업"
"3020000","CDFI2260031990000001","1990-01-16","","04","취소/말소/만료/정지/중지","35","직권말소","2023-10-24","","","","02-798-5101","","140-150","서울특별시 용산구 갈월동 98-11","서울특별시 용산구 한강대로 253 (갈월동)","","가야라트리호텔","2023-10-25 13:53:08","U","2023-10-27 02:40:00.0","","197492.793337805","448731.316989981","관광숙박업","관광사업","일반상업지역","7","","","","호텔","6","1","51","0","","","0","0","","0","0","","0","2716.52","","0","","","","","","","0","","","","2717","관광호텔업"
"3020000","CDFI2260031998000001","1998-08-22","","01","영업/정상","13","영업중","","","","","02-2076-2000","","140-860","서울특별시 용산구 이태원동 22-76","서울특별시 용산구 장문로 23 (이태원동)","","몬드리안 서울 이태원","2025-05-22 14:53:24","U","2025-05-24 02:40:00.0","","199337.628628981","447413.487156381","관광숙박업","관광사업","일반주거지역","22","","","","호텔","16","6","297","0","MONDRIAN SEOUL ITAEWON","TOURIST HOTEL","0","0","","0","0","","0","38559.95","","0","","","","","","","0","","","","38560","관광호텔업"
"3020000","CDFI2260032013000001","2013-10-01","","03","폐업","03","폐업","2022-02-23","","","","02-796-6100","","140-858","서울특별시 용산구 이태원동 126-7","서울특별시 용산구 우사단로14길 11 (이태원동)","04405","I.T.W호텔","2022-02-23 13:58:41","U","2022-02-25 02:40:00.0","","199602.998335774","448000.622353627","관광숙박업","","일반상업지역","9","기타","","","숙박시설","7","2","71","2730","","","0","0","","0","0","","0","2796.53","","0","","","","","","","0","","","","2797","관광호텔업"
"3020000","CDFI2260032014000001","2014-09-22","","03","폐업","03","폐업","2021-10-13","","","","02-792-8700","","140-807","서울특별시 용산구 갈월동 98-14","서울특별시 용산구 한강대로71길 24 (갈월동)","04322","호텔 엘르인","2021-10-13 15:06:34","U","2021-10-15 02:40:00.0","","197473.035834572","448684.316361498","관광숙박업","","일반상업지역","15","기타","","","숙박시설","13","2","54","3348","","","0","0","","0","0","","0","290.65","","0","","","","","","","0","","","","291","관광호텔업"
"3020000","CDFI2260032015000001","2015-04-24","","01","영업/정상","13","영업중","","","","","02-6070-7000","","140-821","서울특별시 용산구 동자동 56","서울특별시 용산구 한강대로 366 (동자동)","04323","(주)조선호텔앤리조트 포포인츠 조선 서울역","2025-12-26 15:49:30","U","2025-12-28 02:40:00.0","","197525.407310462","449844.319841559","관광숙박업","","일반상업지역","36","","","","숙박시설","30","6","342","0","","","0","0","","0","0","","0","19940.11","","0","","","","","","","77499998000","","","","19940","관광호텔업"
"3020000","CDFI2260032016000001","2016-12-06","","01","영업/정상","13","영업중","","","","","795-5997","","","서울특별시 용산구 이태원동 64-32","서울특별시 용산구 이태원로20길 2-8 (이태원동, 에이원호텔)","04391","에이원호텔","2026-03-18 13:07:13","U","2026-03-20 02:40:00.0","","199190.671806282","447977.234335253","관광숙박업","","준주거지역","7","기타","","","숙박시설","6","1","21","739","","","0","0","","0","0","","0","738.84","","0","","","","","","","0","","","","739","소형호텔업"
