"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3010000","CDFI2260031960000001","1960-06-10","","03","폐업","03","폐업","2015-07-31","","","","2268-7111","","100-260","서울특별시 중구 남학동 13-2번지","서울특별시 중구 퇴계로 176 (남학동)","","아스토리아호텔","2015-08-26 17:26:59","I","2018-08-31 23:59:59.0","","199161.680844774","450949.674631487","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","4170","","0","","","","","","","0","","","","4170","관광호텔업"
"3010000","CDFI2260031963000001","1963-06-23","","01","영업/정상","13","영업중","","","","","776-1811","","100-011","서울특별시 중구 충무로1가 23-1","서울특별시 중구 명동8나길 10 (충무로1가)","","사보이호텔","2024-02-14 16:59:06","U","2024-02-16 02:40:00.0","","198543.644700379","451049.580620366","관광숙박업","관광사업","","9","","","3성","","8","1","105","0","Savoy Hotel","Tourist Hotel","0","0","","0","0","","0","4830","","0","","","","","","","0","","","","4830","관광호텔업"
"3010000","CDFI2260031963000002","1963-06-26","","01","영업/정상","13","영업중","","","","","776-8221","","100-845","서울특별시 중구 을지로2가 199-33","서울특별시 중구 명동9가길 14 (을지로2가)","","메트로호텔","2024-04-05 11:12:06","U","2024-04-07 02:40:00.0","","198492.801933133","451427.348965871","관광숙박업","관광사업","","0","","","3성(등급보류) 접수완료","","9","1","78","0","","","0","0","","0","0","","0","4274.81","","0","","","","","","","0","","","","4275","관광호텔업"
"3010000","CDFI2260031969000001","1969-03-28","","01","영업/정상","13","영업중","","","","","753-3131","","100-191","서울특별시 중구 을지로1가 188-3","서울특별시 중구 을지로 16 (을지로1가)","","프레지던트호텔","2025-07-07 11:06:11","U","2025-07-09 02:40:00.0","","198113.370663648","451483.299976911","관광숙박업","관광사업","","0","","","4성","","0","0","303","0","PRESIDENT HOTEL","Tourist Hotel","0","0","","0","0","","0","37527","","0","","","","","","","0","","","","37527","관광호텔업"
"3010000","CDFI2260031969000002","1969-04-15","","01","영업/정상","13","영업중","","","","","752-7111","","100-042","서울특별시 중구 남산동2가 1-1","서울특별시 중구 퇴계로 130 (남산동2가)","","서울프린스호텔","2025-07-07 10:43:56","U","2025-07-09 02:40:00.0","","198717.824491651","450932.964839778","관광숙박업","관광사업","","0","","","3성","","0","0","100","0","Seoul Prince Hotel","Tourist Hotel","0","0","","0","0","","0","4297","","0","","","","","","","0","","","","4297","관광호텔업"
"3010000","CDFI2260031969000003","1969-10-15","","01","영업/정상","13","영업중","","","","","735-9071","","100-101","서울특별시 중구 태평로1가 29-1","서울특별시 중구 세종대로22길 16 (태평로1가)","","뉴서울호텔","2024-02-14 16:46:58","U","2024-02-16 02:40:00.0","","198000.967176821","451745.025547093","관광숙박업","관광사업","","0","","","3성","","0","0","186","0","","","0","0","","0","0","","0","9429","","0","","","","","","","0","","","","9429","관광호텔업"
"3010000","CDFI2260031970000001","1970-06-05","","01","영업/정상","13","영업중","","","","","771-0500","","100-070","서울특별시 중구 소공동 87-1","서울특별시 중구 소공로 106 (소공동)","04533","(주)조선호텔앤리조트","2026-01-09 11:06:26","U","2026-01-11 02:40:00.0","","198172.151119488","451350.969223428","관광숙박업","관광사업","","0","","","5성","","0","0","462","0","JOSUNHOTELS&RESORTS Inc.","Tourist Hotel","0","0","","0","0","","0","46501","","0","","","","","","","0","","","","46501","관광호텔업"
"3010000","CDFI2260031970000002","1970-01-12","","01","영업/정상","13","영업중","","","","","752-3191","","100-873","서울특별시 중구 회현동1가 65","서울특별시 중구 퇴계로10길 23 (회현동1가)","","(주)서울렉스호텔","2025-07-07 10:43:21","U","2025-07-09 02:40:00.0","","198249.758791197","450711.482993526","관광숙박업","관광사업","","0","","","","","0","0","108","0","","","0","0","","0","0","","0","5201","","0","","","","","","","0","","","","5201","관광호텔업"
"3010000","CDFI2260031970000003","1970-07-01","","01","영업/정상","13","영업중","","","","","2266-3186","","100-282","서울특별시 중구 인현동2가 73-1","서울특별시 중구 마른내로 71 (인현동2가)","","호텔 PJ","2025-07-07 11:10:18","U","2025-07-09 02:40:00.0","","199550.506270874","451392.219693582","관광숙박업","관광사업","","0","","","4성","","0","0","272","0","Hotel PJ","Tourist Hotel","0","0","","0","0","","0","27504","","0","","","","","","","0","","","","27504","관광호텔업"
"3010000","CDFI2260031973000001","1973-12-24","","01","영업/정상","13","영업중","","","","","773-6000","","","서울특별시 중구 충무로2가 61-3","서울특별시 중구 퇴계로 145 (충무로2가, 세종호텔)","04537","세종호텔","2025-07-07 10:46:05","U","2025-07-09 02:40:00.0","","198866.36491721","451021.050960516","관광숙박업","관광사업","","0","","","3성","","0","0","333","0","SEJONG HOTEL","Tourist Hotel","0","0","","0","0","","0","22928","","0","","","","","","","0","","","","22928","관광호텔업"
"3010000","CDFI2260031975000001","1975-12-02","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","2270-3187","","100-855","서울특별시 중구 장충동2가 186-54","서울특별시 중구 동호로 287 (장충동2가)","","앰배서더 서울 풀만 호텔","2025-12-24 16:49:01","U","2025-12-27 02:40:00.0","","200141.998469463","450878.102981055","관광숙박업","관광사업","","0","","","5성","","0","0","318","42434","THE AMBASSADOR SEOUL-A PULLMAN HOTEL","TOURIST HOTEL","0","0","","0","0","","0","32899.26","","0","","","","","","","0","","","","32899","관광호텔업"
"3010000","CDFI2260031975000002","1975-02-14","","01","영업/정상","13","영업중","","","","","777-7811","","100-042","서울특별시 중구 남산동2가 31-1","서울특별시 중구 퇴계로20길 2 (남산동2가)","","퍼시픽호텔","2025-07-07 11:04:50","U","2025-07-09 02:40:00.0","","198644.069040474","450827.86176286","관광숙박업","관광사업","","0","","","4성","","0","0","181","0","PACIFIC HOTEL","TOURIST HOTEL","0","0","","0","0","","0","13520","","0","","","","","","","0","","","","13520","관광호텔업"
"3010000","CDFI2260031976000001","1976-09-01","","01","영업/정상","13","영업중","","","","","771-2200","","100-864","서울특별시 중구 태평로2가 23","서울특별시 중구 소공로 119 (태평로2가)","","플라자호텔","2025-10-20 11:07:49","U","2025-10-23 02:40:00.0","","197979.021229862","451376.783371586","관광숙박업","관광사업","","0","","","5성","","0","0","313","0","THE PLAZA HOTEL","Tourist Hotel","0","0","","0","0","","0","37765","","0","","","","","","","0","","","","37765","관광호텔업"
"3010000","CDFI2260031977000001","1977-02-28","","03","폐업","03","폐업","2023-05-31","","","","732-0161","","100-101","서울특별시 중구 태평로1가 29-2","서울특별시 중구 세종대로22길 12 (태평로1가)","","뉴국제호텔","2023-05-30 18:22:49","U","2023-06-01 02:40:00.0","","197984.6447186","451739.947695781","관광숙박업","관광사업","","0","","","3성","","0","0","142","0","","","0","0","","0","0","","0","8814","","0","","","","","","","0","","","","8814","관광호텔업"
"3010000","CDFI2260031978000001","1978-12-23","","01","영업/정상","13","영업중","","","","","2230-3114","","100-856","서울특별시 중구 장충동2가 202","서울특별시 중구 동호로 249 (장충동2가)","","호텔신라","2025-07-07 10:22:39","U","2025-07-09 02:40:00.0","","200463.625303538","450497.460903907","관광숙박업","관광사업","","0","","","5성","","0","0","464","0","","","0","0","","0","0","","0","82657","","0","","","","","","","0","","","","82657","관광호텔업"
"3010000","CDFI2260031983000001","1983-02-21","","03","폐업","03","폐업","2011-06-22","","","","2265-6131","","100-195","서울특별시 중구 을지로5가 133-1번지","서울특별시 중구 을지로38길 20  (을지로5가)","","뉴천지","2011-06-22 09:38:22","I","2018-08-31 23:59:59.0","","200225.983119633","451511.262755282","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","4665","","0","","","","","","","0","","","","4665",""
"3010000","CDFI2260031987000002","1987-08-11","","01","영업/정상","13","영업중","","","","","02-771-1000","","","서울특별시 중구 소공동 1","서울특별시 중구 을지로 30 (소공동, 롯데호텔)","04533","호텔롯데","2025-07-07 11:19:46","U","2025-07-09 02:40:00.0","","198259.65357739","451392.198218657","관광숙박업","관광사업","","0","","","5성(1,151실)","","0","0","0","0","HOTEL LOTTE","Tourist Hotel","0","0","","0","0","","0","192711.81","","0","","","","","","","0","","","","192712","관광호텔업"
