사용승인일자,화재조기진압용스프링클러보유여부,건물일련번호,스프링클러가용여부,기본주소,시도명,시군구명,법정동명,스프링클러보유여부,화재조기진압용스프링클러가용여부,간이스프링클러보유여부,대상물명,간이스프링클러가용여부,X좌표,Y좌표,도로명주소
19131022.0,N,11000000000054,N,서울특별시 중구 남산동1가,서울특별시,중구,남산동1가,N,N,N,더로드서울,N,198567.97,450784.4,서울 중구 소공로6길 13-8
19341030.0,N,11000000000153,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,피넛호텔,N,197990.37,451104.82,서울 중구 퇴계로 33
19500302.0,N,11000000000422,N,서울특별시 종로구 권농동,서울특별시,종로구,권농동,N,N,N,순라 스테이,N,199202.8,452448.01,서울 종로구 율곡로10길 17
19520913.0,N,11000000000487,N,서울특별시 용산구 남영동,서울특별시,용산구,남영동,N,N,N,로망스모텔(로망스여관),N,197572.73,448972.41,서울 용산구 한강대로84길 11-12
19531201.0,N,11000000000526,N,서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가,N,N,N,서대문여관(공가),N,197255.58,452042.04,서울 종로구 효자로 33
19540401.0,N,11000000000539,N,서울특별시 중구 충무로5가,서울특별시,중구,충무로5가,N,N,N,남경빌딩,N,199915.19,451205.59,서울 중구 창경궁로 2
19541201.0,N,11000000000601,N,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,N,N,N,(선임유예/~240722)뉴썬게스트하우스,N,198269.56,450368.81,
19551201.0,N,11000000000675,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,은성빌딩,N,197990.37,451104.82,서울 중구 남대문시장8길 26
19560130.0,N,11000000000685,N,서울특별시 중구 명동2가,서울특별시,중구,명동2가,N,N,N,명동2가 54-2 건물(꽁돈삼겹살 건물),N,198625.18,451178.81,서울 중구 퇴계로18길 14
19561001.0,N,11000000000744,N,서울특별시 중구 북창동,서울특별시,중구,북창동,N,N,N,올스테이 호스텔,N,197990.37,451104.82,서울 중구 남대문로5길 23
