119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
상도119안전센터,서울특별시 동작구 상도동,11000000332742,서울특별시,,상도동,,숙박시설,Y,20220103,동작소방서,상도동 210-22건물,20210531,,N,,444036.0139,,,N,194537.4291,,동작구,,,
상도119안전센터,서울특별시 동작구 상도동,11000000332743,서울특별시,,상도동,,숙박시설,Y,20220103,동작소방서,푸른빌,20211223,,N,,444036.0139,,,N,194537.4291,,동작구,,,
상도119안전센터,서울특별시 동작구 상도동,11000000332753,서울특별시,,상도동,,숙박시설,Y,20220103,동작소방서,상도동 244-47건물,20210330,,N,,444036.0139,,,N,194537.4291,,동작구,,,
상도119안전센터,서울특별시 동작구 상도동,11000000332762,서울특별시,,상도동,,숙박시설,Y,20220103,동작소방서,상도동202-128건물,20210309,,N,,444036.0139,,,N,194537.4291,,동작구,,,
상도119안전센터,서울특별시 동작구 상도동,11000000332766,서울특별시,,상도동,,숙박시설,Y,20220103,동작소방서,우분트빌,20210409,,N,,444036.0139,,,N,194537.4291,,동작구,,,
신림119안전센터,서울특별시 관악구 신림동,11000000021071,서울특별시,,신림동,,숙박시설,Y,20060927,관악소방서,아이리스 (구.은하장),19860701,,,,442633.1388,,,,193656.734,,관악구,은하장여관,,
신림119안전센터,,11000000046503,서울특별시,,신림동,,숙박시설,Y,20040525,관악소방서,아람장모텔(아람장여관),19880509,,,,442773.9402,,,,193593.6092,,관악구,,,
신림119안전센터,,11000000326893,서울특별시,,신림동,,숙박시설,Y,20200514,관악소방서,오루트21,20210803,Y,N,,,,,N,,20210811,관악구,ORT21,,종합점검대상
신림119안전센터,,11000000025784,서울특별시,,신림동,,숙박시설,Y,20000614,관악소방서,경원장여관,19811002,,,,442992.2921,,,,193652.6363,,관악구,,,
신림119안전센터,,11000000047921,서울특별시,,신림동,,숙박시설,Y,20060928,관악소방서,우림노래방(플라워모텔),19880817,,,,443007.2894,,,,193692.1394,,관악구,,,
신림119안전센터,,11000000090415,서울특별시,,신림동,,숙박시설,Y,20060905,관악소방서,빌라드보니(구. 루쏘호텔),19970818,Y,N,,442847.5947,,,,193974.8919,,관악구,LUSSO HOTEL,,종합점검대상
신림119안전센터,,11000000322877,서울특별시,,신림동,,숙박시설,Y,20190321,관악소방서,삼화,20190911,Y,N,,442942.09500305174,,,N,193689.68750064023,20190902,관악구,삼화,,종합점검대상
신림119안전센터,,11000000051387,서울특별시,,신림동,,숙박시설,Y,20000901,관악소방서,스위스장여관,19890422,,N,,442925.4272,,,,193678.6868,,관악구,,,
신림119안전센터,,11000000037501,서울특별시,,신림동,,숙박시설,Y,20011106,관악소방서,젤모텔,19850924,,N,,442814.0164,,,,193907.0931,,관악구,,,
을지로119안전센터,서울특별시 중구 을지로7가,11000000093145,서울특별시,,을지로7가,,숙박시설,Y,20030904,중부소방서,퇴계로63길 22 건물,19980101,,N,,451760.0678,,,,200774.6825,,중구,,,
현장대응단,,11000000096494,서울특별시,,둔촌동,20290320,숙박시설,Y,20050724,강동소방서,둔촌빌딩(숙박),19831226,Y,N,,447907.4051,,20240320,,212574.1803,19990701,강동구,,하나 손해보험,작동점검대상
천호119안전센터,,11000000057280,서울특별시,,천호동,20240825,숙박시설,Y,20060713,강동소방서,에바파크(숙박),19900319,Y,N,,448855.0593,,20230825,,211135.2396,,강동구,,현대해상화재보험,작동점검대상
