개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,건물총층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
3000000,3000000-201-1990-00088,1990-05-12,,01,영업/정상,01,영업,,,,,02 7639793,662.69,110-850,서울특별시 종로구 효제동 179-2,서울특별시 종로구 대학로2길 49-2 (효제동),03126,백제장,2025-01-13 17:32:04,U,2025-01-15 02:40:00.0,여관업,200364.080040937,452144.919766341,여관업,1,0,1,0,5,0,0,11,19,,,,,,,,,0,0,,,N
3000000,3000000-201-1995-00096,1995-07-07,,01,영업/정상,01,영업,,,,,02  766 6799,940.94,110-850,서울특별시 종로구 효제동 199,서울특별시 종로구 종로35가길 3 (효제동),03126,더원 호텔,2024-07-16 13:24:39,U,2024-07-18 02:40:00.0,여관업,200299.750137923,452186.930154665,여관업,1,0,1,0,5,0,0,13,20,,,,,,,,,0,0,,,N
3000000,3000000-201-1984-00103,1984-08-30,,01,영업/정상,01,영업,,,,,02 3796533,235.08,110-020,서울특별시 종로구 홍지동 94-42,서울특별시 종로구 세검정로6길 4 (홍지동),03017,씨케이 인 종로점,2025-02-14 11:03:40,U,2025-02-16 02:40:00.0,여관업,196345.557159385,455368.063963395,여관업,2,0,2,2,5,0,0,5,11,,,,,,,,,0,0,,,N
3000000,3000000-201-1986-00056,1986-03-18,,01,영업/정상,01,영업,,,,,02 9268824,170.78,110-827,서울특별시 종로구 숭인동 1086,서울특별시 종로구 숭인동길 46 (숭인동),03111,은진모텔,2025-06-18 16:09:40,U,2025-06-20 02:40:00.0,여관업,201890.636280279,452750.27617696,여관업,1,0,1,0,4,0,0,23,13,,,,,,,,,0,0,,,N
3000000,3000000-201-2019-00002,2019-02-20,,01,영업/정상,01,영업,,,,,02  734 1511,1831.98,110-420,서울특별시 종로구 관수동 24,서울특별시 종로구 수표로18길 15-1 (관수동),03192,더포스트 호텔,2025-08-21 10:28:11,U,2025-08-23 02:40:00.0,일반호텔,199095.639005149,451905.388154668,일반호텔,10,2,12,1,10,2,2,0,52,,,,,,,임대,,0,0,,,N
3000000,3000000-214-2019-00001,2019-02-12,,01,영업/정상,01,영업,,,,,,414.38,110-450,서울특별시 종로구 원남동 189-6,서울특별시 종로구 창경궁로 145-3 (원남동),03136,은성,2020-06-29 11:40:18,U,2020-07-01 02:40:00.0,숙박업(생활),199661.516842945,452556.775956741,숙박업(생활),4,1,5,1,4,1,1,2,14,,,,,,,자가,,0,0,,,N
3000000,3000000-214-2023-00003,2023-07-25,,01,영업/정상,01,영업,,,,,,453.91,110-470,서울특별시 종로구 연지동 179,서울특별시 종로구 종로31길 50-7 (연지동),03129,더스테이종로(TheStayJongro),2026-01-20 15:00:40,U,2026-01-23 02:40:00.0,숙박업(생활),199847.981505202,452305.325464649,숙박업(생활),6,0,6,1,6,0,0,0,20,,,,,,,임대,,0,0,,,N
3000000,3000000-201-2023-00001,2023-07-31,,01,영업/정상,01,영업,,,,,,515.43,110-111,서울특별시 종로구 관철동 180 스타골드빌딩,"서울특별시 종로구 삼일대로17길 51, 스타골드빌딩 4,6층 (관철동)",03189,(주)서울큐브 종로,2025-03-26 10:29:34,U,2025-03-28 02:40:00.0,숙박업 기타,198575.614557683,451869.596952219,숙박업 기타,1,0,1,0,0,0,0,0,2,,,,,,,임대,,0,0,,,N
3000000,3000000-201-2019-00001,2019-02-07,,01,영업/정상,01,영업,,,,,02  765 0552,1884.60,110-470,서울특별시 종로구 연지동 119 케니스토리 인 종로5가,"서울특별시 종로구 창경궁로16가길 9, 케니스토리 인 종로5가 (연지동)",03128,주식회사 파이브호텔 종로,2025-01-13 17:43:59,U,2025-01-15 02:40:00.0,일반호텔,199887.961702466,452434.652178591,일반호텔,9,2,11,1,9,1,2,0,81,,,,,,,임대,,0,0,,,N
3000000,3000000-201-2019-00005,2019-09-05,,01,영업/정상,01,영업,,,,,0269173099,45284.00,110-300,서울특별시 종로구 관훈동 155-2,서울특별시 종로구 인사동길 49 (관훈동),03145,나인트리 바이 파르나스 서울 인사동,2024-09-25 14:53:13,U,2024-09-27 02:40:00.0,관광호텔,198498.918632911,452473.403750001,관광호텔,1,0,1,4,13,0,0,0,299,,,,,,,,,0,0,,,N
