"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","좌석수"
"3000000","CDFI2260031967000001","1967-04-03","","02","휴업","02","휴업","","2023-01-01","2027-12-31","","02-734-6884","","","서울특별시 종로구 종로2가 9 (8층)","서울특별시 종로구 종로 69 (종로2가, YMCA)","03164","서울YMCA관광호텔","2023-06-15 13:47:15","U","2023-06-17 02:40:00.0","","198630.79627088","452035.412646906","0"
"3000000","CDFI2260032018000004","2018-07-05","","01","영업/정상","13","영업중","","","","","02-730-3455","","","서울특별시 종로구 관훈동 198-11 호텔 썬비","서울특별시 종로구 인사동7길 26, 호텔 썬비 (관훈동)","03149","호텔 썬비","2026-02-24 16:16:55","U","2026-02-26 02:40:00.0","","198586.86523867","452307.07147577","0"
"3000000","CDFI2260032019000001","2019-10-02","","01","영업/정상","13","영업중","","","","","02-6917-3099","","","서울특별시 종로구 관훈동 155-2","서울특별시 종로구 인사동길 49 (관훈동)","03145","나인트리 바이 파르나스 서울 인사동","2024-10-02 13:31:26","U","2024-10-04 02:40:00.0","","198498.918632911","452473.403750001","0"
"3000000","CDFI2260032024000003","2024-09-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 인의동 89-15","서울특별시 종로구 창경궁로 123-20 (인의동)","03136","이스트 아뜰리에","2024-09-07 09:11:39","U","2024-09-09 02:40:00.0","","199636.410863155","452376.667974027","0"
"3000000","CDFI2260032024000004","2024-09-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 313-2","서울특별시 종로구 지봉로 24-12, 5층 (숭인동)","03114","U-STAY HOSTEL","2025-03-20 10:58:35","U","2025-03-22 02:40:00.0","","201365.396263672","452247.733898196","0"
"3000000","CDFI2260032019000003","2019-10-29","","01","영업/정상","13","영업중","","","","","02-758-1700","","","서울특별시 종로구 낙원동 134-2","서울특별시 종로구 돈화문로11길 37 (낙원동)","03139","목시 서울 인사동 호텔","2025-11-11 16:13:12","U","2025-11-13 02:40:00.0","","198988.983646221","452223.097221066","0"
"3000000","CDFI2260032019000002","2019-10-18","","01","영업/정상","13","영업중","","","","","02-2024-8400","","","서울특별시 종로구 이화동 105-2 glue hotel","서울특별시 종로구 율곡로 228, glue hotel (이화동)","03123","글루호텔","2025-01-08 20:35:41","U","2025-01-11 02:40:00.0","","200280.218939597","452611.575936538","0"
"3000000","CDFI2260032026000019","2026-03-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 당주동 20-1","서울특별시 종로구 새문안로9길 25, 3층 (당주동)","03183","SOUNDS INN GWANGHWAMUN","2026-03-19 18:24:10","I","2026-03-22 00:20:02.0","","197769.253723172","452117.73988487","0"
"3000000","CDFI2260032026000020","2026-03-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로4가 167-1","서울특별시 종로구 종로 198, 3,4,5층 (종로4가)","03195","진가","2026-03-19 18:22:35","I","2026-03-22 00:20:02.0","","199893.409361955","452037.93796291","0"
"3000000","CDFI2260032026000022","2026-03-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 묘동 121","서울특별시 종로구 돈화문로 56-1, 4, 5층 (묘동)","03134","킴스텔코리아 종로점","2026-03-19 18:25:40","I","2026-03-22 00:20:02.0","","199177.064296757","452360.626823417","0"
"3000000","CDFI2260032026000015","2026-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관철동 19-3 대성빌딩","서울특별시 종로구 종로12길 16, 대성빌딩 6층 (관철동)","03189","아울스테이","2026-03-12 17:13:39","U","2026-03-14 02:40:00.0","","198657.113035591","451894.389633456","0"
"3000000","CDFI2260032026000016","2026-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 창신동 444-9 임진빌딩","서울특별시 종로구 종로46길 22, 임진빌딩 2층 (창신동)","03119","호스텔 메가 동대문역","2026-03-10 11:53:42","I","2026-03-12 00:20:31.0","","200833.121381281","452040.323909642","0"
"3000000","CDFI2260032026000017","2026-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 봉익동 10-1 디아망 쥬얼리","서울특별시 종로구 율곡로10길 105, 디아망 쥬얼리 4층 (봉익동)","03134","포레스트 스테이 종로","2026-03-16 17:56:50","U","2026-03-18 02:40:00.0","","199243.960959498","452293.899531079","0"
"3000000","CDFI2260032026000018","2026-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관철동 19-20 삼보빌딩","서울특별시 종로구 삼일대로17길 52, 삼보빌딩 4, 5층 (관철동)","03189","MOMENTO HOSTEL","2026-03-10 12:48:57","I","2026-03-12 00:20:31.0","","198568.77792237","451891.299622979","0"
"3000000","CDFI2260032026000013","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 1049","서울특별시 종로구 숭인동길 1-3, 2, 3층 (숭인동)","03112","더온재","2026-03-05 17:09:50","I","2026-03-07 00:20:02.0","","201801.300137307","452526.951324552","0"
"3010000","CDFI2260032024000003","2024-09-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 남창동 211","서울특별시 중구 퇴계로2길 20 (남창동)","04635","케이팝 서울타워 호스텔","2024-12-18 11:36:01","U","2024-12-21 02:40:00.0","","197912.569432128","450501.826339044","0"
"3000000","CDFI2260032025000027","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 창신동 414-5","서울특별시 종로구 종로54길 32, 3~4층 (창신동)","03120","247 HOSTEL SEOUL","2025-12-30 11:41:53","I","2026-01-01 00:20:41.0","","201161.5695658","452070.731182291","0"
"3000000","CDFI2260032025000028","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관철동 43-15","서울특별시 종로구 종로8길 15, 3층 (관철동)","03189","찰나 호스텔","2025-12-30 11:47:07","I","2026-01-01 00:20:41.0","","198527.201079961","451901.155059874","0"
"3000000","CDFI2260032025000029","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로2가 102-1","서울특별시 종로구 종로 62-1, 4층 (종로2가)","03189","스테이울림","2025-12-30 11:48:51","I","2026-01-01 00:20:41.0","","198549.377397696","451960.972726138","0"
"3000000","CDFI2260032026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로5가 257-1","서울특별시 종로구 종로 248-1, 5층 (종로5가)","03197","편안정 종로5가점","2026-01-06 13:27:36","I","2026-01-09 00:20:01.0","","200401.722939568","452062.956830205","0"
"3000000","CDFI2260032026000005","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 창신동 330-7","서울특별시 종로구 종로54길 9-9, 2층 (창신동)","03121","동대문 스테이가든","2026-01-29 11:20:11","U","2026-01-31 02:40:00.0","","201192.319848224","452214.352544411","0"
"3000000","CDFI2260032026000006","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로5가 503-7","서울특별시 종로구 종로36나길 10-1, 4층 (종로5가)","03197","고유리(Goyu;re)","2026-02-26 14:05:01","U","2026-02-28 02:40:00.0","","200328.85058794","451973.845648666","0"
"3000000","CDFI2260032026000007","2026-01-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 충신동 69-4 온코리아 스테이","서울특별시 종로구 율곡로 230-13, 온코리아 스테이 (충신동)","03123","온코리아 스테이","2026-01-29 18:57:18","I","2026-01-31 00:20:02.0","","200297.411363988","452567.967939751","0"
"3000000","CDFI2260032026000003","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 낙원동 235-11","서울특별시 종로구 종로17길 48, 1~5층 (낙원동)","03140","하프레스트 호스텔","2026-01-12 10:14:23","I","2026-01-14 00:20:02.0","","198906.525582464","452222.26053706","0"
"3000000","CDFI2260032026000004","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 217-6","서울특별시 종로구 난계로29길 65-14, 3~5층 (숭인동)","03115","엔조이스테이 호스텔","2026-01-12 14:59:25","I","2026-01-14 00:20:02.0","","201689.360291466","452306.010081257","0"
"3000000","CDFI2260032024000002","2024-05-23","","01","영업/정상","13","영업중","","","","","02-745-1600","","","서울특별시 종로구 창신동 160 금강빌딩","서울특별시 종로구 종로 313-6, 금강빌딩 (창신동)","03105","이온호텔","2025-08-12 09:52:58","U","2025-08-14 02:40:00.0","","201057.431070167","452245.944639053","0"
"3000000","CDFI2260032026000012","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관철동 6-2","서울특별시 종로구 삼일대로 393-1, 4, 5층 (관철동)","03190","오아시스 트레블러스 종로","2026-03-03 09:36:37","I","2026-03-05 00:20:02.0","","198819.574269631","451942.979071945","0"
